time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16777.0,16911.0,14274.0,17828.0,17736.0,16759.0,16570.0,20148.0,20270.0,18998.0,20061.0,19396.0,17850.0,19598.0,
0.059,16799.0,16918.0,14274.0,17843.0,17721.0,16782.0,16555.0,20133.0,20301.0,18952.0,20038.0,19381.0,17835.0,19591.0,
0.109,16762.0,16933.0,14343.0,17866.0,17736.0,16782.0,16562.0,20192.0,20263.0,18952.0,20046.0,19411.0,17835.0,19598.0,
0.159,16784.0,16940.0,14297.0,17859.0,17714.0,16759.0,16562.0,20177.0,20262.0,18914.0,20069.0,19404.0,17850.0,19576.0,
0.209,16792.0,16881.0,14259.0,17828.0,17736.0,16759.0,16555.0,20162.0,20278.0,18922.0,20061.0,19419.0,17850.0,19583.0,
0.259,16777.0,16933.0,14259.0,17821.0,17714.0,16812.0,16555.0,20140.0,20270.0,18922.0,20038.0,19404.0,17827.0,19591.0,
0.309,16762.0,16911.0,14274.0,17836.0,17721.0,16827.0,16555.0,20118.0,20262.0,18937.0,20046.0,19419.0,17835.0,19598.0,
0.360,16814.0,16918.0,14312.0,17805.0,17721.0,16782.0,16570.0,20148.0,20255.0,18929.0,20053.0,19426.0,17827.0,19569.0,
0.410,16784.0,16918.0,14251.0,17828.0,17729.0,16789.0,16555.0,20148.0,20263.0,18991.0,20046.0,19419.0,17842.0,19583.0,
0.460,16777.0,16896.0,14290.0,17820.0,17706.0,16812.0,16570.0,20155.0,20286.0,18937.0,20069.0,19419.0,17842.0,19583.0,
0.510,16807.0,16918.0,14343.0,17851.0,17721.0,16774.0,16539.0,20155.0,20278.0,18929.0,20084.0,19411.0,17842.0,19576.0,
0.561,16799.0,16918.0,14282.0,17866.0,17729.0,16759.0,16547.0,20163.0,20270.0,18952.0,20084.0,19389.0,17850.0,19598.0,
0.611,16777.0,16911.0,14335.0,17820.0,17729.0,16843.0,16547.0,20140.0,20263.0,18937.0,20084.0,19396.0,17842.0,19576.0,
0.662,16830.0,16873.0,14328.0,17828.0,17721.0,16835.0,16570.0,20133.0,20247.0,18998.0,20053.0,19404.0,17820.0,19606.0,
0.712,16777.0,16918.0,14328.0,17843.0,17714.0,16858.0,16547.0,20133.0,20278.0,18960.0,20046.0,19411.0,17820.0,19583.0,
0.762,16792.0,16903.0,14305.0,17882.0,17729.0,16789.0,16555.0,20170.0,20301.0,18937.0,20053.0,19396.0,17827.0,19591.0,
0.812,16784.0,16948.0,14290.0,17836.0,17721.0,16774.0,16555.0,20133.0,20262.0,18914.0,20038.0,19426.0,17827.0,19569.0,
0.862,16829.0,16926.0,14320.0,17813.0,17751.0,16774.0,16539.0,20103.0,20270.0,18937.0,20053.0,19396.0,17857.0,19583.0,
0.913,16769.0,16940.0,14274.0,17813.0,17736.0,16858.0,16562.0,20088.0,20263.0,18975.0,20084.0,19411.0,17872.0,19576.0,
0.964,16769.0,16918.0,14259.0,17805.0,17782.0,16751.0,16562.0,20103.0,20286.0,18945.0,20053.0,19396.0,17827.0,19591.0,
1.014,16814.0,16888.0,14274.0,17828.0,17736.0,16766.0,16539.0,20178.0,20293.0,19044.0,20046.0,19426.0,17842.0,19576.0,
1.064,16792.0,16933.0,14259.0,17828.0,17744.0,16759.0,16547.0,20192.0,20308.0,18937.0,20053.0,19396.0,17865.0,19583.0,
1.114,16807.0,16911.0,14274.0,17866.0,17782.0,16835.0,16562.0,20140.0,20270.0,18952.0,20038.0,19404.0,17850.0,19591.0,
1.164,16830.0,16896.0,14328.0,17828.0,17736.0,16759.0,16555.0,20118.0,20301.0,18952.0,20069.0,19396.0,17894.0,19576.0,
1.214,16769.0,16903.0,14282.0,17805.0,17729.0,16804.0,16570.0,20140.0,20263.0,18991.0,20046.0,19411.0,17827.0,19576.0,
1.264,16777.0,16933.0,14282.0,17820.0,17698.0,16797.0,16585.0,20155.0,20270.0,19029.0,20100.0,19411.0,17842.0,19583.0,
1.314,16814.0,16918.0,14274.0,17859.0,17714.0,16812.0,16555.0,20133.0,20316.0,18937.0,20100.0,19434.0,17820.0,19583.0,
1.366,16837.0,16911.0,14259.0,17836.0,17751.0,16767.0,16547.0,20118.0,20293.0,18952.0,20046.0,19389.0,17850.0,19591.0,
1.416,16822.0,16888.0,14267.0,17843.0,17714.0,16797.0,16555.0,20103.0,20262.0,18952.0,20061.0,19441.0,17827.0,19576.0,
1.466,16822.0,16888.0,14305.0,17828.0,17736.0,16812.0,16547.0,20118.0,20293.0,18929.0,20061.0,19382.0,17887.0,19583.0,
1.516,16777.0,16918.0,14251.0,17805.0,17736.0,16797.0,16555.0,20095.0,20285.0,18945.0,20038.0,19404.0,17835.0,19569.0,
1.567,16792.0,16925.0,14282.0,17821.0,17721.0,16751.0,16570.0,20080.0,20309.0,18937.0,20076.0,19411.0,17857.0,19576.0,
1.617,16792.0,16903.0,14290.0,17905.0,17721.0,16766.0,16562.0,20148.0,20263.0,18899.0,20092.0,19411.0,17850.0,19591.0,
1.667,16814.0,16874.0,14290.0,17836.0,17714.0,16759.0,16562.0,20170.0,20278.0,18922.0,20046.0,19411.0,17835.0,19584.0,
1.717,16792.0,16911.0,14297.0,17820.0,17767.0,16774.0,16547.0,20125.0,20263.0,18968.0,20069.0,19419.0,17820.0,19583.0,
1.767,16807.0,16933.0,14267.0,17859.0,17736.0,16774.0,16547.0,20080.0,20270.0,18968.0,20123.0,19389.0,17835.0,19591.0,
1.818,16769.0,16896.0,14305.0,17820.0,17729.0,16751.0,16562.0,20096.0,20308.0,18945.0,20107.0,19404.0,17887.0,19576.0,
1.868,16792.0,16955.0,14282.0,17820.0,17729.0,16782.0,16532.0,20103.0,20309.0,18929.0,20076.0,19381.0,17850.0,19568.0,
1.918,16777.0,16925.0,14343.0,17820.0,17744.0,16774.0,16562.0,20118.0,20270.0,18944.0,20053.0,19396.0,17827.0,19606.0,
1.968,16814.0,16963.0,14282.0,17813.0,17729.0,16812.0,16547.0,20080.0,20339.0,18922.0,20061.0,19411.0,17850.0,19576.0,
2.019,16807.0,16940.0,14274.0,17844.0,17698.0,16766.0,16555.0,20118.0,20286.0,18968.0,20038.0,19404.0,17857.0,19576.0,
2.069,16830.0,16948.0,14290.0,17874.0,17729.0,16751.0,16555.0,20111.0,20339.0,18929.0,20054.0,19411.0,17872.0,19583.0,
2.119,16807.0,16940.0,14267.0,17821.0,17721.0,16774.0,16547.0,20088.0,20278.0,18975.0,20100.0,19396.0,17827.0,19576.0,
2.170,16769.0,16940.0,14282.0,17843.0,17729.0,16759.0,16539.0,20095.0,20301.0,18968.0,20077.0,19449.0,17827.0,19576.0,
2.220,16814.0,16926.0,14282.0,17882.0,17729.0,16858.0,16547.0,20103.0,20270.0,18952.0,20023.0,19389.0,17850.0,19583.0,
2.270,16784.0,16911.0,14267.0,17821.0,17759.0,16797.0,16547.0,20148.0,20263.0,18983.0,20046.0,19411.0,17835.0,19576.0,
2.320,16799.0,16903.0,14282.0,17813.0,17736.0,16843.0,16562.0,20177.0,20270.0,18922.0,20092.0,19396.0,17842.0,19576.0,
2.370,16837.0,16881.0,14282.0,17820.0,17714.0,16774.0,16555.0,20170.0,20262.0,18998.0,20069.0,19411.0,17879.0,19576.0,
2.421,16814.0,16918.0,14274.0,17866.0,17721.0,16797.0,16524.0,20162.0,20286.0,18968.0,20038.0,19382.0,17827.0,19576.0,
