frame_num,time_s,
0,0.018,
1,0.068,
2,0.118,
3,0.169,
4,0.219,
5,0.269,
6,0.320,
7,0.370,
8,0.421,
9,0.471,
10,0.521,
11,0.571,
12,0.621,
13,0.672,
14,0.722,
15,0.772,
16,0.826,
17,0.892,
18,0.959,
19,1.025,
20,1.092,
21,1.159,
22,1.225,
23,1.292,
24,1.358,
25,1.425,
26,1.492,
27,1.558,
28,1.625,
29,1.691,
30,1.758,
31,1.825,
32,1.891,
33,1.958,
34,2.024,
35,2.091,
36,2.158,
37,2.225,
38,2.291,
39,2.357,
40,2.424,
41,2.490,
42,2.557,
43,2.624,
44,2.690,
45,2.757,
46,2.823,
47,2.890,
48,2.957,
49,3.023,
50,3.090,
51,3.156,
52,3.223,
53,3.290,
54,3.356,
55,3.423,
56,3.489,
57,3.556,
58,3.623,
59,3.689,
60,3.756,
61,3.822,
62,3.889,
63,3.956,
64,4.022,
65,4.089,
66,4.155,
67,4.222,
68,4.288,
69,4.355,
70,4.421,
71,4.488,
72,4.555,
73,4.621,
74,4.688,
75,4.755,
76,4.821,
77,4.888,
78,4.954,
79,5.029,
80,5.088,
81,5.154,
82,5.221,
83,5.287,
84,5.354,
85,5.421,
86,5.487,
87,5.554,
88,5.620,
89,5.687,
90,5.753,
91,5.820,
92,5.887,
93,5.953,
94,6.020,
95,6.087,
96,6.153,
97,6.220,
98,6.286,
99,6.353,
100,6.419,
101,6.486,
102,6.553,
103,6.619,
104,6.686,
105,6.752,
106,6.819,
107,6.886,
108,6.952,
109,7.019,
110,7.085,
111,7.152,
112,7.218,
113,7.285,
114,7.352,
115,7.418,
116,7.485,
117,7.551,
118,7.618,
119,7.685,
120,7.751,
121,7.818,
122,7.884,
123,7.951,
124,8.018,
125,8.084,
126,8.151,
127,8.217,
128,8.284,
129,8.350,
130,8.417,
131,8.484,
132,8.550,
133,8.617,
134,8.684,
135,8.750,
136,8.817,
137,8.883,
138,8.950,
139,9.016,
140,9.083,
141,9.150,
142,9.216,
143,9.283,
144,9.350,
145,9.416,
146,9.483,
147,9.549,
148,9.616,
149,9.683,
150,9.749,
151,9.815,
152,9.882,
153,9.949,
154,10.015,
155,10.083,
156,10.149,
157,10.215,
158,10.282,
159,10.348,
160,10.415,
161,10.481,
162,10.548,
163,10.615,
164,10.682,
165,10.748,
166,10.814,
167,10.881,
168,10.948,
169,11.014,
170,11.081,
171,11.147,
172,11.214,
173,11.281,
174,11.347,
175,11.414,
176,11.480,
177,11.547,
178,11.614,
179,11.680,
180,11.747,
181,11.813,
182,11.880,
183,11.946,
184,12.013,
185,12.080,
186,12.146,
187,12.213,
188,12.279,
189,12.346,
190,12.413,
191,12.479,
192,12.546,
193,12.612,
194,12.679,
195,12.746,
196,12.812,
197,12.879,
198,12.946,
199,13.012,
200,13.079,
201,13.145,
202,13.212,
203,13.278,
204,13.345,
205,13.412,
206,13.478,
207,13.545,
208,13.611,
209,13.678,
210,13.744,
211,13.811,
212,13.878,
213,13.944,
214,14.011,
215,14.077,
216,14.144,
217,14.211,
218,14.277,
219,14.344,
220,14.410,
221,14.477,
222,14.543,
223,14.610,
224,14.677,
225,14.743,
226,14.810,
227,14.876,
228,14.943,
229,15.010,
230,15.076,
