frame_num,time_s,
0,0.022,
1,0.073,
2,0.123,
3,0.174,
4,0.224,
5,0.274,
6,0.324,
7,0.374,
8,0.425,
9,0.475,
10,0.525,
11,0.576,
12,0.626,
13,0.676,
14,0.726,
15,0.776,
16,0.826,
17,0.885,
18,0.952,
19,1.019,
20,1.085,
21,1.152,
22,1.218,
23,1.286,
24,1.352,
25,1.418,
26,1.485,
27,1.552,
28,1.618,
29,1.685,
30,1.751,
31,1.818,
32,1.884,
33,1.951,
34,2.017,
35,2.084,
36,2.151,
37,2.218,
38,2.284,
39,2.351,
40,2.417,
41,2.484,
42,2.550,
43,2.617,
44,2.684,
45,2.750,
46,2.817,
47,2.883,
48,2.950,
49,3.017,
50,3.083,
51,3.150,
52,3.216,
53,3.283,
54,3.349,
55,3.417,
56,3.483,
57,3.549,
58,3.616,
59,3.682,
60,3.750,
61,3.816,
62,3.882,
63,3.949,
64,4.016,
65,4.083,
66,4.149,
67,4.215,
68,4.282,
69,4.349,
70,4.416,
71,4.482,
72,4.549,
73,4.615,
74,4.682,
75,4.748,
76,4.815,
77,4.882,
78,4.948,
79,5.015,
80,5.081,
81,5.148,
82,5.214,
83,5.281,
84,5.348,
85,5.415,
86,5.481,
87,5.548,
88,5.614,
89,5.681,
90,5.747,
91,5.814,
92,5.881,
93,5.947,
94,6.014,
95,6.080,
96,6.147,
97,6.214,
98,6.280,
99,6.347,
100,6.413,
101,6.480,
102,6.547,
103,6.613,
104,6.680,
105,6.746,
106,6.814,
107,6.880,
108,6.946,
109,7.012,
110,7.080,
111,7.147,
112,7.213,
113,7.279,
114,7.346,
115,7.413,
116,7.480,
117,7.546,
118,7.612,
119,7.679,
120,7.746,
121,7.812,
122,7.879,
123,7.945,
124,8.012,
125,8.079,
126,8.145,
127,8.212,
128,8.278,
129,8.346,
130,8.412,
131,8.478,
132,8.545,
133,8.611,
134,8.678,
135,8.744,
136,8.811,
137,8.877,
138,8.944,
139,9.011,
140,9.077,
141,9.144,
142,9.211,
143,9.277,
144,9.344,
145,9.410,
146,9.477,
147,9.543,
148,9.611,
149,9.677,
150,9.743,
151,9.810,
152,9.877,
153,9.944,
154,10.010,
155,10.076,
156,10.143,
157,10.210,
158,10.277,
159,10.343,
160,10.409,
161,10.476,
162,10.543,
163,10.609,
164,10.676,
165,10.742,
166,10.810,
167,10.875,
168,10.942,
169,11.009,
170,11.075,
171,11.142,
172,11.209,
173,11.275,
174,11.342,
175,11.408,
176,11.475,
177,11.542,
178,11.608,
179,11.675,
180,11.741,
181,11.809,
182,11.875,
183,11.941,
184,12.008,
185,12.075,
186,12.142,
187,12.209,
188,12.274,
189,12.342,
190,12.408,
191,12.474,
192,12.540,
193,12.607,
194,12.674,
195,12.740,
196,12.807,
197,12.874,
198,12.940,
199,13.007,
200,13.074,
201,13.140,
202,13.206,
203,13.273,
204,13.340,
205,13.406,
206,13.473,
207,13.540,
208,13.607,
209,13.673,
210,13.739,
211,13.806,
212,13.873,
213,13.939,
214,14.006,
215,14.073,
216,14.139,
217,14.205,
218,14.272,
219,14.339,
220,14.405,
221,14.472,
222,14.539,
223,14.606,
224,14.672,
225,14.738,
226,14.804,
227,14.872,
228,14.938,
229,15.005,
230,15.071,
231,15.138,
232,15.205,
233,15.271,
234,15.338,
235,15.404,
236,15.471,
237,15.538,
238,15.604,
239,15.671,
240,15.738,
241,15.804,
242,15.871,
243,15.937,
244,16.004,
245,16.071,
246,16.138,
247,16.204,
248,16.270,
249,16.336,
250,16.404,
251,16.471,
252,16.537,
253,16.603,
254,16.670,
