frame_num,time_s,
0,0.025,
1,0.076,
2,0.126,
3,0.176,
4,0.227,
5,0.277,
6,0.327,
7,0.377,
8,0.428,
9,0.478,
10,0.528,
11,0.578,
12,0.629,
13,0.679,
14,0.730,
15,0.784,
16,0.852,
17,0.915,
18,0.984,
19,1.051,
20,1.115,
21,1.183,
22,1.252,
23,1.315,
24,1.384,
25,1.452,
26,1.515,
27,1.584,
28,1.651,
29,1.716,
30,1.784,
31,1.847,
32,1.915,
33,1.984,
34,2.047,
35,2.116,
36,2.183,
37,2.248,
38,2.316,
39,2.384,
40,2.447,
41,2.515,
42,2.583,
43,2.648,
44,2.715,
45,2.783,
46,2.848,
47,2.915,
48,2.980,
49,3.048,
50,3.116,
51,3.179,
52,3.248,
53,3.316,
54,3.380,
55,3.448,
56,3.516,
57,3.580,
58,3.648,
59,3.715,
60,3.779,
61,3.848,
62,3.912,
63,3.980,
64,4.048,
65,4.112,
66,4.180,
67,4.248,
68,4.311,
69,4.379,
70,4.448,
71,4.512,
72,4.580,
73,4.647,
74,4.711,
75,4.780,
76,4.848,
77,4.912,
78,4.980,
79,5.044,
80,5.112,
81,5.180,
82,5.244,
83,5.312,
84,5.381,
85,5.444,
86,5.512,
87,5.580,
88,5.644,
89,5.712,
90,5.780,
91,5.844,
92,5.912,
93,5.980,
94,6.044,
95,6.112,
96,6.176,
97,6.244,
98,6.312,
99,6.376,
100,6.444,
101,6.512,
102,6.576,
103,6.645,
104,6.712,
105,6.776,
106,6.844,
107,6.912,
108,6.976,
109,7.044,
110,7.108,
111,7.176,
112,7.244,
113,7.308,
114,7.376,
115,7.444,
116,7.508,
117,7.577,
118,7.644,
119,7.708,
120,7.776,
121,7.845,
122,7.908,
123,7.976,
124,8.044,
125,8.108,
126,8.177,
127,8.240,
128,8.308,
129,8.376,
130,8.441,
131,8.508,
132,8.576,
133,8.640,
134,8.708,
135,8.777,
136,8.840,
137,8.908,
138,8.976,
139,9.040,
140,9.108,
141,9.177,
142,9.240,
143,9.308,
144,9.373,
145,9.440,
146,9.508,
147,9.572,
148,9.640,
149,9.709,
150,9.772,
151,9.840,
152,9.908,
153,9.972,
154,10.041,
155,10.109,
156,10.172,
157,10.240,
158,10.305,
159,10.372,
160,10.440,
161,10.504,
162,10.572,
163,10.640,
164,10.704,
165,10.772,
166,10.840,
167,10.905,
168,10.972,
169,11.041,
170,11.104,
171,11.173,
172,11.241,
173,11.305,
174,11.372,
175,11.436,
176,11.505,
177,11.573,
178,11.636,
179,11.704,
180,11.772,
181,11.836,
182,11.904,
183,11.972,
184,12.036,
185,12.105,
186,12.173,
187,12.236,
188,12.305,
189,12.373,
190,12.437,
191,12.505,
192,12.569,
193,12.636,
194,12.705,
195,12.769,
196,12.837,
197,12.904,
198,12.968,
199,13.036,
200,13.104,
201,13.168,
202,13.236,
203,13.304,
204,13.368,
205,13.436,
206,13.500,
207,13.568,
208,13.636,
209,13.701,
210,13.768,
211,13.836,
212,13.900,
213,13.968,
214,14.037,
215,14.100,
216,14.168,
217,14.236,
218,14.300,
219,14.368,
220,14.437,
221,14.500,
222,14.568,
223,14.633,
224,14.701,
225,14.768,
226,14.833,
227,14.901,
228,14.968,
229,15.033,
230,15.100,
231,15.169,
232,15.233,
233,15.300,
234,15.369,
235,15.432,
236,15.501,
237,15.569,
238,15.633,
239,15.700,
240,15.765,
241,15.833,
242,15.900,
243,15.964,
244,16.033,
245,16.101,
246,16.164,
247,16.232,
248,16.300,
249,16.365,
250,16.433,
251,16.501,
252,16.564,
253,16.632,
254,16.697,
255,16.764,
256,16.832,
257,16.897,
258,16.965,
259,17.033,
260,17.097,
261,17.164,
262,17.233,
263,17.297,
264,17.365,
265,17.432,
266,17.497,
267,17.565,
268,17.633,
269,17.696,
270,17.765,
271,17.828,
272,17.897,
273,17.965,
274,18.029,
275,18.097,
276,18.165,
277,18.229,
278,18.298,
279,18.365,
280,18.428,
281,18.497,
282,18.565,
283,18.629,
284,18.697,
285,18.765,
286,18.829,
287,18.897,
288,18.961,
289,19.029,
290,19.097,
291,19.161,
292,19.229,
293,19.297,
294,19.361,
295,19.429,
296,19.497,
297,19.561,
298,19.629,
299,19.696,
300,19.761,
301,19.830,
302,19.893,
303,19.961,
304,20.029,
305,20.093,
306,20.161,
307,20.229,
308,20.293,
309,20.361,
310,20.429,
311,20.493,
312,20.561,
313,20.629,
314,20.693,
315,20.761,
316,20.829,
317,20.893,
318,20.961,
319,21.026,
320,21.093,
321,21.161,
322,21.225,
323,21.293,
324,21.362,
325,21.425,
326,21.493,
327,21.561,
328,21.626,
329,21.693,
330,21.761,
331,21.825,
332,21.893,
333,21.958,
334,22.025,
335,22.093,
336,22.158,
337,22.225,
338,22.294,
339,22.357,
340,22.425,
341,22.493,
342,22.557,
343,22.625,
344,22.693,
345,22.757,
346,22.825,
347,22.893,
348,22.957,
349,23.025,
350,23.090,
351,23.157,
352,23.226,
353,23.289,
354,23.357,
355,23.425,
356,23.490,
357,23.557,
358,23.625,
359,23.689,
360,23.758,
361,23.825,
362,23.889,
363,23.957,
364,24.025,
365,24.089,
366,24.157,
367,24.221,
368,24.290,
369,24.358,
370,24.421,
371,24.489,
372,24.557,
373,24.622,
374,24.690,
375,24.758,
376,24.821,
377,24.889,
378,24.957,
379,25.021,
380,25.089,
381,25.153,
382,25.222,
383,25.289,
384,25.353,
385,25.421,
386,25.489,
387,25.553,
388,25.622,
389,25.689,
390,25.753,
391,25.822,
392,25.890,
