time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16837.0,16925.0,14320.0,17912.0,17798.0,16768.0,16630.0,20096.0,20256.0,18983.0,20092.0,19471.0,17887.0,19622.0,
0.059,16905.0,16918.0,14328.0,17905.0,17752.0,16737.0,16630.0,20118.0,20233.0,18991.0,20077.0,19464.0,17879.0,19615.0,
0.109,16829.0,16955.0,14335.0,17889.0,17775.0,16730.0,16623.0,20081.0,20233.0,18999.0,20115.0,19471.0,17887.0,19622.0,
0.159,16844.0,16947.0,14312.0,17905.0,17760.0,16753.0,16638.0,20074.0,20210.0,18960.0,20123.0,19464.0,17864.0,19622.0,
0.210,16829.0,16903.0,14320.0,17889.0,17767.0,16730.0,16646.0,20088.0,20210.0,18952.0,20054.0,19464.0,17902.0,19608.0,
0.260,16912.0,16940.0,14320.0,17882.0,17760.0,16760.0,16600.0,20104.0,20225.0,18937.0,20107.0,19479.0,17879.0,19615.0,
0.310,16867.0,16933.0,14358.0,17843.0,17798.0,16753.0,16631.0,20163.0,20225.0,18945.0,20131.0,19426.0,17887.0,19615.0,
0.360,16859.0,16955.0,14328.0,17859.0,17775.0,16730.0,16638.0,20163.0,20233.0,19029.0,20092.0,19449.0,17872.0,19607.0,
0.410,16852.0,16962.0,14335.0,17882.0,17783.0,16737.0,16623.0,20118.0,20202.0,19006.0,20131.0,19449.0,17879.0,19607.0,
0.460,16814.0,16948.0,14320.0,17882.0,17745.0,16745.0,16623.0,20088.0,20248.0,18991.0,20123.0,19419.0,17872.0,19615.0,
0.510,16874.0,16933.0,14358.0,17882.0,17737.0,16745.0,16623.0,20066.0,20194.0,18998.0,20069.0,19456.0,17894.0,19622.0,
0.560,16867.0,16925.0,14328.0,17928.0,17767.0,16768.0,16631.0,20163.0,20225.0,18945.0,20077.0,19449.0,17887.0,19607.0,
0.611,16882.0,16918.0,14320.0,17874.0,17760.0,16753.0,16630.0,20155.0,20248.0,18937.0,20061.0,19471.0,17894.0,19622.0,
0.662,16829.0,16933.0,14320.0,17874.0,17752.0,16737.0,16630.0,20133.0,20217.0,18968.0,20069.0,19441.0,17902.0,19615.0,
