time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16837.0,16918.0,14274.0,17836.0,17729.0,16804.0,16585.0,20147.0,20354.0,18975.0,20115.0,19456.0,17835.0,19598.0,
0.059,16807.0,16933.0,14290.0,17828.0,17752.0,16827.0,16570.0,20147.0,20362.0,18937.0,20099.0,19411.0,17850.0,19590.0,
0.110,16799.0,16948.0,14305.0,17813.0,17736.0,16789.0,16585.0,20110.0,20346.0,18922.0,20099.0,19397.0,17842.0,19576.0,
0.160,16829.0,16962.0,14320.0,17874.0,17737.0,16789.0,16585.0,20140.0,20316.0,18960.0,20084.0,19396.0,17835.0,19605.0,
0.210,16829.0,16925.0,14297.0,17843.0,17713.0,16789.0,16578.0,20132.0,20293.0,18937.0,20023.0,19404.0,17842.0,19590.0,
0.260,16799.0,16948.0,14290.0,17843.0,17751.0,16782.0,16578.0,20125.0,20293.0,18991.0,20076.0,19404.0,17857.0,19605.0,
0.310,16807.0,16933.0,14282.0,17897.0,17706.0,16781.0,16570.0,20170.0,20293.0,18952.0,20038.0,19456.0,17850.0,19583.0,
0.361,16807.0,16888.0,14320.0,17843.0,17713.0,16865.0,16585.0,20147.0,20300.0,18952.0,20046.0,19404.0,17872.0,19598.0,
0.411,16807.0,16910.0,14282.0,17828.0,17759.0,16789.0,16600.0,20132.0,20300.0,18929.0,20061.0,19382.0,17865.0,19576.0,
0.461,16829.0,16933.0,14297.0,17851.0,17744.0,16804.0,16600.0,20110.0,20292.0,18914.0,20084.0,19441.0,17842.0,19598.0,
0.512,16807.0,16925.0,14290.0,17851.0,17759.0,16858.0,16578.0,20117.0,20300.0,18937.0,20038.0,19404.0,17842.0,19598.0,
0.562,16875.0,16940.0,14297.0,17836.0,17729.0,16774.0,16570.0,20192.0,20338.0,18952.0,20084.0,19411.0,17857.0,19605.0,
0.612,16814.0,16925.0,14259.0,17828.0,17729.0,16774.0,16562.0,20229.0,20308.0,18914.0,20069.0,19397.0,17842.0,19583.0,
0.663,16807.0,16925.0,14297.0,17851.0,17736.0,16835.0,16593.0,20214.0,20293.0,18906.0,20046.0,19441.0,17850.0,19605.0,
