frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.220,
5,0.270,
6,0.321,
7,0.371,
8,0.421,
9,0.471,
10,0.522,
11,0.572,
12,0.622,
13,0.672,
14,0.722,
15,0.773,
16,0.829,
17,0.895,
18,0.962,
19,1.028,
20,1.095,
21,1.161,
22,1.228,
23,1.295,
24,1.362,
25,1.428,
26,1.495,
27,1.561,
28,1.628,
29,1.694,
30,1.761,
31,1.827,
32,1.894,
33,1.961,
34,2.027,
35,2.094,
36,2.160,
37,2.227,
38,2.294,
39,2.360,
40,2.427,
41,2.494,
42,2.560,
43,2.627,
44,2.693,
45,2.760,
46,2.826,
47,2.893,
48,2.960,
49,3.026,
50,3.093,
51,3.160,
52,3.226,
53,3.293,
54,3.359,
55,3.426,
56,3.492,
57,3.559,
58,3.626,
59,3.692,
60,3.759,
61,3.826,
62,3.892,
63,3.959,
64,4.025,
65,4.092,
66,4.158,
67,4.225,
68,4.291,
69,4.358,
70,4.425,
71,4.491,
72,4.558,
73,4.625,
74,4.691,
75,4.758,
76,4.824,
77,4.891,
78,4.957,
79,5.024,
80,5.091,
81,5.157,
82,5.224,
83,5.291,
84,5.357,
85,5.424,
86,5.490,
87,5.557,
88,5.624,
89,5.690,
90,5.757,
91,5.824,
92,5.890,
93,5.957,
94,6.023,
95,6.090,
96,6.156,
97,6.223,
98,6.290,
99,6.356,
100,6.423,
101,6.490,
102,6.556,
103,6.623,
104,6.689,
105,6.756,
106,6.822,
107,6.889,
108,6.956,
109,7.022,
110,7.089,
111,7.155,
112,7.222,
113,7.288,
114,7.355,
115,7.422,
116,7.488,
117,7.555,
118,7.621,
119,7.688,
120,7.755,
121,7.822,
122,7.888,
123,7.954,
124,8.021,
125,8.088,
126,8.154,
127,8.221,
128,8.287,
129,8.354,
130,8.421,
131,8.487,
132,8.554,
133,8.621,
134,8.687,
135,8.754,
136,8.820,
137,8.887,
138,8.954,
139,9.020,
140,9.087,
141,9.154,
142,9.220,
143,9.287,
144,9.353,
145,9.420,
146,9.486,
147,9.553,
148,9.619,
149,9.686,
150,9.753,
151,9.819,
152,9.886,
153,9.952,
154,10.019,
155,10.086,
156,10.152,
157,10.219,
158,10.285,
159,10.352,
160,10.419,
161,10.485,
162,10.552,
163,10.618,
164,10.685,
165,10.751,
166,10.818,
167,10.885,
168,10.951,
169,11.018,
170,11.085,
171,11.151,
172,11.218,
173,11.284,
174,11.351,
175,11.417,
176,11.484,
177,11.551,
178,11.617,
179,11.684,
180,11.751,
181,11.818,
182,11.884,
183,11.950,
184,12.017,
185,12.084,
186,12.150,
187,12.217,
188,12.283,
189,12.350,
190,12.417,
191,12.483,
192,12.550,
193,12.616,
194,12.683,
195,12.750,
196,12.816,
197,12.883,
198,12.949,
199,13.016,
200,13.082,
201,13.149,
202,13.216,
203,13.282,
204,13.349,
205,13.415,
206,13.482,
207,13.549,
208,13.616,
209,13.682,
210,13.748,
211,13.815,
212,13.881,
213,13.948,
214,14.015,
215,14.081,
216,14.148,
217,14.215,
218,14.281,
219,14.348,
220,14.414,
221,14.481,
222,14.548,
223,14.614,
224,14.681,
225,14.747,
226,14.814,
227,14.880,
228,14.947,
229,15.014,
230,15.080,
231,15.147,
232,15.213,
233,15.280,
234,15.347,
235,15.413,
236,15.480,
237,15.546,
238,15.613,
239,15.680,
240,15.746,
241,15.813,
242,15.879,
243,15.946,
244,16.013,
245,16.079,
246,16.145,
247,16.212,
248,16.279,
249,16.346,
250,16.412,
251,16.479,
252,16.546,
253,16.612,
254,16.678,
255,16.745,
256,16.812,
257,16.878,
258,16.945,
259,17.012,
260,17.078,
261,17.145,
262,17.212,
263,17.278,
264,17.345,
265,17.411,
266,17.478,
267,17.545,
268,17.611,
269,17.678,
270,17.744,
271,17.811,
272,17.878,
273,17.944,
274,18.011,
275,18.077,
276,18.144,
277,18.210,
278,18.277,
279,18.344,
280,18.410,
281,18.477,
282,18.544,
283,18.610,
284,18.677,
285,18.743,
286,18.810,
287,18.876,
288,18.943,
289,19.010,
290,19.076,
291,19.143,
292,19.209,
293,19.276,
294,19.342,
295,19.409,
296,19.476,
297,19.542,
298,19.609,
299,19.675,
300,19.742,
301,19.809,
302,19.875,
303,19.942,
304,20.009,
305,20.075,
306,20.141,
307,20.208,
308,20.275,
309,20.341,
310,20.408,
311,20.474,
312,20.541,
313,20.608,
314,20.675,
315,20.741,
316,20.808,
317,20.874,
318,20.941,
319,21.007,
320,21.074,
321,21.140,
322,21.207,
323,21.274,
324,21.341,
325,21.407,
326,21.474,
327,21.540,
328,21.607,
329,21.673,
330,21.740,
331,21.806,
332,21.873,
333,21.940,
334,22.006,
335,22.073,
336,22.140,
337,22.206,
338,22.273,
339,22.339,
340,22.406,
341,22.473,
342,22.540,
343,22.606,
344,22.672,
345,22.739,
346,22.806,
347,22.872,
348,22.939,
349,23.006,
350,23.072,
351,23.138,
352,23.205,
353,23.272,
354,23.338,
355,23.405,
356,23.472,
357,23.538,
358,23.605,
359,23.672,
360,23.738,
361,23.804,
362,23.872,
363,23.938,
364,24.004,
365,24.071,
366,24.138,
367,24.204,
368,24.271,
369,24.337,
370,24.404,
371,24.470,
372,24.537,
373,24.604,
374,24.670,
375,24.737,
376,24.803,
377,24.870,
378,24.937,
379,25.003,
380,25.070,
381,25.136,
382,25.203,
383,25.270,
384,25.336,
385,25.403,
386,25.469,
387,25.536,
388,25.602,
389,25.669,
390,25.736,
391,25.802,
392,25.869,
393,25.936,
394,26.002,
395,26.069,
396,26.135,
397,26.202,
398,26.268,
399,26.335,
400,26.402,
401,26.468,
402,26.535,
403,26.602,
404,26.668,
405,26.735,
406,26.801,
407,26.868,
408,26.935,
409,27.001,
410,27.068,
411,27.135,
412,27.201,
413,27.267,
414,27.334,
415,27.401,
416,27.467,
417,27.534,
418,27.601,
419,27.667,
420,27.734,
421,27.801,
422,27.867,
423,27.933,
424,28.000,
425,28.067,
426,28.133,
427,28.200,
428,28.266,
429,28.333,
430,28.400,
431,28.467,
432,28.533,
433,28.599,
434,28.666,
435,28.733,
436,28.799,
437,28.866,
438,28.932,
439,28.999,
440,29.066,
441,29.132,
442,29.199,
443,29.265,
444,29.332,
445,29.399,
446,29.465,
447,29.532,
448,29.598,
449,29.665,
450,29.731,
451,29.798,
452,29.865,
453,29.931,
454,29.998,
