time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16874.0,16925.0,14282.0,17821.0,17737.0,16767.0,16516.0,20133.0,20247.0,18982.0,20083.0,19426.0,17842.0,19576.0,
0.058,16889.0,16896.0,14259.0,17805.0,17759.0,16751.0,16517.0,20073.0,20278.0,18990.0,20106.0,19419.0,17887.0,19547.0,
0.109,16889.0,16918.0,14259.0,17821.0,17729.0,16759.0,16509.0,20073.0,20255.0,18967.0,20160.0,19389.0,17835.0,19576.0,
0.159,16920.0,16910.0,14290.0,17813.0,17729.0,16759.0,16509.0,20050.0,20278.0,18998.0,20122.0,19419.0,17827.0,19591.0,
0.209,16867.0,16940.0,14297.0,17851.0,17737.0,16751.0,16501.0,20140.0,20247.0,18983.0,20083.0,19419.0,17872.0,19576.0,
0.260,16882.0,16873.0,14282.0,17798.0,17729.0,16774.0,16517.0,20088.0,20224.0,18959.0,20099.0,19404.0,17850.0,19569.0,
0.310,16920.0,16948.0,14297.0,17836.0,17721.0,16736.0,16501.0,20058.0,20239.0,18990.0,20145.0,19381.0,17835.0,19569.0,
0.360,16874.0,16940.0,14259.0,17828.0,17737.0,16744.0,16494.0,20043.0,20255.0,19013.0,20107.0,19434.0,17827.0,19569.0,
0.410,16882.0,16910.0,14267.0,17798.0,17706.0,16805.0,16509.0,20133.0,20270.0,18998.0,20106.0,19411.0,17835.0,19576.0,
0.461,16897.0,16955.0,14236.0,17859.0,17721.0,16759.0,16509.0,20058.0,20239.0,18998.0,20168.0,19374.0,17850.0,19569.0,
0.511,16897.0,16903.0,14290.0,17844.0,17736.0,16736.0,16501.0,20081.0,20232.0,18990.0,20137.0,19374.0,17842.0,19576.0,
0.562,16897.0,16903.0,14259.0,17790.0,17698.0,16729.0,16501.0,20080.0,20262.0,18998.0,20099.0,19404.0,17827.0,19576.0,
0.613,16904.0,16940.0,14259.0,17821.0,17729.0,16759.0,16524.0,20073.0,20247.0,19028.0,20137.0,19404.0,17842.0,19554.0,
0.663,16912.0,16873.0,14267.0,17798.0,17683.0,16736.0,16524.0,20073.0,20247.0,19028.0,20145.0,19411.0,17835.0,19584.0,
0.714,16897.0,16910.0,14274.0,17844.0,17736.0,16797.0,16532.0,20058.0,20262.0,18990.0,20106.0,19441.0,17835.0,19569.0,
0.764,16957.0,16896.0,14305.0,17866.0,17729.0,16744.0,16524.0,20080.0,20239.0,19059.0,20122.0,19396.0,17820.0,19561.0,
0.814,16882.0,16933.0,14229.0,17821.0,17721.0,16736.0,16517.0,20043.0,20301.0,19029.0,20160.0,19411.0,17827.0,19584.0,
0.865,16904.0,16888.0,14267.0,17782.0,17729.0,16759.0,16516.0,20095.0,20232.0,18967.0,20122.0,19419.0,17879.0,19569.0,
0.915,16867.0,16888.0,14274.0,17859.0,17736.0,16790.0,16509.0,20125.0,20239.0,18982.0,20099.0,19419.0,17850.0,19561.0,
0.965,16897.0,16918.0,14267.0,17798.0,17714.0,16774.0,16517.0,20110.0,20239.0,19021.0,20137.0,19404.0,17842.0,19569.0,
1.015,16882.0,16918.0,14244.0,17790.0,17714.0,16751.0,16509.0,20066.0,20255.0,19028.0,20122.0,19449.0,17842.0,19561.0,
1.065,16897.0,16888.0,14259.0,17798.0,17790.0,16759.0,16509.0,20051.0,20255.0,18990.0,20130.0,19441.0,17850.0,19583.0,
1.115,16972.0,16918.0,14274.0,17798.0,17729.0,16751.0,16509.0,20065.0,20262.0,18990.0,20106.0,19411.0,17827.0,19561.0,
1.166,16965.0,16940.0,14290.0,17813.0,17706.0,16729.0,16494.0,20118.0,20301.0,18975.0,20137.0,19411.0,17842.0,19584.0,
1.216,16912.0,16896.0,14267.0,17798.0,17706.0,16812.0,16517.0,20066.0,20239.0,18990.0,20122.0,19396.0,17850.0,19576.0,
1.266,16927.0,16895.0,14244.0,17866.0,17699.0,16744.0,16509.0,20073.0,20255.0,18975.0,20130.0,19396.0,17842.0,19562.0,
1.316,16920.0,16881.0,14259.0,17805.0,17706.0,16782.0,16509.0,20103.0,20270.0,19021.0,20122.0,19426.0,17879.0,19569.0,
1.366,16904.0,16903.0,14251.0,17844.0,17775.0,16752.0,16516.0,20080.0,20247.0,18990.0,20130.0,19396.0,17879.0,19576.0,
1.416,16889.0,16925.0,14251.0,17805.0,17744.0,16736.0,16501.0,20110.0,20239.0,18998.0,20129.0,19441.0,17835.0,19569.0,
1.467,16897.0,16888.0,14267.0,17851.0,17729.0,16813.0,16509.0,20133.0,20232.0,19067.0,20137.0,19404.0,17842.0,19576.0,
