frame_num,time_s,
0,0.028,
1,0.078,
2,0.128,
3,0.178,
4,0.228,
5,0.279,
6,0.329,
7,0.379,
8,0.429,
9,0.479,
10,0.529,
11,0.580,
12,0.630,
13,0.680,
14,0.730,
15,0.780,
16,0.841,
17,0.910,
18,0.977,
19,1.041,
20,1.109,
21,1.177,
22,1.241,
23,1.309,
24,1.373,
25,1.441,
26,1.509,
27,1.573,
28,1.641,
29,1.709,
30,1.773,
31,1.841,
32,1.909,
33,1.973,
34,2.041,
35,2.109,
36,2.173,
37,2.241,
38,2.309,
39,2.374,
40,2.441,
41,2.505,
42,2.573,
43,2.641,
44,2.705,
45,2.773,
46,2.841,
47,2.905,
48,2.973,
49,3.041,
50,3.105,
51,3.173,
52,3.241,
53,3.306,
54,3.374,
55,3.437,
56,3.505,
57,3.573,
58,3.637,
59,3.705,
60,3.773,
61,3.837,
62,3.905,
63,3.973,
64,4.037,
65,4.105,
66,4.173,
67,4.237,
68,4.306,
69,4.373,
70,4.437,
71,4.505,
72,4.570,
73,4.637,
74,4.705,
75,4.769,
76,4.837,
77,4.905,
78,4.969,
79,5.037,
80,5.105,
81,5.169,
82,5.237,
83,5.305,
84,5.369,
85,5.437,
86,5.506,
87,5.570,
88,5.637,
89,5.701,
90,5.769,
91,5.837,
92,5.901,
93,5.969,
94,6.037,
95,6.101,
96,6.169,
97,6.237,
98,6.301,
99,6.369,
100,6.438,
101,6.501,
102,6.569,
103,6.633,
104,6.702,
105,6.769,
106,6.834,
107,6.901,
108,6.969,
109,7.034,
110,7.101,
111,7.169,
112,7.233,
113,7.301,
114,7.370,
115,7.433,
116,7.501,
117,7.570,
118,7.633,
119,7.702,
120,7.766,
121,7.833,
122,7.901,
123,7.965,
124,8.034,
125,8.101,
126,8.165,
127,8.233,
128,8.302,
129,8.366,
130,8.433,
131,8.501,
132,8.566,
133,8.634,
134,8.702,
135,8.765,
136,8.833,
137,8.898,
138,8.965,
139,9.033,
140,9.097,
141,9.165,
142,9.233,
143,9.298,
144,9.365,
145,9.433,
146,9.498,
147,9.566,
148,9.634,
149,9.697,
150,9.765,
151,9.829,
152,9.897,
153,9.965,
154,10.029,
155,10.097,
156,10.165,
157,10.231,
158,10.297,
159,10.365,
160,10.430,
161,10.498,
162,10.566,
163,10.629,
164,10.697,
165,10.766,
166,10.830,
167,10.897,
168,10.961,
169,11.030,
170,11.097,
171,11.161,
172,11.229,
173,11.297,
174,11.362,
175,11.430,
176,11.498,
177,11.561,
178,11.629,
179,11.698,
180,11.761,
181,11.829,
182,11.897,
183,11.963,
184,12.030,
185,12.094,
186,12.161,
187,12.229,
188,12.293,
189,12.362,
190,12.429,
191,12.494,
192,12.561,
193,12.630,
194,12.693,
195,12.761,
196,12.829,
197,12.894,
198,12.962,
199,13.025,
200,13.093,
201,13.161,
202,13.225,
203,13.294,
204,13.361,
205,13.425,
206,13.494,
207,13.561,
208,13.625,
209,13.693,
210,13.761,
211,13.825,
212,13.894,
213,13.961,
214,14.026,
215,14.093,
216,14.157,
217,14.226,
218,14.293,
219,14.357,
220,14.426,
221,14.493,
222,14.557,
223,14.625,
224,14.693,
225,14.758,
226,14.825,
227,14.893,
228,14.958,
229,15.025,
230,15.094,
231,15.157,
232,15.225,
233,15.289,
234,15.358,
