frame_num,time_s,
0,0.026,
1,0.077,
2,0.127,
3,0.178,
4,0.228,
5,0.279,
6,0.329,
7,0.379,
8,0.429,
9,0.480,
10,0.530,
11,0.580,
12,0.630,
13,0.680,
14,0.730,
15,0.780,
16,0.835,
17,0.898,
18,0.966,
19,1.034,
20,1.098,
21,1.166,
22,1.234,
23,1.298,
24,1.367,
25,1.435,
26,1.498,
27,1.566,
28,1.635,
29,1.699,
30,1.767,
31,1.830,
32,1.898,
33,1.966,
34,2.031,
35,2.098,
36,2.167,
37,2.231,
38,2.299,
39,2.366,
40,2.430,
41,2.498,
42,2.567,
43,2.630,
44,2.699,
45,2.762,
46,2.831,
47,2.899,
48,2.963,
49,3.031,
50,3.098,
51,3.163,
52,3.232,
53,3.299,
54,3.362,
55,3.430,
56,3.499,
57,3.563,
58,3.630,
59,3.698,
60,3.763,
61,3.830,
62,3.895,
63,3.963,
64,4.030,
65,4.094,
66,4.163,
67,4.231,
68,4.295,
69,4.362,
70,4.431,
71,4.494,
72,4.563,
73,4.631,
74,4.695,
75,4.763,
76,4.831,
77,4.895,
78,4.962,
79,5.031,
80,5.095,
81,5.162,
82,5.226,
83,5.294,
84,5.362,
85,5.426,
86,5.495,
87,5.562,
88,5.627,
89,5.695,
90,5.762,
91,5.827,
92,5.894,
93,5.959,
94,6.027,
95,6.095,
96,6.158,
97,6.226,
98,6.295,
99,6.359,
100,6.427,
101,6.494,
102,6.558,
103,6.627,
104,6.694,
105,6.759,
106,6.827,
107,6.895,
108,6.959,
109,7.027,
110,7.091,
111,7.158,
112,7.227,
113,7.290,
114,7.359,
115,7.427,
116,7.491,
117,7.559,
118,7.627,
119,7.691,
120,7.758,
121,7.827,
122,7.891,
123,7.959,
124,8.027,
125,8.090,
126,8.159,
127,8.223,
128,8.291,
129,8.358,
130,8.423,
131,8.491,
132,8.558,
133,8.623,
134,8.690,
135,8.759,
136,8.823,
137,8.891,
138,8.959,
139,9.022,
140,9.091,
141,9.155,
142,9.223,
143,9.290,
144,9.355,
145,9.424,
146,9.491,
147,9.555,
148,9.622,
149,9.691,
150,9.755,
151,9.823,
152,9.890,
153,9.955,
154,10.023,
155,10.090,
156,10.154,
157,10.222,
158,10.287,
159,10.355,
160,10.423,
161,10.486,
162,10.554,
163,10.622,
164,10.687,
165,10.755,
166,10.823,
167,10.887,
168,10.955,
169,11.023,
170,11.086,
171,11.154,
172,11.223,
173,11.287,
174,11.355,
175,11.418,
176,11.486,
177,11.554,
178,11.618,
179,11.687,
180,11.754,
181,11.819,
182,11.887,
183,11.954,
184,12.019,
185,12.086,
186,12.155,
187,12.219,
188,12.287,
189,12.350,
190,12.418,
191,12.487,
192,12.551,
193,12.618,
194,12.687,
195,12.751,
196,12.819,
197,12.887,
198,12.950,
199,13.018,
200,13.087,
201,13.151,
202,13.219,
203,13.286,
204,13.351,
205,13.419,
206,13.483,
207,13.551,
208,13.618,
209,13.683,
210,13.750,
211,13.819,
212,13.882,
213,13.950,
214,14.019,
215,14.083,
216,14.151,
217,14.218,
218,14.283,
219,14.351,
220,14.418,
221,14.482,
222,14.550,
223,14.615,
224,14.682,
225,14.751,
226,14.814,
227,14.882,
228,14.951,
229,15.015,
230,15.082,
231,15.150,
232,15.215,
233,15.283,
234,15.351,
235,15.415,
236,15.482,
237,15.546,
238,15.615,
239,15.683,
240,15.746,
241,15.814,
242,15.884,
243,15.947,
244,16.015,
245,16.082,
246,16.147,
247,16.215,
248,16.283,
249,16.347,
250,16.414,
251,16.483,
252,16.547,
253,16.615,
254,16.679,
255,16.746,
256,16.815,
257,16.879,
258,16.946,
259,17.014,
260,17.079,
261,17.147,
262,17.215,
