time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16792.0,16940.0,14259.0,17828.0,17736.0,16774.0,16600.0,20139.0,20316.0,18952.0,20069.0,19449.0,17850.0,19575.0,
0.059,16792.0,16933.0,14274.0,17851.0,17759.0,16804.0,16585.0,20132.0,20292.0,18975.0,20138.0,19456.0,17835.0,19583.0,
0.109,16822.0,16933.0,14251.0,17851.0,17744.0,16774.0,16578.0,20109.0,20292.0,18906.0,20115.0,19426.0,17835.0,19605.0,
0.159,16852.0,16948.0,14290.0,17820.0,17744.0,16789.0,16585.0,20117.0,20285.0,18929.0,20023.0,19396.0,17850.0,19598.0,
0.209,16829.0,16918.0,14259.0,17813.0,17774.0,16797.0,16585.0,20102.0,20346.0,18968.0,20038.0,19396.0,17850.0,19598.0,
0.259,16829.0,16940.0,14267.0,17851.0,17744.0,16797.0,16585.0,20102.0,20323.0,18937.0,20061.0,19449.0,17909.0,19583.0,
0.310,16807.0,16925.0,14297.0,17874.0,17744.0,16789.0,16593.0,20094.0,20323.0,18952.0,20053.0,19479.0,17842.0,19583.0,
0.360,16814.0,16940.0,14305.0,17882.0,17744.0,16812.0,16593.0,20117.0,20315.0,18914.0,20046.0,19404.0,17894.0,19590.0,
0.410,16860.0,16903.0,14252.0,17820.0,17752.0,16774.0,16585.0,20139.0,20269.0,18883.0,20069.0,19434.0,17857.0,19583.0,
0.460,16844.0,16948.0,14290.0,17828.0,17759.0,16789.0,16608.0,20102.0,20323.0,18968.0,20084.0,19404.0,17850.0,19598.0,
0.510,16799.0,16933.0,14282.0,17813.0,17759.0,16789.0,16593.0,20125.0,20308.0,18968.0,20053.0,19479.0,17827.0,19568.0,
0.560,16799.0,16918.0,14259.0,17874.0,17736.0,16774.0,16585.0,20102.0,20292.0,18914.0,20053.0,19441.0,17865.0,19598.0,
0.611,16875.0,16933.0,14267.0,17813.0,17751.0,16781.0,16593.0,20102.0,20308.0,18914.0,20030.0,19419.0,17842.0,19583.0,
0.661,16837.0,16955.0,14290.0,17866.0,17736.0,16850.0,16600.0,20117.0,20262.0,18921.0,20053.0,19404.0,17872.0,19598.0,
0.712,16844.0,16940.0,14274.0,17828.0,17736.0,16812.0,16585.0,20117.0,20292.0,18922.0,20038.0,19419.0,17835.0,19605.0,
0.762,16829.0,16940.0,14290.0,17828.0,17744.0,16789.0,16585.0,20162.0,20285.0,18929.0,20030.0,19389.0,17865.0,19598.0,
0.813,16784.0,16940.0,14328.0,17859.0,17729.0,16797.0,16593.0,20192.0,20269.0,18929.0,20053.0,19434.0,17850.0,19583.0,
0.863,16845.0,16888.0,14312.0,17843.0,17759.0,16759.0,16593.0,20110.0,20292.0,18937.0,20100.0,19411.0,17887.0,19561.0,
0.913,16807.0,16940.0,14251.0,17897.0,17736.0,16781.0,16578.0,20109.0,20269.0,18945.0,20061.0,19389.0,17850.0,19583.0,
0.965,16814.0,16940.0,14267.0,17836.0,17736.0,16781.0,16570.0,20154.0,20331.0,18921.0,20115.0,19434.0,17879.0,19583.0,
1.015,16822.0,16918.0,14259.0,17813.0,17736.0,16781.0,16600.0,20087.0,20292.0,18929.0,20123.0,19411.0,17850.0,19590.0,
1.065,16829.0,16955.0,14282.0,17897.0,17744.0,16782.0,16570.0,20102.0,20285.0,18991.0,20107.0,19464.0,17879.0,19598.0,
1.115,16837.0,16918.0,14305.0,17828.0,17736.0,16835.0,16585.0,20117.0,20315.0,18922.0,20046.0,19419.0,17850.0,19583.0,
1.165,16807.0,16933.0,14282.0,17843.0,17729.0,16804.0,16585.0,20110.0,20346.0,18922.0,20053.0,19434.0,17820.0,19605.0,
1.216,16890.0,16955.0,14267.0,17821.0,17744.0,16766.0,16600.0,20102.0,20293.0,18921.0,20100.0,19404.0,17842.0,19583.0,
1.266,16792.0,16903.0,14305.0,17836.0,17751.0,16781.0,16585.0,20147.0,20292.0,18967.0,20038.0,19404.0,17850.0,19575.0,
1.316,16822.0,16962.0,14251.0,17851.0,17729.0,16781.0,16585.0,20109.0,20323.0,18929.0,20046.0,19411.0,17857.0,19598.0,
1.366,16829.0,16925.0,14259.0,17889.0,17751.0,16789.0,16600.0,20110.0,20331.0,18914.0,20061.0,19456.0,17865.0,19583.0,
1.416,16784.0,16955.0,14282.0,17851.0,17774.0,16835.0,16578.0,20161.0,20292.0,18922.0,20030.0,19434.0,17835.0,19583.0,
1.467,16860.0,16925.0,14267.0,17828.0,17744.0,16812.0,16578.0,20102.0,20346.0,18914.0,20092.0,19471.0,17865.0,19583.0,
1.517,16837.0,16903.0,14290.0,17843.0,17797.0,16797.0,16600.0,20095.0,20331.0,18960.0,20084.0,19411.0,17894.0,19583.0,
1.567,16807.0,16948.0,14320.0,17874.0,17744.0,16766.0,16585.0,20139.0,20292.0,18937.0,20046.0,19404.0,17887.0,19590.0,
1.617,16875.0,16925.0,14305.0,17866.0,17744.0,16789.0,16600.0,20102.0,20323.0,18952.0,20077.0,19404.0,17902.0,19590.0,
1.667,16837.0,16948.0,14305.0,17882.0,17736.0,16819.0,16578.0,20109.0,20369.0,18906.0,20069.0,19404.0,17835.0,19590.0,
1.717,16814.0,16918.0,14328.0,17859.0,17751.0,16797.0,16608.0,20109.0,20292.0,18922.0,20092.0,19419.0,17857.0,19598.0,
1.768,16799.0,16925.0,14305.0,17851.0,17714.0,16797.0,16600.0,20162.0,20346.0,18922.0,20053.0,19494.0,17842.0,19605.0,
1.818,16829.0,16940.0,14274.0,17889.0,17759.0,16774.0,16562.0,20147.0,20277.0,18945.0,20061.0,19389.0,17865.0,19583.0,
1.869,16807.0,16925.0,14320.0,17851.0,17721.0,16789.0,16585.0,20147.0,20300.0,18929.0,20038.0,19434.0,17850.0,19590.0,
1.919,16807.0,16940.0,14290.0,17828.0,17721.0,16782.0,16608.0,20110.0,20285.0,18914.0,20061.0,19404.0,17850.0,19583.0,
1.969,16837.0,16933.0,14282.0,17851.0,17736.0,16774.0,16593.0,20147.0,20285.0,18937.0,20046.0,19411.0,17842.0,19590.0,
2.019,16829.0,16910.0,14297.0,17843.0,17759.0,16797.0,16585.0,20072.0,20308.0,18952.0,20069.0,19404.0,17835.0,19590.0,
2.069,16867.0,16918.0,14305.0,17874.0,17782.0,16766.0,16578.0,20110.0,20361.0,18937.0,20092.0,19396.0,17835.0,19598.0,
2.119,16829.0,16933.0,14290.0,17859.0,17759.0,16789.0,16593.0,20109.0,20285.0,18975.0,20069.0,19419.0,17887.0,19583.0,
2.169,16829.0,16940.0,14290.0,17866.0,17759.0,16858.0,16593.0,20169.0,20292.0,18906.0,20023.0,19426.0,17842.0,19590.0,
2.219,16784.0,16925.0,14282.0,17843.0,17744.0,16812.0,16600.0,20109.0,20285.0,18929.0,20061.0,19411.0,17842.0,19598.0,
2.270,16807.0,16933.0,14328.0,17836.0,17721.0,16804.0,16593.0,20125.0,20269.0,18960.0,20053.0,19419.0,17865.0,19598.0,
2.320,16852.0,16948.0,14328.0,17820.0,17759.0,16781.0,16616.0,20110.0,20361.0,18906.0,20099.0,19404.0,17850.0,19583.0,
2.371,16784.0,16918.0,14282.0,17843.0,17744.0,16781.0,16578.0,20169.0,20315.0,18937.0,20038.0,19389.0,17857.0,19598.0,
2.421,16814.0,16948.0,14290.0,17851.0,17751.0,16797.0,16593.0,20102.0,20285.0,18929.0,20061.0,19411.0,17850.0,19590.0,
2.471,16837.0,16873.0,14290.0,17866.0,17774.0,16781.0,16578.0,20124.0,20316.0,18937.0,20046.0,19411.0,17842.0,19590.0,
2.522,16784.0,16888.0,14297.0,17828.0,17767.0,16835.0,16600.0,20080.0,20285.0,18929.0,20053.0,19449.0,17842.0,19590.0,
2.572,16814.0,16933.0,14274.0,17912.0,17782.0,16812.0,16593.0,20140.0,20331.0,18922.0,20053.0,19426.0,17872.0,19598.0,
2.622,16837.0,16933.0,14267.0,17859.0,17767.0,16781.0,16600.0,20199.0,20277.0,18937.0,20069.0,19389.0,17857.0,19575.0,
2.673,16792.0,16903.0,14274.0,17882.0,17713.0,16804.0,16593.0,20110.0,20292.0,18914.0,20069.0,19396.0,17857.0,19575.0,
2.723,16792.0,16910.0,14290.0,17843.0,17744.0,16812.0,16600.0,20125.0,20277.0,18914.0,20138.0,19411.0,17872.0,19598.0,
2.773,16844.0,16925.0,14305.0,17851.0,17751.0,16812.0,16578.0,20147.0,20284.0,18929.0,20030.0,19419.0,17835.0,19590.0,
2.823,16829.0,16910.0,14274.0,17859.0,17759.0,16827.0,16593.0,20095.0,20285.0,18975.0,20069.0,19411.0,17857.0,19598.0,
2.873,16799.0,16925.0,14297.0,17874.0,17714.0,16789.0,16593.0,20147.0,20292.0,18914.0,20061.0,19374.0,17857.0,19598.0,
2.923,16845.0,16933.0,14290.0,17874.0,17736.0,16797.0,16593.0,20162.0,20292.0,18945.0,20061.0,19434.0,17850.0,19590.0,
2.974,16829.0,16933.0,14282.0,17859.0,17744.0,16766.0,16585.0,20132.0,20285.0,18937.0,20092.0,19411.0,17865.0,19598.0,
3.024,16814.0,16940.0,14312.0,17813.0,17736.0,16781.0,16578.0,20154.0,20285.0,18945.0,20038.0,19434.0,17827.0,19613.0,
3.074,16829.0,16910.0,14290.0,17882.0,17782.0,16781.0,16585.0,20155.0,20262.0,18898.0,20038.0,19397.0,17850.0,19591.0,
3.124,16799.0,16948.0,14274.0,17836.0,17751.0,16804.0,16585.0,20132.0,20277.0,18937.0,20061.0,19411.0,17842.0,19583.0,
3.174,16792.0,16910.0,14290.0,17851.0,17744.0,16858.0,16608.0,20162.0,20284.0,18929.0,20076.0,19404.0,17902.0,19598.0,
3.224,16860.0,16933.0,14305.0,17813.0,17744.0,16782.0,16593.0,20102.0,20292.0,18914.0,20038.0,19419.0,17842.0,19590.0,
3.275,16814.0,16888.0,14251.0,17843.0,17729.0,16789.0,16578.0,20207.0,20323.0,18914.0,20107.0,19501.0,17842.0,19575.0,
3.325,16844.0,16911.0,14282.0,17821.0,17789.0,16789.0,16593.0,20117.0,20292.0,18937.0,20053.0,19404.0,17835.0,19583.0,
3.375,16837.0,16962.0,14274.0,17859.0,17751.0,16835.0,16585.0,20102.0,20269.0,18952.0,20061.0,19396.0,17887.0,19605.0,
3.425,16844.0,16933.0,14274.0,17897.0,17751.0,16789.0,16585.0,20117.0,20300.0,18968.0,20046.0,19396.0,17857.0,19598.0,
3.475,16769.0,16925.0,14297.0,17874.0,17729.0,16797.0,16600.0,20132.0,20277.0,18929.0,20053.0,19419.0,17842.0,19576.0,
3.526,16875.0,16918.0,14267.0,17828.0,17744.0,16781.0,16585.0,20184.0,20315.0,18937.0,20100.0,19434.0,17894.0,19598.0,
3.576,16784.0,16918.0,14274.0,17851.0,17752.0,16797.0,16593.0,20102.0,20308.0,18922.0,20076.0,19404.0,17865.0,19612.0,
3.626,16829.0,16940.0,14274.0,17866.0,17736.0,16774.0,16585.0,20124.0,20308.0,18937.0,20061.0,19441.0,17872.0,19590.0,
3.676,16799.0,16910.0,14267.0,17813.0,17744.0,16842.0,16593.0,20102.0,20308.0,18968.0,20038.0,19404.0,17842.0,19590.0,
3.727,16814.0,16940.0,14282.0,17821.0,17751.0,16766.0,16585.0,20095.0,20293.0,18945.0,20123.0,19426.0,17835.0,19598.0,
3.777,16814.0,16903.0,14312.0,17859.0,17714.0,16797.0,16585.0,20147.0,20292.0,18945.0,20061.0,19411.0,17827.0,19613.0,
3.827,16807.0,16918.0,14320.0,17843.0,17713.0,16789.0,16608.0,20139.0,20277.0,18906.0,20061.0,19441.0,17842.0,19583.0,
3.877,16829.0,16903.0,14290.0,17843.0,17789.0,16804.0,16600.0,20169.0,20270.0,18968.0,20061.0,19434.0,17865.0,19583.0,
3.928,16837.0,16918.0,14290.0,17828.0,17767.0,16789.0,16600.0,20192.0,20293.0,18937.0,20061.0,19456.0,17850.0,19605.0,
3.978,16784.0,16918.0,14282.0,17866.0,17736.0,16858.0,16570.0,20177.0,20323.0,18914.0,20053.0,19404.0,17850.0,19590.0,
4.028,16807.0,16903.0,14305.0,17828.0,17751.0,16827.0,16585.0,20184.0,20269.0,18914.0,20115.0,19441.0,17835.0,19583.0,
4.078,16807.0,16881.0,14328.0,17813.0,17759.0,16789.0,16570.0,20154.0,20269.0,18922.0,20030.0,19397.0,17842.0,19590.0,
4.128,16807.0,16925.0,14312.0,17843.0,17736.0,16804.0,16578.0,20169.0,20300.0,18906.0,20069.0,19404.0,17842.0,19576.0,
4.178,16837.0,16918.0,14274.0,17851.0,17744.0,16827.0,16593.0,20162.0,20277.0,18922.0,20038.0,19434.0,17850.0,19576.0,
4.228,16799.0,16918.0,14312.0,17882.0,17729.0,16858.0,16585.0,20177.0,20292.0,18945.0,20069.0,19426.0,17872.0,19590.0,
4.279,16837.0,16918.0,14282.0,17859.0,17729.0,16781.0,16600.0,20125.0,20292.0,18891.0,20046.0,19419.0,17887.0,19568.0,
4.329,16784.0,16873.0,14290.0,17828.0,17729.0,16873.0,16600.0,20155.0,20300.0,18952.0,20046.0,19419.0,17865.0,19598.0,
4.379,16829.0,16940.0,14343.0,17843.0,17714.0,16774.0,16570.0,20169.0,20285.0,18937.0,20030.0,19419.0,17835.0,19590.0,
4.429,16807.0,16910.0,14282.0,17813.0,17736.0,16858.0,16593.0,20154.0,20285.0,18945.0,20092.0,19382.0,17850.0,19598.0,
4.479,16777.0,16918.0,14274.0,17836.0,17744.0,16820.0,16593.0,20102.0,20300.0,18914.0,20046.0,19382.0,17835.0,19598.0,
4.530,16792.0,16933.0,14320.0,17820.0,17752.0,16789.0,16600.0,20184.0,20277.0,18945.0,20061.0,19404.0,17850.0,19591.0,
4.580,16799.0,16940.0,14297.0,17882.0,17751.0,16789.0,16593.0,20102.0,20269.0,18914.0,20053.0,19419.0,17842.0,19605.0,
4.630,16807.0,16895.0,14282.0,17805.0,17736.0,16766.0,16585.0,20117.0,20285.0,18906.0,20061.0,19396.0,17827.0,19590.0,
4.680,16860.0,16888.0,14305.0,17836.0,17759.0,16789.0,16593.0,20147.0,20269.0,18968.0,20046.0,19396.0,17857.0,19583.0,
4.730,16784.0,16910.0,14312.0,17821.0,17729.0,16797.0,16585.0,20139.0,20277.0,18968.0,20030.0,19404.0,17850.0,19605.0,
4.780,16799.0,16955.0,14274.0,17836.0,17736.0,16782.0,16593.0,20139.0,20270.0,18944.0,20084.0,19419.0,17857.0,19583.0,
4.830,16852.0,16933.0,14351.0,17859.0,17736.0,16789.0,16593.0,20162.0,20292.0,18906.0,20030.0,19389.0,17894.0,19590.0,
4.881,16784.0,16910.0,14297.0,17813.0,17759.0,16789.0,16593.0,20117.0,20285.0,18922.0,20076.0,19404.0,17835.0,19576.0,
4.931,16852.0,16940.0,14305.0,17836.0,17744.0,16797.0,16585.0,20094.0,20308.0,18929.0,20038.0,19411.0,17865.0,19598.0,
4.981,16837.0,16881.0,14290.0,17897.0,17751.0,16827.0,16593.0,20125.0,20285.0,18975.0,20061.0,19441.0,17842.0,19575.0,
5.032,16822.0,16925.0,14274.0,17859.0,17736.0,16766.0,16585.0,20132.0,20346.0,18906.0,20046.0,19419.0,17820.0,19583.0,
5.082,16814.0,16962.0,14320.0,17821.0,17744.0,16804.0,16585.0,20117.0,20315.0,18929.0,20061.0,19434.0,17879.0,19598.0,
5.132,16814.0,16873.0,14297.0,17828.0,17759.0,16842.0,16585.0,20117.0,20300.0,18898.0,20107.0,19397.0,17842.0,19590.0,
5.182,16837.0,16933.0,14305.0,17851.0,17751.0,16789.0,16593.0,20125.0,20292.0,18983.0,20046.0,19411.0,17850.0,19590.0,
5.232,16822.0,16910.0,14312.0,17828.0,17759.0,16774.0,16578.0,20184.0,20277.0,18921.0,20092.0,19404.0,17865.0,19590.0,
5.283,16814.0,16903.0,14282.0,17836.0,17767.0,16797.0,16593.0,20154.0,20292.0,18921.0,20061.0,19411.0,17850.0,19568.0,
5.333,16844.0,16911.0,14343.0,17813.0,17744.0,16781.0,16593.0,20109.0,20292.0,18914.0,20053.0,19426.0,17865.0,19583.0,
5.383,16822.0,16918.0,14312.0,17843.0,17751.0,16789.0,16585.0,20139.0,20315.0,18975.0,20069.0,19419.0,17850.0,19590.0,
5.434,16837.0,16918.0,14282.0,17821.0,17744.0,16797.0,16593.0,20110.0,20277.0,18960.0,20046.0,19396.0,17879.0,19590.0,
5.484,16822.0,16888.0,14290.0,17813.0,17736.0,16781.0,16600.0,20117.0,20284.0,18945.0,20076.0,19411.0,17835.0,19590.0,
5.534,16799.0,16881.0,14290.0,17843.0,17759.0,16804.0,16600.0,20147.0,20338.0,18922.0,20053.0,19411.0,17850.0,19583.0,
5.585,16799.0,16888.0,14312.0,17843.0,17751.0,16827.0,16600.0,20184.0,20285.0,18960.0,20053.0,19411.0,17850.0,19613.0,
5.635,16822.0,16933.0,14305.0,17859.0,17774.0,16827.0,16593.0,20132.0,20285.0,18975.0,20076.0,19426.0,17842.0,19583.0,
5.685,16799.0,16911.0,14290.0,17805.0,17744.0,16789.0,16600.0,20102.0,20269.0,18960.0,20053.0,19404.0,17865.0,19568.0,
