time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.011,16844.0,16932.0,14236.0,17775.0,17714.0,16721.0,16463.0,20080.0,20200.0,18997.0,20091.0,19389.0,17805.0,19546.0,
0.061,16859.0,16924.0,14244.0,17828.0,17698.0,16782.0,16456.0,20035.0,20177.0,18982.0,20068.0,19367.0,17813.0,19531.0,
0.111,16882.0,16939.0,14259.0,17820.0,17691.0,16721.0,16456.0,20028.0,20208.0,19028.0,20075.0,19367.0,17813.0,19516.0,
0.161,16904.0,16939.0,14236.0,17774.0,17676.0,16744.0,16463.0,20050.0,20192.0,19043.0,20122.0,19389.0,17805.0,19524.0,
0.212,16874.0,16954.0,14282.0,17805.0,17713.0,16721.0,16479.0,20035.0,20192.0,19043.0,20068.0,19352.0,17813.0,19538.0,
0.262,16919.0,16894.0,14229.0,17797.0,17706.0,16774.0,16463.0,20013.0,20231.0,18990.0,20060.0,19352.0,17805.0,19523.0,
0.312,16889.0,16954.0,14282.0,17798.0,17698.0,16774.0,16479.0,20013.0,20208.0,19097.0,20122.0,19367.0,17805.0,19546.0,
0.363,16867.0,16947.0,14259.0,17775.0,17668.0,16721.0,16463.0,20087.0,20208.0,19013.0,20091.0,19367.0,17820.0,19531.0,
0.413,16867.0,16976.0,14297.0,17798.0,17683.0,16698.0,16471.0,20020.0,20200.0,19013.0,20060.0,19382.0,17813.0,19546.0,
0.463,16867.0,16932.0,14282.0,17759.0,17744.0,16698.0,16471.0,20072.0,20192.0,19028.0,20122.0,19404.0,17827.0,19538.0,
0.513,16867.0,16939.0,14206.0,17782.0,17668.0,16706.0,16448.0,19998.0,20215.0,19074.0,20068.0,19382.0,17827.0,19531.0,
0.564,16912.0,16939.0,14312.0,17782.0,17721.0,16767.0,16456.0,20035.0,20208.0,19059.0,20053.0,19359.0,17813.0,19508.0,
0.614,16867.0,16924.0,14251.0,17767.0,17691.0,16736.0,16456.0,19998.0,20208.0,18990.0,20052.0,19382.0,17805.0,19538.0,
0.664,16897.0,16969.0,14221.0,17805.0,17676.0,16706.0,16456.0,20035.0,20185.0,19013.0,20045.0,19389.0,17798.0,19538.0,
0.714,16851.0,16924.0,14267.0,17774.0,17744.0,16691.0,16448.0,20042.0,20200.0,19005.0,20099.0,19382.0,17813.0,19546.0,
0.765,16867.0,16961.0,14229.0,17836.0,17698.0,16774.0,16463.0,20013.0,20192.0,18982.0,20075.0,19389.0,17887.0,19531.0,
0.815,16874.0,16909.0,14267.0,17797.0,17706.0,16713.0,16463.0,20072.0,20207.0,18974.0,20068.0,19367.0,17813.0,19538.0,
