time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.010,16882.0,16918.0,14328.0,17882.0,17775.0,16783.0,16638.0,20133.0,20240.0,19014.0,20069.0,19493.0,17872.0,19607.0,
0.060,16822.0,16933.0,14335.0,17882.0,17752.0,16730.0,16623.0,20118.0,20263.0,18945.0,20131.0,19501.0,17879.0,19615.0,
0.110,16867.0,16910.0,14320.0,17889.0,17745.0,16730.0,16623.0,20155.0,20248.0,18929.0,20061.0,19471.0,17894.0,19607.0,
0.160,16822.0,16918.0,14366.0,17866.0,17775.0,16745.0,16623.0,20163.0,20240.0,18998.0,20108.0,19464.0,17879.0,19607.0,
0.211,16829.0,16925.0,14305.0,17943.0,17729.0,16775.0,16631.0,20140.0,20232.0,18929.0,20100.0,19449.0,17916.0,19608.0,
0.261,16837.0,16895.0,14351.0,17874.0,17813.0,16760.0,16638.0,20155.0,20225.0,18998.0,20108.0,19449.0,17864.0,19622.0,
0.311,16844.0,16910.0,14351.0,17928.0,17790.0,16753.0,16623.0,20193.0,20240.0,18960.0,20092.0,19456.0,17879.0,19607.0,
0.361,16814.0,16895.0,14320.0,17882.0,17737.0,16798.0,16638.0,20140.0,20248.0,19006.0,20092.0,19456.0,17894.0,19607.0,
0.412,16867.0,16955.0,14404.0,17882.0,17737.0,16791.0,16623.0,20200.0,20294.0,19014.0,20131.0,19434.0,17872.0,19622.0,
0.462,16814.0,16918.0,14389.0,17874.0,17752.0,16745.0,16615.0,20148.0,20217.0,19006.0,20069.0,19456.0,17887.0,19607.0,
0.512,16829.0,16881.0,14320.0,17905.0,17760.0,16798.0,16646.0,20103.0,20247.0,18945.0,20054.0,19449.0,17872.0,19629.0,
0.562,16814.0,16948.0,14312.0,17943.0,17790.0,16783.0,16623.0,20133.0,20232.0,18953.0,20054.0,19441.0,17872.0,19622.0,
0.613,16822.0,16933.0,14328.0,17859.0,17768.0,16775.0,16623.0,20163.0,20225.0,18968.0,20100.0,19449.0,17887.0,19615.0,
0.663,16844.0,16925.0,14366.0,17889.0,17790.0,16730.0,16623.0,20103.0,20255.0,19006.0,20069.0,19449.0,17872.0,19607.0,
0.713,16844.0,16895.0,14328.0,17859.0,17775.0,16730.0,16631.0,20118.0,20225.0,18945.0,20069.0,19449.0,17887.0,19607.0,
0.763,16837.0,16910.0,14320.0,17866.0,17745.0,16776.0,16615.0,20148.0,20232.0,19014.0,20077.0,19434.0,17902.0,19615.0,
0.813,16882.0,16910.0,14320.0,17889.0,17760.0,16745.0,16615.0,20103.0,20271.0,19021.0,20092.0,19464.0,17864.0,19607.0,
0.863,16859.0,16933.0,14343.0,17912.0,17752.0,16737.0,16631.0,20185.0,20240.0,18952.0,20100.0,19464.0,17887.0,19630.0,
0.913,16814.0,16925.0,14320.0,17859.0,17737.0,16760.0,16631.0,20192.0,20248.0,18968.0,20085.0,19441.0,17879.0,19600.0,
0.963,16829.0,16925.0,14373.0,17889.0,17737.0,16737.0,16623.0,20170.0,20240.0,18998.0,20092.0,19449.0,17894.0,19607.0,
1.013,16829.0,16925.0,14328.0,17897.0,17737.0,16737.0,16646.0,20162.0,20232.0,18983.0,20085.0,19494.0,17894.0,19622.0,
1.063,16822.0,16940.0,14312.0,17882.0,17737.0,16783.0,16631.0,20178.0,20240.0,18952.0,20131.0,19493.0,17894.0,19622.0,
1.113,16852.0,16925.0,14297.0,17897.0,17752.0,16753.0,16631.0,20103.0,20248.0,18952.0,20154.0,19441.0,17879.0,19629.0,
1.164,16890.0,16948.0,14297.0,17889.0,17775.0,16776.0,16615.0,20162.0,20255.0,18945.0,20108.0,19464.0,17879.0,19615.0,
1.214,16867.0,16940.0,14366.0,17859.0,17752.0,16760.0,16631.0,20095.0,20232.0,18945.0,20146.0,19464.0,17879.0,19615.0,
1.264,16829.0,16948.0,14328.0,17882.0,17745.0,16745.0,16638.0,20163.0,20232.0,18952.0,20092.0,19479.0,17872.0,19607.0,
1.314,16829.0,16918.0,14328.0,17866.0,17737.0,16775.0,16646.0,20148.0,20225.0,18960.0,20100.0,19456.0,17879.0,19615.0,
1.364,16829.0,16933.0,14351.0,17905.0,17745.0,16760.0,16623.0,20170.0,20240.0,18960.0,20108.0,19449.0,17887.0,19600.0,
1.414,16829.0,16940.0,14320.0,17882.0,17768.0,16745.0,16623.0,20215.0,20301.0,18960.0,20108.0,19456.0,17909.0,19622.0,
1.464,16874.0,16933.0,14328.0,17889.0,17768.0,16745.0,16638.0,20081.0,20278.0,18999.0,20069.0,19471.0,17887.0,19615.0,
1.514,16920.0,16903.0,14328.0,17851.0,17752.0,16745.0,16623.0,20133.0,20293.0,18937.0,20092.0,19434.0,17894.0,19615.0,
1.565,16867.0,16940.0,14312.0,17859.0,17752.0,16745.0,16631.0,20118.0,20263.0,19052.0,20085.0,19464.0,17887.0,19600.0,
1.615,16874.0,16948.0,14366.0,17866.0,17745.0,16737.0,16646.0,20080.0,20240.0,19037.0,20077.0,19494.0,17887.0,19615.0,
1.666,16859.0,16940.0,14312.0,17928.0,17745.0,16745.0,16638.0,20103.0,20209.0,18929.0,20092.0,19493.0,17902.0,19607.0,
1.716,16822.0,16895.0,14358.0,17859.0,17730.0,16737.0,16638.0,20125.0,20317.0,18991.0,20115.0,19464.0,17894.0,19615.0,
