frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.219,
5,0.269,
6,0.319,
7,0.370,
8,0.420,
9,0.470,
10,0.520,
11,0.570,
12,0.621,
13,0.671,
14,0.721,
15,0.771,
16,0.828,
17,0.894,
18,0.961,
19,1.028,
20,1.094,
21,1.161,
22,1.228,
23,1.294,
24,1.361,
25,1.427,
26,1.494,
27,1.561,
28,1.627,
29,1.693,
30,1.761,
31,1.828,
32,1.894,
33,1.960,
34,2.026,
35,2.093,
36,2.160,
37,2.226,
38,2.293,
39,2.360,
40,2.426,
41,2.493,
42,2.559,
43,2.626,
44,2.692,
45,2.759,
46,2.826,
47,2.892,
48,2.959,
49,3.026,
50,3.093,
51,3.159,
52,3.225,
53,3.292,
54,3.358,
55,3.425,
56,3.491,
57,3.558,
58,3.625,
59,3.691,
60,3.758,
61,3.825,
62,3.891,
63,3.958,
64,4.025,
65,4.091,
66,4.157,
67,4.224,
68,4.291,
69,4.358,
70,4.424,
71,4.491,
72,4.557,
73,4.624,
74,4.690,
75,4.757,
76,4.824,
77,4.891,
78,4.957,
79,5.023,
80,5.090,
81,5.157,
82,5.223,
83,5.290,
84,5.356,
85,5.423,
86,5.490,
87,5.556,
88,5.623,
89,5.690,
90,5.756,
91,5.823,
92,5.889,
93,5.956,
94,6.022,
95,6.089,
96,6.156,
97,6.222,
98,6.289,
99,6.355,
100,6.423,
101,6.489,
102,6.555,
103,6.622,
104,6.688,
105,6.755,
106,6.822,
107,6.888,
108,6.955,
109,7.021,
110,7.088,
111,7.155,
112,7.221,
113,7.288,
114,7.355,
115,7.421,
116,7.488,
117,7.554,
118,7.621,
119,7.688,
120,7.754,
121,7.821,
122,7.887,
123,7.954,
124,8.020,
125,8.087,
126,8.153,
127,8.220,
128,8.286,
129,8.353,
130,8.420,
131,8.486,
132,8.553,
133,8.620,
134,8.686,
135,8.753,
136,8.819,
137,8.886,
138,8.953,
139,9.019,
140,9.086,
141,9.153,
142,9.219,
143,9.286,
144,9.353,
145,9.419,
146,9.486,
147,9.552,
148,9.619,
149,9.685,
150,9.752,
151,9.818,
152,9.885,
153,9.952,
154,10.018,
155,10.085,
156,10.151,
157,10.218,
158,10.285,
159,10.351,
160,10.418,
161,10.484,
162,10.551,
163,10.618,
164,10.684,
165,10.751,
166,10.818,
167,10.884,
168,10.951,
169,11.017,
170,11.084,
171,11.151,
172,11.217,
173,11.283,
174,11.350,
175,11.417,
176,11.484,
177,11.550,
178,11.617,
179,11.683,
180,11.750,
181,11.816,
182,11.883,
183,11.949,
184,12.016,
185,12.083,
186,12.150,
187,12.216,
188,12.283,
189,12.349,
190,12.416,
191,12.482,
192,12.549,
193,12.615,
194,12.682,
195,12.749,
196,12.816,
197,12.882,
198,12.949,
199,13.016,
200,13.082,
201,13.148,
202,13.215,
203,13.281,
204,13.348,
205,13.415,
206,13.481,
207,13.548,
208,13.615,
209,13.681,
210,13.748,
211,13.815,
212,13.881,
213,13.948,
214,14.014,
215,14.081,
216,14.147,
217,14.214,
218,14.280,
219,14.347,
220,14.414,
221,14.480,
222,14.546,
223,14.614,
224,14.680,
225,14.747,
226,14.813,
227,14.879,
228,14.946,
229,15.013,
230,15.079,
231,15.146,
232,15.213,
233,15.279,
234,15.346,
235,15.412,
236,15.479,
237,15.546,
238,15.613,
239,15.679,
240,15.746,
241,15.812,
242,15.879,
243,15.945,
244,16.012,
245,16.078,
246,16.145,
247,16.212,
248,16.278,
249,16.345,
250,16.411,
251,16.478,
252,16.546,
253,16.611,
254,16.678,
255,16.744,
256,16.812,
257,16.878,
258,16.944,
259,17.011,
260,17.078,
261,17.144,
262,17.210,
263,17.278,
264,17.344,
265,17.411,
266,17.478,
267,17.544,
268,17.610,
269,17.677,
270,17.744,
271,17.810,
272,17.877,
273,17.943,
274,18.010,
275,18.077,
276,18.143,
277,18.210,
278,18.276,
279,18.344,
280,18.410,
281,18.476,
282,18.543,
283,18.610,
284,18.676,
285,18.742,
286,18.810,
287,18.876,
288,18.943,
289,19.009,
290,19.076,
291,19.142,
292,19.209,
293,19.276,
294,19.342,
295,19.408,
296,19.475,
297,19.542,
298,19.608,
299,19.675,
300,19.741,
301,19.808,
302,19.875,
303,19.941,
304,20.008,
305,20.074,
306,20.141,
307,20.208,
308,20.274,
309,20.341,
310,20.408,
311,20.474,
312,20.541,
313,20.608,
314,20.674,
315,20.740,
316,20.807,
317,20.874,
318,20.940,
319,21.007,
320,21.073,
321,21.140,
322,21.207,
323,21.273,
324,21.340,
325,21.406,
326,21.473,
327,21.540,
328,21.606,
329,21.672,
330,21.739,
331,21.806,
332,21.873,
333,21.939,
334,22.006,
335,22.072,
336,22.139,
337,22.206,
338,22.272,
339,22.339,
340,22.406,
341,22.472,
342,22.539,
343,22.605,
344,22.672,
345,22.738,
346,22.805,
347,22.871,
348,22.938,
349,23.005,
350,23.071,
351,23.138,
352,23.204,
353,23.271,
354,23.338,
355,23.405,
356,23.471,
357,23.537,
358,23.605,
359,23.671,
360,23.738,
361,23.804,
362,23.871,
363,23.937,
364,24.004,
365,24.070,
366,24.137,
367,24.203,
368,24.270,
369,24.336,
370,24.403,
371,24.470,
372,24.537,
373,24.603,
374,24.670,
375,24.736,
376,24.803,
377,24.870,
378,24.936,
379,25.003,
380,25.069,
381,25.136,
382,25.202,
383,25.269,
384,25.335,
385,25.402,
386,25.469,
387,25.536,
388,25.602,
389,25.668,
390,25.735,
391,25.801,
392,25.868,
393,25.935,
394,26.001,
395,26.068,
396,26.135,
397,26.202,
398,26.268,
399,26.334,
400,26.401,
401,26.468,
402,26.534,
403,26.601,
404,26.667,
405,26.734,
406,26.801,
407,26.867,
408,26.934,
409,27.000,
410,27.067,
411,27.134,
412,27.200,
413,27.267,
414,27.334,
415,27.400,
416,27.467,
417,27.533,
418,27.600,
419,27.667,
420,27.733,
421,27.800,
422,27.866,
423,27.933,
424,28.000,
425,28.066,
426,28.132,
427,28.199,
428,28.267,
429,28.333,
430,28.399,
431,28.466,
432,28.532,
433,28.599,
434,28.665,
435,28.732,
436,28.799,
437,28.865,
438,28.932,
439,28.999,
440,29.065,
441,29.131,
442,29.198,
443,29.265,
444,29.331,
445,29.398,
446,29.465,
