frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.228,
5,0.278,
6,0.328,
7,0.378,
8,0.428,
9,0.478,
10,0.528,
11,0.579,
12,0.629,
13,0.679,
14,0.729,
15,0.779,
16,0.831,
17,0.895,
18,0.963,
19,1.031,
20,1.095,
21,1.163,
22,1.227,
23,1.295,
24,1.363,
25,1.427,
26,1.495,
27,1.563,
28,1.627,
29,1.694,
30,1.762,
31,1.826,
32,1.895,
33,1.963,
34,2.027,
35,2.094,
36,2.164,
37,2.227,
38,2.295,
39,2.359,
40,2.427,
41,2.495,
42,2.559,
43,2.627,
44,2.695,
45,2.759,
46,2.827,
47,2.895,
48,2.958,
49,3.026,
50,3.095,
51,3.159,
52,3.227,
53,3.291,
54,3.360,
55,3.427,
56,3.491,
57,3.559,
58,3.627,
59,3.691,
60,3.759,
61,3.827,
62,3.891,
63,3.959,
64,4.026,
65,4.091,
66,4.159,
67,4.227,
68,4.291,
69,4.359,
70,4.423,
71,4.491,
72,4.558,
73,4.623,
74,4.691,
75,4.760,
76,4.822,
77,4.891,
78,4.959,
79,5.022,
80,5.091,
81,5.159,
82,5.223,
83,5.291,
84,5.359,
85,5.423,
86,5.492,
87,5.555,
88,5.623,
89,5.691,
90,5.755,
91,5.823,
92,5.891,
93,5.955,
94,6.023,
95,6.091,
96,6.155,
97,6.223,
98,6.291,
99,6.355,
100,6.424,
101,6.487,
102,6.555,
103,6.623,
104,6.686,
105,6.755,
106,6.823,
107,6.887,
108,6.955,
109,7.023,
110,7.087,
111,7.155,
112,7.223,
113,7.287,
114,7.354,
115,7.423,
116,7.487,
117,7.555,
118,7.619,
119,7.687,
120,7.756,
121,7.819,
122,7.887,
123,7.955,
124,8.019,
125,8.087,
126,8.155,
127,8.218,
128,8.287,
129,8.355,
130,8.419,
131,8.487,
132,8.554,
133,8.619,
134,8.688,
135,8.751,
136,8.818,
137,8.888,
138,8.951,
139,9.019,
140,9.087,
141,9.151,
142,9.219,
143,9.287,
144,9.352,
145,9.419,
146,9.487,
147,9.551,
148,9.620,
149,9.683,
150,9.751,
151,9.820,
152,9.883,
153,9.951,
154,10.019,
155,10.083,
156,10.152,
157,10.219,
158,10.283,
159,10.351,
160,10.420,
161,10.483,
162,10.551,
163,10.619,
164,10.684,
165,10.751,
166,10.815,
167,10.883,
168,10.951,
169,11.015,
170,11.083,
171,11.152,
172,11.215,
173,11.284,
174,11.352,
175,11.415,
176,11.483,
177,11.551,
178,11.615,
179,11.683,
180,11.752,
181,11.815,
182,11.883,
183,11.947,
184,12.015,
185,12.083,
186,12.147,
187,12.215,
188,12.283,
189,12.348,
190,12.415,
191,12.483,
192,12.547,
193,12.616,
194,12.684,
195,12.747,
196,12.815,
197,12.879,
198,12.948,
199,13.015,
200,13.079,
201,13.147,
