time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16912.0,16925.0,14290.0,17859.0,17744.0,16797.0,16501.0,20080.0,20216.0,19005.0,20130.0,19389.0,17835.0,19569.0,
0.059,16882.0,16933.0,14267.0,17805.0,17721.0,16744.0,16501.0,20066.0,20278.0,19013.0,20114.0,19411.0,17842.0,19576.0,
0.110,16950.0,16940.0,14251.0,17821.0,17714.0,16729.0,16494.0,20066.0,20270.0,19090.0,20076.0,19389.0,17827.0,19562.0,
0.160,16912.0,16918.0,14259.0,17805.0,17714.0,16759.0,16486.0,20110.0,20285.0,18990.0,20114.0,19426.0,17850.0,19547.0,
0.210,16904.0,16910.0,14267.0,17782.0,17714.0,16767.0,16501.0,20073.0,20224.0,18982.0,20083.0,19404.0,17842.0,19554.0,
0.261,16904.0,16888.0,14244.0,17836.0,17714.0,16752.0,16494.0,20081.0,20262.0,19028.0,20083.0,19389.0,17820.0,19569.0,
0.311,16912.0,16925.0,14267.0,17798.0,17721.0,16736.0,16516.0,20080.0,20209.0,19044.0,20145.0,19404.0,17805.0,19576.0,
0.361,16957.0,16910.0,14267.0,17859.0,17699.0,16790.0,16516.0,20058.0,20232.0,19005.0,20153.0,19396.0,17835.0,19554.0,
0.411,16950.0,16925.0,14320.0,17836.0,17699.0,16835.0,16494.0,20043.0,20239.0,19074.0,20153.0,19411.0,17835.0,19576.0,
0.462,16919.0,16918.0,14312.0,17798.0,17714.0,16752.0,16486.0,20036.0,20231.0,19005.0,20129.0,19381.0,17835.0,19569.0,
0.512,16935.0,16880.0,14267.0,17836.0,17691.0,16782.0,16516.0,20066.0,20247.0,19044.0,20106.0,19374.0,17872.0,19562.0,
0.562,16904.0,16918.0,14236.0,17805.0,17714.0,16782.0,16501.0,20110.0,20239.0,19013.0,20091.0,19404.0,17842.0,19569.0,
0.612,16927.0,16910.0,14259.0,17851.0,17759.0,16752.0,16501.0,20051.0,20262.0,19005.0,20083.0,19374.0,17842.0,19562.0,
0.662,16942.0,16925.0,14259.0,17821.0,17714.0,16820.0,16501.0,20043.0,20247.0,19074.0,20122.0,19404.0,17842.0,19576.0,
0.713,16942.0,16940.0,14274.0,17805.0,17699.0,16729.0,16516.0,20073.0,20247.0,19036.0,20068.0,19389.0,17835.0,19569.0,
0.763,16919.0,16933.0,14274.0,17805.0,17721.0,16751.0,16501.0,20080.0,20239.0,19028.0,20091.0,19404.0,17835.0,19561.0,
0.813,16995.0,16925.0,14251.0,17798.0,17721.0,16797.0,16517.0,20110.0,20216.0,19005.0,20091.0,19396.0,17842.0,19561.0,
0.863,16912.0,16932.0,14236.0,17798.0,17721.0,16774.0,16509.0,20110.0,20232.0,18990.0,20114.0,19396.0,17835.0,19561.0,
0.914,16897.0,16866.0,14312.0,17805.0,17698.0,16835.0,16494.0,20081.0,20239.0,18975.0,20114.0,19396.0,17842.0,19569.0,
0.964,16942.0,16858.0,14229.0,17813.0,17691.0,16744.0,16501.0,20133.0,20232.0,19005.0,20107.0,19396.0,17813.0,19569.0,
1.014,16957.0,16925.0,14236.0,17851.0,17744.0,16729.0,16494.0,20163.0,20239.0,18975.0,20099.0,19396.0,17842.0,19569.0,
1.064,16904.0,16918.0,14282.0,17813.0,17752.0,16751.0,16524.0,20111.0,20224.0,19036.0,20129.0,19389.0,17835.0,19576.0,
1.114,16904.0,16948.0,14282.0,17889.0,17706.0,16744.0,16509.0,20073.0,20209.0,19013.0,20130.0,19426.0,17850.0,19569.0,
1.164,16912.0,16933.0,14259.0,17790.0,17698.0,16767.0,16501.0,20110.0,20254.0,19013.0,20145.0,19396.0,17842.0,19576.0,
