time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16763.0,16988.0,14396.0,18051.0,17906.0,16906.0,16622.0,20211.0,20358.0,19069.0,20218.0,19567.0,17953.0,19716.0,
0.059,16770.0,17010.0,14366.0,18082.0,17898.0,16906.0,16630.0,20211.0,20343.0,19138.0,20194.0,19545.0,17953.0,19701.0,
0.109,16740.0,17018.0,14358.0,18059.0,17929.0,16952.0,16614.0,20219.0,20336.0,19038.0,20217.0,19552.0,17939.0,19716.0,
0.159,16770.0,17003.0,14388.0,18036.0,17906.0,16899.0,16630.0,20248.0,20335.0,19076.0,20233.0,19545.0,17968.0,19701.0,
0.210,16770.0,17018.0,14373.0,18044.0,17921.0,16929.0,16614.0,20233.0,20343.0,19092.0,20202.0,19553.0,17961.0,19716.0,
0.260,16740.0,16995.0,14373.0,18051.0,17921.0,16921.0,16622.0,20271.0,20328.0,19053.0,20248.0,19553.0,17961.0,19701.0,
0.310,16733.0,17010.0,14388.0,18036.0,17944.0,16929.0,16614.0,20218.0,20358.0,19076.0,20218.0,19545.0,17961.0,19731.0,
0.360,16748.0,17033.0,14427.0,18028.0,17929.0,16883.0,16607.0,20263.0,20374.0,19084.0,20241.0,19538.0,17953.0,19708.0,
0.410,16740.0,17033.0,14419.0,18028.0,17906.0,16990.0,16607.0,20248.0,20320.0,19115.0,20202.0,19552.0,17961.0,19686.0,
0.461,16748.0,17003.0,14472.0,18036.0,17914.0,16944.0,16637.0,20218.0,20328.0,19061.0,20218.0,19560.0,17976.0,19708.0,
0.511,16778.0,17025.0,14388.0,18082.0,17921.0,16922.0,16614.0,20226.0,20312.0,19061.0,20202.0,19567.0,17961.0,19701.0,
0.561,16770.0,17033.0,14381.0,18013.0,17967.0,16906.0,16607.0,20263.0,20366.0,19046.0,20202.0,19575.0,17939.0,19716.0,
0.612,16770.0,17033.0,14419.0,18021.0,17936.0,16906.0,16614.0,20241.0,20351.0,19038.0,20233.0,19553.0,17961.0,19716.0,
0.662,16770.0,17040.0,14388.0,18021.0,17906.0,16937.0,16599.0,20248.0,20343.0,19107.0,20202.0,19545.0,17953.0,19701.0,
0.713,16733.0,17018.0,14358.0,18013.0,17906.0,16906.0,16622.0,20263.0,20335.0,19046.0,20256.0,19545.0,17961.0,19708.0,
0.763,16755.0,17003.0,14381.0,18013.0,17929.0,16952.0,16637.0,20203.0,20374.0,19053.0,20210.0,19545.0,17931.0,19708.0,
0.813,16718.0,17010.0,14373.0,18028.0,17906.0,16937.0,16614.0,20256.0,20335.0,19076.0,20202.0,19582.0,17953.0,19716.0,
0.864,16771.0,17010.0,14366.0,18067.0,17944.0,16944.0,16607.0,20271.0,20343.0,19045.0,20225.0,19538.0,17961.0,19701.0,
0.914,16770.0,17025.0,14419.0,18059.0,17913.0,16906.0,16622.0,20263.0,20328.0,19069.0,20187.0,19553.0,17998.0,19701.0,
0.964,16763.0,17025.0,14381.0,18028.0,17952.0,16937.0,16614.0,20233.0,20328.0,19115.0,20187.0,19553.0,17946.0,19701.0,
1.015,16755.0,17025.0,14373.0,18028.0,17952.0,16891.0,16599.0,20204.0,20328.0,19099.0,20225.0,19538.0,17991.0,19716.0,
1.065,16763.0,16988.0,14427.0,18044.0,17929.0,16944.0,16614.0,20256.0,20351.0,19076.0,20233.0,19553.0,17961.0,19694.0,
1.115,16771.0,17010.0,14411.0,18036.0,17936.0,16952.0,16614.0,20248.0,20343.0,19076.0,20233.0,19560.0,17953.0,19701.0,
1.165,16740.0,17025.0,14427.0,18067.0,17959.0,16914.0,16614.0,20278.0,20335.0,19099.0,20225.0,19552.0,17968.0,19723.0,
1.215,16771.0,17018.0,14373.0,18028.0,17913.0,16899.0,16614.0,20226.0,20351.0,19069.0,20241.0,19538.0,17939.0,19708.0,
1.265,16748.0,17025.0,14343.0,18021.0,17944.0,16899.0,16607.0,20211.0,20382.0,19076.0,20210.0,19538.0,17968.0,19723.0,
1.315,16748.0,17010.0,14396.0,18044.0,17906.0,16921.0,16607.0,20226.0,20328.0,19122.0,20225.0,19545.0,17946.0,19708.0,
1.365,16755.0,16996.0,14381.0,18036.0,17898.0,16914.0,16614.0,20218.0,20335.0,19076.0,20187.0,19538.0,17953.0,19716.0,
1.415,16740.0,16988.0,14381.0,18044.0,17921.0,16891.0,16614.0,20226.0,20381.0,19099.0,20210.0,19560.0,17991.0,19701.0,
1.466,16733.0,16981.0,14411.0,18028.0,17929.0,16937.0,16607.0,20248.0,20366.0,19061.0,20225.0,19545.0,17961.0,19694.0,
1.516,16786.0,17033.0,14381.0,18028.0,17959.0,16899.0,16607.0,20248.0,20328.0,19099.0,20202.0,19553.0,17968.0,19708.0,
1.566,16755.0,17040.0,14373.0,18097.0,17898.0,16921.0,16622.0,20300.0,20328.0,19099.0,20210.0,19560.0,17968.0,19716.0,
1.616,16786.0,17033.0,14404.0,18051.0,17921.0,16914.0,16614.0,20293.0,20335.0,19084.0,20218.0,19538.0,17961.0,19716.0,
1.666,16748.0,17040.0,14449.0,18013.0,17898.0,16899.0,16607.0,20263.0,20374.0,19038.0,20194.0,19538.0,17968.0,19708.0,
1.717,16755.0,16995.0,14434.0,18028.0,17898.0,16967.0,16607.0,20286.0,20366.0,19038.0,20241.0,19530.0,17961.0,19708.0,
1.767,16823.0,16988.0,14419.0,18089.0,17921.0,16959.0,16630.0,20241.0,20343.0,19130.0,20187.0,19530.0,17968.0,19723.0,
1.817,16763.0,17003.0,14411.0,18036.0,17929.0,16944.0,16622.0,20241.0,20351.0,19038.0,20194.0,19552.0,17968.0,19694.0,
1.868,16755.0,17003.0,14366.0,18067.0,17906.0,16914.0,16622.0,20271.0,20366.0,19115.0,20256.0,19567.0,17946.0,19708.0,
1.918,16778.0,16988.0,14388.0,18036.0,17906.0,16929.0,16607.0,20203.0,20343.0,19069.0,20218.0,19515.0,17968.0,19708.0,
1.968,16748.0,17018.0,14373.0,18074.0,17936.0,16891.0,16622.0,20211.0,20336.0,19046.0,20272.0,19545.0,17953.0,19708.0,
2.019,16755.0,17010.0,14411.0,18051.0,17921.0,16944.0,16607.0,20196.0,20343.0,19076.0,20248.0,19553.0,17939.0,19708.0,
2.069,16763.0,16966.0,14404.0,18028.0,17929.0,16921.0,16599.0,20278.0,20343.0,19092.0,20195.0,19545.0,17968.0,19701.0,
2.119,16755.0,17010.0,14404.0,18036.0,17898.0,16906.0,16630.0,20248.0,20343.0,19076.0,20210.0,19560.0,17946.0,19716.0,
2.169,16755.0,17018.0,14419.0,18021.0,17921.0,16975.0,16614.0,20203.0,20335.0,19092.0,20241.0,19523.0,17946.0,19716.0,
2.219,16748.0,17033.0,14411.0,18028.0,17967.0,16914.0,16607.0,20226.0,20328.0,19068.0,20202.0,19538.0,17946.0,19716.0,
2.269,16733.0,16988.0,14388.0,18021.0,17929.0,16944.0,16607.0,20203.0,20351.0,19076.0,20202.0,19575.0,17961.0,19701.0,
2.319,16786.0,17003.0,14350.0,18028.0,17936.0,16922.0,16614.0,20233.0,20335.0,19045.0,20218.0,19545.0,17976.0,19708.0,
2.369,16748.0,17040.0,14419.0,18067.0,17906.0,16921.0,16630.0,20248.0,20358.0,19053.0,20256.0,19560.0,17953.0,19716.0,
2.420,16755.0,17010.0,14366.0,18013.0,17936.0,16929.0,16607.0,20211.0,20343.0,19092.0,20194.0,19515.0,17991.0,19708.0,
