frame_num,time_s,
0,0.026,
1,0.076,
2,0.126,
3,0.177,
4,0.227,
5,0.278,
6,0.328,
7,0.379,
8,0.429,
9,0.479,
10,0.529,
11,0.579,
12,0.629,
13,0.680,
14,0.744,
15,0.809,
16,0.876,
17,0.945,
18,1.008,
19,1.076,
20,1.144,
21,1.208,
22,1.276,
23,1.344,
24,1.409,
25,1.476,
26,1.544,
27,1.608,
28,1.677,
29,1.741,
30,1.808,
31,1.876,
32,1.940,
33,2.008,
34,2.076,
35,2.140,
36,2.208,
37,2.276,
38,2.340,
39,2.408,
40,2.476,
41,2.541,
42,2.608,
43,2.676,
44,2.740,
45,2.808,
46,2.872,
47,2.940,
48,3.009,
49,3.073,
50,3.141,
51,3.208,
52,3.272,
53,3.341,
54,3.408,
55,3.472,
56,3.540,
57,3.608,
58,3.673,
59,3.741,
60,3.808,
61,3.872,
62,3.940,
63,4.004,
64,4.072,
65,4.141,
66,4.204,
67,4.273,
68,4.341,
69,4.405,
70,4.472,
71,4.540,
72,4.605,
73,4.673,
74,4.741,
75,4.804,
76,4.872,
77,4.937,
78,5.014,
79,5.072,
80,5.136,
81,5.205,
82,5.273,
83,5.336,
84,5.404,
85,5.473,
86,5.537,
87,5.605,
88,5.672,
89,5.737,
90,5.805,
91,5.873,
92,5.937,
93,6.005,
94,6.068,
95,6.137,
96,6.205,
97,6.268,
98,6.337,
99,6.405,
100,6.469,
101,6.537,
102,6.605,
103,6.668,
104,6.736,
105,6.805,
106,6.869,
107,6.937,
108,7.005,
109,7.070,
110,7.137,
111,7.201,
112,7.268,
113,7.337,
114,7.400,
115,7.469,
116,7.536,
117,7.600,
118,7.668,
119,7.737,
120,7.801,
121,7.869,
122,7.937,
123,8.001,
124,8.069,
125,8.133,
126,8.201,
127,8.268,
128,8.333,
129,8.402,
130,8.468,
131,8.532,
132,8.600,
133,8.669,
134,8.732,
135,8.801,
136,8.868,
137,8.933,
138,9.001,
139,9.069,
140,9.133,
141,9.201,
142,9.266,
143,9.333,
144,9.401,
145,9.464,
146,9.532,
147,9.601,
148,9.665,
149,9.733,
150,9.801,
151,9.865,
152,9.933,
153,10.001,
154,10.065,
155,10.133,
156,10.200,
157,10.265,
158,10.333,
159,10.397,
160,10.465,
161,10.533,
162,10.597,
163,10.665,
164,10.733,
165,10.797,
166,10.866,
167,10.932,
168,10.997,
169,11.064,
170,11.133,
171,11.197,
172,11.265,
173,11.329,
174,11.397,
175,11.465,
176,11.528,
177,11.596,
178,11.664,
179,11.729,
180,11.797,
181,11.865,
182,11.928,
183,11.996,
184,12.065,
185,12.129,
186,12.196,
187,12.264,
188,12.328,
189,12.397,
190,12.461,
191,12.529,
192,12.596,
193,12.661,
194,12.729,
195,12.797,
196,12.861,
197,12.929,
198,12.997,
199,13.061,
200,13.129,
201,13.196,
202,13.260,
203,13.329,
204,13.397,
205,13.461,
206,13.529,
207,13.593,
208,13.662,
209,13.728,
210,13.793,
211,13.860,
212,13.929,
213,13.993,
214,14.061,
215,14.129,
216,14.192,
217,14.261,
218,14.329,
219,14.393,
220,14.460,
221,14.524,
222,14.592,
223,14.660,
224,14.724,
225,14.792,
226,14.861,
227,14.925,
228,14.993,
229,15.060,
230,15.125,
231,15.193,
232,15.261,
233,15.326,
234,15.393,
235,15.460,
236,15.525,
237,15.593,
238,15.657,
239,15.725,
240,15.792,
241,15.857,
242,15.925,
243,15.993,
244,16.057,
245,16.126,
246,16.193,
247,16.257,
248,16.325,
249,16.393,
250,16.456,
251,16.524,
252,16.593,
253,16.657,
254,16.725,
255,16.788,
256,16.857,
257,16.925,
258,16.989,
259,17.056,
260,17.125,
261,17.188,
262,17.257,
263,17.325,
264,17.388,
265,17.457,
266,17.525,
267,17.589,
268,17.657,
269,17.721,
270,17.789,
271,17.857,
272,17.921,
273,17.988,
274,18.057,
