frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.219,
5,0.269,
6,0.320,
7,0.370,
8,0.420,
9,0.470,
10,0.520,
11,0.571,
12,0.621,
13,0.672,
14,0.739,
15,0.806,
16,0.872,
17,0.938,
18,1.005,
19,1.072,
20,1.138,
21,1.205,
22,1.271,
23,1.338,
24,1.405,
25,1.471,
26,1.538,
27,1.604,
28,1.671,
29,1.738,
30,1.804,
31,1.871,
32,1.937,
33,2.004,
34,2.070,
35,2.137,
36,2.204,
37,2.270,
38,2.338,
39,2.404,
40,2.471,
41,2.537,
42,2.604,
43,2.670,
44,2.737,
45,2.803,
46,2.870,
47,2.936,
48,3.003,
49,3.070,
50,3.136,
51,3.203,
52,3.269,
53,3.336,
54,3.403,
55,3.469,
56,3.536,
57,3.602,
58,3.669,
59,3.735,
60,3.802,
61,3.869,
62,3.935,
63,4.002,
64,4.069,
65,4.135,
66,4.202,
67,4.268,
68,4.335,
69,4.401,
70,4.468,
71,4.535,
72,4.602,
73,4.668,
74,4.734,
75,4.801,
76,4.868,
77,4.934,
78,5.000,
79,5.067,
80,5.134,
81,5.201,
82,5.267,
83,5.334,
84,5.400,
85,5.468,
86,5.534,
87,5.600,
88,5.667,
89,5.734,
90,5.800,
91,5.867,
92,5.933,
93,6.000,
94,6.066,
95,6.133,
96,6.200,
97,6.266,
98,6.333,
99,6.400,
100,6.466,
101,6.533,
102,6.599,
103,6.666,
104,6.732,
105,6.799,
106,6.865,
107,6.932,
108,6.999,
109,7.065,
110,7.132,
111,7.199,
112,7.265,
113,7.332,
114,7.399,
115,7.465,
116,7.531,
117,7.598,
118,7.665,
119,7.731,
120,7.798,
121,7.865,
122,7.931,
123,7.998,
124,8.064,
125,8.131,
126,8.197,
127,8.264,
128,8.331,
129,8.397,
130,8.464,
131,8.531,
132,8.598,
133,8.664,
134,8.731,
135,8.797,
136,8.863,
137,8.930,
138,8.997,
139,9.063,
140,9.130,
141,9.196,
142,9.264,
143,9.330,
144,9.396,
145,9.463,
146,9.530,
147,9.596,
148,9.663,
149,9.729,
150,9.796,
151,9.863,
152,9.929,
153,9.995,
154,10.062,
155,10.129,
156,10.196,
157,10.262,
158,10.329,
159,10.395,
160,10.462,
161,10.529,
162,10.595,
163,10.662,
164,10.728,
165,10.795,
166,10.862,
167,10.928,
168,10.995,
169,11.061,
170,11.128,
171,11.195,
172,11.261,
173,11.328,
174,11.395,
175,11.461,
176,11.528,
177,11.594,
178,11.661,
179,11.727,
180,11.794,
181,11.861,
182,11.927,
183,11.994,
184,12.060,
185,12.127,
186,12.193,
187,12.260,
188,12.327,
189,12.393,
190,12.460,
191,12.526,
192,12.593,
193,12.660,
194,12.726,
195,12.793,
196,12.859,
197,12.926,
198,12.993,
199,13.060,
200,13.126,
201,13.192,
202,13.259,
203,13.326,
204,13.392,
205,13.459,
206,13.525,
207,13.592,
208,13.659,
209,13.726,
210,13.792,
211,13.858,
212,13.925,
213,13.992,
214,14.058,
215,14.125,
216,14.191,
217,14.258,
218,14.325,
219,14.391,
220,14.458,
221,14.525,
222,14.591,
223,14.657,
224,14.724,
225,14.791,
226,14.857,
227,14.924,
228,14.991,
229,15.057,
230,15.124,
231,15.191,
232,15.257,
233,15.323,
234,15.390,
235,15.457,
236,15.523,
237,15.590,
238,15.656,
239,15.723,
240,15.790,
241,15.856,
242,15.923,
243,15.989,
244,16.056,
245,16.123,
246,16.190,
247,16.256,
248,16.322,
249,16.389,
250,16.455,
251,16.523,
252,16.588,
253,16.655,
254,16.722,
255,16.789,
256,16.856,
257,16.922,
258,16.989,
259,17.055,
260,17.121,
261,17.188,
262,17.254,
263,17.322,
264,17.388,
265,17.455,
266,17.521,
267,17.588,
268,17.654,
269,17.721,
270,17.787,
271,17.854,
272,17.921,
273,17.987,
274,18.054,
275,18.120,
276,18.187,
277,18.254,
278,18.320,
279,18.387,
280,18.453,
281,18.533,
282,18.587,
283,18.653,
284,18.720,
285,18.787,
286,18.853,
287,18.920,
288,18.986,
289,19.053,
290,19.119,
291,19.186,
292,19.253,
293,19.319,
294,19.386,
295,19.453,
296,19.519,
297,19.586,
298,19.652,
299,19.719,
300,19.786,
301,19.852,
302,19.919,
303,19.985,
304,20.051,
305,20.119,
306,20.185,
307,20.252,
308,20.318,
309,20.385,
310,20.451,
311,20.518,
312,20.585,
313,20.651,
314,20.718,
315,20.784,
316,20.851,
317,20.917,
318,20.984,
319,21.051,
320,21.117,
321,21.184,
322,21.250,
323,21.317,
324,21.384,
325,21.451,
326,21.517,
327,21.583,
328,21.650,
329,21.717,
330,21.783,
331,21.850,
332,21.917,
333,21.983,
334,22.050,
335,22.116,
336,22.183,
337,22.250,
338,22.316,
339,22.383,
340,22.449,
341,22.516,
342,22.583,
343,22.649,
344,22.716,
345,22.782,
346,22.849,
347,22.916,
348,22.982,
349,23.049,
350,23.115,
351,23.182,
352,23.249,
353,23.315,
354,23.382,
355,23.448,
356,23.515,
357,23.582,
358,23.649,
359,23.714,
360,23.781,
361,23.848,
362,23.915,
363,23.981,
364,24.048,
365,24.114,
366,24.181,
367,24.248,
368,24.314,
369,24.380,
370,24.447,
371,24.514,
372,24.581,
373,24.647,
374,24.714,
375,24.780,
376,24.847,
377,24.913,
378,24.980,
379,25.046,
380,25.113,
381,25.180,
382,25.247,
383,25.313,
384,25.379,
385,25.446,
386,25.513,
387,25.579,
388,25.646,
389,25.713,
390,25.779,
391,25.846,
392,25.912,
393,25.979,
394,26.046,
395,26.113,
396,26.179,
397,26.245,
398,26.313,
399,26.379,
400,26.445,
401,26.512,
402,26.578,
403,26.645,
404,26.712,
405,26.778,
406,26.845,
407,26.911,
408,26.978,
409,27.045,
410,27.111,
411,27.178,
412,27.245,
413,27.311,
414,27.378,
415,27.444,
416,27.510,
417,27.577,
418,27.644,
419,27.710,
420,27.777,
421,27.844,
422,27.911,
423,27.977,
424,28.044,
425,28.110,
426,28.177,
427,28.243,
428,28.310,
429,28.376,
430,28.443,
431,28.509,
432,28.576,
433,28.643,
434,28.709,
435,28.776,
436,28.842,
437,28.910,
438,28.975,
439,29.042,
440,29.109,
441,29.176,
442,29.242,
443,29.309,
444,29.375,
445,29.443,
446,29.509,
447,29.575,
448,29.642,
449,29.708,
450,29.776,
451,29.842,
452,29.908,
453,29.975,
454,30.041,
455,30.108,
456,30.175,
457,30.241,
458,30.307,
459,30.374,
460,30.441,
461,30.507,
462,30.574,
463,30.641,
464,30.707,
465,30.774,
466,30.840,
467,30.907,
468,30.973,
469,31.041,
470,31.107,
471,31.173,
472,31.240,
473,31.306,
474,31.373,
475,31.440,
476,31.507,
477,31.573,
478,31.640,
479,31.706,
480,31.773,
481,31.840,
482,31.906,
483,31.973,
484,32.039,
485,32.106,
486,32.172,
487,32.239,
488,32.306,
489,32.372,
490,32.439,
491,32.505,
492,32.572,
493,32.639,
494,32.705,
495,32.772,
496,32.838,
497,32.905,
498,32.972,
499,33.038,
500,33.105,
501,33.171,
502,33.238,
503,33.305,
504,33.371,
505,33.438,
