time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16900.0,17094.0,14465.0,18167.0,18232.0,17271.0,16804.0,20304.0,20470.0,19177.0,20350.0,19657.0,18147.0,19823.0,
0.059,16907.0,17094.0,14442.0,18159.0,18224.0,17294.0,16804.0,20319.0,20493.0,19230.0,20311.0,19687.0,18124.0,19823.0,
0.109,16907.0,17124.0,14449.0,18167.0,18269.0,17264.0,16835.0,20341.0,20424.0,19184.0,20319.0,19619.0,18117.0,19837.0,
0.159,16877.0,17079.0,14488.0,18159.0,18254.0,17264.0,16797.0,20304.0,20416.0,19238.0,20365.0,19664.0,18132.0,19808.0,
0.210,16900.0,17109.0,14495.0,18144.0,18247.0,17264.0,16804.0,20334.0,20447.0,19192.0,20311.0,19627.0,18124.0,19815.0,
0.260,16945.0,17087.0,14449.0,18129.0,18231.0,17294.0,16812.0,20319.0,20401.0,19184.0,20350.0,19634.0,18132.0,19838.0,
0.310,16937.0,17079.0,14449.0,18128.0,18262.0,17309.0,16804.0,20304.0,20431.0,19184.0,20327.0,19634.0,18124.0,19823.0,
0.360,16930.0,17072.0,14472.0,18159.0,18239.0,17302.0,16804.0,20297.0,20423.0,19223.0,20350.0,19642.0,18132.0,19823.0,
0.411,16915.0,17109.0,14503.0,18174.0,18224.0,17271.0,16804.0,20334.0,20446.0,19177.0,20311.0,19642.0,18132.0,19823.0,
0.461,16892.0,17072.0,14518.0,18205.0,18239.0,17340.0,16812.0,20304.0,20416.0,19192.0,20288.0,19634.0,18132.0,19837.0,
0.511,16907.0,17049.0,14457.0,18113.0,18285.0,17279.0,16827.0,20319.0,20423.0,19207.0,20304.0,19634.0,18132.0,19830.0,
0.562,16877.0,17064.0,14480.0,18190.0,18254.0,17256.0,16812.0,20334.0,20423.0,19154.0,20311.0,19627.0,18124.0,19830.0,
0.612,16892.0,17131.0,14472.0,18129.0,18239.0,17248.0,16797.0,20386.0,20416.0,19177.0,20334.0,19634.0,18117.0,19823.0,
0.662,16877.0,17094.0,14449.0,18182.0,18231.0,17248.0,16827.0,20296.0,20477.0,19177.0,20357.0,19642.0,18169.0,19815.0,
0.712,16907.0,17087.0,14457.0,18152.0,18231.0,17256.0,16812.0,20319.0,20400.0,19200.0,20311.0,19642.0,18139.0,19815.0,
0.763,16877.0,17109.0,14472.0,18182.0,18277.0,17264.0,16812.0,20311.0,20423.0,19161.0,20304.0,19642.0,18117.0,19838.0,
0.813,16907.0,17109.0,14457.0,18129.0,18247.0,17264.0,16812.0,20304.0,20423.0,19184.0,20311.0,19634.0,18117.0,19823.0,
0.863,16900.0,17050.0,14465.0,18136.0,18231.0,17279.0,16797.0,20379.0,20400.0,19184.0,20319.0,19642.0,18139.0,19815.0,
0.914,16907.0,17079.0,14465.0,18136.0,18247.0,17256.0,16812.0,20349.0,20439.0,19200.0,20319.0,19627.0,18162.0,19830.0,
0.964,16900.0,17094.0,14510.0,18182.0,18269.0,17264.0,16819.0,20304.0,20439.0,19192.0,20296.0,19664.0,18139.0,19823.0,
1.014,16907.0,17102.0,14480.0,18144.0,18216.0,17249.0,16804.0,20364.0,20431.0,19192.0,20296.0,19612.0,18109.0,19815.0,
1.064,16869.0,17094.0,14434.0,18159.0,18239.0,17294.0,16827.0,20304.0,20439.0,19192.0,20342.0,19672.0,18132.0,19837.0,
1.115,16922.0,17087.0,14427.0,18175.0,18254.0,17256.0,16812.0,20304.0,20431.0,19184.0,20304.0,19634.0,18139.0,19837.0,
1.165,16922.0,17146.0,14465.0,18144.0,18239.0,17302.0,16812.0,20319.0,20446.0,19215.0,20334.0,19634.0,18139.0,19823.0,
1.215,16877.0,17109.0,14472.0,18129.0,18231.0,17271.0,16812.0,20289.0,20416.0,19184.0,20357.0,19619.0,18139.0,19823.0,
1.265,16915.0,17087.0,14457.0,18151.0,18247.0,17256.0,16820.0,20312.0,20446.0,19177.0,20334.0,19612.0,18117.0,19830.0,
1.315,16937.0,17102.0,14480.0,18175.0,18239.0,17248.0,16812.0,20311.0,20400.0,19192.0,20311.0,19634.0,18139.0,19823.0,
1.366,16937.0,17079.0,14472.0,18174.0,18292.0,17271.0,16812.0,20312.0,20423.0,19177.0,20319.0,19664.0,18169.0,19823.0,
1.416,16945.0,17087.0,14465.0,18121.0,18247.0,17302.0,16812.0,20304.0,20431.0,19177.0,20304.0,19634.0,18124.0,19815.0,
1.466,16930.0,17139.0,14457.0,18159.0,18231.0,17264.0,16820.0,20304.0,20408.0,19215.0,20342.0,19642.0,18191.0,19837.0,
1.516,16907.0,17146.0,14465.0,18129.0,18224.0,17256.0,16804.0,20304.0,20423.0,19177.0,20411.0,19634.0,18124.0,19830.0,
1.566,16892.0,17124.0,14472.0,18167.0,18285.0,17256.0,16812.0,20371.0,20446.0,19177.0,20334.0,19649.0,18132.0,19815.0,
1.617,16945.0,17116.0,14457.0,18128.0,18231.0,17286.0,16812.0,20296.0,20423.0,19215.0,20319.0,19642.0,18124.0,19830.0,
1.667,16953.0,17087.0,14442.0,18121.0,18224.0,17325.0,16812.0,20326.0,20447.0,19192.0,20311.0,19642.0,18132.0,19845.0,
1.718,16922.0,17117.0,14472.0,18197.0,18239.0,17294.0,16812.0,20319.0,20439.0,19223.0,20319.0,19642.0,18132.0,19838.0,
1.768,16900.0,17079.0,14457.0,18121.0,18231.0,17256.0,16804.0,20304.0,20431.0,19192.0,20311.0,19657.0,18139.0,19837.0,
1.818,16915.0,17094.0,14472.0,18136.0,18231.0,17279.0,16820.0,20311.0,20416.0,19177.0,20350.0,19649.0,18132.0,19823.0,
1.868,16892.0,17109.0,14472.0,18175.0,18231.0,17279.0,16820.0,20296.0,20408.0,19177.0,20288.0,19642.0,18139.0,19845.0,
1.918,16907.0,17117.0,14465.0,18121.0,18216.0,17279.0,16812.0,20319.0,20400.0,19238.0,20311.0,19627.0,18132.0,19815.0,
