time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16793.0,17026.0,14457.0,18150.0,18102.0,17232.0,16774.0,20234.0,20345.0,19099.0,20302.0,19612.0,18095.0,19791.0,
0.058,16793.0,16989.0,14419.0,18181.0,18132.0,17232.0,16797.0,20250.0,20337.0,19168.0,20318.0,19627.0,18080.0,19776.0,
0.109,16786.0,17018.0,14457.0,18120.0,18094.0,17232.0,16790.0,20249.0,20352.0,19145.0,20271.0,19605.0,18117.0,19783.0,
0.159,16839.0,17018.0,14434.0,18143.0,18086.0,17232.0,16797.0,20242.0,20391.0,19153.0,20294.0,19575.0,18080.0,19768.0,
0.209,16771.0,16988.0,14442.0,18150.0,18086.0,17254.0,16774.0,20242.0,20360.0,19130.0,20325.0,19605.0,18095.0,19790.0,
0.259,16793.0,17018.0,14472.0,18150.0,18094.0,17232.0,16782.0,20249.0,20368.0,19153.0,20287.0,19597.0,18110.0,19783.0,
0.310,16786.0,17018.0,14442.0,18143.0,18094.0,17262.0,16790.0,20227.0,20375.0,19115.0,20295.0,19620.0,18102.0,19790.0,
0.360,16808.0,16981.0,14449.0,18143.0,18101.0,17262.0,16790.0,20227.0,20383.0,19168.0,20264.0,19627.0,18117.0,19768.0,
0.410,16808.0,17011.0,14449.0,18150.0,18102.0,17239.0,16790.0,20242.0,20352.0,19168.0,20279.0,19597.0,18080.0,19798.0,
0.460,16778.0,17033.0,14472.0,18166.0,18117.0,17331.0,16797.0,20279.0,20375.0,19115.0,20287.0,19582.0,18117.0,19775.0,
0.510,16808.0,17018.0,14434.0,18158.0,18117.0,17239.0,16790.0,20309.0,20375.0,19153.0,20256.0,19597.0,18110.0,19790.0,
0.560,16778.0,17041.0,14427.0,18150.0,18094.0,17224.0,16774.0,20242.0,20367.0,19168.0,20287.0,19597.0,18087.0,19775.0,
0.610,16839.0,17041.0,14449.0,18127.0,18109.0,17300.0,16790.0,20249.0,20368.0,19107.0,20318.0,19597.0,18080.0,19776.0,
0.660,16824.0,17026.0,14442.0,18181.0,18124.0,17262.0,16782.0,20256.0,20367.0,19191.0,20318.0,19635.0,18087.0,19768.0,
0.711,16793.0,17018.0,14411.0,18135.0,18102.0,17308.0,16782.0,20227.0,20360.0,19184.0,20302.0,19590.0,18117.0,19783.0,
0.761,16793.0,17004.0,14427.0,18150.0,18109.0,17262.0,16774.0,20264.0,20414.0,19099.0,20295.0,19597.0,18102.0,19768.0,
0.811,16801.0,17026.0,14465.0,18158.0,18094.0,17231.0,16782.0,20286.0,20383.0,19107.0,20302.0,19590.0,18110.0,19783.0,
0.861,16801.0,17048.0,14411.0,18135.0,18139.0,17255.0,16774.0,20242.0,20352.0,19153.0,20302.0,19612.0,18087.0,19790.0,
0.911,16816.0,17048.0,14472.0,18143.0,18102.0,17308.0,16797.0,20257.0,20391.0,19122.0,20318.0,19582.0,18087.0,19790.0,
0.961,16771.0,17011.0,14465.0,18143.0,18079.0,17270.0,16759.0,20227.0,20360.0,19184.0,20279.0,19605.0,18132.0,19790.0,
1.011,16786.0,16974.0,14449.0,18181.0,18132.0,17255.0,16782.0,20287.0,20391.0,19145.0,20264.0,19620.0,18102.0,19775.0,
1.061,16831.0,17004.0,14427.0,18135.0,18086.0,17262.0,16767.0,20271.0,20391.0,19176.0,20310.0,19582.0,18095.0,19768.0,
1.111,16816.0,17011.0,14434.0,18135.0,18117.0,17247.0,16782.0,20242.0,20352.0,19207.0,20310.0,19590.0,18117.0,19775.0,
1.162,16801.0,17018.0,14434.0,18143.0,18086.0,17292.0,16790.0,20234.0,20368.0,19138.0,20325.0,19590.0,18117.0,19776.0,
1.212,16808.0,17026.0,14442.0,18227.0,18102.0,17247.0,16782.0,20271.0,20360.0,19130.0,20318.0,19635.0,18117.0,19775.0,
1.262,16808.0,17026.0,14434.0,18173.0,18117.0,17277.0,16790.0,20227.0,20344.0,19161.0,20310.0,19642.0,18087.0,19790.0,
1.312,16816.0,17041.0,14442.0,18158.0,18102.0,17247.0,16782.0,20257.0,20345.0,19138.0,20287.0,19597.0,18080.0,19790.0,
1.362,16808.0,17026.0,14411.0,18150.0,18109.0,17239.0,16782.0,20234.0,20360.0,19107.0,20256.0,19620.0,18095.0,19783.0,
1.412,16786.0,17041.0,14511.0,18166.0,18094.0,17277.0,16782.0,20234.0,20375.0,19138.0,20264.0,19582.0,18080.0,19775.0,
1.462,16801.0,17011.0,14427.0,18135.0,18102.0,17254.0,16790.0,20271.0,20360.0,19138.0,20287.0,19582.0,18087.0,19783.0,
1.513,16839.0,17026.0,14449.0,18135.0,18102.0,17247.0,16782.0,20264.0,20337.0,19168.0,20279.0,19582.0,18080.0,19768.0,
1.563,16808.0,17026.0,14449.0,18143.0,18117.0,17300.0,16797.0,20249.0,20337.0,19138.0,20256.0,19605.0,18102.0,19790.0,
1.613,16786.0,17018.0,14465.0,18143.0,18117.0,17247.0,16782.0,20272.0,20383.0,19176.0,20287.0,19620.0,18110.0,19783.0,
1.664,16778.0,17033.0,14427.0,18173.0,18109.0,17232.0,16790.0,20294.0,20344.0,19122.0,20256.0,19612.0,18117.0,19783.0,
1.715,16816.0,17041.0,14465.0,18135.0,18124.0,17254.0,16790.0,20242.0,20344.0,19184.0,20256.0,19597.0,18080.0,19783.0,
1.765,16793.0,17011.0,14449.0,18143.0,18102.0,17270.0,16789.0,20271.0,20368.0,19130.0,20287.0,19605.0,18080.0,19790.0,
1.815,16846.0,17033.0,14442.0,18143.0,18094.0,17232.0,16782.0,20234.0,20352.0,19122.0,20302.0,19605.0,18087.0,19776.0,
1.865,16801.0,16989.0,14449.0,18127.0,18101.0,17216.0,16790.0,20234.0,20367.0,19153.0,20318.0,19627.0,18102.0,19768.0,
1.916,16808.0,17026.0,14465.0,18166.0,18124.0,17254.0,16797.0,20279.0,20344.0,19130.0,20295.0,19582.0,18102.0,19768.0,
1.966,16816.0,17063.0,14427.0,18211.0,18094.0,17270.0,16774.0,20294.0,20352.0,19207.0,20287.0,19642.0,18132.0,19805.0,
2.016,16801.0,16981.0,14457.0,18150.0,18140.0,17262.0,16752.0,20301.0,20352.0,19138.0,20248.0,19590.0,18095.0,19783.0,
2.066,16801.0,17041.0,14411.0,18150.0,18109.0,17232.0,16797.0,20249.0,20360.0,19176.0,20287.0,19582.0,18102.0,19768.0,
