frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.170,
4,0.220,
5,0.270,
6,0.320,
7,0.370,
8,0.422,
9,0.472,
10,0.522,
11,0.572,
12,0.622,
13,0.676,
14,0.743,
15,0.810,
16,0.876,
17,0.942,
18,1.009,
19,1.076,
20,1.143,
21,1.209,
22,1.275,
23,1.342,
24,1.408,
25,1.475,
26,1.542,
27,1.608,
28,1.675,
29,1.742,
30,1.808,
31,1.875,
32,1.942,
33,2.008,
34,2.075,
35,2.141,
36,2.208,
37,2.274,
38,2.341,
39,2.408,
40,2.474,
41,2.541,
42,2.608,
43,2.674,
44,2.741,
45,2.807,
46,2.874,
47,2.940,
48,3.007,
49,3.074,
50,3.140,
51,3.206,
52,3.274,
53,3.340,
54,3.406,
55,3.473,
56,3.539,
57,3.606,
58,3.673,
59,3.739,
60,3.806,
61,3.873,
62,3.939,
63,4.006,
64,4.072,
65,4.139,
66,4.206,
67,4.272,
68,4.339,
69,4.405,
70,4.472,
71,4.539,
72,4.605,
73,4.672,
74,4.738,
75,4.806,
76,4.872,
77,4.938,
78,5.005,
79,5.071,
80,5.138,
81,5.205,
82,5.271,
83,5.338,
84,5.404,
85,5.471,
86,5.537,
87,5.604,
88,5.671,
89,5.738,
90,5.804,
91,5.871,
92,5.937,
93,6.004,
94,6.071,
95,6.137,
96,6.204,
97,6.270,
98,6.337,
99,6.404,
100,6.470,
101,6.537,
102,6.603,
103,6.670,
104,6.737,
105,6.803,
106,6.869,
107,6.936,
108,7.003,
109,7.069,
110,7.136,
111,7.202,
112,7.269,
113,7.336,
114,7.402,
115,7.469,
116,7.535,
117,7.602,
118,7.669,
119,7.736,
120,7.802,
121,7.869,
122,7.935,
123,8.002,
124,8.068,
125,8.135,
126,8.201,
127,8.268,
128,8.335,
129,8.402,
130,8.468,
131,8.534,
132,8.601,
133,8.668,
134,8.734,
135,8.800,
136,8.867,
137,8.934,
138,9.001,
139,9.067,
140,9.134,
141,9.200,
142,9.267,
143,9.334,
144,9.400,
145,9.466,
146,9.533,
147,9.600,
148,9.667,
149,9.733,
150,9.800,
151,9.866,
152,9.933,
153,9.999,
154,10.073,
155,10.134,
156,10.200,
157,10.266,
158,10.332,
159,10.399,
160,10.466,
161,10.533,
162,10.599,
163,10.665,
164,10.732,
165,10.799,
166,10.866,
167,10.932,
168,10.998,
169,11.065,
170,11.132,
171,11.198,
172,11.265,
173,11.331,
174,11.398,
175,11.464,
176,11.531,
177,11.598,
178,11.664,
179,11.731,
180,11.798,
181,11.864,
182,11.931,
183,11.997,
184,12.064,
185,12.131,
186,12.197,
187,12.264,
188,12.330,
189,12.397,
190,12.464,
191,12.530,
192,12.597,
193,12.663,
194,12.730,
195,12.797,
196,12.863,
197,12.929,
198,12.997,
199,13.064,
200,13.129,
201,13.196,
202,13.263,
203,13.330,
204,13.396,
205,13.462,
206,13.529,
207,13.596,
208,13.662,
209,13.729,
210,13.795,
211,13.861,
212,13.928,
213,13.995,
214,14.062,
215,14.128,
216,14.195,
217,14.262,
218,14.329,
219,14.395,
220,14.461,
221,14.528,
222,14.595,
223,14.662,
224,14.728,
225,14.794,
226,14.861,
227,14.927,
228,14.994,
229,15.061,
230,15.127,
231,15.194,
232,15.261,
233,15.327,
234,15.393,
235,15.461,
236,15.527,
237,15.593,
238,15.660,
239,15.726,
240,15.793,
241,15.860,
242,15.927,
243,15.993,
244,16.059,
245,16.126,
246,16.193,
247,16.259,
248,16.326,
249,16.392,
250,16.459,
251,16.526,
252,16.592,
253,16.659,
254,16.726,
255,16.792,
256,16.858,
257,16.925,
258,16.992,
259,17.059,
260,17.125,
261,17.192,
262,17.258,
263,17.325,
264,17.391,
265,17.458,
266,17.524,
267,17.591,
268,17.658,
269,17.725,
270,17.791,
271,17.857,
272,17.924,
273,17.991,
274,18.058,
275,18.124,
276,18.190,
277,18.257,
278,18.324,
279,18.391,
280,18.457,
281,18.524,
282,18.590,
283,18.657,
284,18.723,
285,18.790,
286,18.856,
287,18.923,
288,18.990,
289,19.056,
290,19.123,
291,19.189,
292,19.256,
293,19.323,
294,19.389,
295,19.456,
296,19.523,
297,19.589,
298,19.656,
299,19.722,
300,19.789,
301,19.856,
302,19.922,
303,19.989,
304,20.055,
305,20.121,
306,20.189,
307,20.255,
308,20.322,
309,20.388,
310,20.454,
311,20.521,
312,20.588,
313,20.654,
314,20.721,
315,20.788,
316,20.855,
317,20.921,
318,20.987,
319,21.054,
320,21.121,
321,21.188,
322,21.254,
323,21.320,
324,21.387,
325,21.454,
326,21.520,
327,21.587,
328,21.653,
329,21.720,
330,21.787,
331,21.853,
332,21.920,
333,21.986,
334,22.053,
335,22.120,
336,22.186,
337,22.253,
338,22.320,
339,22.386,
340,22.453,
341,22.519,
342,22.586,
343,22.652,
344,22.719,
345,22.785,
346,22.852,
347,22.919,
348,22.986,
349,23.052,
350,23.119,
351,23.185,
352,23.252,
353,23.318,
354,23.385,
355,23.452,
356,23.518,
357,23.585,
358,23.652,
359,23.718,
360,23.785,
361,23.851,
362,23.918,
363,23.985,
364,24.051,
365,24.118,
366,24.184,
367,24.251,
368,24.317,
369,24.384,
370,24.451,
371,24.517,
372,24.584,
373,24.650,
374,24.717,
375,24.784,
376,24.851,
377,24.917,
378,24.983,
379,25.050,
380,25.117,
381,25.183,
382,25.249,
383,25.316,
384,25.383,
385,25.450,
386,25.516,
387,25.583,
388,25.649,
389,25.716,
390,25.782,
391,25.849,
392,25.916,
393,25.982,
394,26.049,
395,26.116,
396,26.182,
397,26.249,
398,26.315,
399,26.382,
400,26.448,
401,26.515,
402,26.582,
403,26.648,
404,26.714,
405,26.782,
406,26.848,
407,26.914,
408,26.981,
409,27.048,
410,27.114,
411,27.181,
412,27.247,
413,27.314,
414,27.381,
415,27.447,
416,27.514,
417,27.580,
418,27.647,
419,27.714,
420,27.780,
421,27.847,
422,27.913,
423,27.980,
424,28.047,
425,28.113,
426,28.180,
427,28.246,
428,28.313,
429,28.379,
430,28.446,
431,28.513,
432,28.579,
433,28.647,
434,28.713,
435,28.779,
436,28.845,
437,28.912,
438,28.979,
439,29.046,
440,29.112,
441,29.179,
442,29.245,
443,29.312,
444,29.378,
445,29.445,
446,29.512,
447,29.578,
448,29.645,
449,29.711,
450,29.778,
451,29.845,
452,29.911,
453,29.978,
454,30.044,
455,30.111,
456,30.178,
457,30.245,
458,30.311,
459,30.378,
460,30.444,
461,30.510,
462,30.578,
463,30.644,
464,30.710,
465,30.777,
466,30.844,
467,30.910,
468,30.977,
469,31.044,
470,31.110,
471,31.176,
472,31.243,
473,31.309,
474,31.376,
475,31.443,
476,31.509,
477,31.576,
478,31.642,
479,31.709,
480,31.776,
481,31.843,
482,31.909,
483,31.975,
484,32.043,
485,32.109,
486,32.176,
487,32.242,
488,32.308,
489,32.375,
490,32.442,
491,32.508,
492,32.575,
493,32.642,
494,32.708,
495,32.775,
496,32.841,
497,32.908,
498,32.975,
499,33.041,
500,33.108,
501,33.174,
502,33.241,
