time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16915.0,17109.0,14472.0,18144.0,18247.0,17294.0,16819.0,20357.0,20432.0,19185.0,20350.0,19649.0,18154.0,19838.0,
0.059,16900.0,17109.0,14549.0,18144.0,18239.0,17340.0,16812.0,20342.0,20416.0,19208.0,20365.0,19642.0,18154.0,19823.0,
0.109,16877.0,17072.0,14465.0,18121.0,18232.0,17271.0,16804.0,20371.0,20431.0,19208.0,20304.0,19649.0,18124.0,19838.0,
0.159,16877.0,17094.0,14465.0,18129.0,18232.0,17317.0,16819.0,20356.0,20424.0,19200.0,20327.0,19634.0,18139.0,19823.0,
0.210,16907.0,17102.0,14465.0,18167.0,18239.0,17287.0,16819.0,20349.0,20416.0,19162.0,20350.0,19657.0,18124.0,19823.0,
0.260,16885.0,17109.0,14449.0,18113.0,18224.0,17264.0,16819.0,20304.0,20409.0,19177.0,20319.0,19642.0,18154.0,19830.0,
0.310,16892.0,17109.0,14457.0,18175.0,18232.0,17271.0,16819.0,20304.0,20416.0,19231.0,20350.0,19634.0,18132.0,19830.0,
0.360,16892.0,17109.0,14495.0,18129.0,18224.0,17272.0,16804.0,20312.0,20401.0,19200.0,20311.0,19657.0,18132.0,19823.0,
0.410,16900.0,17102.0,14495.0,18129.0,18232.0,17249.0,16804.0,20319.0,20393.0,19184.0,20296.0,19649.0,18139.0,19853.0,
0.461,16930.0,17132.0,14465.0,18106.0,18224.0,17264.0,16819.0,20326.0,20432.0,19177.0,20381.0,19634.0,18132.0,19838.0,
0.511,16930.0,17132.0,14488.0,18121.0,18232.0,17249.0,16812.0,20297.0,20416.0,19200.0,20327.0,19634.0,18139.0,19830.0,
0.561,16900.0,17139.0,14472.0,18182.0,18255.0,17294.0,16812.0,20311.0,20416.0,19184.0,20335.0,19634.0,18124.0,19838.0,
0.611,16892.0,17087.0,14495.0,18136.0,18247.0,17348.0,16804.0,20297.0,20431.0,19215.0,20319.0,19642.0,18139.0,19823.0,
0.661,16922.0,17080.0,14465.0,18175.0,18232.0,17264.0,16827.0,20319.0,20424.0,19177.0,20319.0,19649.0,18117.0,19845.0,
0.712,16953.0,17087.0,14503.0,18121.0,18224.0,17287.0,16804.0,20319.0,20424.0,19238.0,20319.0,19642.0,18132.0,19838.0,
0.762,16945.0,17124.0,14480.0,18129.0,18239.0,17287.0,16804.0,20297.0,20408.0,19177.0,20319.0,19627.0,18154.0,19831.0,
0.812,16877.0,17109.0,14457.0,18121.0,18262.0,17249.0,16812.0,20364.0,20431.0,19215.0,20311.0,19642.0,18139.0,19823.0,
0.863,16885.0,17094.0,14495.0,18144.0,18224.0,17279.0,16789.0,20312.0,20416.0,19184.0,20304.0,19634.0,18132.0,19838.0,
0.913,16892.0,17124.0,14495.0,18129.0,18232.0,17272.0,16827.0,20357.0,20416.0,19185.0,20304.0,19634.0,18147.0,19845.0,
0.963,16907.0,17087.0,14472.0,18152.0,18247.0,17325.0,16804.0,20334.0,20424.0,19238.0,20319.0,19657.0,18154.0,19838.0,
1.013,16900.0,17109.0,14488.0,18136.0,18232.0,17256.0,16812.0,20379.0,20424.0,19215.0,20342.0,19657.0,18147.0,19860.0,
1.063,16892.0,17050.0,14495.0,18113.0,18255.0,17325.0,16827.0,20319.0,20454.0,19185.0,20335.0,19649.0,18132.0,19816.0,
1.113,16892.0,17094.0,14518.0,18159.0,18262.0,17287.0,16812.0,20386.0,20454.0,19161.0,20304.0,19649.0,18124.0,19838.0,
1.164,16930.0,17139.0,14465.0,18182.0,18247.0,17249.0,16812.0,20304.0,20432.0,19192.0,20312.0,19642.0,18132.0,19823.0,
1.214,16915.0,17132.0,14472.0,18152.0,18239.0,17256.0,16812.0,20371.0,20431.0,19231.0,20319.0,19634.0,18147.0,19830.0,
1.265,16877.0,17117.0,14472.0,18198.0,18239.0,17279.0,16812.0,20356.0,20409.0,19177.0,20327.0,19657.0,18117.0,19823.0,
1.315,16937.0,17117.0,14465.0,18152.0,18224.0,17325.0,16812.0,20326.0,20439.0,19200.0,20350.0,19664.0,18132.0,19838.0,
1.365,16877.0,17124.0,14488.0,18136.0,18224.0,17256.0,16804.0,20319.0,20408.0,19208.0,20334.0,19642.0,18139.0,19838.0,
1.415,16922.0,17117.0,14488.0,18129.0,18239.0,17287.0,16797.0,20342.0,20447.0,19177.0,20350.0,19649.0,18132.0,19838.0,
1.466,16915.0,17161.0,14465.0,18136.0,18232.0,17272.0,16819.0,20297.0,20416.0,19200.0,20342.0,19642.0,18147.0,19830.0,
1.516,16877.0,17132.0,14465.0,18113.0,18247.0,17249.0,16804.0,20326.0,20408.0,19254.0,20335.0,19627.0,18132.0,19838.0,
1.566,16937.0,17124.0,14465.0,18121.0,18247.0,17325.0,16804.0,20289.0,20409.0,19185.0,20365.0,19634.0,18147.0,19845.0,
1.617,16900.0,17154.0,14495.0,18190.0,18232.0,17256.0,16797.0,20304.0,20431.0,19161.0,20311.0,19642.0,18162.0,19853.0,
1.667,16938.0,17124.0,14465.0,18175.0,18255.0,17249.0,16819.0,20304.0,20408.0,19177.0,20327.0,19627.0,18132.0,19823.0,
1.718,16915.0,17094.0,14488.0,18190.0,18232.0,17233.0,16804.0,20297.0,20416.0,19208.0,20296.0,19642.0,18132.0,19823.0,
1.769,16915.0,17117.0,14526.0,18121.0,18224.0,17340.0,16804.0,20357.0,20401.0,19185.0,20304.0,19642.0,18147.0,19845.0,
1.819,16885.0,17124.0,14495.0,18144.0,18224.0,17264.0,16812.0,20304.0,20401.0,19192.0,20350.0,19642.0,18124.0,19830.0,
1.869,16900.0,17117.0,14510.0,18136.0,18247.0,17233.0,16827.0,20364.0,20470.0,19161.0,20342.0,19642.0,18132.0,19830.0,
1.919,16930.0,17094.0,14472.0,18129.0,18232.0,17272.0,16819.0,20311.0,20431.0,19177.0,20381.0,19642.0,18184.0,19845.0,
