time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16695.0,17002.0,14343.0,18134.0,18025.0,17374.0,16813.0,20188.0,20297.0,19007.0,20194.0,19538.0,17953.0,19729.0,
0.059,16733.0,16980.0,14366.0,18119.0,17995.0,17283.0,16798.0,20233.0,20304.0,19030.0,20202.0,19538.0,17939.0,19714.0,
0.109,16710.0,16980.0,14327.0,18103.0,18010.0,17351.0,16805.0,20218.0,20297.0,19038.0,20233.0,19553.0,17968.0,19707.0,
0.160,16755.0,16980.0,14335.0,18142.0,18018.0,17328.0,16805.0,20188.0,20297.0,19061.0,20233.0,19560.0,17961.0,19714.0,
0.210,16725.0,16995.0,14312.0,18119.0,18010.0,17290.0,16805.0,20158.0,20281.0,19022.0,20225.0,19575.0,17961.0,19715.0,
0.260,16718.0,17002.0,14327.0,18126.0,17995.0,17298.0,16805.0,20151.0,20320.0,19107.0,20163.0,19553.0,17968.0,19722.0,
0.311,16733.0,16973.0,14327.0,18142.0,18025.0,17275.0,16805.0,20143.0,20297.0,19038.0,20202.0,19575.0,17976.0,19744.0,
0.361,16702.0,16980.0,14335.0,18210.0,18033.0,17321.0,16798.0,20233.0,20327.0,19015.0,20202.0,19553.0,17946.0,19737.0,
0.411,16702.0,16980.0,14366.0,18149.0,18025.0,17336.0,16805.0,20151.0,20297.0,19022.0,20194.0,19568.0,17946.0,19707.0,
0.461,16695.0,16973.0,14358.0,18126.0,18025.0,17313.0,16775.0,20151.0,20297.0,18999.0,20209.0,19545.0,17983.0,19722.0,
0.511,16710.0,16958.0,14366.0,18126.0,18002.0,17366.0,16798.0,20188.0,20273.0,19061.0,20202.0,19530.0,17931.0,19699.0,
0.562,16710.0,16965.0,14327.0,18126.0,17995.0,17298.0,16798.0,20158.0,20312.0,19076.0,20179.0,19545.0,17961.0,19722.0,
0.612,16717.0,16958.0,14335.0,18126.0,17987.0,17283.0,16798.0,20166.0,20296.0,19030.0,20156.0,19553.0,17953.0,19722.0,
0.662,16740.0,16973.0,14350.0,18149.0,18048.0,17267.0,16790.0,20159.0,20304.0,19038.0,20209.0,19530.0,17946.0,19729.0,
0.712,16733.0,16980.0,14327.0,18119.0,18017.0,17275.0,16813.0,20158.0,20281.0,19091.0,20171.0,19553.0,17968.0,19722.0,
0.763,16687.0,16987.0,14320.0,18119.0,18025.0,17290.0,16820.0,20166.0,20335.0,19068.0,20194.0,19538.0,17968.0,19714.0,
0.813,16695.0,16958.0,14343.0,18172.0,18010.0,17298.0,16798.0,20151.0,20289.0,19015.0,20217.0,19545.0,17939.0,19722.0,
0.863,16687.0,16988.0,14335.0,18141.0,18055.0,17351.0,16782.0,20151.0,20281.0,19045.0,20187.0,19538.0,17946.0,19729.0,
0.913,16702.0,16980.0,14335.0,18134.0,18048.0,17321.0,16805.0,20158.0,20335.0,19022.0,20217.0,19530.0,17946.0,19729.0,
0.964,16702.0,16958.0,14320.0,18164.0,17995.0,17351.0,16798.0,20226.0,20304.0,19045.0,20202.0,19530.0,17991.0,19714.0,
