frame_num,time_s,
0,0.028,
1,0.078,
2,0.128,
3,0.178,
4,0.228,
5,0.278,
6,0.329,
7,0.379,
8,0.430,
9,0.480,
10,0.530,
11,0.580,
12,0.631,
13,0.681,
14,0.731,
15,0.797,
16,0.865,
17,0.929,
18,0.997,
19,1.065,
20,1.129,
21,1.197,
22,1.265,
23,1.329,
24,1.396,
25,1.465,
26,1.530,
27,1.597,
28,1.665,
29,1.730,
30,1.798,
31,1.861,
32,1.929,
33,1.997,
34,2.061,
35,2.129,
36,2.197,
37,2.261,
38,2.329,
39,2.397,
40,2.461,
41,2.528,
42,2.597,
43,2.661,
44,2.730,
45,2.793,
46,2.861,
47,2.929,
48,2.993,
49,3.061,
50,3.129,
51,3.193,
52,3.260,
53,3.329,
54,3.393,
55,3.461,
56,3.529,
57,3.593,
58,3.661,
59,3.729,
60,3.793,
61,3.861,
62,3.925,
63,3.994,
64,4.061,
65,4.125,
66,4.193,
67,4.262,
68,4.325,
69,4.393,
70,4.461,
71,4.525,
72,4.593,
73,4.661,
74,4.725,
75,4.792,
76,4.861,
77,4.925,
78,4.993,
79,5.057,
80,5.125,
81,5.194,
82,5.257,
83,5.325,
84,5.393,
85,5.457,
86,5.525,
87,5.593,
88,5.657,
89,5.725,
90,5.793,
91,5.857,
92,5.925,
93,5.989,
94,6.057,
95,6.125,
96,6.189,
97,6.257,
98,6.325,
99,6.390,
100,6.457,
101,6.525,
102,6.589,
103,6.657,
104,6.725,
105,6.789,
106,6.857,
107,6.924,
108,6.989,
109,7.057,
110,7.121,
111,7.189,
112,7.257,
113,7.321,
114,7.389,
115,7.457,
116,7.521,
117,7.589,
118,7.658,
119,7.721,
120,7.789,
121,7.857,
122,7.921,
123,7.990,
124,8.057,
125,8.121,
126,8.189,
127,8.253,
128,8.321,
129,8.389,
130,8.453,
131,8.521,
132,8.589,
133,8.653,
134,8.721,
135,8.789,
136,8.853,
137,8.921,
138,8.989,
139,9.053,
140,9.121,
141,9.185,
142,9.253,
143,9.321,
144,9.385,
145,9.453,
146,9.521,
147,9.585,
148,9.653,
149,9.721,
150,9.785,
151,9.853,
152,9.921,
153,9.985,
154,10.063,
155,10.121,
156,10.185,
157,10.253,
158,10.317,
159,10.386,
160,10.453,
161,10.517,
162,10.584,
163,10.652,
164,10.717,
165,10.785,
166,10.853,
167,10.917,
168,10.984,
169,11.053,
170,11.117,
171,11.185,
172,11.253,
173,11.317,
174,11.385,
175,11.448,
176,11.517,
177,11.585,
178,11.649,
179,11.716,
180,11.785,
181,11.849,
182,11.917,
183,11.985,
184,12.049,
185,12.117,
186,12.185,
187,12.249,
188,12.317,
189,12.381,
190,12.449,
191,12.517,
192,12.581,
193,12.650,
194,12.717,
195,12.781,
196,12.849,
197,12.916,
198,12.981,
199,13.049,
200,13.117,
201,13.181,
202,13.249,
203,13.317,
204,13.381,
205,13.449,
206,13.513,
207,13.581,
208,13.649,
209,13.713,
210,13.781,
211,13.849,
212,13.913,
213,13.981,
214,14.049,
215,14.113,
216,14.181,
217,14.249,
218,14.313,
219,14.381,
220,14.449,
221,14.513,
222,14.581,
223,14.645,
224,14.713,
225,14.782,
226,14.845,
227,14.913,
228,14.981,
229,15.045,
230,15.114,
231,15.181,
232,15.245,
233,15.313,
234,15.381,
