frame_num,time_s,
0,0.019,
1,0.069,
2,0.120,
3,0.170,
4,0.220,
5,0.271,
6,0.321,
7,0.371,
8,0.421,
9,0.472,
10,0.522,
11,0.572,
12,0.622,
13,0.672,
14,0.723,
15,0.777,
16,0.843,
17,0.910,
18,0.976,
19,1.043,
20,1.109,
21,1.176,
22,1.243,
23,1.309,
24,1.376,
25,1.443,
26,1.509,
27,1.576,
28,1.642,
29,1.709,
30,1.775,
31,1.842,
32,1.909,
33,1.975,
34,2.042,
35,2.108,
36,2.175,
37,2.241,
38,2.308,
39,2.375,
40,2.441,
41,2.508,
42,2.575,
43,2.641,
44,2.708,
45,2.774,
46,2.841,
47,2.907,
48,2.974,
49,3.041,
50,3.108,
51,3.174,
52,3.241,
53,3.307,
54,3.374,
55,3.440,
56,3.507,
57,3.573,
58,3.640,
59,3.707,
60,3.773,
61,3.840,
62,3.907,
63,3.973,
64,4.040,
65,4.106,
66,4.173,
67,4.239,
68,4.306,
69,4.373,
70,4.439,
71,4.506,
72,4.572,
73,4.639,
74,4.706,
75,4.772,
76,4.839,
77,4.905,
78,4.972,
79,5.039,
80,5.105,
81,5.172,
82,5.239,
83,5.306,
84,5.372,
85,5.438,
86,5.505,
87,5.571,
88,5.638,
89,5.705,
90,5.771,
91,5.838,
92,5.905,
93,5.971,
94,6.038,
95,6.104,
96,6.171,
97,6.238,
98,6.304,
99,6.371,
100,6.437,
101,6.504,
102,6.571,
103,6.637,
104,6.704,
105,6.770,
106,6.837,
107,6.903,
108,6.970,
109,7.037,
110,7.104,
111,7.170,
112,7.237,
113,7.303,
114,7.370,
115,7.436,
116,7.503,
117,7.570,
118,7.636,
119,7.703,
120,7.769,
121,7.836,
122,7.903,
123,7.969,
124,8.036,
125,8.102,
126,8.169,
127,8.235,
128,8.302,
129,8.369,
130,8.435,
131,8.502,
132,8.568,
133,8.635,
134,8.702,
135,8.768,
136,8.835,
137,8.901,
138,8.968,
139,9.035,
140,9.101,
141,9.168,
142,9.234,
143,9.301,
144,9.367,
145,9.434,
146,9.501,
147,9.567,
148,9.634,
149,9.700,
150,9.767,
151,9.834,
152,9.900,
153,9.967,
154,10.033,
155,10.100,
156,10.167,
157,10.233,
158,10.300,
159,10.367,
160,10.433,
161,10.500,
162,10.566,
163,10.633,
164,10.699,
165,10.766,
166,10.833,
167,10.899,
168,10.966,
169,11.032,
170,11.099,
171,11.166,
172,11.232,
173,11.299,
174,11.365,
175,11.432,
176,11.498,
177,11.565,
178,11.632,
179,11.698,
180,11.765,
181,11.832,
182,11.899,
183,11.965,
184,12.031,
185,12.098,
186,12.165,
187,12.231,
188,12.298,
189,12.364,
190,12.431,
191,12.498,
192,12.564,
193,12.631,
194,12.697,
195,12.764,
196,12.831,
197,12.897,
198,12.964,
199,13.030,
200,13.097,
201,13.164,
202,13.230,
203,13.297,
204,13.363,
205,13.430,
206,13.496,
207,13.563,
208,13.630,
209,13.696,
210,13.763,
211,13.830,
212,13.896,
213,13.963,
214,14.029,
215,14.096,
216,14.162,
217,14.229,
218,14.296,
219,14.363,
220,14.429,
221,14.495,
222,14.563,
223,14.629,
224,14.695,
225,14.762,
226,14.828,
227,14.895,
228,14.962,
229,15.028,
230,15.095,
231,15.161,
232,15.228,
233,15.295,
234,15.361,
235,15.428,
236,15.494,
237,15.561,
238,15.627,
239,15.694,
240,15.761,
241,15.827,
242,15.894,
243,15.961,
244,16.027,
245,16.094,
246,16.160,
247,16.227,
248,16.293,
249,16.360,
250,16.427,
251,16.493,
252,16.560,
253,16.626,
254,16.693,
255,16.759,
256,16.826,
257,16.893,
258,16.959,
259,17.026,
260,17.093,
261,17.159,
262,17.226,
263,17.292,
264,17.359,
265,17.425,
266,17.492,
267,17.559,
268,17.625,
269,17.692,
270,17.759,
271,17.825,
272,17.892,
273,17.958,
274,18.025,
275,18.092,
276,18.158,
277,18.225,
278,18.292,
279,18.358,
280,18.425,
281,18.491,
282,18.558,
283,18.624,
284,18.691,
285,18.757,
286,18.824,
287,18.891,
288,18.957,
289,19.024,
290,19.091,
291,19.157,
292,19.224,
293,19.290,
294,19.357,
295,19.423,
296,19.490,
297,19.557,
298,19.623,
299,19.690,
300,19.757,
301,19.823,
302,19.890,
303,19.956,
304,20.023,
305,20.089,
306,20.156,
307,20.223,
308,20.289,
309,20.356,
310,20.423,
311,20.489,
312,20.556,
313,20.623,
314,20.689,
315,20.755,
316,20.822,
317,20.888,
318,20.955,
319,21.022,
320,21.088,
321,21.155,
322,21.222,
323,21.288,
324,21.355,
325,21.422,
326,21.488,
327,21.555,
328,21.621,
329,21.688,
330,21.754,
331,21.821,
332,21.887,
333,21.954,
334,22.021,
335,22.087,
336,22.154,
337,22.220,
338,22.287,
339,22.354,
340,22.420,
341,22.487,
342,22.553,
343,22.620,
344,22.687,
345,22.753,
346,22.820,
347,22.886,
348,22.953,
349,23.020,
350,23.086,
351,23.153,
352,23.219,
353,23.286,
354,23.353,
355,23.420,
356,23.486,
357,23.552,
358,23.619,
359,23.685,
360,23.752,
361,23.819,
362,23.885,
363,23.952,
364,24.018,
365,24.085,
366,24.152,
367,24.218,
368,24.285,
369,24.352,
370,24.418,
371,24.485,
372,24.551,
373,24.618,
374,24.685,
375,24.751,
376,24.818,
377,24.884,
378,24.951,
379,25.018,
380,25.084,
381,25.151,
382,25.217,
383,25.284,
384,25.351,
385,25.417,
386,25.484,
387,25.550,
388,25.617,
389,25.684,
390,25.750,
391,25.817,
392,25.883,
393,25.950,
394,26.016,
395,26.083,
396,26.150,
397,26.216,
398,26.283,
399,26.350,
400,26.416,
401,26.483,
402,26.549,
403,26.616,
404,26.682,
405,26.749,
406,26.815,
407,26.882,
408,26.949,
409,27.016,
410,27.082,
411,27.148,
412,27.215,
413,27.282,
414,27.348,
415,27.415,
416,27.482,
417,27.548,
418,27.615,
419,27.681,
420,27.748,
421,27.814,
422,27.881,
423,27.948,
424,28.014,
425,28.081,
426,28.147,
427,28.214,
428,28.281,
429,28.347,
430,28.414,
431,28.480,
432,28.547,
433,28.614,
434,28.680,
435,28.747,
436,28.814,
437,28.880,
438,28.947,
439,29.013,
440,29.080,
441,29.147,
442,29.213,
443,29.279,
444,29.346,
445,29.413,
446,29.480,
447,29.546,
448,29.613,
449,29.679,
450,29.746,
451,29.812,
452,29.879,
453,29.946,
454,30.012,
455,30.079,
456,30.145,
457,30.219,
458,30.279,
459,30.345,
460,30.412,
461,30.478,
462,30.545,
463,30.611,
464,30.678,
465,30.744,
466,30.811,
467,30.878,
468,30.945,
469,31.011,
470,31.078,
471,31.144,
472,31.211,
473,31.277,
474,31.344,
475,31.411,
476,31.477,
477,31.544,
478,31.611,
479,31.677,
480,31.744,
481,31.810,
