time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16885.0,17190.0,14526.0,18137.0,18218.0,17234.0,16796.0,20387.0,20433.0,19177.0,20404.0,19694.0,18117.0,19854.0,
0.059,16900.0,17242.0,14495.0,18168.0,18241.0,17242.0,16781.0,20372.0,20425.0,19200.0,20365.0,19672.0,18139.0,19854.0,
0.109,16945.0,17205.0,14472.0,18145.0,18203.0,17257.0,16781.0,20342.0,20455.0,19177.0,20427.0,19694.0,18154.0,19854.0,
0.159,16930.0,17235.0,14503.0,18145.0,18218.0,17288.0,16804.0,20327.0,20471.0,19193.0,20358.0,19694.0,18161.0,19847.0,
0.209,16877.0,17235.0,14510.0,18091.0,18210.0,17234.0,16796.0,20334.0,20455.0,19162.0,20388.0,19716.0,18132.0,19846.0,
0.259,16915.0,17213.0,14472.0,18122.0,18218.0,17227.0,16789.0,20342.0,20525.0,19185.0,20404.0,19694.0,18124.0,19854.0,
0.309,16945.0,17227.0,14503.0,18107.0,18226.0,17219.0,16781.0,20327.0,20448.0,19177.0,20373.0,19724.0,18139.0,19846.0,
0.360,16869.0,17198.0,14495.0,18114.0,18203.0,17242.0,16804.0,20402.0,20432.0,19223.0,20357.0,19709.0,18139.0,19839.0,
0.410,16930.0,17213.0,14480.0,18106.0,18256.0,17250.0,16796.0,20342.0,20479.0,19239.0,20404.0,19701.0,18214.0,19839.0,
0.460,16885.0,17175.0,14503.0,18152.0,18226.0,17234.0,16789.0,20349.0,20440.0,19200.0,20381.0,19687.0,18117.0,19847.0,
0.510,16900.0,17220.0,14480.0,18129.0,18226.0,17242.0,16789.0,20364.0,20471.0,19185.0,20373.0,19679.0,18147.0,19861.0,
0.560,16938.0,17213.0,14495.0,18099.0,18271.0,17242.0,16796.0,20342.0,20440.0,19185.0,20365.0,19701.0,18154.0,19847.0,
0.611,16907.0,17161.0,14495.0,18137.0,18226.0,17234.0,16781.0,20335.0,20440.0,19170.0,20411.0,19694.0,18139.0,19861.0,
0.661,16907.0,17190.0,14510.0,18129.0,18248.0,17288.0,16766.0,20342.0,20432.0,19216.0,20381.0,19687.0,18176.0,19847.0,
0.712,16885.0,17190.0,14503.0,18129.0,18226.0,17295.0,16781.0,20379.0,20432.0,19177.0,20419.0,19679.0,18139.0,19854.0,
0.762,16877.0,17235.0,14518.0,18099.0,18271.0,17234.0,16796.0,20350.0,20440.0,19269.0,20404.0,19679.0,18132.0,19847.0,
0.812,16938.0,17190.0,14487.0,18106.0,18233.0,17288.0,16789.0,20372.0,20448.0,19193.0,20381.0,19694.0,18132.0,19839.0,
0.862,16915.0,17175.0,14541.0,18076.0,18256.0,17219.0,16789.0,20365.0,20425.0,19208.0,20373.0,19716.0,18147.0,19861.0,
0.912,16915.0,17198.0,14480.0,18114.0,18210.0,17227.0,16781.0,20364.0,20463.0,19193.0,20419.0,19687.0,18154.0,19824.0,
0.962,16907.0,17220.0,14495.0,18114.0,18233.0,17257.0,16789.0,20350.0,20440.0,19193.0,20388.0,19687.0,18132.0,19839.0,
1.012,16885.0,17213.0,14510.0,18129.0,18210.0,17234.0,16796.0,20334.0,20448.0,19246.0,20358.0,19694.0,18139.0,19839.0,
1.062,16892.0,17153.0,14503.0,18145.0,18210.0,17242.0,16804.0,20379.0,20425.0,19246.0,20365.0,19687.0,18154.0,19839.0,
1.112,16915.0,17175.0,14503.0,18091.0,18226.0,17272.0,16796.0,20327.0,20471.0,19185.0,20388.0,19709.0,18132.0,19854.0,
1.163,16885.0,17161.0,14549.0,18099.0,18233.0,17273.0,16796.0,20379.0,20432.0,19208.0,20419.0,19679.0,18154.0,19847.0,
1.213,16892.0,17228.0,14518.0,18091.0,18218.0,17242.0,16789.0,20364.0,20455.0,19170.0,20365.0,19724.0,18132.0,19847.0,
1.263,16915.0,17198.0,14541.0,18084.0,18218.0,17212.0,16781.0,20402.0,20471.0,19200.0,20388.0,19687.0,18154.0,19847.0,
1.313,16915.0,17183.0,14495.0,18099.0,18210.0,17219.0,16804.0,20342.0,20409.0,19223.0,20350.0,19701.0,18117.0,19869.0,
