time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16907.0,17124.0,14503.0,18099.0,18038.0,17030.0,16735.0,20364.0,20448.0,19163.0,20336.0,19656.0,18080.0,19869.0,
0.059,16884.0,17102.0,14518.0,18076.0,18015.0,17007.0,16743.0,20364.0,20433.0,19155.0,20274.0,19671.0,18102.0,19869.0,
0.109,16884.0,17169.0,14510.0,18083.0,18023.0,17045.0,16720.0,20379.0,20410.0,19109.0,20290.0,19656.0,18109.0,19847.0,
0.159,16877.0,17109.0,14510.0,18106.0,18038.0,17000.0,16728.0,20357.0,20402.0,19147.0,20297.0,19671.0,18102.0,19869.0,
0.209,16922.0,17087.0,14472.0,18083.0,18022.0,16984.0,16735.0,20334.0,20433.0,19139.0,20336.0,19686.0,18095.0,19861.0,
0.259,16892.0,17139.0,14495.0,18076.0,18023.0,17038.0,16735.0,20394.0,20402.0,19139.0,20297.0,19634.0,18109.0,19861.0,
0.309,16884.0,17109.0,14472.0,18099.0,18083.0,17015.0,16728.0,20334.0,20417.0,19163.0,20320.0,19679.0,18095.0,19861.0,
0.360,16922.0,17139.0,14487.0,18122.0,18023.0,17007.0,16720.0,20334.0,20402.0,19147.0,20321.0,19626.0,18109.0,19861.0,
0.410,16892.0,17124.0,14510.0,18137.0,18038.0,17061.0,16728.0,20364.0,20433.0,19155.0,20305.0,19656.0,18095.0,19869.0,
0.460,16884.0,17124.0,14487.0,18137.0,18023.0,16977.0,16728.0,20319.0,20440.0,19109.0,20290.0,19656.0,18087.0,19861.0,
0.510,16900.0,17132.0,14457.0,18083.0,18030.0,17023.0,16736.0,20409.0,20440.0,19185.0,20336.0,19649.0,18087.0,19869.0,
0.560,16922.0,17131.0,14487.0,18175.0,18053.0,16984.0,16735.0,20311.0,20448.0,19147.0,20305.0,19641.0,18109.0,19846.0,
0.610,16952.0,17087.0,14472.0,18114.0,18038.0,17000.0,16720.0,20394.0,20402.0,19132.0,20344.0,19679.0,18080.0,19883.0,
0.660,16869.0,17161.0,14487.0,18083.0,18030.0,16962.0,16751.0,20327.0,20394.0,19116.0,20297.0,19649.0,18080.0,19868.0,
0.711,16892.0,17146.0,14480.0,18122.0,18030.0,17061.0,16728.0,20334.0,20455.0,19139.0,20313.0,19649.0,18080.0,19861.0,
0.761,16937.0,17132.0,14472.0,18114.0,18038.0,16992.0,16736.0,20327.0,20432.0,19109.0,20336.0,19626.0,18080.0,19861.0,
0.811,16945.0,17146.0,14487.0,18091.0,18015.0,16992.0,16736.0,20371.0,20440.0,19124.0,20297.0,19679.0,18139.0,19861.0,
0.862,16892.0,17124.0,14487.0,18076.0,18038.0,17000.0,16728.0,20364.0,20448.0,19201.0,20313.0,19671.0,18109.0,19861.0,
0.912,16877.0,17132.0,14487.0,18083.0,18030.0,17030.0,16735.0,20371.0,20486.0,19147.0,20305.0,19656.0,18072.0,19869.0,
0.963,16877.0,17117.0,14465.0,18106.0,18045.0,17023.0,16743.0,20386.0,20471.0,19147.0,20351.0,19664.0,18102.0,19846.0,
1.013,16907.0,17117.0,14472.0,18076.0,18022.0,17023.0,16728.0,20416.0,20433.0,19116.0,20282.0,19649.0,18102.0,19854.0,
1.063,16930.0,17117.0,14549.0,18106.0,18038.0,17023.0,16720.0,20312.0,20417.0,19116.0,20290.0,19656.0,18095.0,19846.0,
1.113,16900.0,17169.0,14503.0,18083.0,18030.0,17030.0,16728.0,20327.0,20425.0,19124.0,20236.0,19641.0,18087.0,19861.0,
1.163,16877.0,17109.0,14487.0,18137.0,18030.0,16984.0,16735.0,20364.0,20417.0,19116.0,20313.0,19656.0,18095.0,19854.0,
1.213,16922.0,17124.0,14465.0,18106.0,18023.0,17053.0,16728.0,20357.0,20425.0,19116.0,20336.0,19656.0,18095.0,19869.0,
1.263,16907.0,17094.0,14480.0,18099.0,18038.0,17000.0,16720.0,20371.0,20440.0,19139.0,20305.0,19649.0,18109.0,19854.0,
1.314,16922.0,17146.0,14465.0,18137.0,18023.0,16985.0,16735.0,20304.0,20440.0,19178.0,20328.0,19656.0,18095.0,19846.0,
1.364,16892.0,17154.0,14465.0,18091.0,18038.0,17023.0,16728.0,20372.0,20425.0,19116.0,20328.0,19664.0,18080.0,19854.0,
1.415,16907.0,17124.0,14480.0,18083.0,18022.0,16992.0,16743.0,20349.0,20471.0,19163.0,20313.0,19671.0,18132.0,19846.0,
1.465,16945.0,17124.0,14487.0,18091.0,18053.0,17023.0,16743.0,20289.0,20440.0,19163.0,20328.0,19694.0,18095.0,19846.0,
1.515,16892.0,17117.0,14526.0,18099.0,18015.0,17000.0,16736.0,20401.0,20425.0,19186.0,20321.0,19649.0,18095.0,19869.0,
1.566,16892.0,17154.0,14457.0,18099.0,18015.0,16984.0,16743.0,20349.0,20471.0,19116.0,20320.0,19649.0,18080.0,19854.0,
1.616,16952.0,17132.0,14472.0,18068.0,18053.0,16992.0,16728.0,20386.0,20425.0,19101.0,20359.0,19694.0,18080.0,19861.0,
1.666,16884.0,17132.0,14487.0,18114.0,18022.0,17023.0,16728.0,20312.0,20417.0,19132.0,20305.0,19656.0,18080.0,19854.0,
1.716,16915.0,17139.0,14503.0,18091.0,18060.0,17061.0,16728.0,20356.0,20425.0,19147.0,20297.0,19649.0,18102.0,19854.0,
1.767,16983.0,17109.0,14487.0,18145.0,18038.0,17008.0,16720.0,20334.0,20440.0,19239.0,20282.0,19649.0,18102.0,19846.0,
1.817,16884.0,17131.0,14472.0,18122.0,18015.0,17038.0,16743.0,20349.0,20425.0,19116.0,20328.0,19656.0,18102.0,19846.0,
1.867,16877.0,17087.0,14518.0,18099.0,18038.0,16985.0,16751.0,20327.0,20448.0,19132.0,20305.0,19656.0,18102.0,19861.0,
1.918,16900.0,17154.0,14449.0,18091.0,18023.0,17000.0,16720.0,20312.0,20440.0,19155.0,20321.0,19656.0,18132.0,19846.0,
1.968,16915.0,17147.0,14495.0,18083.0,18038.0,16977.0,16728.0,20327.0,20433.0,19193.0,20344.0,19641.0,18087.0,19846.0,
2.018,16915.0,17132.0,14457.0,18129.0,18045.0,16984.0,16736.0,20297.0,20417.0,19139.0,20328.0,19701.0,18102.0,19861.0,
2.069,16945.0,17161.0,14465.0,18091.0,18053.0,16992.0,16720.0,20342.0,20448.0,19170.0,20267.0,19626.0,18117.0,19869.0,
2.119,16930.0,17132.0,14465.0,18099.0,18053.0,16992.0,16743.0,20334.0,20448.0,19139.0,20313.0,19641.0,18139.0,19869.0,
2.169,16877.0,17109.0,14457.0,18114.0,18023.0,16992.0,16720.0,20319.0,20440.0,19116.0,20320.0,19649.0,18080.0,19861.0,
2.219,16884.0,17146.0,14449.0,18083.0,18038.0,17023.0,16728.0,20319.0,20456.0,19109.0,20390.0,19649.0,18102.0,19854.0,
2.269,16907.0,17146.0,14487.0,18122.0,18022.0,17015.0,16728.0,20334.0,20448.0,19101.0,20374.0,19649.0,18072.0,19847.0,
2.319,16892.0,17087.0,14487.0,18122.0,18030.0,17068.0,16728.0,20334.0,20433.0,19132.0,20305.0,19656.0,18095.0,19868.0,
2.370,16884.0,17139.0,14472.0,18106.0,18038.0,17038.0,16720.0,20327.0,20448.0,19116.0,20336.0,19641.0,18095.0,19868.0,
2.420,16900.0,17154.0,14465.0,18060.0,18038.0,16984.0,16743.0,20311.0,20425.0,19147.0,20320.0,19679.0,18109.0,19854.0,
2.470,16930.0,17161.0,14449.0,18076.0,18030.0,16984.0,16728.0,20379.0,20448.0,19124.0,20313.0,19641.0,18102.0,19846.0,
2.520,16937.0,17094.0,14487.0,18122.0,18038.0,16977.0,16728.0,20326.0,20425.0,19109.0,20313.0,19656.0,18095.0,19854.0,
2.570,16915.0,17139.0,14472.0,18106.0,18030.0,17053.0,16743.0,20312.0,20440.0,19139.0,20274.0,19694.0,18102.0,19861.0,
2.621,16892.0,17117.0,14465.0,18083.0,18076.0,16977.0,16751.0,20342.0,20471.0,19209.0,20359.0,19649.0,18095.0,19854.0,
2.671,16915.0,17109.0,14495.0,18106.0,18007.0,16992.0,16728.0,20327.0,20440.0,19109.0,20282.0,19649.0,18095.0,19861.0,
2.721,16945.0,17102.0,14480.0,18076.0,18023.0,17000.0,16735.0,20334.0,20479.0,19147.0,20305.0,19649.0,18102.0,19861.0,
2.772,16907.0,17139.0,14472.0,18145.0,18038.0,17000.0,16743.0,20326.0,20455.0,19193.0,20313.0,19641.0,18109.0,19854.0,
2.822,16930.0,17176.0,14442.0,18129.0,18015.0,16977.0,16728.0,20327.0,20479.0,19124.0,20290.0,19649.0,18072.0,19846.0,
2.872,16900.0,17102.0,14472.0,18076.0,18061.0,16985.0,16728.0,20319.0,20448.0,19170.0,20305.0,19626.0,18072.0,19869.0,
2.922,16945.0,17154.0,14465.0,18083.0,18030.0,16977.0,16736.0,20326.0,20448.0,19124.0,20274.0,19671.0,18087.0,19854.0,
2.972,16907.0,17132.0,14449.0,18137.0,18000.0,16977.0,16728.0,20341.0,20463.0,19109.0,20320.0,19656.0,18095.0,19861.0,
3.022,16907.0,17132.0,14541.0,18129.0,18038.0,16992.0,16743.0,20334.0,20417.0,19132.0,20359.0,19649.0,18109.0,19861.0,
3.073,16915.0,17132.0,14480.0,18145.0,18038.0,17000.0,16751.0,20327.0,20471.0,19139.0,20351.0,19671.0,18095.0,19869.0,
3.123,16892.0,17154.0,14495.0,18137.0,18015.0,17046.0,16736.0,20341.0,20456.0,19163.0,20313.0,19656.0,18080.0,19861.0,
3.173,16884.0,17132.0,14487.0,18106.0,18061.0,17000.0,16735.0,20401.0,20425.0,19155.0,20320.0,19671.0,18102.0,19861.0,
3.223,16922.0,17147.0,14472.0,18175.0,18030.0,17007.0,16720.0,20349.0,20425.0,19139.0,20313.0,19626.0,18087.0,19869.0,
3.273,16922.0,17109.0,14465.0,18099.0,18030.0,16969.0,16736.0,20349.0,20471.0,19116.0,20305.0,19671.0,18080.0,19846.0,
3.324,16892.0,17132.0,14564.0,18091.0,18030.0,17007.0,16728.0,20327.0,20448.0,19132.0,20344.0,19634.0,18087.0,19846.0,
3.374,16922.0,17146.0,14487.0,18076.0,18038.0,16984.0,16743.0,20319.0,20432.0,19116.0,20290.0,19664.0,18102.0,19861.0,
3.424,16900.0,17109.0,14449.0,18106.0,18007.0,17061.0,16720.0,20349.0,20433.0,19155.0,20305.0,19641.0,18095.0,19869.0,
3.475,16937.0,17109.0,14495.0,18152.0,18045.0,17084.0,16736.0,20379.0,20517.0,19139.0,20328.0,19649.0,18095.0,19861.0,
3.525,16930.0,17109.0,14510.0,18106.0,18000.0,16992.0,16713.0,20319.0,20440.0,19109.0,20305.0,19671.0,18095.0,19861.0,
3.575,16892.0,17124.0,14487.0,18122.0,18045.0,17053.0,16728.0,20371.0,20440.0,19170.0,20297.0,19686.0,18087.0,19868.0,
3.625,16945.0,17117.0,14472.0,18114.0,18030.0,16984.0,16743.0,20319.0,20432.0,19124.0,20351.0,19664.0,18095.0,19869.0,
3.675,16915.0,17146.0,14465.0,18083.0,18015.0,16984.0,16751.0,20312.0,20440.0,19124.0,20313.0,19686.0,18102.0,19854.0,
3.725,16945.0,17109.0,14526.0,18083.0,18030.0,16992.0,16735.0,20326.0,20448.0,19139.0,20320.0,19679.0,18102.0,19846.0,
3.775,16930.0,17139.0,14472.0,18091.0,18038.0,16985.0,16728.0,20409.0,20440.0,19101.0,20336.0,19664.0,18087.0,19869.0,
3.825,16869.0,17139.0,14518.0,18076.0,18015.0,16984.0,16751.0,20386.0,20417.0,19116.0,20290.0,19656.0,18095.0,19854.0,
3.875,16937.0,17124.0,14495.0,18129.0,18038.0,16992.0,16743.0,20401.0,20433.0,19132.0,20351.0,19634.0,18109.0,19854.0,
3.926,16884.0,17162.0,14480.0,18099.0,18023.0,16977.0,16720.0,20319.0,20448.0,19147.0,20328.0,19656.0,18102.0,19846.0,
3.976,16877.0,17146.0,14480.0,18068.0,18015.0,17000.0,16720.0,20304.0,20502.0,19155.0,20344.0,19634.0,18117.0,19861.0,
4.027,16945.0,17154.0,14510.0,18076.0,18045.0,17000.0,16743.0,20319.0,20417.0,19116.0,20328.0,19634.0,18117.0,19861.0,
4.077,16915.0,17139.0,14480.0,18076.0,18053.0,17015.0,16720.0,20334.0,20440.0,19201.0,20328.0,19664.0,18080.0,19854.0,
4.127,16930.0,17154.0,14472.0,18099.0,18023.0,16969.0,16736.0,20319.0,20463.0,19124.0,20305.0,19694.0,18117.0,19861.0,
4.177,16915.0,17109.0,14480.0,18114.0,18007.0,16977.0,16728.0,20371.0,20425.0,19116.0,20282.0,19634.0,18095.0,19854.0,
4.227,16907.0,17162.0,14457.0,18129.0,18038.0,16992.0,16736.0,20319.0,20425.0,19139.0,20320.0,19671.0,18102.0,19869.0,
4.278,16900.0,17139.0,14495.0,18091.0,18053.0,16977.0,16736.0,20326.0,20487.0,19132.0,20305.0,19671.0,18080.0,19869.0,
4.328,16952.0,17102.0,14472.0,18068.0,18045.0,17007.0,16751.0,20394.0,20440.0,19132.0,20297.0,19634.0,18087.0,19869.0,
4.378,16960.0,17139.0,14465.0,18106.0,18045.0,16969.0,16743.0,20334.0,20448.0,19116.0,20297.0,19679.0,18095.0,19839.0,
4.428,16945.0,17124.0,14487.0,18129.0,18045.0,17000.0,16720.0,20304.0,20486.0,19163.0,20313.0,19679.0,18072.0,19869.0,
4.478,16945.0,17124.0,14442.0,18076.0,18015.0,17007.0,16736.0,20312.0,20440.0,19124.0,20328.0,19694.0,18139.0,19831.0,
4.528,16945.0,17161.0,14480.0,18091.0,18023.0,16992.0,16728.0,20312.0,20409.0,19139.0,20351.0,19731.0,18102.0,19869.0,
4.579,16915.0,17131.0,14487.0,18106.0,18045.0,16977.0,16743.0,20349.0,20448.0,19162.0,20290.0,19649.0,18087.0,19861.0,
4.629,16915.0,17132.0,14465.0,18099.0,18030.0,17053.0,16736.0,20312.0,20494.0,19178.0,20313.0,19649.0,18087.0,19854.0,
4.679,16884.0,17161.0,14472.0,18083.0,18023.0,16992.0,16736.0,20356.0,20463.0,19147.0,20305.0,19641.0,18087.0,19846.0,
4.729,16884.0,17146.0,14465.0,18060.0,18023.0,16992.0,16720.0,20327.0,20471.0,19139.0,20305.0,19634.0,18072.0,19861.0,
4.779,16907.0,17132.0,14487.0,18145.0,18038.0,16992.0,16720.0,20326.0,20425.0,19178.0,20290.0,19641.0,18124.0,19861.0,
