frame_num,time_s,
0,0.026,
1,0.076,
2,0.127,
3,0.177,
4,0.227,
5,0.277,
6,0.327,
7,0.377,
8,0.428,
9,0.478,
10,0.528,
11,0.578,
12,0.628,
13,0.678,
14,0.734,
15,0.802,
16,0.870,
17,0.935,
18,1.002,
19,1.070,
20,1.134,
21,1.203,
22,1.271,
23,1.334,
24,1.402,
25,1.470,
26,1.535,
27,1.603,
28,1.671,
29,1.734,
30,1.802,
31,1.866,
32,1.944,
33,2.003,
34,2.066,
35,2.135,
36,2.203,
37,2.266,
38,2.335,
39,2.402,
40,2.467,
41,2.535,
42,2.603,
43,2.666,
44,2.734,
45,2.803,
46,2.867,
47,2.934,
48,2.998,
49,3.066,
50,3.135,
51,3.198,
52,3.266,
53,3.334,
54,3.399,
55,3.467,
56,3.535,
57,3.599,
58,3.667,
59,3.735,
60,3.799,
61,3.866,
62,3.930,
63,3.999,
64,4.066,
65,4.130,
66,4.198,
67,4.267,
68,4.331,
69,4.399,
70,4.467,
71,4.530,
72,4.598,
73,4.667,
74,4.732,
75,4.798,
76,4.867,
77,4.931,
78,5.000,
79,5.062,
80,5.130,
81,5.199,
82,5.262,
83,5.331,
84,5.398,
85,5.463,
86,5.532,
87,5.599,
88,5.662,
89,5.731,
90,5.800,
91,5.863,
92,5.931,
93,5.999,
94,6.063,
95,6.131,
96,6.194,
97,6.263,
98,6.331,
99,6.394,
100,6.464,
101,6.532,
102,6.594,
103,6.663,
104,6.732,
105,6.794,
106,6.863,
107,6.930,
108,6.995,
109,7.063,
110,7.126,
111,7.195,
112,7.263,
113,7.327,
114,7.395,
115,7.463,
116,7.527,
117,7.594,
118,7.663,
119,7.726,
120,7.795,
121,7.863,
122,7.927,
123,7.995,
124,8.063,
125,8.127,
126,8.194,
127,8.259,
128,8.326,
129,8.395,
130,8.458,
131,8.527,
132,8.595,
133,8.659,
134,8.728,
135,8.795,
136,8.859,
137,8.927,
138,8.995,
139,9.058,
140,9.127,
141,9.196,
142,9.259,
143,9.327,
144,9.391,
145,9.459,
146,9.527,
147,9.591,
148,9.659,
149,9.727,
150,9.790,
151,9.859,
152,9.926,
153,9.990,
154,10.058,
155,10.128,
156,10.191,
157,10.258,
158,10.322,
159,10.390,
160,10.459,
161,10.522,
162,10.590,
163,10.659,
164,10.723,
165,10.791,
166,10.859,
167,10.922,
168,10.991,
169,11.059,
170,11.123,
171,11.191,
172,11.259,
173,11.323,
174,11.391,
175,11.454,
176,11.522,
177,11.591,
178,11.654,
179,11.723,
180,11.792,
181,11.854,
182,11.923,
183,11.992,
184,12.055,
185,12.123,
186,12.190,
187,12.255,
188,12.323,
189,12.391,
190,12.455,
191,12.523,
192,12.586,
193,12.654,
194,12.723,
195,12.786,
196,12.856,
197,12.922,
198,12.986,
199,13.054,
200,13.132,
201,13.187,
202,13.255,
203,13.322,
204,13.386,
205,13.455,
206,13.519,
207,13.586,
208,13.655,
209,13.719,
210,13.788,
211,13.855,
212,13.918,
213,13.986,
214,14.055,
215,14.119,
216,14.186,
217,14.255,
218,14.319,
219,14.387,
220,14.455,
221,14.518,
222,14.587,
223,14.650,
224,14.719,
225,14.787,
226,14.851,
227,14.918,
228,14.988,
229,15.050,
230,15.118,
231,15.187,
232,15.250,
233,15.319,
234,15.387,
235,15.450,
236,15.519,
237,15.587,
238,15.650,
239,15.719,
240,15.783,
241,15.851,
242,15.920,
243,15.983,
244,16.051,
245,16.119,
246,16.183,
247,16.252,
248,16.320,
249,16.382,
250,16.450,
251,16.520,
252,16.583,
253,16.651,
254,16.715,
255,16.782,
256,16.852,
257,16.915,
258,16.983,
259,17.051,
260,17.115,
261,17.182,
262,17.251,
263,17.315,
264,17.383,
265,17.451,
266,17.515,
267,17.583,
268,17.651,
269,17.715,
270,17.783,
271,17.847,
272,17.915,
273,17.983,
274,18.047,
