frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.219,
5,0.269,
6,0.320,
7,0.371,
8,0.421,
9,0.472,
10,0.522,
11,0.572,
12,0.622,
13,0.673,
14,0.731,
15,0.798,
16,0.865,
17,0.931,
18,0.998,
19,1.064,
20,1.131,
21,1.198,
22,1.264,
23,1.331,
24,1.397,
25,1.464,
26,1.531,
27,1.597,
28,1.663,
29,1.730,
30,1.797,
31,1.864,
32,1.930,
33,1.997,
34,2.063,
35,2.130,
36,2.196,
37,2.263,
38,2.330,
39,2.396,
40,2.463,
41,2.530,
42,2.596,
43,2.663,
44,2.729,
45,2.796,
46,2.863,
47,2.929,
48,2.995,
49,3.062,
50,3.129,
51,3.196,
52,3.262,
53,3.329,
54,3.395,
55,3.462,
56,3.528,
57,3.595,
58,3.662,
59,3.728,
60,3.795,
61,3.861,
62,3.928,
63,3.995,
64,4.061,
65,4.128,
66,4.194,
67,4.261,
68,4.328,
69,4.394,
70,4.461,
71,4.528,
72,4.594,
73,4.660,
74,4.727,
75,4.793,
76,4.861,
77,4.927,
78,4.993,
79,5.060,
80,5.127,
81,5.194,
82,5.260,
83,5.326,
84,5.393,
85,5.460,
86,5.527,
87,5.593,
88,5.659,
89,5.726,
90,5.793,
91,5.860,
92,5.926,
93,5.992,
94,6.059,
95,6.126,
96,6.193,
97,6.259,
98,6.326,
99,6.392,
100,6.459,
101,6.525,
102,6.592,
103,6.659,
104,6.725,
105,6.792,
106,6.858,
107,6.925,
108,6.991,
109,7.058,
110,7.125,
111,7.191,
112,7.258,
113,7.325,
114,7.392,
115,7.458,
116,7.524,
117,7.591,
118,7.658,
119,7.725,
120,7.791,
121,7.857,
122,7.925,
123,7.990,
124,8.057,
125,8.123,
126,8.190,
127,8.257,
128,8.323,
129,8.390,
130,8.457,
131,8.523,
132,8.590,
133,8.657,
134,8.723,
135,8.789,
136,8.856,
137,8.923,
138,8.990,
139,9.056,
140,9.123,
141,9.189,
142,9.256,
143,9.323,
144,9.389,
145,9.455,
146,9.522,
147,9.589,
148,9.655,
149,9.722,
150,9.789,
151,9.855,
152,9.922,
153,9.988,
154,10.055,
155,10.122,
156,10.188,
157,10.255,
158,10.321,
159,10.389,
160,10.454,
161,10.521,
162,10.587,
163,10.654,
164,10.721,
165,10.788,
166,10.854,
167,10.921,
168,10.987,
169,11.054,
170,11.121,
171,11.187,
172,11.254,
173,11.321,
174,11.387,
175,11.454,
176,11.520,
177,11.587,
178,11.653,
179,11.720,
180,11.786,
181,11.853,
182,11.920,
183,11.987,
184,12.053,
185,12.120,
186,12.186,
187,12.253,
188,12.319,
189,12.386,
190,12.452,
191,12.519,
192,12.586,
193,12.652,
194,12.719,
195,12.785,
196,12.852,
197,12.919,
198,12.985,
199,13.052,
200,13.119,
201,13.185,
202,13.251,
203,13.318,
204,13.385,
205,13.451,
206,13.518,
207,13.584,
208,13.651,
209,13.718,
210,13.784,
211,13.851,
212,13.918,
213,13.984,
214,14.051,
215,14.117,
216,14.184,
217,14.250,
218,14.317,
219,14.384,
220,14.450,
221,14.517,
222,14.583,
223,14.650,
224,14.717,
225,14.783,
226,14.850,
227,14.916,
228,14.983,
229,15.050,
230,15.116,
231,15.183,
232,15.250,
233,15.316,
234,15.383,
235,15.449,
236,15.516,
237,15.582,
238,15.649,
239,15.716,
240,15.782,
241,15.849,
242,15.916,
243,15.983,
244,16.049,
245,16.115,
246,16.183,
247,16.248,
248,16.315,
249,16.382,
250,16.448,
251,16.515,
252,16.582,
253,16.648,
254,16.715,
255,16.782,
256,16.848,
257,16.915,
258,16.982,
259,17.048,
260,17.115,
261,17.181,
262,17.248,
263,17.314,
264,17.381,
265,17.447,
266,17.515,
267,17.581,
268,17.647,
269,17.714,
270,17.781,
271,17.847,
272,17.914,
273,17.980,
274,18.047,
275,18.113,
276,18.181,
277,18.246,
278,18.313,
279,18.380,
280,18.446,
281,18.513,
282,18.579,
283,18.646,
284,18.713,
285,18.780,
286,18.846,
287,18.912,
288,18.979,
289,19.046,
290,19.113,
291,19.179,
292,19.245,
293,19.312,
294,19.378,
295,19.445,
296,19.512,
297,19.579,
298,19.645,
299,19.711,
300,19.778,
301,19.844,
302,19.911,
303,19.978,
304,20.044,
305,20.111,
306,20.178,
307,20.245,
308,20.311,
309,20.377,
310,20.443,
311,20.511,
312,20.578,
313,20.644,
314,20.710,
315,20.777,
316,20.843,
317,20.910,
318,20.977,
319,21.043,
320,21.110,
321,21.177,
322,21.243,
323,21.310,
324,21.376,
325,21.443,
326,21.510,
327,21.576,
328,21.642,
329,21.709,
330,21.776,
331,21.842,
332,21.909,
333,21.976,
334,22.042,
335,22.109,
336,22.176,
337,22.242,
338,22.309,
339,22.376,
340,22.442,
341,22.509,
342,22.575,
343,22.642,
344,22.708,
345,22.775,
346,22.841,
347,22.908,
348,22.975,
349,23.041,
350,23.108,
351,23.187,
352,23.241,
353,23.307,
354,23.374,
355,23.441,
356,23.507,
357,23.574,
358,23.640,
359,23.707,
360,23.774,
361,23.841,
362,23.908,
363,23.974,
364,24.040,
365,24.107,
366,24.174,
367,24.240,
368,24.306,
369,24.373,
370,24.439,
371,24.506,
372,24.573,
373,24.639,
374,24.706,
375,24.773,
376,24.840,
377,24.906,
378,24.972,
379,25.039,
380,25.106,
381,25.173,
382,25.239,
383,25.305,
384,25.372,
385,25.439,
386,25.506,
387,25.572,
388,25.638,
389,25.705,
390,25.771,
391,25.838,
392,25.905,
393,25.972,
394,26.038,
395,26.104,
396,26.171,
397,26.238,
398,26.304,
399,26.371,
