time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.011,16824.0,17131.0,14549.0,18107.0,18159.0,17145.0,16766.0,20305.0,20386.0,19131.0,20273.0,19634.0,18087.0,19803.0,
0.061,16824.0,17146.0,14533.0,18061.0,18151.0,17182.0,16766.0,20245.0,20363.0,19139.0,20297.0,19642.0,18087.0,19825.0,
0.111,16824.0,17176.0,14510.0,18061.0,18166.0,17183.0,16758.0,20260.0,20386.0,19170.0,20243.0,19627.0,18080.0,19832.0,
0.161,16817.0,17131.0,14518.0,18099.0,18144.0,17190.0,16766.0,20282.0,20378.0,19139.0,20289.0,19627.0,18087.0,19832.0,
0.211,16824.0,17168.0,14510.0,18068.0,18159.0,17182.0,16758.0,20267.0,20378.0,19193.0,20304.0,19642.0,18095.0,19832.0,
0.261,16809.0,17131.0,14564.0,18084.0,18128.0,17198.0,16781.0,20237.0,20463.0,19185.0,20312.0,19619.0,18072.0,19840.0,
0.312,16817.0,17131.0,14526.0,18114.0,18151.0,17129.0,16773.0,20275.0,20394.0,19193.0,20273.0,19612.0,18080.0,19839.0,
0.362,16802.0,17153.0,14556.0,18099.0,18159.0,17114.0,16750.0,20290.0,20394.0,19139.0,20258.0,19642.0,18057.0,19817.0,
0.412,16824.0,17146.0,14526.0,18091.0,18136.0,17144.0,16766.0,20305.0,20370.0,19139.0,20281.0,19619.0,18072.0,19832.0,
0.462,16817.0,17161.0,14495.0,18076.0,18166.0,17152.0,16766.0,20267.0,20378.0,19101.0,20273.0,19657.0,18057.0,19810.0,
0.513,16832.0,17183.0,14541.0,18107.0,18144.0,17152.0,16773.0,20335.0,20355.0,19108.0,20250.0,19642.0,18102.0,19817.0,
0.563,16817.0,17175.0,14541.0,18099.0,18128.0,17205.0,16766.0,20305.0,20394.0,19124.0,20281.0,19642.0,18080.0,19840.0,
0.613,16824.0,17124.0,14518.0,18099.0,18144.0,17114.0,16773.0,20260.0,20386.0,19154.0,20273.0,19649.0,18065.0,19825.0,
0.663,16817.0,17161.0,14510.0,18107.0,18166.0,17129.0,16766.0,20290.0,20371.0,19162.0,20258.0,19627.0,18072.0,19817.0,
0.714,16809.0,17176.0,14533.0,18130.0,18204.0,17175.0,16773.0,20245.0,20386.0,19131.0,20297.0,19634.0,18057.0,19825.0,
0.764,16832.0,17183.0,14549.0,18053.0,18151.0,17152.0,16750.0,20282.0,20394.0,19185.0,20320.0,19649.0,18087.0,19832.0,
0.814,16809.0,17213.0,14518.0,18068.0,18204.0,17244.0,16766.0,20252.0,20386.0,19108.0,20289.0,19664.0,18087.0,19832.0,
0.864,16824.0,17183.0,14518.0,18114.0,18151.0,17228.0,16766.0,20297.0,20371.0,19139.0,20296.0,19642.0,18095.0,19832.0,
0.914,16877.0,17161.0,14518.0,18107.0,18144.0,17167.0,16781.0,20282.0,20394.0,19147.0,20250.0,19657.0,18087.0,19840.0,
0.964,16817.0,17138.0,14541.0,18130.0,18174.0,17160.0,16766.0,20312.0,20378.0,19108.0,20297.0,19627.0,18095.0,19832.0,
1.015,16809.0,17146.0,14541.0,18084.0,18189.0,17121.0,16773.0,20312.0,20394.0,19124.0,20297.0,19709.0,18095.0,19825.0,
1.065,16824.0,17161.0,14510.0,18076.0,18159.0,17137.0,16750.0,20297.0,20394.0,19116.0,20266.0,19619.0,18080.0,19818.0,
1.115,16839.0,17153.0,14541.0,18084.0,18151.0,17129.0,16773.0,20245.0,20363.0,19139.0,20312.0,19657.0,18095.0,19810.0,
1.165,16832.0,17161.0,14503.0,18076.0,18151.0,17144.0,16766.0,20320.0,20386.0,19170.0,20312.0,19619.0,18057.0,19839.0,
1.215,16802.0,17161.0,14510.0,18076.0,18144.0,17145.0,16758.0,20252.0,20378.0,19108.0,20258.0,19649.0,18065.0,19810.0,
1.265,16824.0,17153.0,14518.0,18107.0,18151.0,17144.0,16773.0,20297.0,20386.0,19139.0,20258.0,19634.0,18095.0,19817.0,
1.316,16839.0,17146.0,14564.0,18091.0,18159.0,17152.0,16750.0,20267.0,20378.0,19147.0,20281.0,19634.0,18080.0,19825.0,
1.367,16832.0,17131.0,14541.0,18076.0,18159.0,17205.0,16766.0,20290.0,20386.0,19108.0,20250.0,19634.0,18102.0,19810.0,
1.417,16847.0,17161.0,14510.0,18099.0,18136.0,17152.0,16758.0,20342.0,20378.0,19093.0,20243.0,19679.0,18072.0,19847.0,
1.467,16847.0,17124.0,14533.0,18076.0,18151.0,17114.0,16758.0,20275.0,20378.0,19124.0,20297.0,19649.0,18087.0,19817.0,
1.517,16832.0,17138.0,14556.0,18076.0,18144.0,17137.0,16750.0,20365.0,20386.0,19154.0,20250.0,19642.0,18087.0,19825.0,
1.567,16847.0,17146.0,14510.0,18068.0,18197.0,17106.0,16766.0,20290.0,20401.0,19101.0,20304.0,19612.0,18072.0,19832.0,
1.617,16824.0,17168.0,14518.0,18114.0,18166.0,17144.0,16766.0,20282.0,20371.0,19101.0,20273.0,19649.0,18095.0,19832.0,
1.667,16832.0,17138.0,14487.0,18091.0,18136.0,17144.0,16773.0,20260.0,20386.0,19093.0,20312.0,19634.0,18087.0,19825.0,
1.718,16824.0,17146.0,14526.0,18061.0,18151.0,17114.0,16750.0,20267.0,20432.0,19131.0,20266.0,19604.0,18080.0,19825.0,
1.768,16839.0,17176.0,14503.0,18068.0,18136.0,17228.0,16781.0,20312.0,20378.0,19124.0,20273.0,19619.0,18072.0,19817.0,
1.819,16817.0,17176.0,14518.0,18084.0,18159.0,17228.0,16781.0,20290.0,20386.0,19108.0,20266.0,19649.0,18087.0,19825.0,
1.869,16817.0,17138.0,14518.0,18076.0,18144.0,17129.0,16758.0,20312.0,20401.0,19124.0,20258.0,19649.0,18095.0,19825.0,
1.919,16824.0,17153.0,14533.0,18114.0,18159.0,17213.0,16766.0,20357.0,20417.0,19131.0,20266.0,19649.0,18065.0,19817.0,
1.970,16824.0,17205.0,14526.0,18084.0,18151.0,17114.0,16758.0,20297.0,20371.0,19124.0,20258.0,19649.0,18080.0,19825.0,
2.020,16817.0,17123.0,14533.0,18068.0,18220.0,17137.0,16743.0,20290.0,20417.0,19147.0,20297.0,19634.0,18065.0,19825.0,
2.071,16802.0,17138.0,14533.0,18076.0,18174.0,17152.0,16766.0,20260.0,20371.0,19108.0,20258.0,19664.0,18065.0,19832.0,
2.121,16817.0,17153.0,14526.0,18122.0,18144.0,17122.0,16750.0,20282.0,20371.0,19116.0,20296.0,19664.0,18065.0,19832.0,
2.171,16824.0,17176.0,14541.0,18114.0,18159.0,17160.0,16750.0,20305.0,20363.0,19162.0,20266.0,19642.0,18080.0,19817.0,
2.222,16824.0,17191.0,14487.0,18114.0,18159.0,17145.0,16758.0,20275.0,20386.0,19131.0,20266.0,19649.0,18087.0,19817.0,
2.272,16847.0,17161.0,14549.0,18091.0,18159.0,17129.0,16750.0,20252.0,20371.0,19124.0,20289.0,19642.0,18072.0,19832.0,
2.322,16824.0,17131.0,14510.0,18130.0,18182.0,17129.0,16758.0,20319.0,20378.0,19139.0,20273.0,19634.0,18087.0,19832.0,
2.373,16817.0,17161.0,14510.0,18076.0,18136.0,17129.0,16773.0,20260.0,20378.0,19108.0,20266.0,19642.0,18050.0,19832.0,
2.423,16824.0,17161.0,14556.0,18107.0,18159.0,17175.0,16766.0,20327.0,20378.0,19154.0,20281.0,19627.0,18087.0,19825.0,
2.473,16817.0,17176.0,14526.0,18084.0,18136.0,17175.0,16758.0,20342.0,20386.0,19177.0,20304.0,19657.0,18072.0,19817.0,
2.523,16832.0,17116.0,14518.0,18099.0,18174.0,17167.0,16766.0,20290.0,20386.0,19093.0,20296.0,19627.0,18072.0,19817.0,
2.573,16794.0,17153.0,14533.0,18114.0,18151.0,17205.0,16735.0,20312.0,20394.0,19170.0,20266.0,19634.0,18087.0,19825.0,
2.624,16817.0,17123.0,14533.0,18099.0,18136.0,17175.0,16773.0,20290.0,20371.0,19116.0,20281.0,19649.0,18080.0,19825.0,
2.674,16847.0,17168.0,14503.0,18084.0,18144.0,17137.0,16758.0,20305.0,20394.0,19124.0,20289.0,19627.0,18139.0,19832.0,
2.724,16817.0,17161.0,14533.0,18099.0,18144.0,17183.0,16758.0,20305.0,20370.0,19108.0,20266.0,19672.0,18087.0,19832.0,
2.774,16824.0,17123.0,14510.0,18099.0,18136.0,17129.0,16789.0,20260.0,20378.0,19116.0,20258.0,19649.0,18080.0,19832.0,
2.825,16817.0,17190.0,14518.0,18107.0,18128.0,17137.0,16750.0,20327.0,20378.0,19147.0,20258.0,19649.0,18065.0,19810.0,
2.875,16832.0,17183.0,14526.0,18107.0,18159.0,17160.0,16750.0,20305.0,20409.0,19177.0,20312.0,19649.0,18065.0,19825.0,
2.926,16809.0,17131.0,14518.0,18122.0,18189.0,17137.0,16758.0,20297.0,20386.0,19139.0,20273.0,19679.0,18072.0,19832.0,
2.976,16839.0,17183.0,14571.0,18122.0,18128.0,17198.0,16789.0,20327.0,20370.0,19154.0,20273.0,19627.0,18072.0,19817.0,
3.026,16832.0,17161.0,14510.0,18099.0,18166.0,17167.0,16766.0,20297.0,20401.0,19162.0,20266.0,19634.0,18080.0,19817.0,
3.076,16832.0,17168.0,14510.0,18114.0,18174.0,17122.0,16781.0,20312.0,20378.0,19154.0,20304.0,19649.0,18072.0,19817.0,
3.126,16839.0,17153.0,14510.0,18084.0,18144.0,17205.0,16766.0,20267.0,20409.0,19131.0,20281.0,19642.0,18057.0,19810.0,
3.176,16817.0,17131.0,14533.0,18091.0,18159.0,17183.0,16750.0,20282.0,20401.0,19124.0,20304.0,19664.0,18072.0,19817.0,
3.226,16817.0,17168.0,14549.0,18076.0,18144.0,17175.0,16781.0,20245.0,20371.0,19162.0,20266.0,19657.0,18102.0,19847.0,
3.277,16847.0,17153.0,14518.0,18114.0,18136.0,17144.0,16766.0,20260.0,20409.0,19124.0,20266.0,19657.0,18109.0,19818.0,
3.328,16817.0,17116.0,14518.0,18091.0,18167.0,17129.0,16773.0,20282.0,20371.0,19178.0,20304.0,19612.0,18087.0,19817.0,
3.378,16809.0,17161.0,14503.0,18068.0,18167.0,17137.0,16773.0,20290.0,20394.0,19116.0,20281.0,19627.0,18072.0,19810.0,
3.428,16817.0,17168.0,14510.0,18137.0,18128.0,17221.0,16750.0,20252.0,20379.0,19139.0,20289.0,19642.0,18050.0,19832.0,
3.478,16824.0,17138.0,14518.0,18107.0,18159.0,17129.0,16750.0,20275.0,20371.0,19116.0,20273.0,19619.0,18072.0,19825.0,
3.528,16802.0,17176.0,14518.0,18091.0,18151.0,17228.0,16773.0,20237.0,20386.0,19154.0,20273.0,19634.0,18080.0,19825.0,
3.578,16802.0,17168.0,14510.0,18091.0,18144.0,17198.0,16750.0,20275.0,20401.0,19116.0,20297.0,19634.0,18065.0,19840.0,
3.628,16839.0,17153.0,14518.0,18068.0,18159.0,17137.0,16750.0,20268.0,20363.0,19116.0,20258.0,19664.0,18095.0,19825.0,
3.678,16877.0,17176.0,14510.0,18084.0,18144.0,17129.0,16766.0,20305.0,20386.0,19139.0,20281.0,19634.0,18095.0,19817.0,
3.729,16824.0,17183.0,14518.0,18068.0,18151.0,17236.0,16758.0,20252.0,20378.0,19170.0,20258.0,19657.0,18080.0,19810.0,
3.779,16809.0,17153.0,14556.0,18114.0,18166.0,17152.0,16766.0,20260.0,20363.0,19131.0,20289.0,19657.0,18072.0,19840.0,
3.829,16817.0,17176.0,14556.0,18045.0,18159.0,17198.0,16758.0,20320.0,20416.0,19131.0,20243.0,19627.0,18109.0,19832.0,
3.879,16809.0,17153.0,14518.0,18091.0,18144.0,17137.0,16766.0,20252.0,20401.0,19101.0,20289.0,19649.0,18087.0,19825.0,
3.929,16809.0,17161.0,14487.0,18061.0,18159.0,17144.0,16766.0,20320.0,20401.0,19108.0,20266.0,19649.0,18080.0,19825.0,
3.979,16817.0,17146.0,14518.0,18099.0,18144.0,17228.0,16758.0,20245.0,20432.0,19170.0,20281.0,19642.0,18072.0,19825.0,
4.030,16809.0,17168.0,14541.0,18122.0,18144.0,17137.0,16766.0,20252.0,20386.0,19147.0,20296.0,19627.0,18109.0,19825.0,
4.080,16824.0,17153.0,14510.0,18091.0,18159.0,17129.0,16766.0,20312.0,20394.0,19177.0,20273.0,19634.0,18057.0,19810.0,
4.130,16832.0,17131.0,14503.0,18091.0,18151.0,17144.0,16758.0,20305.0,20394.0,19162.0,20297.0,19642.0,18065.0,19832.0,
4.181,16824.0,17168.0,14533.0,18091.0,18151.0,17213.0,16773.0,20320.0,20371.0,19139.0,20289.0,19642.0,18080.0,19825.0,
4.231,16794.0,17161.0,14518.0,18076.0,18136.0,17198.0,16750.0,20290.0,20378.0,19116.0,20258.0,19627.0,18072.0,19840.0,
4.282,16832.0,17183.0,14549.0,18099.0,18144.0,17122.0,16773.0,20282.0,20371.0,19093.0,20304.0,19634.0,18072.0,19825.0,
4.332,16817.0,17138.0,14503.0,18091.0,18151.0,17167.0,16773.0,20305.0,20394.0,19101.0,20258.0,19634.0,18065.0,19817.0,
4.382,16817.0,17123.0,14549.0,18076.0,18136.0,17244.0,16766.0,20320.0,20401.0,19162.0,20281.0,19657.0,18050.0,19825.0,
4.432,16809.0,17131.0,14518.0,18068.0,18189.0,17122.0,16758.0,20297.0,20409.0,19170.0,20258.0,19701.0,18072.0,19832.0,
4.482,16802.0,17146.0,14487.0,18084.0,18151.0,17114.0,16781.0,20267.0,20378.0,19124.0,20258.0,19664.0,18095.0,19832.0,
4.532,16817.0,17183.0,14510.0,18107.0,18151.0,17106.0,16758.0,20267.0,20378.0,19093.0,20273.0,19649.0,18072.0,19832.0,
4.583,16802.0,17168.0,14533.0,18084.0,18151.0,17160.0,16750.0,20252.0,20386.0,19131.0,20297.0,19649.0,18057.0,19825.0,
4.633,16809.0,17138.0,14526.0,18091.0,18197.0,17129.0,16750.0,20297.0,20363.0,19131.0,20289.0,19649.0,18109.0,19825.0,
4.683,16824.0,17138.0,14541.0,18145.0,18151.0,17137.0,16750.0,20297.0,20386.0,19116.0,20296.0,19679.0,18102.0,19818.0,
4.733,16832.0,17146.0,14510.0,18130.0,18159.0,17129.0,16766.0,20282.0,20363.0,19116.0,20250.0,19642.0,18065.0,19832.0,
4.783,16817.0,17191.0,14518.0,18076.0,18159.0,17182.0,16758.0,20282.0,20371.0,19131.0,20266.0,19649.0,18080.0,19810.0,
4.833,16817.0,17131.0,14556.0,18084.0,18159.0,17160.0,16773.0,20260.0,20371.0,19108.0,20266.0,19634.0,18072.0,19832.0,
4.883,16824.0,17146.0,14518.0,18076.0,18136.0,17144.0,16750.0,20267.0,20401.0,19154.0,20258.0,19634.0,18072.0,19825.0,
4.933,16817.0,17153.0,14526.0,18068.0,18159.0,17137.0,16766.0,20305.0,20370.0,19116.0,20281.0,19627.0,18080.0,19825.0,
4.983,16809.0,17176.0,14495.0,18061.0,18144.0,17205.0,16766.0,20305.0,20394.0,19170.0,20258.0,19634.0,18080.0,19817.0,
5.034,16802.0,17108.0,14556.0,18122.0,18144.0,17198.0,16750.0,20357.0,20394.0,19116.0,20266.0,19649.0,18072.0,19825.0,
5.084,16817.0,17131.0,14495.0,18130.0,18159.0,17152.0,16773.0,20297.0,20363.0,19116.0,20273.0,19657.0,18087.0,19817.0,
5.134,16817.0,17183.0,14487.0,18099.0,18182.0,17198.0,16758.0,20312.0,20363.0,19108.0,20273.0,19619.0,18080.0,19817.0,
5.184,16817.0,17161.0,14518.0,18084.0,18174.0,17190.0,16773.0,20327.0,20363.0,19085.0,20289.0,19679.0,18057.0,19832.0,
5.234,16870.0,17146.0,14549.0,18099.0,18144.0,17129.0,16766.0,20320.0,20363.0,19093.0,20258.0,19672.0,18124.0,19832.0,
5.285,16809.0,17168.0,14510.0,18084.0,18144.0,17152.0,16766.0,20297.0,20386.0,19147.0,20289.0,19627.0,18087.0,19832.0,
5.335,16870.0,17138.0,14526.0,18068.0,18151.0,17129.0,16766.0,20304.0,20378.0,19147.0,20266.0,19649.0,18057.0,19832.0,
5.385,16809.0,17123.0,14495.0,18061.0,18136.0,17152.0,16766.0,20305.0,20386.0,19116.0,20266.0,19627.0,18072.0,19825.0,
5.435,16870.0,17168.0,14510.0,18076.0,18159.0,17122.0,16773.0,20357.0,20370.0,19116.0,20297.0,19642.0,18065.0,19840.0,
5.485,16809.0,17168.0,14472.0,18091.0,18151.0,17175.0,16758.0,20327.0,20417.0,19131.0,20304.0,19649.0,18087.0,19825.0,
5.535,16802.0,17168.0,14487.0,18061.0,18144.0,17152.0,16750.0,20275.0,20401.0,19147.0,20273.0,19649.0,18072.0,19817.0,
5.586,16817.0,17124.0,14533.0,18153.0,18151.0,17137.0,16743.0,20260.0,20386.0,19108.0,20289.0,19672.0,18109.0,19825.0,
5.636,16817.0,17146.0,14533.0,18099.0,18151.0,17144.0,16758.0,20260.0,20386.0,19116.0,20258.0,19642.0,18087.0,19825.0,
5.686,16892.0,17168.0,14487.0,18053.0,18166.0,17137.0,16766.0,20320.0,20378.0,19147.0,20266.0,19634.0,18065.0,19825.0,
5.736,16802.0,17138.0,14503.0,18076.0,18151.0,17160.0,16758.0,20342.0,20386.0,19093.0,20304.0,19642.0,18080.0,19832.0,
5.786,16809.0,17168.0,14487.0,18061.0,18167.0,17160.0,16758.0,20290.0,20386.0,19108.0,20273.0,19657.0,18102.0,19832.0,
5.836,16824.0,17190.0,14571.0,18145.0,18143.0,17106.0,16750.0,20350.0,20363.0,19116.0,20312.0,19649.0,18087.0,19817.0,
5.887,16809.0,17161.0,14518.0,18107.0,18144.0,17175.0,16750.0,20267.0,20386.0,19108.0,20312.0,19649.0,18080.0,19817.0,
5.937,16817.0,17175.0,14526.0,18091.0,18159.0,17129.0,16766.0,20282.0,20386.0,19116.0,20273.0,19649.0,18095.0,19817.0,
5.987,16824.0,17168.0,14503.0,18084.0,18174.0,17129.0,16766.0,20297.0,20363.0,19116.0,20250.0,19642.0,18072.0,19840.0,
6.038,16847.0,17138.0,14487.0,18114.0,18166.0,17122.0,16766.0,20320.0,20378.0,19178.0,20281.0,19642.0,18095.0,19832.0,
6.088,16817.0,17168.0,14503.0,18061.0,18151.0,17122.0,16758.0,20342.0,20386.0,19116.0,20296.0,19634.0,18072.0,19817.0,
6.138,16809.0,17123.0,14533.0,18076.0,18151.0,17183.0,16766.0,20305.0,20371.0,19139.0,20266.0,19642.0,18050.0,19825.0,
6.188,16832.0,17146.0,14495.0,18122.0,18159.0,17114.0,16773.0,20297.0,20401.0,19155.0,20258.0,19619.0,18087.0,19832.0,
6.238,16817.0,17138.0,14503.0,18130.0,18144.0,17167.0,16750.0,20290.0,20378.0,19139.0,20258.0,19649.0,18065.0,19817.0,
6.288,16824.0,17161.0,14510.0,18084.0,18136.0,17160.0,16758.0,20267.0,20394.0,19116.0,20266.0,19657.0,18080.0,19832.0,
6.339,16855.0,17146.0,14533.0,18068.0,18159.0,17198.0,16750.0,20290.0,20370.0,19101.0,20296.0,19672.0,18102.0,19832.0,
6.389,16824.0,17168.0,14510.0,18061.0,18159.0,17198.0,16781.0,20275.0,20394.0,19116.0,20304.0,19642.0,18080.0,19825.0,
6.439,16824.0,17146.0,14503.0,18099.0,18121.0,17144.0,16750.0,20275.0,20409.0,19108.0,20266.0,19627.0,18065.0,19840.0,
6.489,16824.0,17146.0,14495.0,18076.0,18151.0,17183.0,16758.0,20334.0,20394.0,19101.0,20281.0,19657.0,18065.0,19817.0,
6.539,16824.0,17131.0,14495.0,18084.0,18144.0,17167.0,16766.0,20290.0,20371.0,19154.0,20243.0,19642.0,18080.0,19818.0,
6.589,16824.0,17161.0,14495.0,18114.0,18144.0,17167.0,16766.0,20350.0,20340.0,19170.0,20296.0,19664.0,18072.0,19840.0,
6.640,16840.0,17138.0,14526.0,18084.0,18151.0,17160.0,16758.0,20335.0,20371.0,19147.0,20258.0,19634.0,18080.0,19832.0,
6.690,16839.0,17161.0,14541.0,18061.0,18159.0,17114.0,16781.0,20298.0,20378.0,19101.0,20297.0,19649.0,18095.0,19825.0,
6.741,16802.0,17124.0,14533.0,18107.0,18136.0,17145.0,16743.0,20290.0,20378.0,19108.0,20266.0,19634.0,18080.0,19817.0,
6.791,16809.0,17168.0,14541.0,18084.0,18166.0,17145.0,16773.0,20298.0,20378.0,19154.0,20289.0,19627.0,18095.0,19832.0,
