time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16915.0,17184.0,14480.0,18076.0,18037.0,17038.0,16751.0,20334.0,20455.0,19116.0,20328.0,19627.0,18072.0,19846.0,
0.059,16884.0,17161.0,14457.0,18068.0,18030.0,16977.0,16743.0,20311.0,20417.0,19116.0,20313.0,19656.0,18080.0,19845.0,
0.109,16968.0,17109.0,14449.0,18099.0,18022.0,17007.0,16743.0,20334.0,20440.0,19116.0,20305.0,19634.0,18095.0,19845.0,
0.159,16922.0,17154.0,14449.0,18114.0,18030.0,17007.0,16736.0,20312.0,20417.0,19147.0,20312.0,19649.0,18117.0,19831.0,
0.209,16922.0,17154.0,14449.0,18076.0,18045.0,17007.0,16728.0,20296.0,20417.0,19124.0,20374.0,19619.0,18102.0,19838.0,
0.260,16945.0,17124.0,14457.0,18076.0,18030.0,16984.0,16728.0,20319.0,20417.0,19155.0,20297.0,19694.0,18080.0,19846.0,
0.310,16900.0,17124.0,14457.0,18060.0,18060.0,16984.0,16743.0,20326.0,20401.0,19109.0,20282.0,19634.0,18102.0,19831.0,
0.360,16900.0,17124.0,14457.0,18137.0,18030.0,17022.0,16743.0,20334.0,20509.0,19139.0,20320.0,19671.0,18139.0,19853.0,
0.410,16892.0,17131.0,14449.0,18099.0,18060.0,16984.0,16728.0,20289.0,20432.0,19093.0,20305.0,19619.0,18147.0,19838.0,
0.461,16907.0,17154.0,14449.0,18083.0,18037.0,16999.0,16743.0,20319.0,20417.0,19093.0,20243.0,19671.0,18080.0,19845.0,
0.511,16884.0,17131.0,14465.0,18129.0,18060.0,16992.0,16743.0,20319.0,20417.0,19109.0,20305.0,19656.0,18095.0,19845.0,
0.561,16862.0,17146.0,14457.0,18060.0,18053.0,16984.0,16751.0,20334.0,20432.0,19124.0,20305.0,19716.0,18095.0,19838.0,
0.612,16862.0,17117.0,14457.0,18076.0,18037.0,17007.0,16736.0,20334.0,20417.0,19078.0,20297.0,19641.0,18080.0,19845.0,
0.662,16900.0,17102.0,14465.0,18076.0,18045.0,16984.0,16743.0,20334.0,20471.0,19108.0,20282.0,19664.0,18109.0,19838.0,
0.712,16892.0,17169.0,14465.0,18114.0,18022.0,16992.0,16758.0,20304.0,20440.0,19147.0,20305.0,19649.0,18087.0,19861.0,
0.762,16900.0,17132.0,14487.0,18060.0,18037.0,16999.0,16736.0,20326.0,20424.0,19147.0,20336.0,19649.0,18095.0,19853.0,
0.812,16900.0,17131.0,14457.0,18083.0,18053.0,16984.0,16736.0,20296.0,20440.0,19093.0,20382.0,19634.0,18080.0,19831.0,
0.862,16952.0,17139.0,14465.0,18076.0,18037.0,16992.0,16728.0,20296.0,20478.0,19109.0,20359.0,19656.0,18080.0,19831.0,
0.913,16900.0,17139.0,14465.0,18091.0,18030.0,17038.0,16743.0,20304.0,20448.0,19147.0,20305.0,19634.0,18072.0,19838.0,
0.963,16862.0,17131.0,14465.0,18091.0,18053.0,16984.0,16736.0,20304.0,20401.0,19132.0,20312.0,19641.0,18072.0,19860.0,
1.013,16945.0,17139.0,14495.0,18129.0,18037.0,16999.0,16743.0,20334.0,20425.0,19139.0,20335.0,19641.0,18109.0,19830.0,
1.063,16892.0,17161.0,14487.0,18129.0,18045.0,17007.0,16736.0,20341.0,20394.0,19132.0,20312.0,19656.0,18080.0,19846.0,
1.114,16892.0,17154.0,14472.0,18144.0,18083.0,17022.0,16736.0,20342.0,20478.0,19116.0,20335.0,19627.0,18117.0,19853.0,
1.164,16877.0,17154.0,14449.0,18099.0,18030.0,16992.0,16743.0,20334.0,20424.0,19085.0,20289.0,19642.0,18080.0,19860.0,
1.214,16900.0,17146.0,14449.0,18076.0,18030.0,17030.0,16736.0,20311.0,20424.0,19155.0,20313.0,19634.0,18087.0,19838.0,
1.264,16869.0,17132.0,14442.0,18053.0,18045.0,16999.0,16758.0,20312.0,20432.0,19101.0,20320.0,19627.0,18080.0,19831.0,
1.315,16915.0,17117.0,14487.0,18098.0,18037.0,17022.0,16736.0,20326.0,20432.0,19185.0,20336.0,19634.0,18087.0,19831.0,
1.365,16930.0,17132.0,14442.0,18076.0,18053.0,16999.0,16736.0,20304.0,20394.0,19124.0,20297.0,19664.0,18087.0,19845.0,
1.415,16915.0,17116.0,14449.0,18129.0,18045.0,17007.0,16743.0,20304.0,20424.0,19124.0,20343.0,19642.0,18072.0,19853.0,
1.466,16922.0,17131.0,14480.0,18091.0,18045.0,17060.0,16728.0,20319.0,20455.0,19139.0,20351.0,19649.0,18087.0,19838.0,
1.516,16869.0,17161.0,14487.0,18106.0,18045.0,16976.0,16743.0,20379.0,20424.0,19101.0,20282.0,19634.0,18072.0,19831.0,
1.566,16884.0,17139.0,14480.0,18083.0,18030.0,17007.0,16728.0,20349.0,20417.0,19132.0,20312.0,19642.0,18065.0,19838.0,
1.616,16884.0,17161.0,14472.0,18068.0,18030.0,17053.0,16743.0,20296.0,20402.0,19109.0,20297.0,19619.0,18109.0,19860.0,
1.666,16922.0,17131.0,14487.0,18076.0,18022.0,16999.0,16743.0,20304.0,20448.0,19093.0,20282.0,19641.0,18080.0,19845.0,
1.717,16892.0,17131.0,14442.0,18076.0,18015.0,17000.0,16728.0,20296.0,20494.0,19109.0,20305.0,19664.0,18132.0,19845.0,
1.767,16930.0,17146.0,14457.0,18060.0,18053.0,16999.0,16751.0,20319.0,20432.0,19124.0,20336.0,19634.0,18102.0,19838.0,
1.817,16922.0,17131.0,14465.0,18114.0,18075.0,17068.0,16728.0,20349.0,20440.0,19101.0,20343.0,19671.0,18095.0,19853.0,
1.867,16915.0,17184.0,14449.0,18122.0,18030.0,16992.0,16728.0,20319.0,20417.0,19147.0,20336.0,19656.0,18087.0,19838.0,
1.917,16885.0,17116.0,14465.0,18060.0,18037.0,17015.0,16720.0,20304.0,20440.0,19155.0,20305.0,19641.0,18117.0,19838.0,
1.968,16900.0,17139.0,14442.0,18122.0,18022.0,17038.0,16743.0,20311.0,20417.0,19101.0,20351.0,19642.0,18095.0,19845.0,
2.018,16884.0,17154.0,14442.0,18099.0,18060.0,16992.0,16736.0,20311.0,20409.0,19109.0,20320.0,19649.0,18109.0,19846.0,
2.068,16892.0,17169.0,14457.0,18106.0,18030.0,17022.0,16743.0,20304.0,20417.0,19139.0,20305.0,19627.0,18080.0,19853.0,
2.118,16869.0,17102.0,14487.0,18099.0,18037.0,16999.0,16743.0,20356.0,20424.0,19093.0,20289.0,19656.0,18080.0,19868.0,
2.168,16892.0,17146.0,14480.0,18114.0,18045.0,17007.0,16728.0,20364.0,20493.0,19101.0,20282.0,19686.0,18109.0,19823.0,
2.218,16968.0,17109.0,14472.0,18091.0,18038.0,17030.0,16751.0,20364.0,20417.0,19116.0,20297.0,19642.0,18132.0,19853.0,
2.268,16915.0,17161.0,14526.0,18083.0,18037.0,17060.0,16736.0,20334.0,20432.0,19116.0,20289.0,19627.0,18080.0,19838.0,
2.318,16915.0,17124.0,14472.0,18099.0,18045.0,17030.0,16728.0,20326.0,20425.0,19155.0,20312.0,19627.0,18087.0,19853.0,
2.369,16900.0,17154.0,14449.0,18091.0,18037.0,16992.0,16736.0,20341.0,20424.0,19116.0,20305.0,19634.0,18072.0,19875.0,
2.419,16892.0,17087.0,14465.0,18122.0,18030.0,16976.0,16720.0,20379.0,20424.0,19132.0,20312.0,19642.0,18109.0,19838.0,
2.469,16900.0,17146.0,14480.0,18053.0,18045.0,17030.0,16736.0,20304.0,20447.0,19116.0,20320.0,19641.0,18080.0,19831.0,
2.519,16915.0,17117.0,14457.0,18091.0,18045.0,17000.0,16736.0,20371.0,20409.0,19116.0,20289.0,19641.0,18109.0,19838.0,
2.569,16884.0,17139.0,14495.0,18121.0,18045.0,17007.0,16736.0,20304.0,20486.0,19162.0,20289.0,19634.0,18087.0,19831.0,
2.619,16892.0,17169.0,14465.0,18076.0,18030.0,16992.0,16736.0,20296.0,20424.0,19155.0,20351.0,19634.0,18065.0,19846.0,
2.669,16922.0,17169.0,14457.0,18076.0,18022.0,16999.0,16736.0,20304.0,20417.0,19093.0,20305.0,19634.0,18072.0,19853.0,
2.720,16937.0,17131.0,14457.0,18068.0,18045.0,17030.0,16743.0,20379.0,20409.0,19132.0,20351.0,19627.0,18102.0,19853.0,
2.770,16877.0,17109.0,14480.0,18091.0,18037.0,17015.0,16743.0,20356.0,20432.0,19109.0,20297.0,19649.0,18065.0,19845.0,
2.820,16915.0,17161.0,14465.0,18076.0,18014.0,17015.0,16720.0,20341.0,20432.0,19124.0,20305.0,19656.0,18080.0,19831.0,
2.871,16877.0,17124.0,14495.0,18106.0,18045.0,17015.0,16743.0,20401.0,20386.0,19185.0,20312.0,19627.0,18065.0,19853.0,
