time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16960.0,17146.0,14465.0,18099.0,18023.0,16969.0,16720.0,20312.0,20448.0,19116.0,20274.0,19626.0,18087.0,19839.0,
0.058,16922.0,17131.0,14449.0,18098.0,18030.0,16992.0,16713.0,20334.0,20409.0,19139.0,20336.0,19649.0,18072.0,19846.0,
0.109,17005.0,17072.0,14457.0,18098.0,18000.0,16977.0,16713.0,20312.0,20440.0,19101.0,20320.0,19649.0,18132.0,19854.0,
0.159,16982.0,17139.0,14457.0,18129.0,18023.0,16992.0,16713.0,20311.0,20455.0,19170.0,20359.0,19656.0,18095.0,19838.0,
0.209,16997.0,17124.0,14472.0,18053.0,18030.0,17000.0,16720.0,20334.0,20464.0,19124.0,20320.0,19641.0,18072.0,19839.0,
0.260,16990.0,17139.0,14457.0,18175.0,18015.0,16977.0,16728.0,20304.0,20432.0,19178.0,20313.0,19701.0,18117.0,19853.0,
0.311,16937.0,17116.0,14449.0,18121.0,18030.0,16969.0,16713.0,20319.0,20425.0,19163.0,20313.0,19641.0,18095.0,19839.0,
0.361,16945.0,17139.0,14457.0,18098.0,18053.0,16969.0,16720.0,20326.0,20448.0,19193.0,20320.0,19634.0,18087.0,19838.0,
0.411,16945.0,17131.0,14495.0,18152.0,18038.0,16985.0,16728.0,20311.0,20471.0,19147.0,20351.0,19656.0,18095.0,19846.0,
0.462,16975.0,17139.0,14442.0,18083.0,18015.0,16992.0,16728.0,20304.0,20463.0,19132.0,20382.0,19664.0,18102.0,19838.0,
0.512,16990.0,17117.0,14457.0,18129.0,18030.0,16977.0,16720.0,20311.0,20432.0,19132.0,20336.0,19641.0,18087.0,19853.0,
0.562,16937.0,17161.0,14457.0,18106.0,18000.0,16985.0,16713.0,20304.0,20486.0,19101.0,20359.0,19671.0,18132.0,19839.0,
0.613,16975.0,17094.0,14465.0,18137.0,18030.0,16962.0,16751.0,20319.0,20433.0,19124.0,20305.0,19649.0,18095.0,19831.0,
0.663,16929.0,17102.0,14495.0,18129.0,18015.0,16984.0,16720.0,20341.0,20425.0,19139.0,20313.0,19656.0,18102.0,19861.0,
0.713,16960.0,17102.0,14465.0,18121.0,18030.0,17015.0,16720.0,20364.0,20417.0,19116.0,20305.0,19649.0,18117.0,19846.0,
0.763,16990.0,17131.0,14510.0,18098.0,18015.0,16977.0,16705.0,20304.0,20425.0,19124.0,20297.0,19649.0,18072.0,19861.0,
0.814,16922.0,17131.0,14442.0,18091.0,18015.0,17038.0,16705.0,20341.0,20440.0,19124.0,20328.0,19641.0,18132.0,19831.0,
0.864,16975.0,17146.0,14434.0,18083.0,18045.0,17000.0,16720.0,20304.0,20502.0,19109.0,20336.0,19641.0,18095.0,19853.0,
0.914,16929.0,17176.0,14465.0,18121.0,18030.0,16977.0,16720.0,20326.0,20440.0,19101.0,20313.0,19626.0,18080.0,19861.0,
0.964,16929.0,17117.0,14457.0,18068.0,18000.0,17053.0,16713.0,20319.0,20448.0,19140.0,20336.0,19656.0,18080.0,19831.0,
1.014,16997.0,17117.0,14457.0,18083.0,18015.0,16962.0,16713.0,20311.0,20425.0,19124.0,20259.0,19649.0,18117.0,19846.0,
1.064,16945.0,17139.0,14434.0,18106.0,18023.0,16985.0,16713.0,20319.0,20440.0,19162.0,20367.0,19716.0,18080.0,19854.0,
1.115,16952.0,17124.0,14472.0,18129.0,18007.0,17061.0,16720.0,20364.0,20463.0,19139.0,20336.0,19626.0,18080.0,19846.0,
1.165,16967.0,17161.0,14480.0,18167.0,18015.0,16977.0,16713.0,20319.0,20417.0,19155.0,20344.0,19641.0,18095.0,19831.0,
1.215,16982.0,17154.0,14434.0,18091.0,18023.0,17007.0,16720.0,20304.0,20433.0,19162.0,20343.0,19686.0,18095.0,19853.0,
1.265,16990.0,17124.0,14449.0,18106.0,18007.0,16985.0,16728.0,20356.0,20440.0,19109.0,20305.0,19656.0,18072.0,19853.0,
1.315,16952.0,17124.0,14434.0,18091.0,17992.0,16962.0,16736.0,20386.0,20440.0,19109.0,20313.0,19649.0,18065.0,19831.0,
1.366,16952.0,17169.0,14442.0,18091.0,18023.0,16984.0,16697.0,20319.0,20440.0,19132.0,20297.0,19626.0,18124.0,19824.0,
1.416,16945.0,17154.0,14434.0,18098.0,18038.0,16962.0,16705.0,20296.0,20502.0,19147.0,20374.0,19641.0,18124.0,19838.0,
1.467,16960.0,17079.0,14465.0,18068.0,18023.0,17000.0,16720.0,20364.0,20432.0,19124.0,20336.0,19671.0,18132.0,19846.0,
1.517,16967.0,17154.0,14449.0,18060.0,18022.0,16969.0,16728.0,20304.0,20471.0,19109.0,20351.0,19671.0,18080.0,19846.0,
1.567,17005.0,17102.0,14480.0,18083.0,18000.0,16992.0,16720.0,20319.0,20440.0,19155.0,20367.0,19649.0,18139.0,19868.0,
1.618,16937.0,17161.0,14457.0,18160.0,18045.0,17023.0,16720.0,20304.0,20440.0,19170.0,20282.0,19634.0,18087.0,19853.0,
1.668,16960.0,17124.0,14465.0,18160.0,18015.0,17038.0,16720.0,20296.0,20471.0,19109.0,20367.0,19679.0,18124.0,19824.0,
1.718,16922.0,17132.0,14457.0,18098.0,18015.0,16969.0,16720.0,20304.0,20509.0,19124.0,20397.0,19701.0,18080.0,19853.0,
1.768,16982.0,17109.0,14411.0,18137.0,18015.0,16977.0,16713.0,20319.0,20440.0,19132.0,20351.0,19649.0,18132.0,19838.0,
1.818,16929.0,17124.0,14442.0,18068.0,18015.0,16977.0,16705.0,20296.0,20456.0,19170.0,20374.0,19634.0,18109.0,19846.0,
1.869,16929.0,17139.0,14457.0,18106.0,18015.0,16977.0,16728.0,20319.0,20433.0,19109.0,20282.0,19626.0,18102.0,19839.0,
1.919,16937.0,17109.0,14449.0,18083.0,18000.0,16992.0,16720.0,20304.0,20455.0,19093.0,20336.0,19664.0,18080.0,19853.0,
1.969,16960.0,17072.0,14434.0,18068.0,18022.0,16992.0,16705.0,20304.0,20440.0,19155.0,20336.0,19694.0,18087.0,19846.0,
2.019,16937.0,17131.0,14465.0,18083.0,18038.0,16984.0,16705.0,20334.0,20463.0,19109.0,20290.0,19649.0,18080.0,19846.0,
2.069,16960.0,17146.0,14472.0,18053.0,18023.0,17023.0,16728.0,20326.0,20432.0,19147.0,20336.0,19656.0,18080.0,19839.0,
2.119,16967.0,17117.0,14457.0,18083.0,18030.0,16969.0,16713.0,20304.0,20494.0,19109.0,20313.0,19656.0,18087.0,19846.0,
2.169,17013.0,17139.0,14442.0,18114.0,18045.0,16977.0,16728.0,20334.0,20417.0,19147.0,20382.0,19649.0,18087.0,19831.0,
2.219,16937.0,17124.0,14449.0,18114.0,18023.0,16985.0,16713.0,20311.0,20478.0,19124.0,20313.0,19664.0,18080.0,19853.0,
2.270,16952.0,17146.0,14465.0,18091.0,18015.0,16977.0,16705.0,20304.0,20448.0,19155.0,20321.0,19634.0,18124.0,19853.0,
2.320,16930.0,17117.0,14419.0,18075.0,18007.0,17015.0,16720.0,20311.0,20517.0,19178.0,20344.0,19671.0,18080.0,19831.0,
2.370,16982.0,17139.0,14449.0,18068.0,18038.0,17000.0,16713.0,20304.0,20433.0,19109.0,20328.0,19694.0,18087.0,19839.0,
2.420,16952.0,17124.0,14449.0,18091.0,18030.0,16969.0,16736.0,20304.0,20448.0,19093.0,20359.0,19634.0,18095.0,19838.0,
2.471,16975.0,17169.0,14434.0,18114.0,18000.0,16992.0,16713.0,20342.0,20479.0,19147.0,20336.0,19656.0,18109.0,19868.0,
2.521,16990.0,17146.0,14434.0,18114.0,18045.0,16984.0,16720.0,20386.0,20455.0,19116.0,20359.0,19634.0,18132.0,19846.0,
2.571,16945.0,17094.0,14434.0,18083.0,18030.0,16977.0,16713.0,20304.0,20425.0,19116.0,20320.0,19694.0,18087.0,19853.0,
2.621,16937.0,17161.0,14442.0,18129.0,18000.0,16992.0,16720.0,20319.0,20417.0,19170.0,20305.0,19641.0,18124.0,19838.0,
2.672,16990.0,17139.0,14480.0,18091.0,18045.0,16992.0,16705.0,20311.0,20440.0,19109.0,20313.0,19724.0,18117.0,19824.0,
2.722,16929.0,17124.0,14426.0,18106.0,18015.0,16992.0,16713.0,20334.0,20440.0,19124.0,20305.0,19686.0,18080.0,19831.0,
2.773,16929.0,17124.0,14457.0,18083.0,18023.0,16962.0,16720.0,20304.0,20448.0,19147.0,20321.0,19671.0,18072.0,19846.0,
2.824,16922.0,17131.0,14442.0,18083.0,18022.0,16977.0,16736.0,20304.0,20409.0,19201.0,20313.0,19649.0,18080.0,19846.0,
