frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.170,
4,0.220,
5,0.270,
6,0.320,
7,0.370,
8,0.421,
9,0.471,
10,0.521,
11,0.571,
12,0.621,
13,0.671,
14,0.722,
15,0.772,
16,0.833,
17,0.900,
18,0.967,
19,1.033,
20,1.100,
21,1.167,
22,1.233,
23,1.300,
24,1.367,
25,1.433,
26,1.500,
27,1.566,
28,1.633,
29,1.699,
30,1.766,
31,1.832,
32,1.899,
33,1.966,
34,2.032,
35,2.099,
36,2.165,
37,2.232,
38,2.299,
39,2.366,
40,2.432,
41,2.498,
42,2.565,
43,2.632,
44,2.698,
45,2.765,
46,2.831,
47,2.898,
48,2.964,
49,3.031,
50,3.098,
51,3.164,
52,3.231,
53,3.298,
54,3.364,
55,3.431,
56,3.497,
57,3.564,
58,3.631,
59,3.697,
60,3.763,
61,3.831,
62,3.897,
63,3.964,
64,4.030,
65,4.097,
66,4.164,
67,4.230,
68,4.297,
69,4.363,
70,4.430,
71,4.497,
72,4.563,
73,4.629,
74,4.697,
75,4.763,
76,4.830,
77,4.896,
78,4.963,
79,5.036,
80,5.096,
81,5.162,
82,5.229,
83,5.295,
84,5.362,
85,5.429,
86,5.495,
87,5.562,
88,5.629,
89,5.696,
90,5.762,
91,5.828,
92,5.895,
93,5.961,
94,6.028,
95,6.095,
96,6.161,
97,6.228,
98,6.295,
99,6.361,
100,6.428,
101,6.494,
102,6.561,
103,6.628,
104,6.694,
105,6.761,
106,6.827,
107,6.894,
108,6.961,
109,7.027,
110,7.094,
111,7.161,
112,7.228,
113,7.293,
114,7.360,
115,7.427,
116,7.494,
117,7.560,
118,7.627,
119,7.693,
120,7.760,
121,7.827,
122,7.893,
123,7.959,
124,8.026,
125,8.093,
126,8.160,
127,8.226,
128,8.292,
129,8.359,
130,8.426,
131,8.493,
132,8.559,
133,8.626,
134,8.692,
135,8.759,
136,8.825,
137,8.892,
138,8.958,
139,9.026,
140,9.091,
141,9.159,
142,9.225,
143,9.291,
144,9.358,
145,9.425,
146,9.491,
147,9.558,
148,9.625,
149,9.691,
150,9.757,
151,9.824,
152,9.890,
153,9.958,
154,10.024,
155,10.091,
156,10.157,
157,10.224,
158,10.290,
159,10.357,
160,10.423,
161,10.490,
162,10.557,
163,10.624,
164,10.690,
165,10.756,
166,10.823,
167,10.889,
168,10.957,
169,11.023,
170,11.089,
171,11.157,
172,11.223,
173,11.289,
174,11.356,
175,11.423,
176,11.489,
177,11.556,
178,11.623,
179,11.689,
180,11.755,
181,11.823,
182,11.889,
183,11.955,
184,12.022,
185,12.089,
186,12.156,
187,12.222,
188,12.288,
189,12.355,
190,12.422,
191,12.488,
192,12.555,
193,12.621,
194,12.688,
195,12.755,
196,12.821,
197,12.888,
198,12.954,
199,13.021,
200,13.087,
201,13.154,
202,13.221,
203,13.287,
204,13.354,
205,13.420,
206,13.487,
207,13.554,
208,13.620,
209,13.687,
210,13.754,
211,13.820,
212,13.887,
213,13.954,
214,14.020,
215,14.086,
216,14.153,
217,14.220,
218,14.287,
219,14.353,
220,14.420,
221,14.486,
222,14.553,
223,14.619,
224,14.686,
225,14.752,
226,14.819,
227,14.886,
228,14.952,
229,15.019,
230,15.088,
231,15.152,
232,15.218,
233,15.285,
234,15.352,
235,15.418,
236,15.485,
237,15.551,
238,15.618,
239,15.684,
240,15.751,
241,15.819,
242,15.884,
243,15.951,
244,16.018,
245,16.085,
246,16.151,
247,16.217,
248,16.284,
249,16.351,
250,16.418,
251,16.484,
252,16.551,
253,16.617,
254,16.684,
255,16.750,
256,16.817,
257,16.883,
258,16.950,
259,17.016,
260,17.083,
261,17.150,
262,17.216,
263,17.283,
264,17.350,
265,17.416,
266,17.483,
267,17.549,
268,17.616,
269,17.683,
270,17.749,
271,17.816,
272,17.882,
273,17.949,
274,18.016,
275,18.082,
276,18.149,
277,18.215,
278,18.282,
279,18.349,
280,18.415,
281,18.482,
282,18.549,
283,18.615,
284,18.682,
285,18.748,
286,18.815,
287,18.881,
288,18.948,
289,19.015,
290,19.081,
291,19.148,
292,19.215,
293,19.281,
294,19.348,
295,19.414,
296,19.481,
297,19.548,
298,19.614,
299,19.681,
300,19.747,
301,19.814,
302,19.880,
303,19.947,
304,20.014,
305,20.080,
306,20.147,
307,20.213,
308,20.280,
309,20.347,
310,20.413,
311,20.480,
312,20.546,
313,20.613,
314,20.680,
315,20.746,
316,20.813,
317,20.879,
318,20.946,
319,21.012,
320,21.079,
321,21.146,
322,21.212,
323,21.279,
324,21.346,
325,21.412,
326,21.479,
327,21.546,
328,21.612,
329,21.679,
330,21.745,
331,21.812,
332,21.878,
333,21.945,
334,22.011,
335,22.078,
336,22.145,
337,22.212,
338,22.278,
339,22.344,
340,22.411,
341,22.478,
342,22.544,
343,22.611,
344,22.677,
345,22.744,
346,22.811,
347,22.877,
348,22.944,
349,23.010,
350,23.077,
351,23.144,
352,23.210,
353,23.277,
354,23.343,
355,23.410,
356,23.477,
357,23.543,
358,23.610,
359,23.677,
360,23.743,
361,23.810,
362,23.876,
363,23.943,
364,24.010,
365,24.076,
366,24.143,
367,24.209,
368,24.276,
369,24.343,
370,24.409,
371,24.475,
372,24.542,
373,24.609,
374,24.675,
375,24.742,
376,24.808,
377,24.875,
378,24.942,
379,25.010,
380,25.075,
381,25.144,
382,25.208,
383,25.275,
384,25.341,
385,25.408,
386,25.475,
387,25.541,
388,25.608,
389,25.674,
390,25.741,
391,25.808,
392,25.874,
393,25.940,
394,26.007,
395,26.074,
396,26.141,
397,26.207,
398,26.274,
399,26.340,
400,26.407,
401,26.474,
402,26.540,
403,26.606,
404,26.673,
405,26.740,
406,26.807,
407,26.873,
408,26.940,
409,27.007,
410,27.073,
411,27.139,
412,27.206,
413,27.272,
414,27.339,
415,27.406,
416,27.473,
417,27.539,
418,27.606,
419,27.672,
420,27.739,
421,27.805,
422,27.872,
423,27.938,
424,28.005,
425,28.072,
426,28.138,
427,28.205,
428,28.271,
429,28.338,
430,28.405,
431,28.471,
432,28.538,
433,28.605,
434,28.671,
435,28.738,
436,28.804,
437,28.871,
438,28.938,
439,29.004,
440,29.071,
441,29.137,
442,29.204,
443,29.270,
444,29.337,
445,29.404,
446,29.470,
447,29.537,
448,29.604,
449,29.670,
450,29.737,
451,29.804,
452,29.870,
453,29.936,
454,30.003,
455,30.070,
456,30.137,
457,30.203,
458,30.270,
459,30.336,
460,30.403,
461,30.470,
462,30.536,
463,30.602,
464,30.669,
465,30.736,
466,30.802,
467,30.869,
468,30.935,
469,31.002,
470,31.069,
471,31.135,
472,31.202,
473,31.268,
474,31.335,
475,31.402,
476,31.468,
477,31.535,
478,31.601,
479,31.668,
480,31.734,
481,31.801,
482,31.868,
483,31.934,
484,32.001,
485,32.068,
486,32.134,
487,32.201,
488,32.268,
489,32.334,
490,32.400,
491,32.467,
492,32.534,
493,32.600,
494,32.667,
495,32.734,
496,32.800,
497,32.867,
498,32.933,
499,33.000,
500,33.066,
501,33.133,
502,33.200,
503,33.266,
504,33.333,
505,33.400,
506,33.466,
507,33.533,
508,33.599,
509,33.666,
510,33.732,
511,33.799,
512,33.866,
513,33.932,
