time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16960.0,17153.0,14526.0,18061.0,18136.0,17091.0,16743.0,20267.0,20410.0,19132.0,20289.0,19649.0,18095.0,19832.0,
0.058,16922.0,17198.0,14541.0,18053.0,18106.0,17114.0,16766.0,20312.0,20410.0,19132.0,20320.0,19649.0,18102.0,19832.0,
0.108,16915.0,17183.0,14587.0,18130.0,18129.0,17076.0,16751.0,20319.0,20410.0,19155.0,20328.0,19649.0,18095.0,19840.0,
0.159,16937.0,17161.0,14541.0,18084.0,18098.0,17175.0,16773.0,20312.0,20394.0,19116.0,20343.0,19626.0,18087.0,19832.0,
0.209,16967.0,17161.0,14549.0,18091.0,18136.0,17099.0,16766.0,20312.0,20417.0,19139.0,20305.0,19649.0,18109.0,19832.0,
0.259,16945.0,17154.0,14556.0,18107.0,18098.0,17145.0,16743.0,20357.0,20417.0,19124.0,20335.0,19664.0,18080.0,19840.0,
0.309,16945.0,17168.0,14541.0,18122.0,18106.0,17092.0,16751.0,20312.0,20409.0,19185.0,20281.0,19649.0,18117.0,19839.0,
0.359,16937.0,17221.0,14503.0,18122.0,18152.0,17084.0,16766.0,20350.0,20402.0,19147.0,20312.0,19664.0,18080.0,19825.0,
0.410,16960.0,17146.0,14503.0,18091.0,18114.0,17107.0,16758.0,20349.0,20417.0,19193.0,20305.0,19671.0,18087.0,19832.0,
0.460,16930.0,17198.0,14518.0,18137.0,18144.0,17084.0,16743.0,20327.0,20432.0,19139.0,20297.0,19634.0,18080.0,19832.0,
0.510,16922.0,17198.0,14510.0,18122.0,18152.0,17107.0,16735.0,20290.0,20409.0,19208.0,20328.0,19671.0,18072.0,19840.0,
0.560,16937.0,17183.0,14518.0,18091.0,18136.0,17129.0,16751.0,20327.0,20425.0,19162.0,20336.0,19649.0,18065.0,19832.0,
0.611,16937.0,17176.0,14564.0,18053.0,18114.0,17122.0,16766.0,20342.0,20432.0,19139.0,20374.0,19656.0,18065.0,19832.0,
0.661,16952.0,17191.0,14526.0,18061.0,18136.0,17084.0,16751.0,20364.0,20402.0,19178.0,20328.0,19641.0,18109.0,19854.0,
0.711,16922.0,17168.0,14556.0,18053.0,18106.0,17061.0,16743.0,20379.0,20432.0,19185.0,20289.0,19664.0,18087.0,19832.0,
0.761,16922.0,17198.0,14541.0,18107.0,18129.0,17168.0,16751.0,20357.0,20417.0,19178.0,20274.0,19641.0,18080.0,19847.0,
0.811,16967.0,17139.0,14472.0,18068.0,18167.0,17099.0,16751.0,20350.0,20417.0,19208.0,20351.0,19656.0,18065.0,19839.0,
0.862,16937.0,17191.0,14518.0,18061.0,18121.0,17107.0,16743.0,20372.0,20409.0,19155.0,20343.0,19641.0,18065.0,19825.0,
0.912,16945.0,17168.0,14541.0,18122.0,18113.0,17084.0,16743.0,20357.0,20409.0,19139.0,20335.0,19649.0,18102.0,19847.0,
0.962,16930.0,17198.0,14533.0,18076.0,18121.0,17091.0,16743.0,20327.0,20402.0,19139.0,20312.0,19664.0,18080.0,19832.0,
1.012,16960.0,17213.0,14571.0,18061.0,18098.0,17084.0,16735.0,20312.0,20425.0,19178.0,20336.0,19656.0,18065.0,19832.0,
1.063,16967.0,17161.0,14571.0,18061.0,18144.0,17129.0,16751.0,20349.0,20417.0,19170.0,20328.0,19664.0,18102.0,19817.0,
1.113,16945.0,17198.0,14556.0,18084.0,18129.0,17076.0,16743.0,20387.0,20394.0,19124.0,20312.0,19656.0,18087.0,19825.0,
1.163,16922.0,17161.0,14564.0,18107.0,18098.0,17122.0,16751.0,20297.0,20409.0,19147.0,20289.0,19641.0,18087.0,19839.0,
1.213,16915.0,17198.0,14556.0,18068.0,18121.0,17114.0,16758.0,20320.0,20402.0,19178.0,20312.0,19634.0,18095.0,19847.0,
1.263,16952.0,17198.0,14541.0,18092.0,18129.0,17099.0,16743.0,20342.0,20440.0,19147.0,20297.0,19641.0,18072.0,19839.0,
1.314,16952.0,17206.0,14518.0,18137.0,18136.0,17091.0,16735.0,20297.0,20386.0,19155.0,20289.0,19634.0,18080.0,19854.0,
1.364,16952.0,17183.0,14526.0,18122.0,18121.0,17114.0,16735.0,20334.0,20463.0,19139.0,20312.0,19634.0,18102.0,19847.0,
1.414,16922.0,17176.0,14518.0,18061.0,18114.0,17114.0,16758.0,20290.0,20394.0,19185.0,20312.0,19664.0,18087.0,19840.0,
1.464,16998.0,17213.0,14564.0,18091.0,18114.0,17099.0,16743.0,20282.0,20448.0,19155.0,20328.0,19656.0,18080.0,19854.0,
1.515,16960.0,17176.0,14510.0,18068.0,18106.0,17099.0,16766.0,20297.0,20410.0,19178.0,20335.0,19641.0,18065.0,19847.0,
1.565,16907.0,17228.0,14541.0,18076.0,18114.0,17107.0,16751.0,20305.0,20409.0,19170.0,20289.0,19649.0,18072.0,19847.0,
1.616,16937.0,17206.0,14518.0,18091.0,18129.0,17084.0,16743.0,20320.0,20409.0,19201.0,20305.0,19671.0,18080.0,19832.0,
1.666,16990.0,17183.0,14564.0,18107.0,18129.0,17076.0,16735.0,20327.0,20455.0,19139.0,20335.0,19649.0,18072.0,19854.0,
1.716,16937.0,17198.0,14526.0,18061.0,18114.0,17084.0,16751.0,20282.0,20433.0,19178.0,20351.0,19664.0,18080.0,19840.0,
1.766,16937.0,17213.0,14579.0,18061.0,18129.0,17145.0,16743.0,20298.0,20402.0,19178.0,20320.0,19649.0,18065.0,19847.0,
1.816,16922.0,17198.0,14526.0,18068.0,18114.0,17114.0,16751.0,20327.0,20425.0,19155.0,20335.0,19641.0,18102.0,19854.0,
1.866,16937.0,17183.0,14526.0,18061.0,18114.0,17129.0,16751.0,20320.0,20417.0,19116.0,20351.0,19664.0,18117.0,19840.0,
1.917,16930.0,17220.0,14526.0,18084.0,18121.0,17099.0,16751.0,20305.0,20409.0,19155.0,20305.0,19649.0,18072.0,19847.0,
1.967,16952.0,17161.0,14549.0,18114.0,18159.0,17084.0,16735.0,20372.0,20463.0,19170.0,20289.0,19649.0,18087.0,19825.0,
2.017,16945.0,17176.0,14533.0,18107.0,18114.0,17122.0,16743.0,20297.0,20425.0,19147.0,20297.0,19664.0,18072.0,19825.0,
2.067,16922.0,17169.0,14510.0,18099.0,18114.0,17076.0,16735.0,20305.0,20402.0,19147.0,20328.0,19656.0,18072.0,19832.0,
2.117,16922.0,17168.0,14510.0,18068.0,18106.0,17099.0,16751.0,20320.0,20440.0,19170.0,20320.0,19649.0,18095.0,19839.0,
2.167,16930.0,17206.0,14541.0,18084.0,18144.0,17076.0,16751.0,20275.0,20409.0,19124.0,20312.0,19679.0,18095.0,19825.0,
