time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16877.0,17131.0,14480.0,18106.0,18014.0,17015.0,16758.0,20326.0,20447.0,19139.0,20320.0,19664.0,18095.0,19853.0,
0.059,16907.0,17109.0,14442.0,18083.0,18052.0,17007.0,16743.0,20326.0,20447.0,19131.0,20351.0,19642.0,18080.0,19830.0,
0.109,16884.0,17154.0,14495.0,18137.0,18037.0,17007.0,16743.0,20318.0,20493.0,19147.0,20320.0,19627.0,18065.0,19860.0,
0.159,16914.0,17124.0,14465.0,18106.0,18045.0,16999.0,16743.0,20318.0,20470.0,19124.0,20335.0,19619.0,18102.0,19838.0,
0.209,16877.0,17168.0,14472.0,18060.0,18060.0,17022.0,16751.0,20325.0,20409.0,19124.0,20320.0,19627.0,18087.0,19860.0,
0.259,16960.0,17131.0,14442.0,18053.0,18045.0,16984.0,16751.0,20326.0,20432.0,19139.0,20305.0,19649.0,18102.0,19853.0,
0.310,16930.0,17124.0,14442.0,18053.0,18060.0,17015.0,16743.0,20303.0,20493.0,19124.0,20328.0,19656.0,18072.0,19830.0,
0.360,16922.0,17146.0,14457.0,18060.0,18045.0,17007.0,16743.0,20325.0,20409.0,19116.0,20312.0,19664.0,18080.0,19853.0,
0.410,16884.0,17131.0,14465.0,18076.0,18068.0,17030.0,16736.0,20318.0,20432.0,19101.0,20266.0,19642.0,18095.0,19838.0,
0.460,16952.0,17124.0,14457.0,18083.0,18037.0,17037.0,16736.0,20311.0,20416.0,19124.0,20320.0,19694.0,18176.0,19838.0,
0.510,16907.0,17124.0,14465.0,18083.0,18037.0,16999.0,16743.0,20303.0,20485.0,19116.0,20328.0,19634.0,18139.0,19838.0,
0.561,16922.0,17109.0,14465.0,18114.0,18068.0,16999.0,16758.0,20303.0,20432.0,19132.0,20320.0,19634.0,18072.0,19860.0,
0.611,16929.0,17116.0,14457.0,18129.0,18045.0,16999.0,16766.0,20326.0,20447.0,19108.0,20358.0,19694.0,18095.0,19845.0,
0.662,16952.0,17101.0,14457.0,18045.0,18045.0,17015.0,16743.0,20303.0,20432.0,19124.0,20305.0,19642.0,18080.0,19853.0,
0.712,16952.0,17138.0,14442.0,18083.0,18037.0,17022.0,16751.0,20318.0,20424.0,19108.0,20366.0,19656.0,18072.0,19838.0,
0.762,16937.0,17124.0,14442.0,18091.0,18045.0,17037.0,16751.0,20318.0,20478.0,19109.0,20351.0,19642.0,18087.0,19845.0,
0.812,16899.0,17138.0,14495.0,18091.0,18045.0,17015.0,16758.0,20325.0,20432.0,19101.0,20281.0,19649.0,18132.0,19868.0,
0.862,16960.0,17116.0,14434.0,18144.0,18068.0,16984.0,16758.0,20296.0,20440.0,19139.0,20297.0,19656.0,18072.0,19838.0,
0.913,16907.0,17153.0,14449.0,18098.0,18045.0,16999.0,16736.0,20318.0,20432.0,19124.0,20305.0,19664.0,18124.0,19860.0,
0.963,16892.0,17153.0,14419.0,18106.0,18045.0,16984.0,16758.0,20318.0,20432.0,19170.0,20312.0,19642.0,18139.0,19845.0,
1.013,16892.0,17161.0,14434.0,18053.0,18037.0,17022.0,16736.0,20333.0,20485.0,19193.0,20374.0,19649.0,18132.0,19845.0,
1.063,16945.0,17138.0,14449.0,18083.0,18052.0,16992.0,16751.0,20311.0,20462.0,19162.0,20358.0,19642.0,18087.0,19838.0,
1.113,16899.0,17131.0,14449.0,18083.0,18045.0,17007.0,16751.0,20311.0,20462.0,19132.0,20328.0,19634.0,18095.0,19860.0,
1.163,16892.0,17131.0,14449.0,18075.0,18060.0,17007.0,16766.0,20311.0,20501.0,19139.0,20382.0,19627.0,18080.0,19838.0,
1.214,16892.0,17153.0,14487.0,18060.0,18037.0,17022.0,16751.0,20326.0,20440.0,19132.0,20289.0,19671.0,18080.0,19853.0,
1.264,16869.0,17131.0,14457.0,18075.0,18060.0,17007.0,16751.0,20348.0,20424.0,19131.0,20320.0,19627.0,18087.0,19853.0,
1.314,16945.0,17101.0,14449.0,18068.0,18060.0,16992.0,16758.0,20318.0,20447.0,19116.0,20320.0,19634.0,18124.0,19838.0,
1.364,16930.0,17131.0,14457.0,18121.0,18037.0,16984.0,16736.0,20326.0,20432.0,19124.0,20320.0,19664.0,18080.0,19845.0,
1.415,16892.0,17131.0,14503.0,18060.0,18045.0,17007.0,16743.0,20318.0,20501.0,19124.0,20289.0,19664.0,18080.0,19860.0,
1.465,16914.0,17138.0,14449.0,18144.0,18029.0,17030.0,16736.0,20318.0,20486.0,19108.0,20343.0,19671.0,18095.0,19853.0,
1.515,16899.0,17138.0,14442.0,18099.0,18014.0,17007.0,16743.0,20318.0,20486.0,19139.0,20328.0,19656.0,18176.0,19860.0,
1.565,16892.0,17131.0,14457.0,18083.0,18037.0,17038.0,16751.0,20333.0,20424.0,19124.0,20336.0,19642.0,18147.0,19853.0,
1.615,17005.0,17116.0,14457.0,18083.0,18037.0,16992.0,16728.0,20311.0,20485.0,19132.0,20297.0,19656.0,18095.0,19845.0,
1.665,16937.0,17168.0,14442.0,18106.0,18068.0,17015.0,16743.0,20296.0,20447.0,19208.0,20335.0,19642.0,18080.0,19860.0,
1.715,16899.0,17168.0,14442.0,18106.0,18037.0,17045.0,16743.0,20296.0,20440.0,19101.0,20343.0,19634.0,18147.0,19853.0,
1.765,16899.0,17131.0,14442.0,18106.0,18037.0,17007.0,16751.0,20303.0,20493.0,19124.0,20397.0,19686.0,18087.0,19853.0,
1.816,16907.0,17108.0,14449.0,18075.0,18030.0,16992.0,16736.0,20318.0,20471.0,19131.0,20297.0,19649.0,18080.0,19860.0,
1.866,16877.0,17138.0,14465.0,18114.0,18075.0,16999.0,16743.0,20303.0,20409.0,19108.0,20374.0,19671.0,18095.0,19860.0,
1.916,16907.0,17139.0,14442.0,18114.0,18068.0,17060.0,16758.0,20311.0,20432.0,19124.0,20251.0,19634.0,18161.0,19853.0,
1.966,16869.0,17146.0,14495.0,18144.0,18045.0,17015.0,16743.0,20326.0,20447.0,19124.0,20297.0,19627.0,18109.0,19853.0,
2.016,16967.0,17153.0,14442.0,18091.0,18045.0,16999.0,16751.0,20318.0,20432.0,19108.0,20312.0,19634.0,18072.0,19860.0,
2.067,16884.0,17138.0,14442.0,18045.0,18030.0,17037.0,16751.0,20303.0,20447.0,19101.0,20366.0,19634.0,18087.0,19845.0,
2.117,16937.0,17153.0,14480.0,18114.0,18029.0,17030.0,16736.0,20303.0,20417.0,19116.0,20305.0,19642.0,18154.0,19830.0,
2.167,16899.0,17116.0,14495.0,18129.0,18053.0,16999.0,16743.0,20311.0,20493.0,19116.0,20328.0,19649.0,18072.0,19852.0,
2.217,16899.0,17138.0,14434.0,18060.0,18045.0,17015.0,16736.0,20318.0,20439.0,19201.0,20312.0,19671.0,18087.0,19830.0,
2.267,16892.0,17146.0,14472.0,18129.0,18052.0,17030.0,16751.0,20296.0,20493.0,19108.0,20289.0,19649.0,18124.0,19838.0,
2.317,16914.0,17116.0,14449.0,18106.0,18030.0,16999.0,16743.0,20311.0,20424.0,19116.0,20312.0,19671.0,18087.0,19838.0,
2.368,16869.0,17131.0,14457.0,18045.0,18045.0,17030.0,16743.0,20310.0,20462.0,19139.0,20305.0,19612.0,18132.0,19845.0,
2.418,16892.0,17124.0,14442.0,18075.0,18045.0,16992.0,16743.0,20326.0,20440.0,19108.0,20305.0,19634.0,18102.0,19868.0,
2.469,16922.0,17116.0,14465.0,18114.0,18014.0,16992.0,16751.0,20341.0,20432.0,19131.0,20320.0,19656.0,18087.0,19860.0,
2.520,16930.0,17124.0,14480.0,18137.0,18083.0,17007.0,16743.0,20326.0,20440.0,19116.0,20335.0,19656.0,18087.0,19838.0,
2.570,16892.0,17131.0,14449.0,18098.0,18030.0,17015.0,16736.0,20303.0,20440.0,19139.0,20358.0,19642.0,18087.0,19853.0,
2.620,16907.0,17124.0,14510.0,18091.0,18045.0,17015.0,16736.0,20318.0,20470.0,19131.0,20343.0,19642.0,18095.0,19831.0,
2.671,16892.0,17153.0,14449.0,18114.0,18045.0,17007.0,16751.0,20311.0,20447.0,19170.0,20328.0,19679.0,18087.0,19853.0,
2.722,16945.0,17086.0,14472.0,18098.0,18060.0,16992.0,16743.0,20311.0,20424.0,19147.0,20312.0,19642.0,18102.0,19860.0,
2.772,16892.0,17146.0,14465.0,18091.0,18052.0,16992.0,16743.0,20318.0,20424.0,19116.0,20312.0,19627.0,18057.0,19860.0,
2.822,16937.0,17086.0,14449.0,18091.0,18045.0,16992.0,16743.0,20311.0,20447.0,19162.0,20328.0,19656.0,18072.0,19845.0,
2.872,16945.0,17109.0,14449.0,18114.0,18045.0,17015.0,16736.0,20318.0,20463.0,19108.0,20328.0,19627.0,18109.0,19860.0,
2.922,16899.0,17153.0,14472.0,18114.0,18007.0,16999.0,16743.0,20311.0,20439.0,19139.0,20289.0,19671.0,18132.0,19838.0,
2.972,16922.0,17138.0,14457.0,18083.0,18045.0,16992.0,16758.0,20318.0,20439.0,19139.0,20358.0,19664.0,18109.0,19853.0,
3.022,16922.0,17153.0,14465.0,18075.0,18022.0,17053.0,16736.0,20303.0,20493.0,19185.0,20343.0,19686.0,18080.0,19838.0,
3.073,16937.0,17138.0,14472.0,18098.0,18045.0,16984.0,16751.0,20333.0,20416.0,19101.0,20358.0,19657.0,18057.0,19845.0,
3.123,16907.0,17101.0,14426.0,18106.0,18052.0,17030.0,16743.0,20296.0,20417.0,19109.0,20382.0,19716.0,18087.0,19867.0,
