frame_num,time_s,
0,0.026,
1,0.076,
2,0.126,
3,0.176,
4,0.226,
5,0.277,
6,0.327,
7,0.378,
8,0.428,
9,0.478,
10,0.529,
11,0.579,
12,0.630,
13,0.680,
14,0.734,
15,0.802,
16,0.870,
17,0.934,
18,1.002,
19,1.070,
20,1.134,
21,1.202,
22,1.270,
23,1.334,
24,1.403,
25,1.467,
26,1.534,
27,1.602,
28,1.666,
29,1.734,
30,1.802,
31,1.866,
32,1.933,
33,2.002,
34,2.066,
35,2.134,
36,2.202,
37,2.266,
38,2.335,
39,2.402,
40,2.466,
41,2.534,
42,2.598,
43,2.666,
44,2.735,
45,2.798,
46,2.866,
47,2.935,
48,2.998,
49,3.066,
50,3.134,
51,3.198,
52,3.266,
53,3.334,
54,3.398,
55,3.466,
56,3.530,
57,3.599,
58,3.666,
59,3.730,
60,3.798,
61,3.867,
62,3.930,
63,3.998,
64,4.066,
65,4.130,
66,4.199,
67,4.267,
68,4.330,
69,4.398,
70,4.466,
71,4.531,
72,4.598,
73,4.662,
74,4.730,
75,4.798,
76,4.862,
77,4.930,
78,4.998,
79,5.062,
80,5.130,
81,5.198,
82,5.262,
83,5.330,
84,5.399,
85,5.462,
86,5.530,
87,5.598,
88,5.662,
89,5.731,
90,5.794,
91,5.862,
92,5.930,
93,5.994,
94,6.062,
95,6.130,
96,6.194,
97,6.262,
98,6.330,
99,6.394,
100,6.462,
101,6.530,
102,6.594,
103,6.662,
104,6.726,
105,6.794,
106,6.862,
107,6.926,
108,6.994,
109,7.062,
110,7.126,
111,7.194,
112,7.262,
113,7.326,
114,7.394,
115,7.462,
116,7.527,
117,7.594,
118,7.662,
119,7.726,
120,7.794,
121,7.858,
122,7.927,
123,7.995,
124,8.058,
125,8.126,
126,8.194,
127,8.259,
128,8.326,
129,8.394,
130,8.458,
131,8.527,
132,8.594,
133,8.658,
134,8.726,
135,8.795,
136,8.859,
137,8.926,
138,8.990,
139,9.058,
140,9.126,
141,9.190,
142,9.258,
143,9.326,
144,9.390,
145,9.458,
146,9.527,
147,9.590,
148,9.658,
149,9.726,
150,9.791,
151,9.859,
152,9.922,
153,9.990,
154,10.059,
155,10.122,
156,10.190,
157,10.258,
158,10.323,
159,10.390,
160,10.459,
161,10.522,
162,10.590,
163,10.658,
164,10.722,
165,10.790,
166,10.858,
167,10.922,
168,10.990,
169,11.054,
170,11.122,
171,11.190,
172,11.255,
173,11.322,
174,11.391,
175,11.454,
176,11.522,
177,11.590,
178,11.654,
179,11.723,
180,11.790,
181,11.854,
182,11.922,
183,11.990,
184,12.054,
185,12.122,
186,12.186,
187,12.255,
188,12.323,
189,12.387,
190,12.454,
191,12.522,
192,12.586,
193,12.655,
194,12.722,
195,12.786,
196,12.855,
197,12.923,
198,12.986,
199,13.054,
200,13.118,
201,13.186,
202,13.254,
203,13.318,
204,13.386,
205,13.454,
206,13.519,
207,13.586,
208,13.654,
209,13.718,
210,13.786,
211,13.854,
212,13.918,
213,13.986,
214,14.054,
215,14.118,
216,14.186,
217,14.250,
218,14.318,
219,14.387,
220,14.451,
221,14.518,
222,14.586,
223,14.650,
224,14.719,
225,14.787,
226,14.850,
227,14.918,
228,14.986,
229,15.051,
230,15.118,
231,15.186,
232,15.250,
233,15.318,
234,15.382,
235,15.450,
236,15.518,
237,15.582,
238,15.650,
239,15.718,
240,15.783,
241,15.850,
242,15.918,
243,15.983,
244,16.050,
245,16.118,
246,16.182,
247,16.251,
248,16.314,
249,16.382,
250,16.450,
251,16.514,
252,16.583,
253,16.650,
254,16.714,
255,16.782,
256,16.850,
257,16.915,
258,16.983,
259,17.050,
260,17.114,
261,17.183,
262,17.251,
263,17.314,
264,17.382,
265,17.446,
266,17.515,
267,17.583,
268,17.646,
269,17.714,
270,17.782,
271,17.846,
272,17.915,
273,17.982,
274,18.046,
