time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16824.0,17048.0,14472.0,18022.0,17908.0,16900.0,16606.0,20213.0,20299.0,19031.0,20180.0,19537.0,17998.0,19739.0,
0.059,16786.0,17033.0,14465.0,18006.0,17877.0,16946.0,16637.0,20228.0,20338.0,19085.0,20203.0,19545.0,17991.0,19747.0,
0.109,16763.0,17041.0,14411.0,17999.0,17961.0,16953.0,16622.0,20220.0,20322.0,19046.0,20172.0,19545.0,17991.0,19747.0,
0.159,16801.0,17041.0,14419.0,18006.0,17930.0,16869.0,16629.0,20175.0,20322.0,19023.0,20196.0,19582.0,18013.0,19762.0,
0.209,16808.0,17011.0,14404.0,18006.0,17923.0,16854.0,16614.0,20175.0,20330.0,19016.0,20226.0,19590.0,17976.0,19747.0,
0.260,16771.0,17071.0,14442.0,18037.0,17930.0,16869.0,16629.0,20272.0,20307.0,19000.0,20180.0,19552.0,17983.0,19754.0,
0.310,16778.0,17063.0,14465.0,18029.0,17915.0,16907.0,16591.0,20235.0,20322.0,19039.0,20211.0,19552.0,18013.0,19739.0,
0.360,16778.0,17041.0,14457.0,18014.0,17915.0,16930.0,16614.0,20205.0,20330.0,19069.0,20196.0,19537.0,17983.0,19739.0,
0.410,16793.0,17063.0,14404.0,18014.0,17915.0,16892.0,16622.0,20212.0,20330.0,19023.0,20203.0,19552.0,17976.0,19732.0,
0.460,16801.0,17056.0,14434.0,18006.0,17900.0,16869.0,16606.0,20175.0,20345.0,19039.0,20219.0,19537.0,17983.0,19761.0,
0.510,16824.0,17063.0,14427.0,18014.0,17892.0,16877.0,16614.0,20175.0,20330.0,19031.0,20211.0,19552.0,18035.0,19739.0,
0.560,16808.0,17048.0,14442.0,18037.0,17908.0,16877.0,16622.0,20160.0,20330.0,19069.0,20165.0,19552.0,17991.0,19746.0,
0.610,16846.0,17078.0,14419.0,18014.0,17908.0,16869.0,16614.0,20228.0,20345.0,19069.0,20180.0,19537.0,17998.0,19754.0,
0.661,16816.0,17063.0,14411.0,18052.0,17900.0,16854.0,16614.0,20213.0,20338.0,19046.0,20172.0,19560.0,17983.0,19769.0,
0.711,16786.0,17048.0,14419.0,18022.0,17923.0,16923.0,16614.0,20272.0,20330.0,19016.0,20165.0,19552.0,18005.0,19739.0,
0.761,16801.0,17078.0,14411.0,17999.0,17923.0,16945.0,16614.0,20258.0,20322.0,19023.0,20157.0,19530.0,17991.0,19754.0,
0.811,16793.0,17041.0,14434.0,18052.0,17923.0,16885.0,16614.0,20205.0,20299.0,19023.0,20180.0,19552.0,17991.0,19762.0,
0.862,16786.0,17041.0,14411.0,17976.0,17892.0,16885.0,16629.0,20242.0,20338.0,19031.0,20211.0,19537.0,17998.0,19761.0,
0.912,16801.0,17041.0,14396.0,18037.0,17915.0,16862.0,16599.0,20235.0,20361.0,19077.0,20157.0,19552.0,18005.0,19732.0,
0.962,16824.0,17078.0,14427.0,18014.0,17908.0,16862.0,16622.0,20198.0,20330.0,19054.0,20172.0,19530.0,17991.0,19747.0,
1.012,16793.0,17071.0,14396.0,17976.0,17892.0,16862.0,16622.0,20205.0,20330.0,19031.0,20188.0,19582.0,17998.0,19747.0,
1.062,16861.0,17041.0,14434.0,18029.0,17908.0,16938.0,16614.0,20213.0,20322.0,19031.0,20234.0,19552.0,17968.0,19754.0,
1.112,16771.0,17041.0,14404.0,18014.0,17900.0,16869.0,16622.0,20205.0,20322.0,19031.0,20242.0,19552.0,18020.0,19762.0,
1.162,16808.0,17048.0,14404.0,18022.0,17900.0,16892.0,16622.0,20213.0,20346.0,19108.0,20172.0,19545.0,17998.0,19739.0,
1.213,10.0,17056.0,14434.0,18006.0,17908.0,16930.0,16599.0,20190.0,20353.0,19016.0,20188.0,19537.0,17976.0,19739.0,
1.263,16824.0,17048.0,14427.0,17983.0,17930.0,16892.0,16606.0,20190.0,20338.0,19023.0,20196.0,19567.0,18028.0,19754.0,
1.314,16771.0,17041.0,14442.0,18006.0,17885.0,16877.0,16606.0,20183.0,20330.0,19069.0,20157.0,19552.0,17968.0,19732.0,
