frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.219,
5,0.269,
6,0.319,
7,0.370,
8,0.420,
9,0.471,
10,0.521,
11,0.571,
12,0.621,
13,0.675,
14,0.743,
15,0.809,
16,0.875,
17,0.942,
18,1.008,
19,1.075,
20,1.142,
21,1.208,
22,1.275,
23,1.341,
24,1.408,
25,1.475,
26,1.542,
27,1.608,
28,1.675,
29,1.741,
30,1.808,
31,1.874,
32,1.941,
33,2.008,
34,2.074,
35,2.141,
36,2.207,
37,2.274,
38,2.341,
39,2.407,
40,2.474,
41,2.540,
42,2.608,
43,2.674,
44,2.740,
45,2.807,
46,2.873,
47,2.940,
48,3.007,
49,3.073,
50,3.140,
51,3.206,
52,3.273,
53,3.340,
54,3.406,
55,3.473,
56,3.539,
57,3.605,
58,3.672,
59,3.739,
60,3.805,
61,3.872,
62,3.939,
63,4.005,
64,4.072,
65,4.138,
66,4.206,
67,4.272,
68,4.338,
69,4.405,
70,4.472,
71,4.538,
72,4.605,
73,4.671,
74,4.738,
75,4.805,
76,4.872,
77,4.938,
78,5.004,
79,5.071,
80,5.137,
81,5.204,
82,5.271,
83,5.346,
84,5.404,
85,5.471,
86,5.537,
87,5.604,
88,5.670,
89,5.737,
90,5.804,
91,5.870,
92,5.937,
93,6.003,
94,6.070,
95,6.136,
96,6.203,
97,6.270,
98,6.336,
99,6.403,
100,6.469,
101,6.536,
102,6.603,
103,6.670,
104,6.736,
105,6.802,
106,6.869,
107,6.936,
108,7.002,
109,7.069,
110,7.135,
111,7.202,
112,7.269,
113,7.335,
114,7.402,
115,7.468,
116,7.535,
117,7.601,
118,7.668,
119,7.735,
120,7.801,
121,7.868,
122,7.935,
123,8.001,
124,8.068,
125,8.134,
126,8.201,
127,8.268,
128,8.334,
129,8.401,
130,8.467,
131,8.534,
132,8.600,
133,8.667,
134,8.733,
135,8.801,
136,8.867,
137,8.933,
138,9.000,
139,9.067,
140,9.133,
141,9.200,
142,9.266,
143,9.333,
144,9.399,
145,9.466,
146,9.533,
147,9.599,
148,9.666,
149,9.733,
150,9.799,
151,9.866,
152,9.932,
153,9.999,
154,10.066,
155,10.133,
156,10.199,
157,10.265,
158,10.332,
159,10.399,
160,10.465,
161,10.531,
162,10.598,
163,10.665,
164,10.732,
165,10.798,
166,10.865,
167,10.932,
168,10.998,
169,11.064,
170,11.131,
171,11.197,
172,11.264,
173,11.331,
174,11.397,
175,11.464,
176,11.531,
177,11.597,
178,11.664,
179,11.730,
180,11.797,
181,11.864,
182,11.930,
183,11.997,
184,12.063,
185,12.130,
186,12.197,
187,12.263,
188,12.330,
189,12.396,
190,12.463,
191,12.529,
192,12.596,
193,12.663,
194,12.730,
195,12.796,
196,12.863,
197,12.929,
198,12.996,
199,13.063,
200,13.129,
201,13.195,
202,13.262,
203,13.329,
204,13.396,
205,13.462,
206,13.529,
207,13.595,
208,13.662,
209,13.729,
210,13.795,
211,13.862,
212,13.928,
213,13.995,
214,14.062,
215,14.128,
216,14.194,
217,14.261,
218,14.328,
219,14.394,
220,14.461,
221,14.527,
222,14.594,
223,14.661,
224,14.728,
225,14.793,
226,14.860,
227,14.927,
228,14.994,
229,15.060,
230,15.127,
231,15.193,
232,15.260,
233,15.326,
234,15.393,
235,15.459,
236,15.526,
237,15.593,
238,15.659,
239,15.726,
240,15.792,
241,15.859,
242,15.926,
243,15.992,
244,16.059,
245,16.125,
246,16.192,
247,16.259,
248,16.325,
249,16.392,
250,16.459,
251,16.525,
252,16.592,
253,16.659,
254,16.725,
255,16.792,
256,16.858,
257,16.925,
258,16.992,
259,17.059,
260,17.125,
261,17.192,
262,17.258,
263,17.324,
264,17.391,
265,17.458,
266,17.524,
267,17.591,
268,17.657,
269,17.724,
270,17.791,
271,17.857,
272,17.924,
273,17.991,
274,18.057,
275,18.124,
276,18.190,
277,18.257,
278,18.323,
279,18.390,
280,18.456,
281,18.523,
282,18.589,
283,18.656,
284,18.723,
285,18.790,
286,18.856,
287,18.923,
288,18.989,
289,19.056,
290,19.122,
291,19.189,
292,19.255,
293,19.322,
294,19.389,
295,19.455,
296,19.522,
297,19.589,
298,19.655,
299,19.721,
300,19.788,
301,19.855,
302,19.922,
303,19.988,
304,20.055,
305,20.121,
306,20.188,
307,20.255,
308,20.322,
309,20.387,
310,20.454,
311,20.521,
312,20.588,
313,20.654,
314,20.720,
315,20.787,
316,20.854,
317,20.921,
318,20.987,
319,21.053,
320,21.121,
321,21.186,
322,21.254,
323,21.320,
324,21.386,
325,21.453,
326,21.520,
327,21.586,
328,21.653,
329,21.720,
330,21.787,
331,21.853,
332,21.919,
333,21.986,
334,22.053,
335,22.119,
336,22.186,
337,22.252,
338,22.318,
339,22.386,
340,22.453,
341,22.518,
342,22.585,
343,22.652,
344,22.719,
345,22.785,
346,22.852,
347,22.918,
348,22.985,
349,23.051,
350,23.119,
351,23.184,
352,23.251,
353,23.318,
354,23.384,
355,23.451,
356,23.517,
357,23.584,
358,23.651,
359,23.717,
360,23.784,
361,23.851,
362,23.918,
363,23.984,
364,24.050,
365,24.117,
366,24.184,
367,24.250,
368,24.316,
369,24.383,
370,24.450,
371,24.516,
372,24.583,
373,24.649,
374,24.716,
375,24.783,
376,24.849,
377,24.916,
378,24.982,
379,25.049,
380,25.115,
381,25.182,
382,25.249,
383,25.315,
384,25.382,
385,25.448,
386,25.515,
387,25.582,
388,25.648,
389,25.715,
390,25.781,
391,25.848,
392,25.914,
393,25.981,
394,26.048,
395,26.115,
396,26.181,
397,26.248,
398,26.314,
399,26.381,
400,26.447,
401,26.514,
402,26.580,
403,26.647,
404,26.714,
405,26.781,
406,26.847,
407,26.913,
408,26.981,
409,27.047,
410,27.113,
411,27.180,
412,27.246,
413,27.313,
414,27.380,
415,27.446,
416,27.513,
417,27.579,
418,27.646,
419,27.713,
420,27.779,
421,27.846,
422,27.913,
423,27.979,
424,28.045,
425,28.112,
426,28.179,
427,28.245,
428,28.312,
429,28.379,
430,28.445,
431,28.512,
432,28.578,
433,28.645,
434,28.711,
435,28.778,
436,28.845,
437,28.911,
438,28.978,
439,29.045,
440,29.111,
441,29.178,
442,29.245,
443,29.311,
444,29.378,
445,29.444,
