time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16823.0,17033.0,14449.0,18029.0,17869.0,16869.0,16614.0,20235.0,20353.0,19062.0,20195.0,19522.0,17968.0,19739.0,
0.058,16839.0,17004.0,14381.0,18006.0,17907.0,16869.0,16614.0,20175.0,20360.0,19023.0,20203.0,19545.0,17976.0,19732.0,
0.109,16801.0,17048.0,14381.0,18006.0,17885.0,16862.0,16622.0,20190.0,20322.0,19077.0,20180.0,19530.0,18020.0,19739.0,
0.160,16778.0,17048.0,14381.0,17968.0,17892.0,16869.0,16591.0,20198.0,20299.0,19031.0,20203.0,19530.0,17976.0,19754.0,
0.211,16816.0,17026.0,14388.0,18014.0,17877.0,16877.0,16607.0,20205.0,20322.0,19016.0,20218.0,19530.0,17991.0,19739.0,
0.261,16801.0,17026.0,14381.0,17960.0,17900.0,16922.0,16614.0,20198.0,20345.0,19092.0,20165.0,19537.0,17976.0,19754.0,
0.311,16816.0,17026.0,14396.0,17998.0,17915.0,16869.0,16599.0,20272.0,20322.0,19062.0,20242.0,19522.0,18013.0,19732.0,
0.362,417.0,17048.0,14419.0,17975.0,17923.0,16877.0,16607.0,20205.0,20307.0,19046.0,20165.0,19530.0,17968.0,19747.0,
0.412,16816.0,17026.0,14434.0,17968.0,17892.0,16945.0,16607.0,20249.0,20322.0,19016.0,20234.0,19522.0,17983.0,19732.0,
0.463,16846.0,17048.0,14373.0,18021.0,17915.0,16862.0,16599.0,20228.0,20337.0,18985.0,20188.0,19530.0,17961.0,19754.0,
0.513,16816.0,17018.0,14419.0,17991.0,17892.0,16884.0,16606.0,20235.0,20322.0,19092.0,20249.0,19530.0,17976.0,19739.0,
0.564,16778.0,17048.0,14381.0,17991.0,17885.0,16869.0,16599.0,20264.0,20307.0,19046.0,20249.0,19522.0,17953.0,19724.0,
0.614,16861.0,17041.0,14411.0,18037.0,17892.0,16862.0,16607.0,20183.0,20384.0,19039.0,20203.0,19567.0,18013.0,19739.0,
0.664,16778.0,17041.0,14388.0,18029.0,17900.0,16877.0,16599.0,20220.0,20299.0,19008.0,20149.0,19530.0,17976.0,19746.0,
