frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.227,
5,0.278,
6,0.328,
7,0.378,
8,0.428,
9,0.479,
10,0.529,
11,0.579,
12,0.629,
13,0.679,
14,0.729,
15,0.779,
16,0.833,
17,0.897,
18,0.965,
19,1.032,
20,1.096,
21,1.164,
22,1.232,
23,1.296,
24,1.365,
25,1.433,
26,1.496,
27,1.564,
28,1.632,
29,1.697,
30,1.765,
31,1.828,
32,1.896,
33,1.964,
34,2.028,
35,2.096,
36,2.165,
37,2.228,
38,2.297,
39,2.365,
40,2.428,
41,2.496,
42,2.564,
43,2.629,
44,2.696,
45,2.764,
46,2.828,
47,2.897,
48,2.961,
49,3.028,
50,3.096,
51,3.160,
52,3.229,
53,3.297,
54,3.360,
55,3.428,
56,3.496,
57,3.560,
58,3.628,
59,3.696,
60,3.760,
61,3.828,
62,3.897,
63,3.960,
64,4.028,
65,4.092,
66,4.160,
67,4.228,
68,4.292,
69,4.360,
70,4.428,
71,4.492,
72,4.560,
73,4.628,
74,4.692,
75,4.760,
76,4.829,
77,4.892,
78,4.960,
79,5.033,
80,5.093,
81,5.160,
82,5.225,
83,5.292,
84,5.360,
85,5.424,
86,5.493,
87,5.561,
88,5.624,
89,5.692,
90,5.760,
91,5.824,
92,5.892,
93,5.960,
94,6.024,
95,6.093,
96,6.156,
97,6.224,
98,6.292,
99,6.356,
100,6.425,
101,6.493,
102,6.556,
103,6.624,
104,6.693,
105,6.757,
106,6.824,
107,6.892,
108,6.957,
109,7.025,
110,7.093,
111,7.156,
112,7.224,
113,7.288,
114,7.357,
115,7.424,
116,7.488,
117,7.557,
118,7.625,
119,7.688,
120,7.756,
121,7.824,
122,7.889,
123,7.957,
124,8.025,
125,8.088,
126,8.156,
127,8.221,
128,8.288,
129,8.356,
130,8.420,
131,8.488,
132,8.556,
133,8.620,
134,8.688,
135,8.756,
136,8.820,
137,8.888,
138,8.957,
139,9.020,
140,9.088,
141,9.156,
142,9.221,
143,9.288,
144,9.352,
145,9.420,
146,9.489,
147,9.552,
148,9.620,
149,9.688,
150,9.753,
151,9.820,
152,9.888,
153,9.952,
154,10.020,
155,10.088,
156,10.152,
157,10.220,
158,10.288,
159,10.353,
160,10.421,
161,10.485,
162,10.552,
163,10.620,
164,10.684,
165,10.752,
166,10.820,
167,10.884,
168,10.952,
169,11.020,
170,11.084,
171,11.152,
172,11.220,
173,11.285,
174,11.353,
175,11.416,
176,11.484,
177,11.552,
178,11.616,
179,11.684,
180,11.753,
181,11.816,
182,11.884,
183,11.953,
184,12.016,
185,12.084,
186,12.152,
187,12.216,
188,12.284,
189,12.352,
190,12.416,
191,12.484,
192,12.549,
193,12.616,
194,12.685,
195,12.748,
196,12.816,
197,12.884,
198,12.948,
199,13.016,
200,13.084,
201,13.148,
