frame_num,time_s,
0,0.018,
1,0.069,
2,0.119,
3,0.169,
4,0.220,
5,0.270,
6,0.321,
7,0.371,
8,0.421,
9,0.472,
10,0.522,
11,0.572,
12,0.622,
13,0.672,
14,0.739,
15,0.805,
16,0.872,
17,0.938,
18,1.005,
19,1.071,
20,1.138,
21,1.204,
22,1.271,
23,1.338,
24,1.405,
25,1.471,
26,1.538,
27,1.604,
28,1.671,
29,1.738,
30,1.804,
31,1.870,
32,1.937,
33,2.004,
34,2.071,
35,2.137,
36,2.204,
37,2.271,
38,2.337,
39,2.404,
40,2.470,
41,2.536,
42,2.603,
43,2.670,
44,2.737,
45,2.803,
46,2.870,
47,2.936,
48,3.002,
49,3.069,
50,3.136,
51,3.203,
52,3.270,
53,3.336,
54,3.402,
55,3.469,
56,3.535,
57,3.602,
58,3.669,
59,3.735,
60,3.801,
61,3.869,
62,3.935,
63,4.002,
64,4.068,
65,4.135,
66,4.202,
67,4.269,
68,4.335,
69,4.401,
70,4.468,
71,4.534,
72,4.601,
73,4.668,
74,4.734,
75,4.802,
76,4.868,
77,4.934,
78,5.001,
79,5.067,
80,5.134,
81,5.201,
82,5.267,
83,5.334,
84,5.400,
85,5.467,
86,5.534,
87,5.600,
88,5.667,
89,5.733,
90,5.800,
91,5.867,
92,5.933,
93,6.000,
94,6.066,
95,6.133,
96,6.200,
97,6.266,
98,6.333,
99,6.400,
100,6.466,
101,6.533,
102,6.599,
103,6.667,
104,6.732,
105,6.799,
106,6.865,
107,6.932,
108,6.999,
109,7.066,
110,7.132,
111,7.199,
112,7.265,
113,7.332,
114,7.399,
115,7.465,
116,7.531,
117,7.598,
118,7.665,
119,7.731,
120,7.798,
121,7.864,
122,7.932,
123,7.999,
124,8.064,
125,8.131,
126,8.198,
127,8.264,
128,8.331,
129,8.397,
130,8.464,
131,8.531,
132,8.597,
133,8.664,
134,8.731,
135,8.797,
136,8.864,
137,8.930,
138,8.997,
139,9.064,
140,9.130,
141,9.197,
142,9.264,
143,9.330,
144,9.396,
145,9.463,
146,9.530,
147,9.596,
148,9.663,
149,9.729,
150,9.796,
151,9.862,
152,9.929,
153,9.995,
154,10.063,
155,10.129,
156,10.196,
157,10.262,
158,10.329,
159,10.395,
160,10.462,
161,10.528,
162,10.595,
163,10.662,
164,10.729,
165,10.795,
166,10.862,
167,10.928,
168,10.996,
169,11.061,
170,11.128,
171,11.194,
172,11.262,
173,11.328,
174,11.394,
175,11.461,
176,11.528,
177,11.594,
178,11.661,
179,11.727,
180,11.794,
181,11.860,
182,11.928,
183,11.994,
184,12.061,
185,12.127,
186,12.194,
187,12.260,
188,12.327,
189,12.393,
190,12.460,
