frame_num,time_s,
0,0.021,
1,0.071,
2,0.121,
3,0.172,
4,0.222,
5,0.272,
6,0.322,
7,0.373,
8,0.423,
9,0.475,
10,0.525,
11,0.575,
12,0.625,
13,0.675,
14,0.726,
15,0.776,
16,0.834,
17,0.901,
18,0.968,
19,1.034,
20,1.101,
21,1.167,
22,1.234,
23,1.302,
24,1.367,
25,1.433,
26,1.500,
27,1.567,
28,1.634,
29,1.700,
30,1.766,
31,1.833,
32,1.900,
33,1.966,
34,2.033,
35,2.100,
36,2.166,
37,2.233,
38,2.300,
39,2.366,
40,2.433,
41,2.499,
42,2.566,
43,2.632,
44,2.699,
45,2.766,
46,2.832,
47,2.899,
48,2.966,
49,3.032,
50,3.099,
51,3.165,
52,3.232,
53,3.299,
54,3.365,
55,3.432,
56,3.498,
57,3.565,
58,3.632,
59,3.698,
60,3.765,
61,3.832,
62,3.898,
63,3.965,
64,4.031,
65,4.098,
66,4.165,
67,4.231,
68,4.298,
69,4.364,
70,4.431,
71,4.498,
72,4.564,
73,4.631,
74,4.697,
75,4.764,
76,4.831,
77,4.898,
78,4.964,
79,5.030,
80,5.098,
81,5.164,
82,5.230,
83,5.297,
84,5.364,
85,5.430,
86,5.497,
87,5.563,
88,5.629,
89,5.696,
90,5.763,
91,5.829,
92,5.896,
93,5.963,
94,6.029,
95,6.096,
96,6.162,
97,6.229,
98,6.296,
99,6.362,
100,6.429,
101,6.495,
102,6.562,
103,6.629,
104,6.696,
105,6.762,
106,6.829,
107,6.896,
108,6.962,
109,7.028,
110,7.095,
111,7.162,
112,7.229,
113,7.295,
114,7.362,
115,7.428,
116,7.495,
117,7.562,
118,7.627,
119,7.695,
120,7.761,
121,7.827,
122,7.895,
123,7.961,
124,8.027,
125,8.094,
126,8.161,
127,8.227,
128,8.294,
129,8.361,
130,8.427,
131,8.494,
132,8.560,
133,8.627,
134,8.693,
135,8.761,
136,8.827,
137,8.893,
138,8.961,
139,9.026,
140,9.093,
141,9.160,
142,9.226,
143,9.293,
144,9.360,
145,9.426,
146,9.492,
147,9.559,
148,9.626,
149,9.692,
150,9.759,
151,9.826,
152,9.893,
153,9.959,
154,10.025,
155,10.092,
156,10.159,
157,10.226,
158,10.292,
159,10.358,
160,10.425,
161,10.492,
162,10.558,
163,10.625,
164,10.691,
165,10.758,
166,10.825,
167,10.892,
168,10.958,
169,11.024,
170,11.092,
171,11.158,
172,11.224,
173,11.291,
174,11.357,
175,11.424,
176,11.490,
177,11.557,
178,11.624,
179,11.691,
180,11.757,
181,11.824,
182,11.891,
183,11.957,
184,12.024,
185,12.091,
186,12.157,
187,12.223,
188,12.290,
189,12.357,
190,12.423,
191,12.490,
192,12.556,
193,12.623,
194,12.689,
195,12.756,
196,12.823,
197,12.889,
198,12.956,
199,13.022,
200,13.089,
201,13.156,
202,13.222,
203,13.289,
204,13.355,
205,13.422,
206,13.489,
207,13.555,
208,13.622,
209,13.689,
210,13.755,
211,13.822,
212,13.888,
213,13.955,
214,14.021,
215,14.088,
216,14.155,
217,14.221,
218,14.288,
219,14.355,
220,14.421,
221,14.488,
222,14.554,
223,14.621,
224,14.688,
225,14.754,
226,14.821,
227,14.887,
228,14.954,
229,15.021,
230,15.087,
231,15.154,
232,15.221,
233,15.287,
234,15.354,
235,15.420,
236,15.486,
237,15.553,
238,15.620,
239,15.686,
240,15.753,
241,15.820,
242,15.886,
243,15.953,
244,16.020,
245,16.086,
246,16.154,
247,16.219,
248,16.286,
249,16.352,
250,16.419,
251,16.486,
252,16.553,
253,16.619,
254,16.686,
255,16.752,
256,16.819,
257,16.885,
258,16.952,
259,17.018,
260,17.085,
261,17.152,
262,17.218,
263,17.285,
264,17.352,
265,17.418,
266,17.485,
267,17.551,
268,17.618,
269,17.685,
270,17.751,
271,17.818,
272,17.884,
273,17.951,
274,18.017,
275,18.084,
276,18.150,
277,18.217,
278,18.284,
279,18.350,
280,18.417,
281,18.484,
282,18.551,
283,18.617,
284,18.683,
285,18.750,
