frame_num,time_s,
0,0.026,
1,0.076,
2,0.126,
3,0.177,
4,0.227,
5,0.277,
6,0.327,
7,0.378,
8,0.429,
9,0.479,
10,0.529,
11,0.579,
12,0.629,
13,0.679,
14,0.731,
15,0.781,
16,0.831,
17,0.882,
18,0.932,
19,0.982,
20,1.032,
21,1.082,
22,1.133,
23,1.184,
24,1.234,
25,1.284,
26,1.334,
27,1.384,
28,1.434,
29,1.485,
30,1.535,
31,1.585,
32,1.635,
33,1.685,
34,1.735,
35,1.785,
36,1.835,
37,1.886,
38,1.936,
39,1.986,
40,2.036,
41,2.086,
42,2.136,
43,2.187,
44,2.238,
45,2.288,
46,2.338,
47,2.389,
48,2.439,
49,2.489,
50,2.539,
51,2.590,
52,2.640,
53,2.690,
54,2.740,
55,2.790,
56,2.841,
57,2.891,
58,2.941,
59,2.991,
60,3.041,
61,3.092,
62,3.142,
63,3.192,
64,3.242,
65,3.292,
66,3.343,
67,3.393,
68,3.443,
69,3.494,
70,3.544,
71,3.594,
72,3.645,
73,3.695,
74,3.746,
75,3.796,
76,3.846,
77,3.896,
78,3.947,
79,3.998,
80,4.048,
81,4.098,
82,4.148,
83,4.199,
84,4.249,
85,4.299,
86,4.349,
87,4.400,
88,4.450,
89,4.500,
90,4.550,
91,4.600,
92,4.650,
93,4.700,
94,4.750,
95,4.801,
96,4.851,
97,4.902,
98,4.952,
99,5.002,
100,5.052,
101,5.102,
102,5.152,
103,5.203,
104,5.253,
105,5.303,
106,5.353,
107,5.403,
108,5.453,
109,5.503,
110,5.553,
111,5.604,
112,5.654,
113,5.705,
114,5.756,
115,5.806,
116,5.856,
117,5.906,
118,5.956,
119,6.006,
120,6.057,
121,6.107,
122,6.157,
123,6.208,
124,6.258,
125,6.308,
126,6.358,
127,6.409,
128,6.459,
129,6.509,
130,6.559,
131,6.609,
132,6.659,
133,6.710,
134,6.760,
135,6.810,
136,6.860,
137,6.910,
138,6.960,
139,7.011,
140,7.062,
141,7.112,
142,7.162,
143,7.212,
144,7.262,
145,7.313,
146,7.363,
147,7.413,
148,7.464,
149,7.514,
150,7.564,
151,7.614,
152,7.664,
153,7.715,
154,7.765,
155,7.816,
156,7.866,
157,7.916,
158,7.966,
159,8.016,
160,8.067,
161,8.117,
162,8.167,
163,8.217,
164,8.268,
165,8.319,
166,8.369,
167,8.419,
168,8.469,
169,8.520,
170,8.571,
171,8.621,
172,8.673,
173,8.723,
174,8.773,
175,8.823,
176,8.874,
177,8.924,
178,8.975,
179,9.025,
180,9.075,
181,9.126,
182,9.176,
183,9.226,
184,9.276,
185,9.327,
186,9.377,
187,9.427,
188,9.478,
189,9.529,
190,9.579,
191,9.629,
192,9.679,
193,9.729,
194,9.780,
195,9.830,
196,9.880,
197,9.931,
198,9.981,
199,10.031,
200,10.081,
201,10.131,
202,10.181,
203,10.232,
204,10.282,
205,10.332,
206,10.382,
207,10.433,
208,10.483,
209,10.533,
210,10.583,
211,10.633,
212,10.684,
213,10.734,
214,10.784,
215,10.835,
216,10.885,
217,10.935,
218,10.985,
219,11.036,
220,11.086,
221,11.136,
222,11.186,
223,11.236,
224,11.286,
225,11.337,
226,11.387,
227,11.438,
228,11.488,
229,11.538,
230,11.589,
231,11.639,
232,11.689,
233,11.739,
234,11.790,
235,11.840,
236,11.891,
237,11.941,
238,11.991,
239,12.042,
240,12.092,
241,12.142,
242,12.192,
243,12.243,
244,12.293,
245,12.343,
246,12.393,
247,12.443,
248,12.494,
249,12.544,
250,12.594,
251,12.645,
252,12.695,
253,12.745,
254,12.795,
255,12.846,
256,12.896,
257,12.946,
258,12.996,
259,13.047,
260,13.097,
261,13.147,
262,13.198,
263,13.249,
264,13.299,
265,13.350,
266,13.400,
267,13.450,
268,13.501,
269,13.551,
270,13.601,
271,13.652,
272,13.702,
273,13.752,
274,13.803,
