time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.007,16979.0,13514.0,18912.0,18150.0,18360.0,17140.0,21119.0,20424.0,20765.0,19295.0,20814.0,20260.0,18244.0,20051.0,
0.058,16942.0,13507.0,18896.0,18082.0,18421.0,17185.0,21111.0,20431.0,20757.0,19295.0,20791.0,20297.0,18244.0,20051.0,
0.108,16920.0,13514.0,18912.0,18082.0,18375.0,17118.0,21111.0,20438.0,20750.0,19272.0,20791.0,20260.0,18266.0,20051.0,
0.158,17002.0,13485.0,18896.0,18127.0,18367.0,17133.0,21126.0,20453.0,20734.0,19249.0,20746.0,20297.0,18222.0,20058.0,
0.208,16920.0,13478.0,18958.0,18089.0,18337.0,17193.0,21111.0,20460.0,20772.0,19272.0,20784.0,20282.0,18273.0,20051.0,
0.259,16927.0,13492.0,18881.0,18142.0,18405.0,17193.0,21119.0,20453.0,20727.0,19257.0,20761.0,20282.0,18229.0,20051.0,
0.309,16935.0,13478.0,18889.0,18097.0,18375.0,17163.0,21119.0,20431.0,20757.0,19302.0,20776.0,20297.0,18258.0,20066.0,
0.359,16942.0,13507.0,18904.0,18089.0,18352.0,17140.0,21104.0,20475.0,20735.0,19287.0,20776.0,20267.0,18258.0,20065.0,
0.409,16972.0,13507.0,18919.0,18089.0,18360.0,17118.0,21119.0,20468.0,20765.0,19310.0,20806.0,20297.0,18258.0,20058.0,
0.460,16950.0,13500.0,18904.0,18105.0,18368.0,17170.0,21119.0,20541.0,20787.0,19310.0,20799.0,20282.0,18251.0,20073.0,
0.510,16920.0,13500.0,18950.0,18135.0,18360.0,17215.0,21119.0,20482.0,20742.0,19257.0,20776.0,20304.0,18266.0,20051.0,
0.560,16972.0,13500.0,18919.0,18105.0,18390.0,17193.0,21111.0,20453.0,20810.0,19310.0,20806.0,20282.0,18273.0,20066.0,
0.611,17009.0,13529.0,18904.0,18120.0,18360.0,17200.0,21119.0,20431.0,20727.0,19272.0,20768.0,20282.0,18251.0,20065.0,
0.662,17002.0,13471.0,14816.0,18074.0,18368.0,17140.0,21104.0,20460.0,20742.0,19257.0,20761.0,20289.0,18251.0,20044.0,
0.712,16912.0,13485.0,18896.0,18067.0,18345.0,17193.0,21111.0,20424.0,20750.0,19310.0,20791.0,20275.0,18251.0,20058.0,
0.762,16927.0,13500.0,18904.0,18142.0,18352.0,17118.0,21111.0,20424.0,20727.0,19279.0,20746.0,20275.0,18251.0,20058.0,
0.812,16950.0,13492.0,18919.0,18112.0,18345.0,17133.0,21119.0,20460.0,20727.0,19249.0,20784.0,20260.0,18280.0,20036.0,
0.862,16972.0,13485.0,18988.0,18090.0,18383.0,17140.0,21126.0,20460.0,20757.0,19310.0,20791.0,20282.0,18236.0,20044.0,
0.912,16912.0,13492.0,18889.0,18112.0,18390.0,17163.0,21119.0,20468.0,20742.0,19279.0,20783.0,20297.0,18251.0,20066.0,
0.962,16950.0,13492.0,18904.0,18089.0,18367.0,17140.0,21104.0,20519.0,20757.0,19302.0,20791.0,20267.0,18244.0,20058.0,
1.012,16957.0,13507.0,18889.0,18105.0,18360.0,17133.0,21104.0,20460.0,20750.0,19280.0,20806.0,20275.0,18229.0,20058.0,
1.063,16950.0,13514.0,18912.0,18120.0,18368.0,17133.0,21111.0,20445.0,20734.0,19264.0,20791.0,20267.0,18251.0,20058.0,
1.113,16912.0,13463.0,18904.0,18097.0,18375.0,17163.0,21119.0,20453.0,20749.0,19249.0,20791.0,20267.0,18244.0,20051.0,
1.163,16920.0,13529.0,14800.0,18105.0,18375.0,17133.0,21111.0,20446.0,20780.0,19280.0,20791.0,20289.0,18236.0,20051.0,
1.213,16950.0,13470.0,18896.0,18074.0,18345.0,17178.0,21126.0,20416.0,20742.0,19264.0,20814.0,20282.0,18244.0,20058.0,
1.263,16920.0,13500.0,18873.0,18105.0,18352.0,17140.0,21126.0,20438.0,20742.0,19302.0,20829.0,20275.0,18236.0,20065.0,
