frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.220,
5,0.270,
6,0.320,
7,0.370,
8,0.421,
9,0.471,
10,0.522,
11,0.572,
12,0.622,
13,0.672,
14,0.722,
15,0.773,
16,0.832,
17,0.899,
18,0.965,
19,1.032,
20,1.098,
21,1.165,
22,1.232,
23,1.298,
24,1.364,
25,1.431,
26,1.498,
27,1.564,
28,1.631,
29,1.698,
30,1.764,
31,1.831,
32,1.897,
33,1.964,
34,2.031,
35,2.097,
36,2.163,
37,2.230,
38,2.297,
39,2.364,
40,2.430,
41,2.496,
42,2.563,
43,2.630,
44,2.696,
45,2.763,
46,2.829,
47,2.897,
48,2.963,
49,3.029,
50,3.096,
51,3.162,
52,3.229,
53,3.295,
54,3.362,
55,3.428,
56,3.496,
57,3.563,
58,3.628,
59,3.695,
60,3.762,
61,3.828,
62,3.895,
63,3.961,
64,4.029,
65,4.095,
66,4.161,
67,4.228,
68,4.294,
69,4.361,
70,4.428,
71,4.494,
72,4.561,
73,4.627,
74,4.695,
75,4.761,
76,4.827,
77,4.894,
78,4.961,
79,5.027,
80,5.094,
81,5.160,
82,5.227,
83,5.293,
84,5.360,
85,5.427,
86,5.493,
87,5.560,
88,5.627,
89,5.693,
90,5.760,
91,5.826,
92,5.893,
93,5.959,
94,6.026,
95,6.092,
96,6.159,
97,6.226,
98,6.293,
99,6.359,
100,6.426,
101,6.492,
102,6.559,
103,6.625,
104,6.692,
105,6.759,
106,6.826,
107,6.892,
108,6.958,
109,7.025,
110,7.092,
111,7.158,
112,7.225,
113,7.291,
114,7.357,
115,7.424,
116,7.491,
117,7.557,
118,7.624,
119,7.691,
120,7.758,
121,7.825,
122,7.891,
123,7.957,
124,8.024,
125,8.090,
126,8.156,
127,8.223,
128,8.291,
129,8.357,
130,8.423,
131,8.490,
132,8.556,
133,8.623,
134,8.689,
135,8.757,
136,8.822,
137,8.889,
138,8.956,
139,9.022,
140,9.089,
141,9.156,
142,9.222,
143,9.289,
144,9.356,
145,9.422,
146,9.489,
147,9.555,
148,9.622,
149,9.688,
150,9.755,
151,9.822,
152,9.888,
153,9.955,
154,10.021,
155,10.088,
156,10.155,
157,10.221,
158,10.288,
159,10.354,
160,10.421,
161,10.488,
162,10.554,
163,10.621,
164,10.687,
165,10.755,
166,10.820,
167,10.887,
168,10.953,
169,11.020,
170,11.087,
171,11.153,
172,11.220,
173,11.286,
174,11.353,
175,11.420,
176,11.487,
177,11.553,
178,11.620,
179,11.687,
180,11.753,
181,11.819,
182,11.885,
183,11.953,
184,12.019,
185,12.085,
186,12.152,
187,12.219,
188,12.286,
189,12.352,
190,12.419,
191,12.485,
192,12.552,
193,12.618,
194,12.685,
195,12.752,
196,12.819,
197,12.885,
198,12.951,
199,13.018,
200,13.084,
201,13.151,
202,13.218,
203,13.284,
204,13.350,
205,13.418,
206,13.485,
207,13.550,
208,13.617,
209,13.684,
210,13.751,
211,13.817,
212,13.883,
213,13.950,
214,14.017,
215,14.083,
216,14.149,
217,14.217,
218,14.283,
219,14.350,
220,14.416,
221,14.483,
222,14.549,
223,14.616,
224,14.683,
225,14.749,
226,14.816,
227,14.883,
228,14.949,
229,15.016,
230,15.082,
231,15.149,
232,15.216,
233,15.282,
234,15.349,
235,15.415,
236,15.482,
237,15.548,
238,15.614,
239,15.681,
240,15.748,
241,15.814,
242,15.881,
243,15.947,
244,16.014,
245,16.081,
246,16.147,
247,16.215,
248,16.281,
249,16.347,
250,16.414,
251,16.480,
252,16.547,
253,16.614,
254,16.680,
255,16.747,
256,16.813,
257,16.880,
258,16.947,
259,17.013,
260,17.080,
261,17.146,
262,17.213,
263,17.279,
264,17.346,
265,17.413,
266,17.479,
267,17.546,
268,17.613,
269,17.679,
270,17.746,
271,17.812,
272,17.878,
273,17.946,
274,18.012,
275,18.078,
276,18.145,
277,18.212,
278,18.278,
279,18.345,
280,18.412,
281,18.478,
282,18.545,
283,18.612,
284,18.678,
285,18.744,
286,18.812,
287,18.878,
288,18.945,
289,19.011,
290,19.077,
291,19.144,
292,19.210,
293,19.277,
294,19.343,
295,19.410,
296,19.478,
297,19.543,
298,19.610,
299,19.677,
300,19.743,
301,19.810,
302,19.877,
303,19.943,
304,20.010,
305,20.076,
306,20.143,
307,20.210,
308,20.276,
309,20.343,
310,20.410,
311,20.476,
312,20.542,
313,20.609,
314,20.676,
315,20.742,
316,20.809,
317,20.875,
318,20.942,
319,21.008,
320,21.075,
321,21.142,
322,21.209,
323,21.275,
324,21.342,
325,21.408,
326,21.474,
327,21.542,
328,21.608,
329,21.675,
330,21.741,
331,21.808,
332,21.874,
333,21.941,
334,22.007,
335,22.074,
336,22.140,
337,22.207,
338,22.274,
339,22.340,
340,22.408,
341,22.473,
342,22.541,
343,22.607,
344,22.673,
345,22.740,
346,22.807,
347,22.873,
348,22.939,
349,23.006,
350,23.073,
351,23.139,
352,23.206,
353,23.272,
354,23.339,
355,23.406,
356,23.472,
357,23.539,
358,23.606,
359,23.672,
360,23.739,
361,23.805,
362,23.872,
363,23.939,
364,24.005,
365,24.071,
366,24.138,
367,24.205,
368,24.272,
369,24.338,
370,24.404,
371,24.471,
372,24.538,
373,24.605,
374,24.671,
375,24.738,
376,24.804,
377,24.871,
378,24.937,
379,25.004,
380,25.070,
381,25.137,
382,25.204,
383,25.270,
384,25.337,
385,25.404,
386,25.470,
387,25.537,
388,25.603,
389,25.670,
390,25.736,
391,25.803,
392,25.869,
393,25.936,
394,26.003,
395,26.069,
396,26.136,
397,26.202,
398,26.269,
399,26.336,
400,26.402,
401,26.469,
402,26.535,
403,26.602,
404,26.669,
405,26.735,
406,26.802,
407,26.868,
408,26.935,
409,27.001,
410,27.068,
411,27.135,
412,27.201,
413,27.268,
414,27.335,
415,27.401,
416,27.468,
417,27.534,
418,27.601,
419,27.667,
420,27.734,
421,27.800,
422,27.867,
423,27.934,
424,28.000,
425,28.067,
426,28.134,
427,28.201,
428,28.267,
429,28.333,
430,28.400,
431,28.467,
432,28.533,
433,28.600,
434,28.666,
435,28.733,
436,28.800,
437,28.866,
438,28.933,
439,29.000,
440,29.066,
441,29.132,
442,29.199,
443,29.265,
444,29.332,
445,29.399,
446,29.465,
447,29.532,
448,29.599,
449,29.665,
450,29.732,
451,29.798,
452,29.864,
453,29.932,
454,29.998,
455,30.064,
456,30.131,
457,30.198,
458,30.265,
459,30.331,
460,30.397,
461,30.464,
462,30.530,
463,30.597,
464,30.664,
465,30.730,
466,30.797,
467,30.864,
468,30.930,
469,30.997,
470,31.064,
471,31.130,
472,31.197,
473,31.263,
474,31.329,
475,31.396,
476,31.464,
477,31.529,
478,31.596,
479,31.663,
480,31.729,
481,31.796,
482,31.863,
483,31.929,
484,31.996,
485,32.062,
486,32.129,
487,32.195,
488,32.262,
489,32.329,
490,32.396,
491,32.462,
492,32.528,
