time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16986.0,13492.0,14816.0,18097.0,18299.0,17073.0,21058.0,20504.0,20742.0,19332.0,20768.0,20208.0,18214.0,20030.0,
0.058,17001.0,13463.0,14816.0,18112.0,18299.0,17058.0,21058.0,20438.0,20780.0,19302.0,20745.0,20238.0,18200.0,20037.0,
0.109,16972.0,13470.0,14823.0,18081.0,18284.0,17058.0,21058.0,20526.0,20735.0,19272.0,20768.0,20238.0,18170.0,20022.0,
0.159,16964.0,13485.0,14869.0,18089.0,18284.0,17058.0,21065.0,20453.0,20780.0,19340.0,20783.0,20245.0,18178.0,20015.0,
0.209,16994.0,13492.0,14823.0,18074.0,18299.0,17065.0,21058.0,20468.0,20742.0,19302.0,20776.0,20216.0,18185.0,20030.0,
0.259,16964.0,13478.0,14862.0,18119.0,18307.0,17050.0,21058.0,20534.0,20788.0,19264.0,20768.0,20216.0,18185.0,20022.0,
0.309,16979.0,13477.0,14823.0,18097.0,18299.0,17058.0,21073.0,20497.0,20750.0,19302.0,20783.0,20208.0,18185.0,20029.0,
0.359,16964.0,13507.0,14808.0,18119.0,18299.0,17080.0,21058.0,20445.0,20765.0,19287.0,20798.0,20223.0,18178.0,20037.0,
0.409,17016.0,13463.0,14823.0,18134.0,18299.0,17058.0,21066.0,20438.0,20735.0,19294.0,20791.0,20223.0,18178.0,20007.0,
0.460,16964.0,13477.0,14808.0,18081.0,18276.0,17141.0,21073.0,20431.0,20757.0,19294.0,20776.0,20208.0,18200.0,20007.0,
0.510,17039.0,13470.0,14823.0,18104.0,18307.0,17095.0,21073.0,20445.0,20765.0,19317.0,20776.0,20223.0,18207.0,20044.0,
0.560,16979.0,13492.0,14846.0,18104.0,18306.0,17050.0,21065.0,20460.0,20742.0,19294.0,20760.0,20238.0,18192.0,20029.0,
0.610,16971.0,13492.0,14800.0,18119.0,18329.0,17058.0,21073.0,20431.0,20750.0,19287.0,20821.0,20208.0,18192.0,20037.0,
0.661,17024.0,13507.0,14869.0,18112.0,18299.0,17065.0,21058.0,20452.0,20750.0,19287.0,20775.0,20252.0,18178.0,20022.0,
