frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.220,
5,0.270,
6,0.320,
7,0.370,
8,0.420,
9,0.470,
10,0.520,
11,0.571,
12,0.621,
13,0.672,
14,0.722,
15,0.779,
16,0.846,
17,0.912,
18,0.979,
19,1.046,
20,1.112,
21,1.179,
22,1.245,
23,1.313,
24,1.378,
25,1.445,
26,1.511,
27,1.579,
28,1.645,
29,1.711,
30,1.778,
31,1.844,
32,1.911,
33,1.978,
34,2.045,
35,2.111,
36,2.177,
37,2.245,
38,2.311,
39,2.377,
40,2.444,
41,2.511,
42,2.578,
43,2.644,
44,2.710,
45,2.776,
46,2.843,
47,2.910,
48,2.976,
49,3.043,
50,3.110,
51,3.177,
52,3.243,
53,3.310,
54,3.376,
55,3.443,
56,3.510,
57,3.576,
58,3.642,
59,3.709,
60,3.776,
61,3.843,
62,3.909,
63,3.977,
64,4.043,
65,4.109,
66,4.175,
67,4.241,
68,4.309,
69,4.375,
70,4.441,
71,4.508,
72,4.575,
73,4.641,
74,4.708,
75,4.775,
76,4.841,
77,4.908,
78,4.975,
79,5.041,
80,5.108,
81,5.175,
82,5.242,
83,5.308,
84,5.374,
85,5.441,
86,5.508,
87,5.574,
88,5.641,
89,5.707,
90,5.774,
91,5.840,
92,5.907,
93,5.974,
94,6.040,
95,6.107,
96,6.173,
97,6.240,
98,6.306,
99,6.373,
100,6.440,
101,6.506,
102,6.573,
103,6.640,
104,6.706,
105,6.773,
106,6.840,
107,6.906,
108,6.973,
109,7.040,
110,7.105,
111,7.172,
112,7.239,
113,7.305,
114,7.372,
115,7.439,
116,7.505,
117,7.572,
118,7.639,
119,7.705,
120,7.772,
121,7.839,
122,7.905,
123,7.972,
124,8.038,
125,8.105,
126,8.171,
127,8.238,
128,8.305,
129,8.370,
130,8.438,
131,8.505,
132,8.570,
133,8.638,
134,8.704,
135,8.770,
136,8.838,
137,8.904,
138,8.970,
139,9.037,
140,9.104,
141,9.171,
142,9.237,
143,9.303,
144,9.370,
145,9.437,
146,9.504,
147,9.570,
148,9.636,
149,9.704,
150,9.769,
151,9.836,
152,9.903,
153,9.969,
154,10.038,
155,10.102,
156,10.169,
157,10.235,
158,10.302,
159,10.369,
160,10.435,
161,10.502,
162,10.569,
163,10.635,
164,10.702,
165,10.769,
166,10.835,
167,10.902,
168,10.968,
169,11.035,
170,11.102,
171,11.168,
172,11.235,
173,11.302,
174,11.368,
175,11.434,
176,11.501,
177,11.568,
178,11.635,
179,11.701,
180,11.768,
181,11.834,
182,11.900,
183,11.968,
184,12.034,
185,12.100,
186,12.167,
187,12.234,
188,12.300,
189,12.367,
190,12.434,
191,12.500,
192,12.567,
193,12.633,
194,12.700,
195,12.767,
196,12.834,
197,12.899,
198,12.967,
199,13.033,
200,13.100,
201,13.166,
202,13.232,
203,13.299,
204,13.366,
205,13.433,
206,13.499,
207,13.566,
208,13.632,
209,13.699,
210,13.765,
211,13.832,
212,13.899,
213,13.966,
214,14.032,
215,14.098,
216,14.165,
217,14.232,
218,14.298,
219,14.365,
220,14.431,
221,14.498,
222,14.564,
223,14.631,
224,14.698,
225,14.764,
226,14.831,
227,14.898,
228,14.964,
229,15.031,
230,15.098,
231,15.165,
232,15.231,
233,15.297,
234,15.364,
235,15.431,
236,15.498,
237,15.564,
238,15.630,
239,15.697,
240,15.763,
241,15.830,
242,15.896,
243,15.963,
244,16.030,
245,16.096,
246,16.163,
247,16.229,
248,16.296,
249,16.363,
250,16.429,
251,16.496,
252,16.562,
253,16.629,
254,16.696,
255,16.762,
256,16.829,
257,16.895,
258,16.962,
259,17.029,
260,17.095,
261,17.162,
262,17.229,
263,17.295,
264,17.362,
265,17.428,
266,17.496,
267,17.562,
268,17.628,
269,17.695,
270,17.761,
271,17.828,
272,17.894,
273,17.961,
274,18.027,
275,18.095,
276,18.161,
277,18.227,
278,18.294,
279,18.361,
280,18.427,
281,18.494,
282,18.560,
283,18.627,
284,18.694,
285,18.760,
286,18.827,
287,18.893,
288,18.960,
289,19.027,
290,19.093,
291,19.160,
292,19.226,
293,19.293,
294,19.360,
295,19.426,
296,19.493,
297,19.559,
298,19.627,
299,19.692,
300,19.759,
301,19.826,
302,19.892,
303,19.959,
304,20.026,
305,20.092,
306,20.159,
307,20.226,
308,20.292,
309,20.358,
310,20.425,
311,20.492,
312,20.558,
313,20.625,
314,20.692,
315,20.758,
316,20.825,
317,20.891,
318,20.958,
319,21.024,
320,21.091,
321,21.158,
322,21.224,
323,21.291,
324,21.357,
325,21.424,
326,21.491,
327,21.557,
328,21.624,
329,21.690,
330,21.757,
331,21.823,
332,21.890,
333,21.957,
334,22.024,
335,22.090,
336,22.157,
337,22.223,
338,22.290,
339,22.357,
340,22.423,
341,22.489,
342,22.557,
343,22.623,
344,22.690,
345,22.756,
346,22.822,
347,22.889,
348,22.956,
349,23.022,
350,23.089,
351,23.156,
352,23.222,
353,23.289,
354,23.355,
355,23.422,
356,23.489,
357,23.555,
358,23.622,
359,23.688,
360,23.755,
361,23.822,
362,23.888,
363,23.955,
364,24.021,
365,24.088,
366,24.155,
367,24.221,
368,24.287,
369,24.355,
370,24.421,
371,24.488,
372,24.554,
373,24.621,
374,24.687,
375,24.754,
376,24.821,
377,24.887,
378,24.954,
379,25.021,
380,25.087,
381,25.154,
382,25.220,
383,25.287,
384,25.354,
385,25.420,
386,25.486,
387,25.554,
388,25.620,
389,25.687,
390,25.753,
391,25.819,
392,25.886,
393,25.952,
394,26.019,
395,26.086,
396,26.153,
397,26.219,
398,26.286,
399,26.352,
400,26.419,
401,26.485,
402,26.551,
403,26.618,
404,26.685,
405,26.751,
406,26.818,
407,26.885,
408,26.951,
409,27.018,
410,27.085,
411,27.151,
412,27.218,
413,27.284,
414,27.351,
415,27.418,
416,27.484,
417,27.551,
418,27.617,
419,27.684,
420,27.750,
421,27.818,
422,27.884,
423,27.951,
424,28.017,
425,28.084,
426,28.150,
427,28.217,
428,28.283,
429,28.350,
430,28.416,
431,28.483,
432,28.550,
433,28.616,
434,28.683,
435,28.750,
436,28.816,
437,28.883,
438,28.949,
439,29.016,
440,29.082,
441,29.149,
442,29.216,
443,29.282,
444,29.349,
445,29.416,
446,29.483,
447,29.549,
448,29.615,
449,29.682,
450,29.749,
451,29.815,
452,29.881,
453,29.948,
454,30.015,
455,30.081,
456,30.148,
457,30.215,
458,30.281,
459,30.348,
460,30.415,
461,30.481,
462,30.548,
463,30.614,
464,30.681,
465,30.747,
466,30.814,
467,30.880,
468,30.947,
469,31.014,
470,31.081,
471,31.147,
472,31.214,
473,31.280,
474,31.347,
475,31.414,
476,31.480,
477,31.547,
478,31.613,
479,31.680,
480,31.746,
481,31.813,
482,31.880,
483,31.946,
484,32.013,
485,32.079,
486,32.146,
487,32.213,
488,32.279,
489,32.345,
490,32.412,
491,32.479,
492,32.545,
493,32.613,
494,32.679,
495,32.746,
496,32.812,
497,32.879,
498,32.945,
499,33.011,
500,33.079,
501,33.145,
502,33.211,
503,33.278,
504,33.345,
505,33.411,
506,33.478,
507,33.545,
508,33.611,
509,33.678,
510,33.745,
511,33.810,
512,33.877,
513,33.945,
514,34.010,
515,34.077,
516,34.144,
517,34.210,
518,34.277,
519,34.344,
