frame_num,time_s,
0,0.026,
1,0.076,
2,0.127,
3,0.177,
4,0.228,
5,0.278,
6,0.328,
7,0.379,
8,0.429,
9,0.479,
10,0.529,
11,0.579,
12,0.629,
13,0.680,
14,0.730,
15,0.780,
16,0.831,
17,0.881,
18,0.931,
19,0.981,
20,1.031,
21,1.081,
22,1.131,
23,1.182,
24,1.232,
25,1.282,
26,1.332,
27,1.383,
28,1.433,
29,1.483,
30,1.533,
31,1.584,
32,1.634,
33,1.684,
34,1.734,
35,1.785,
36,1.835,
37,1.885,
38,1.935,
39,1.986,
40,2.036,
41,2.086,
42,2.137,
43,2.187,
44,2.237,
45,2.288,
46,2.338,
47,2.388,
48,2.438,
49,2.489,
50,2.539,
51,2.589,
52,2.639,
53,2.689,
54,2.739,
55,2.790,
56,2.840,
57,2.890,
58,2.941,
59,2.991,
60,3.041,
61,3.091,
62,3.141,
63,3.192,
64,3.242,
65,3.292,
66,3.343,
67,3.393,
68,3.443,
69,3.494,
70,3.545,
71,3.595,
72,3.645,
73,3.695,
74,3.745,
75,3.795,
76,3.846,
77,3.896,
78,3.947,
79,3.997,
80,4.047,
81,4.098,
82,4.148,
83,4.198,
84,4.248,
85,4.298,
86,4.349,
87,4.399,
88,4.449,
89,4.500,
90,4.550,
91,4.601,
92,4.652,
93,4.702,
94,4.752,
95,4.802,
96,4.852,
97,4.903,
98,4.954,
99,5.004,
100,5.054,
101,5.105,
102,5.155,
103,5.205,
104,5.256,
105,5.306,
106,5.356,
107,5.407,
108,5.457,
109,5.508,
110,5.558,
111,5.608,
112,5.658,
113,5.708,
114,5.758,
115,5.808,
116,5.859,
117,5.909,
118,5.959,
119,6.009,
120,6.059,
121,6.109,
122,6.159,
123,6.210,
124,6.260,
125,6.310,
126,6.361,
127,6.411,
128,6.461,
129,6.511,
130,6.561,
131,6.611,
132,6.661,
133,6.711,
134,6.762,
135,6.812,
136,6.862,
137,6.912,
138,6.962,
139,7.013,
140,7.063,
141,7.113,
142,7.164,
143,7.214,
144,7.264,
145,7.314,
146,7.364,
147,7.414,
148,7.465,
149,7.515,
150,7.565,
151,7.616,
152,7.666,
153,7.716,
154,7.766,
155,7.816,
156,7.867,
157,7.918,
158,7.968,
159,8.019,
160,8.069,
161,8.119,
162,8.169,
163,8.220,
164,8.270,
165,8.321,
166,8.371,
167,8.421,
168,8.471,
169,8.522,
170,8.572,
171,8.623,
172,8.673,
173,8.724,
174,8.774,
175,8.824,
176,8.875,
177,8.925,
178,8.975,
179,9.025,
180,9.075,
181,9.125,
182,9.175,
183,9.226,
184,9.276,
185,9.326,
186,9.376,
187,9.426,
188,9.476,
189,9.526,
190,9.576,
191,9.627,
192,9.677,
193,9.727,
194,9.777,
195,9.827,
196,9.877,
197,9.927,
198,9.978,
199,10.028,
200,10.078,
201,10.128,
202,10.178,
203,10.228,
204,10.278,
205,10.329,
206,10.379,
207,10.429,
208,10.479,
209,10.530,
210,10.581,
211,10.631,
212,10.681,
213,10.731,
214,10.781,
215,10.831,
216,10.881,
217,10.932,
218,10.982,
219,11.033,
220,11.083,
221,11.133,
222,11.183,
223,11.233,
224,11.284,
225,11.334,
226,11.384,
227,11.434,
228,11.484,
229,11.535,
230,11.585,
231,11.635,
232,11.686,
233,11.737,
234,11.787,
235,11.837,
236,11.887,
237,11.937,
238,11.987,
239,12.037,
240,12.087,
241,12.137,
242,12.188,
243,12.238,
244,12.288,
245,12.339,
246,12.389,
247,12.439,
248,12.489,
249,12.539,
250,12.590,
251,12.640,
252,12.690,
253,12.740,
254,12.790,
255,12.840,
256,12.890,
257,12.941,
258,12.991,
259,13.042,
260,13.092,
261,13.143,
262,13.193,
263,13.244,
264,13.294,
265,13.344,
266,13.394,
267,13.444,
268,13.495,
269,13.545,
270,13.595,
271,13.646,
272,13.696,
273,13.746,
274,13.796,
