time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,21263.0,13425.0,14854.0,22658.0,18267.0,17027.0,16916.0,20407.0,16629.0,19286.0,20797.0,20223.0,18185.0,19976.0,
0.059,21278.0,13447.0,14839.0,22673.0,18298.0,17012.0,16916.0,20392.0,16644.0,19324.0,20797.0,20194.0,18149.0,19969.0,
0.109,21263.0,13470.0,14808.0,22650.0,18290.0,17020.0,16939.0,20407.0,16614.0,19294.0,20782.0,20201.0,18141.0,19962.0,
0.160,21309.0,13499.0,14846.0,22704.0,18305.0,16997.0,16932.0,20407.0,16607.0,19286.0,20759.0,20179.0,18156.0,19962.0,
0.210,21256.0,13455.0,14862.0,22689.0,18298.0,17020.0,16924.0,20407.0,16599.0,19301.0,20759.0,16105.0,18149.0,19977.0,
0.261,21256.0,13477.0,14915.0,22635.0,18305.0,17012.0,16916.0,20421.0,16622.0,19294.0,20736.0,20179.0,18156.0,19998.0,
0.311,21278.0,13433.0,14862.0,22681.0,18297.0,17034.0,16893.0,20443.0,16591.0,19278.0,20782.0,20179.0,18185.0,19976.0,
0.362,21309.0,13433.0,14839.0,22620.0,18297.0,16997.0,16932.0,20480.0,16606.0,19301.0,20789.0,20194.0,18163.0,19991.0,
0.412,21271.0,13462.0,14846.0,22689.0,18282.0,17042.0,16909.0,20377.0,16607.0,19309.0,20820.0,16083.0,18200.0,19969.0,
0.462,21263.0,13455.0,14839.0,22635.0,18298.0,17020.0,16939.0,20436.0,16614.0,19286.0,20766.0,16120.0,18156.0,19969.0,
0.512,21301.0,13447.0,14869.0,22635.0,18298.0,17012.0,16939.0,20400.0,16591.0,19354.0,20751.0,16120.0,18149.0,19976.0,
0.562,21256.0,13455.0,14862.0,22719.0,18328.0,17005.0,16947.0,20481.0,16621.0,19294.0,20812.0,16090.0,18156.0,19961.0,
0.613,21286.0,13455.0,14839.0,22635.0,18282.0,17027.0,16932.0,20436.0,16599.0,19278.0,20774.0,20238.0,18207.0,19969.0,
0.663,21278.0,13455.0,14900.0,22689.0,18336.0,17035.0,16924.0,20465.0,16606.0,19301.0,20751.0,20194.0,18163.0,19984.0,
0.714,21271.0,13462.0,14846.0,22612.0,18328.0,17035.0,16947.0,20377.0,16614.0,19271.0,20820.0,20209.0,18178.0,19991.0,
0.764,21278.0,13462.0,14854.0,22666.0,18298.0,17072.0,16939.0,20400.0,16622.0,19316.0,20789.0,20209.0,18149.0,19962.0,
0.814,21271.0,13440.0,14854.0,22673.0,18275.0,16997.0,16924.0,20444.0,16614.0,19271.0,20774.0,20201.0,18163.0,19969.0,
0.864,21256.0,13447.0,14846.0,22704.0,18313.0,17050.0,16932.0,20421.0,16614.0,19301.0,20767.0,20172.0,18163.0,19969.0,
0.914,21233.0,13477.0,14846.0,22650.0,18298.0,17027.0,16924.0,20370.0,16607.0,19294.0,20751.0,20201.0,18156.0,19962.0,
0.964,21278.0,13462.0,14862.0,22673.0,18305.0,17027.0,16932.0,20407.0,16629.0,19286.0,20766.0,20201.0,18141.0,19977.0,
1.014,21286.0,13455.0,14846.0,22643.0,18313.0,17050.0,16947.0,20399.0,16629.0,19316.0,20842.0,20216.0,18149.0,19969.0,
1.064,21278.0,13462.0,14846.0,22673.0,18298.0,17027.0,16939.0,20400.0,16637.0,19278.0,20759.0,20194.0,18141.0,19969.0,
1.115,21256.0,13477.0,14854.0,22643.0,18298.0,17012.0,16932.0,20436.0,16644.0,19294.0,20736.0,20186.0,18170.0,19955.0,
1.165,21263.0,13448.0,14854.0,22704.0,18320.0,17035.0,16932.0,20400.0,16584.0,19309.0,20751.0,16142.0,18178.0,19984.0,
1.216,21256.0,13462.0,14846.0,22658.0,18298.0,17027.0,16924.0,20436.0,16614.0,19301.0,20759.0,20216.0,18163.0,19955.0,
1.266,21271.0,13484.0,14846.0,22666.0,18305.0,17019.0,16916.0,20392.0,16629.0,19324.0,20774.0,20201.0,18192.0,19940.0,
1.317,21309.0,13455.0,14862.0,22643.0,18290.0,17020.0,16947.0,20377.0,20781.0,19309.0,20782.0,20194.0,18185.0,19984.0,
