frame_num,time_s,
0,0.025,
1,0.075,
2,0.125,
3,0.175,
4,0.226,
5,0.276,
6,0.326,
7,0.376,
8,0.426,
9,0.476,
10,0.526,
11,0.577,
12,0.627,
13,0.677,
14,0.728,
15,0.778,
16,0.829,
17,0.879,
18,0.930,
19,0.980,
20,1.030,
21,1.080,
22,1.130,
23,1.181,
24,1.231,
25,1.282,
26,1.332,
27,1.383,
28,1.433,
29,1.483,
30,1.534,
31,1.584,
32,1.634,
33,1.684,
34,1.734,
35,1.784,
36,1.834,
37,1.885,
38,1.936,
39,1.986,
40,2.036,
41,2.086,
42,2.136,
43,2.186,
44,2.236,
45,2.286,
46,2.337,
47,2.387,
48,2.437,
49,2.488,
50,2.538,
51,2.588,
52,2.638,
53,2.688,
54,2.738,
55,2.789,
56,2.839,
57,2.889,
58,2.939,
59,2.990,
60,3.040,
61,3.090,
62,3.140,
63,3.190,
64,3.240,
65,3.290,
66,3.340,
67,3.391,
68,3.441,
69,3.491,
70,3.541,
71,3.591,
72,3.641,
73,3.691,
74,3.742,
75,3.792,
76,3.842,
77,3.892,
78,3.942,
79,3.992,
80,4.043,
81,4.093,
82,4.143,
83,4.193,
84,4.243,
85,4.293,
86,4.343,
87,4.394,
88,4.444,
89,4.494,
90,4.545,
91,4.595,
92,4.645,
93,4.695,
94,4.746,
95,4.796,
96,4.846,
97,4.897,
98,4.947,
99,4.998,
100,5.048,
101,5.098,
102,5.149,
103,5.199,
104,5.249,
105,5.299,
106,5.349,
107,5.399,
108,5.450,
109,5.500,
110,5.550,
111,5.600,
112,5.650,
113,5.700,
114,5.751,
115,5.801,
116,5.852,
117,5.902,
118,5.952,
119,6.002,
120,6.053,
121,6.103,
122,6.154,
123,6.204,
124,6.254,
125,6.304,
126,6.355,
127,6.405,
128,6.455,
129,6.505,
130,6.556,
131,6.606,
132,6.656,
133,6.706,
134,6.756,
135,6.806,
136,6.857,
137,6.908,
138,6.958,
139,7.008,
140,7.058,
141,7.109,
142,7.159,
143,7.209,
144,7.259,
145,7.309,
146,7.360,
147,7.410,
148,7.460,
149,7.510,
150,7.561,
151,7.611,
152,7.661,
153,7.712,
154,7.762,
155,7.812,
156,7.862,
157,7.912,
158,7.963,
159,8.013,
160,8.064,
161,8.115,
162,8.165,
163,8.215,
164,8.266,
165,8.316,
166,8.366,
167,8.416,
168,8.466,
169,8.517,
170,8.567,
171,8.617,
172,8.668,
173,8.718,
174,8.768,
175,8.819,
176,8.869,
177,8.919,
178,8.969,
179,9.020,
180,9.070,
181,9.121,
182,9.171,
183,9.221,
184,9.272,
185,9.322,
186,9.372,
187,9.422,
188,9.472,
189,9.523,
190,9.573,
191,9.623,
192,9.674,
193,9.724,
194,9.774,
195,9.824,
196,9.874,
197,9.924,
198,9.974,
199,10.025,
200,10.075,
201,10.125,
202,10.175,
203,10.225,
204,10.275,
205,10.325,
206,10.376,
207,10.426,
208,10.476,
209,10.527,
210,10.578,
211,10.628,
212,10.678,
213,10.728,
214,10.779,
215,10.829,
216,10.880,
217,10.930,
218,10.980,
219,11.030,
220,11.081,
221,11.131,
222,11.181,
223,11.232,
224,11.282,
225,11.332,
226,11.382,
227,11.433,
228,11.483,
229,11.533,
230,11.583,
231,11.633,
232,11.683,
233,11.733,
234,11.783,
235,11.834,
236,11.884,
237,11.935,
238,11.985,
239,12.036,
240,12.086,
241,12.136,
242,12.187,
243,12.237,
244,12.287,
245,12.337,
246,12.388,
247,12.438,
248,12.488,
249,12.538,
250,12.588,
251,12.638,
252,12.688,
253,12.738,
254,12.788,
255,12.839,
256,12.889,
257,12.939,
258,12.989,
259,13.039,
260,13.089,
261,13.140,
262,13.190,
263,13.241,
264,13.291,
265,13.342,
266,13.392,
267,13.442,
268,13.492,
269,13.542,
270,13.592,
271,13.642,
272,13.692,
273,13.742,
274,13.792,
275,13.843,
276,13.893,
277,13.943,
278,13.994,
279,14.044,
280,14.094,
281,14.144,
282,14.194,
283,14.245,
284,14.295,
285,14.345,
286,14.395,
287,14.445,
288,14.496,
289,14.546,
290,14.596,
291,14.646,
292,14.696,
293,14.747,
294,14.797,
295,14.848,
296,14.898,
297,14.948,
298,14.998,
299,15.048,
300,15.099,
301,15.149,
302,15.200,
303,15.250,
304,15.300,
305,15.350,
306,15.400,
307,15.451,
308,15.501,
309,15.551,
310,15.601,
311,15.652,
312,15.702,
313,15.752,
314,15.802,
315,15.852,
316,15.902,
317,15.952,
318,16.003,
319,16.053,
320,16.103,
321,16.154,
322,16.204,
323,16.254,
324,16.305,
325,16.355,
326,16.406,
327,16.456,
328,16.506,
329,16.556,
330,16.607,
331,16.657,
332,16.708,
333,16.759,
334,16.809,
335,16.860,
336,16.910,
337,16.960,
338,17.011,
339,17.061,
340,17.111,
341,17.162,
342,17.212,
343,17.262,
344,17.312,
345,17.362,
346,17.412,
347,17.463,
348,17.513,
349,17.563,
350,17.613,
351,17.663,
352,17.714,
353,17.765,
354,17.815,
355,17.865,
356,17.915,
