frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.227,
5,0.278,
6,0.328,
7,0.378,
8,0.428,
9,0.478,
10,0.528,
11,0.579,
12,0.629,
13,0.679,
14,0.729,
15,0.779,
16,0.830,
17,0.880,
18,0.930,
19,0.980,
20,1.030,
21,1.080,
22,1.130,
23,1.181,
24,1.231,
25,1.281,
26,1.332,
27,1.382,
28,1.432,
29,1.483,
30,1.533,
31,1.583,
32,1.634,
33,1.684,
34,1.734,
35,1.784,
36,1.835,
37,1.885,
38,1.935,
39,1.986,
40,2.036,
41,2.086,
42,2.136,
43,2.186,
44,2.237,
45,2.287,
46,2.338,
47,2.388,
48,2.438,
49,2.488,
50,2.538,
51,2.589,
52,2.639,
53,2.689,
54,2.740,
55,2.790,
56,2.840,
57,2.890,
58,2.941,
59,2.991,
60,3.041,
61,3.091,
62,3.141,
63,3.192,
64,3.242,
65,3.293,
66,3.343,
67,3.394,
68,3.444,
69,3.494,
70,3.544,
71,3.594,
72,3.644,
73,3.695,
74,3.745,
75,3.795,
76,3.847,
77,3.897,
78,3.947,
79,3.997,
80,4.047,
81,4.097,
82,4.147,
83,4.198,
84,4.248,
85,4.299,
86,4.349,
87,4.400,
88,4.450,
89,4.500,
90,4.550,
91,4.601,
92,4.651,
93,4.702,
94,4.752,
95,4.802,
96,4.852,
97,4.902,
98,4.953,
99,5.003,
100,5.053,
101,5.103,
102,5.153,
103,5.203,
104,5.254,
105,5.304,
106,5.354,
107,5.405,
108,5.455,
109,5.505,
110,5.556,
111,5.606,
112,5.656,
113,5.706,
114,5.757,
115,5.807,
116,5.858,
117,5.908,
118,5.958,
119,6.008,
120,6.058,
121,6.109,
122,6.159,
123,6.209,
124,6.260,
125,6.310,
126,6.360,
127,6.410,
128,6.461,
129,6.511,
130,6.561,
131,6.611,
132,6.661,
133,6.711,
134,6.762,
135,6.812,
136,6.862,
137,6.912,
138,6.963,
139,7.013,
140,7.063,
141,7.113,
142,7.163,
143,7.213,
144,7.263,
145,7.313,
146,7.364,
147,7.414,
148,7.464,
149,7.514,
150,7.565,
151,7.615,
152,7.665,
153,7.715,
154,7.766,
155,7.816,
156,7.866,
157,7.917,
158,7.968,
159,8.018,
160,8.068,
161,8.118,
162,8.168,
163,8.219,
164,8.269,
165,8.319,
166,8.370,
167,8.421,
168,8.471,
169,8.521,
170,8.572,
171,8.622,
172,8.672,
173,8.723,
174,8.773,
175,8.823,
176,8.873,
177,8.923,
178,8.974,
179,9.024,
180,9.075,
181,9.125,
182,9.175,
183,9.226,
184,9.276,
185,9.326,
186,9.376,
187,9.427,
188,9.477,
189,9.527,
190,9.577,
191,9.627,
192,9.677,
193,9.728,
194,9.778,
195,9.828,
196,9.879,
197,9.929,
198,9.979,
199,10.029,
200,10.079,
201,10.129,
