frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.220,
5,0.270,
6,0.321,
7,0.371,
8,0.421,
9,0.472,
10,0.522,
11,0.572,
12,0.622,
13,0.673,
14,0.724,
15,0.774,
16,0.824,
17,0.889,
18,0.955,
19,1.022,
20,1.089,
21,1.155,
22,1.222,
23,1.289,
24,1.355,
25,1.422,
26,1.488,
27,1.555,
28,1.622,
29,1.688,
30,1.755,
31,1.821,
32,1.889,
33,1.955,
34,2.021,
35,2.088,
36,2.154,
37,2.221,
38,2.288,
39,2.354,
40,2.421,
41,2.488,
42,2.554,
43,2.621,
44,2.687,
45,2.753,
46,2.821,
47,2.887,
48,2.954,
49,3.020,
50,3.087,
51,3.153,
52,3.220,
53,3.286,
54,3.353,
55,3.419,
56,3.486,
57,3.553,
58,3.619,
59,3.686,
60,3.753,
61,3.819,
62,3.886,
63,3.952,
64,4.019,
65,4.086,
66,4.152,
67,4.219,
68,4.286,
69,4.353,
70,4.419,
71,4.485,
72,4.552,
73,4.619,
74,4.685,
75,4.752,
76,4.818,
77,4.885,
78,4.952,
79,5.018,
80,5.085,
81,5.152,
82,5.218,
83,5.284,
84,5.351,
85,5.418,
86,5.484,
87,5.551,
88,5.617,
89,5.684,
90,5.751,
91,5.818,
92,5.884,
93,5.950,
94,6.017,
95,6.083,
96,6.150,
97,6.217,
98,6.283,
99,6.350,
100,6.417,
101,6.484,
102,6.550,
103,6.616,
104,6.683,
105,6.750,
106,6.816,
107,6.883,
108,6.950,
109,7.016,
110,7.083,
111,7.149,
112,7.215,
113,7.282,
114,7.349,
115,7.416,
116,7.482,
117,7.549,
118,7.615,
119,7.682,
120,7.748,
121,7.816,
122,7.882,
123,7.948,
124,8.015,
125,8.081,
126,8.148,
127,8.215,
128,8.282,
129,8.348,
130,8.415,
131,8.481,
132,8.548,
133,8.614,
134,8.681,
135,8.748,
136,8.814,
137,8.881,
138,8.947,
139,9.014,
140,9.081,
141,9.147,
142,9.214,
143,9.280,
144,9.347,
145,9.414,
146,9.480,
147,9.547,
148,9.613,
149,9.680,
150,9.747,
151,9.813,
152,9.880,
153,9.946,
154,10.013,
155,10.080,
156,10.146,
157,10.212,
158,10.280,
159,10.346,
160,10.412,
161,10.479,
162,10.546,
163,10.612,
164,10.679,
165,10.746,
166,10.812,
167,10.878,
168,10.945,
169,11.012,
170,11.078,
171,11.145,
172,11.211,
173,11.278,
174,11.345,
175,11.411,
176,11.478,
177,11.545,
178,11.611,
179,11.678,
180,11.744,
181,11.811,
182,11.877,
183,11.944,
184,12.011,
185,12.077,
186,12.144,
187,12.210,
188,12.277,
189,12.344,
190,12.410,
191,12.477,
192,12.543,
193,12.610,
194,12.677,
195,12.743,
196,12.810,
197,12.876,
198,12.943,
199,13.009,
200,13.076,
201,13.142,
202,13.209,
203,13.276,
204,13.342,
205,13.409,
206,13.476,
207,13.542,
208,13.609,
209,13.675,
210,13.742,
211,13.809,
212,13.876,
213,13.942,
214,14.009,
215,14.075,
216,14.141,
217,14.208,
218,14.275,
219,14.342,
220,14.408,
221,14.475,
222,14.542,
223,14.607,
224,14.674,
225,14.741,
226,14.808,
227,14.875,
228,14.941,
229,15.007,
230,15.074,
231,15.141,
232,15.207,
233,15.274,
234,15.340,
235,15.407,
236,15.474,
237,15.541,
238,15.607,
239,15.674,
240,15.740,
241,15.806,
242,15.874,
243,15.940,
244,16.006,
245,16.073,
246,16.140,
247,16.206,
248,16.273,
249,16.339,
250,16.406,
251,16.472,
252,16.539,
253,16.606,
254,16.672,
255,16.740,
256,16.806,
257,16.872,
258,16.939,
259,17.005,
260,17.071,
261,17.138,
262,17.205,
263,17.272,
264,17.338,
265,17.405,
266,17.471,
267,17.538,
268,17.605,
269,17.671,
270,17.738,
271,17.805,
272,17.871,
273,17.938,
274,18.004,
275,18.070,
276,18.138,
277,18.204,
278,18.270,
279,18.337,
280,18.404,
281,18.471,
282,18.537,
283,18.604,
284,18.670,
285,18.737,
286,18.803,
287,18.870,
288,18.937,
289,19.003,
290,19.070,
291,19.136,
292,19.203,
293,19.270,
294,19.336,
295,19.403,
296,19.469,
297,19.536,
298,19.603,
299,19.670,
300,19.736,
301,19.802,
302,19.869,
303,19.935,
304,20.002,
305,20.069,
306,20.135,
307,20.202,
308,20.269,
309,20.335,
310,20.401,
311,20.468,
312,20.535,
313,20.602,
314,20.669,
315,20.735,
316,20.802,
317,20.869,
318,20.935,
319,21.001,
320,21.068,
321,21.135,
322,21.201,
323,21.268,
324,21.334,
325,21.400,
326,21.467,
327,21.534,
328,21.600,
329,21.667,
330,21.734,
331,21.800,
332,21.867,
333,21.934,
334,22.000,
335,22.066,
336,22.133,
337,22.200,
338,22.266,
339,22.333,
340,22.400,
341,22.466,
342,22.533,
343,22.600,
344,22.666,
345,22.733,
346,22.799,
347,22.866,
348,22.933,
349,23.000,
350,23.065,
351,23.132,
352,23.199,
353,23.265,
354,23.333,
355,23.398,
356,23.465,
357,23.532,
358,23.599,
359,23.665,
360,23.732,
361,23.798,
362,23.865,
363,23.932,
364,23.998,
365,24.064,
366,24.131,
367,24.198,
368,24.265,
369,24.331,
370,24.398,
371,24.464,
372,24.531,
373,24.597,
374,24.664,
375,24.730,
376,24.797,
377,24.864,
378,24.930,
379,24.998,
380,25.064,
381,25.130,
382,25.197,
383,25.263,
384,25.330,
385,25.397,
386,25.463,
387,25.529,
388,25.596,
389,25.663,
390,25.729,
391,25.796,
392,25.862,
393,25.929,
394,25.996,
395,26.062,
396,26.129,
397,26.196,
398,26.262,
399,26.329,
400,26.395,
401,26.462,
402,26.529,
403,26.595,
404,26.662,
405,26.728,
406,26.795,
407,26.862,
408,26.928,
409,26.995,
410,27.061,
411,27.128,
412,27.194,
413,27.261,
414,27.328,
415,27.394,
416,27.461,
417,27.527,
418,27.593,
419,27.661,
420,27.727,
421,27.794,
422,27.861,
423,27.927,
424,27.994,
425,28.060,
426,28.127,
427,28.193,
428,28.260,
429,28.327,
430,28.393,
431,28.460,
432,28.526,
433,28.593,
434,28.659,
435,28.726,
436,28.793,
437,28.859,
438,28.926,
439,28.993,
440,29.059,
441,29.125,
442,29.192,
443,29.259,
444,29.325,
445,29.392,
446,29.458,
447,29.526,
448,29.593,
449,29.658,
450,29.725,
451,29.792,
452,29.858,
453,29.925,
454,29.991,
455,30.058,
456,30.124,
457,30.192,
458,30.258,
459,30.324,
460,30.391,
461,30.458,
462,30.524,
463,30.591,
464,30.657,
465,30.724,
466,30.790,
467,30.857,
468,30.924,
469,30.991,
470,31.057,
471,31.123,
472,31.190,
473,31.257,
474,31.323,
475,31.390,
476,31.456,
477,31.522,
478,31.590,
479,31.656,
480,31.723,
481,31.790,
482,31.857,
483,31.923,
484,31.989,
485,32.056,
486,32.122,
487,32.189,
488,32.256,
489,32.322,
490,32.389,
491,32.455,
492,32.522,
493,32.589,
494,32.655,
495,32.722,
496,32.789,
497,32.855,
498,32.922,
499,32.988,
500,33.055,
501,33.122,
502,33.188,
503,33.255,
504,33.321,
505,33.388,
506,33.454,
507,33.521,
508,33.587,
509,33.654,
510,33.721,
511,33.787,
512,33.854,
513,33.921,
514,33.987,
515,34.054,
516,34.120,
