frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.178,
4,0.228,
5,0.278,
6,0.328,
7,0.378,
8,0.428,
9,0.479,
10,0.529,
11,0.579,
12,0.629,
13,0.680,
14,0.730,
15,0.780,
16,0.830,
17,0.880,
18,0.930,
19,0.981,
20,1.031,
21,1.081,
22,1.131,
23,1.181,
24,1.232,
25,1.282,
26,1.332,
27,1.383,
28,1.433,
29,1.483,
30,1.533,
31,1.583,
32,1.634,
33,1.684,
34,1.734,
35,1.784,
36,1.834,
37,1.884,
38,1.934,
39,1.985,
40,2.035,
41,2.085,
42,2.135,
43,2.185,
44,2.236,
45,2.286,
46,2.336,
47,2.386,
48,2.436,
49,2.486,
50,2.536,
51,2.587,
52,2.637,
53,2.687,
54,2.737,
55,2.787,
56,2.837,
57,2.887,
58,2.938,
59,2.988,
60,3.038,
61,3.089,
62,3.139,
63,3.189,
64,3.240,
65,3.290,
66,3.340,
67,3.390,
68,3.441,
69,3.491,
70,3.541,
71,3.591,
72,3.641,
73,3.692,
74,3.742,
75,3.792,
76,3.843,
77,3.893,
78,3.943,
79,3.994,
80,4.044,
81,4.094,
82,4.144,
83,4.194,
84,4.244,
85,4.295,
86,4.345,
87,4.395,
88,4.445,
89,4.495,
90,4.546,
91,4.596,
92,4.646,
93,4.696,
94,4.746,
95,4.797,
96,4.847,
97,4.897,
98,4.948,
99,4.999,
100,5.049,
101,5.099,
102,5.150,
103,5.200,
104,5.250,
105,5.301,
106,5.351,
107,5.402,
108,5.452,
109,5.502,
110,5.552,
111,5.602,
112,5.652,
113,5.702,
114,5.753,
115,5.803,
116,5.853,
117,5.904,
118,5.954,
119,6.004,
120,6.054,
121,6.104,
122,6.154,
123,6.205,
124,6.255,
125,6.305,
126,6.355,
127,6.405,
128,6.455,
129,6.505,
130,6.555,
131,6.606,
132,6.656,
133,6.706,
134,6.757,
135,6.807,
136,6.857,
137,6.908,
138,6.958,
139,7.008,
140,7.059,
141,7.109,
142,7.159,
143,7.209,
144,7.260,
145,7.310,
146,7.360,
147,7.411,
148,7.461,
149,7.511,
150,7.561,
151,7.612,
152,7.662,
153,7.712,
154,7.763,
155,7.814,
156,7.864,
157,7.914,
158,7.965,
159,8.015,
160,8.065,
161,8.115,
162,8.165,
163,8.216,
164,8.266,
165,8.316,
166,8.367,
167,8.417,
168,8.467,
169,8.518,
170,8.568,
171,8.618,
172,8.668,
173,8.718,
174,8.769,
175,8.819,
176,8.869,
177,8.920,
178,8.970,
179,9.020,
180,9.070,
181,9.120,
182,9.170,
183,9.221,
184,9.271,
185,9.321,
186,9.372,
187,9.422,
188,9.472,
189,9.522,
190,9.572,
191,9.622,
192,9.673,
193,9.723,
194,9.773,
195,9.823,
196,9.873,
197,9.923,
198,9.973,
199,10.024,
200,10.074,
201,10.124,
