frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.227,
5,0.278,
6,0.328,
7,0.378,
8,0.429,
9,0.479,
10,0.529,
11,0.579,
12,0.630,
13,0.680,
14,0.730,
15,0.780,
16,0.830,
17,0.881,
18,0.931,
19,0.981,
20,1.031,
21,1.081,
22,1.132,
23,1.182,
24,1.232,
25,1.282,
26,1.332,
27,1.382,
28,1.433,
29,1.483,
30,1.533,
31,1.584,
32,1.634,
33,1.684,
34,1.734,
35,1.784,
36,1.834,
37,1.885,
38,1.935,
39,1.985,
40,2.036,
41,2.086,
42,2.136,
43,2.186,
44,2.237,
45,2.287,
46,2.337,
47,2.387,
48,2.437,
49,2.487,
50,2.537,
51,2.587,
52,2.638,
53,2.688,
54,2.738,
55,2.788,
56,2.838,
57,2.889,
58,2.939,
59,2.989,
60,3.039,
61,3.089,
62,3.139,
63,3.190,
64,3.240,
65,3.290,
66,3.340,
67,3.390,
68,3.441,
69,3.491,
70,3.541,
71,3.591,
72,3.641,
73,3.692,
74,3.742,
75,3.792,
76,3.842,
77,3.892,
78,3.943,
79,3.993,
80,4.043,
81,4.093,
82,4.143,
83,4.193,
84,4.244,
85,4.294,
86,4.344,
87,4.394,
88,4.444,
89,4.495,
90,4.545,
91,4.595,
92,4.645,
93,4.695,
94,4.746,
95,4.796,
96,4.846,
97,4.896,
98,4.946,
99,4.997,
100,5.047,
101,5.097,
102,5.147,
103,5.197,
104,5.247,
105,5.298,
106,5.348,
107,5.398,
108,5.448,
109,5.499,
110,5.549,
111,5.599,
112,5.649,
113,5.699,
114,5.749,
115,5.799,
116,5.851,
117,5.901,
118,5.951,
119,6.001,
120,6.051,
121,6.101,
122,6.151,
123,6.201,
124,6.252,
125,6.302,
126,6.352,
127,6.402,
128,6.452,
129,6.503,
130,6.553,
131,6.603,
132,6.653,
133,6.703,
134,6.754,
135,6.804,
136,6.854,
137,6.904,
138,6.954,
139,7.004,
140,7.055,
141,7.105,
142,7.155,
143,7.206,
144,7.256,
145,7.307,
146,7.357,
147,7.407,
148,7.457,
149,7.507,
150,7.557,
151,7.608,
152,7.658,
153,7.708,
154,7.759,
155,7.809,
156,7.859,
157,7.909,
158,7.959,
159,8.009,
160,8.059,
161,8.110,
162,8.160,
163,8.210,
164,8.260,
165,8.311,
166,8.361,
167,8.411,
168,8.461,
169,8.511,
170,8.562,
171,8.612,
172,8.662,
173,8.712,
174,8.762,
175,8.813,
176,8.863,
177,8.913,
178,8.963,
179,9.013,
180,9.064,
181,9.114,
182,9.165,
183,9.215,
184,9.265,
185,9.315,
186,9.365,
187,9.416,
188,9.466,
189,9.516,
190,9.567,
191,9.617,
192,9.667,
193,9.717,
194,9.767,
195,9.818,
196,9.868,
197,9.918,
198,9.969,
199,10.019,
200,10.069,
201,10.119,
202,10.169,
203,10.219,
204,10.270,
205,10.320,
206,10.370,
207,10.420,
208,10.470,
209,10.520,
210,10.571,
211,10.621,
212,10.671,
213,10.721,
214,10.771,
215,10.821,
216,10.871,
217,10.921,
218,10.972,
219,11.022,
220,11.073,
221,11.123,
222,11.173,
223,11.223,
224,11.273,
225,11.324,
226,11.374,
227,11.424,
228,11.474,
229,11.525,
230,11.575,
231,11.625,
232,11.676,
233,11.726,
234,11.776,
235,11.826,
236,11.876,
237,11.927,
238,11.977,
239,12.027,
240,12.078,
241,12.128,
242,12.179,
243,12.229,
244,12.279,
245,12.330,
246,12.380,
247,12.430,
248,12.481,
249,12.531,
250,12.582,
251,12.632,
252,12.682,
253,12.732,
254,12.784,
255,12.834,
256,12.884,
257,12.935,
258,12.985,
259,13.035,
260,13.085,
261,13.136,
262,13.186,
263,13.236,
264,13.286,
265,13.336,
266,13.386,
267,13.436,
268,13.487,
269,13.537,
270,13.588,
271,13.638,
272,13.689,
273,13.739,
274,13.789,
275,13.840,
276,13.890,
277,13.940,
278,13.991,
279,14.041,
280,14.091,
281,14.141,
282,14.191,
283,14.242,
284,14.292,
285,14.342,
286,14.392,
287,14.442,
288,14.492,
289,14.543,
290,14.593,
291,14.643,
292,14.693,
293,14.743,
294,14.793,
295,14.844,
296,14.894,
297,14.944,
298,14.994,
299,15.045,
300,15.095,
301,15.145,
302,15.195,
303,15.246,
304,15.296,
305,15.346,
306,15.396,
307,15.446,
308,15.496,
309,15.546,
310,15.597,
311,15.647,
312,15.697,
313,15.747,
314,15.797,
315,15.847,
316,15.897,
317,15.947,
318,15.998,
319,16.049,
320,16.099,
321,16.149,
322,16.200,
323,16.250,
324,16.300,
325,16.350,
326,16.400,
327,16.450,
328,16.500,
329,16.551,
330,16.601,
331,16.651,
332,16.701,
333,16.751,
334,16.801,
335,16.851,
336,16.901,
337,16.951,
338,17.002,
339,17.052,
340,17.102,
341,17.152,
342,17.202,
343,17.252,
344,17.302,
345,17.352,
346,17.403,
347,17.453,
348,17.503,
349,17.553,
350,17.603,
351,17.653,
352,17.704,
353,17.754,
354,17.804,
355,17.854,
356,17.904,
357,17.955,
358,18.005,
359,18.055,
360,18.105,
361,18.155,
362,18.205,
363,18.256,
364,18.306,
365,18.356,
366,18.406,
367,18.456,
368,18.506,
369,18.557,
370,18.607,
371,18.658,
372,18.708,
373,18.758,
374,18.808,
375,18.858,
376,18.909,
377,18.959,
378,19.009,
379,19.059,
380,19.110,
381,19.160,
382,19.210,
383,19.260,
384,19.310,
385,19.360,
386,19.411,
387,19.461,
388,19.511,
389,19.562,
390,19.612,
391,19.662,
392,19.712,
