frame_num,time_s,
0,0.018,
1,0.068,
2,0.118,
3,0.168,
4,0.219,
5,0.269,
6,0.319,
7,0.370,
8,0.420,
9,0.470,
10,0.520,
11,0.570,
12,0.620,
13,0.678,
14,0.744,
15,0.810,
16,0.877,
17,0.943,
18,1.010,
19,1.077,
20,1.144,
21,1.210,
22,1.276,
23,1.343,
24,1.410,
25,1.476,
26,1.542,
27,1.609,
28,1.676,
29,1.743,
30,1.809,
31,1.876,
32,1.942,
33,2.009,
34,2.075,
35,2.142,
36,2.209,
37,2.275,
38,2.341,
39,2.408,
40,2.475,
41,2.541,
42,2.608,
43,2.675,
44,2.741,
45,2.808,
46,2.874,
47,2.941,
48,3.007,
49,3.074,
50,3.141,
51,3.207,
52,3.274,
53,3.340,
54,3.407,
55,3.474,
56,3.540,
57,3.607,
58,3.673,
59,3.740,
60,3.806,
61,3.873,
62,3.940,
63,4.006,
64,4.073,
65,4.139,
66,4.206,
67,4.273,
68,4.339,
69,4.405,
70,4.472,
71,4.539,
72,4.606,
73,4.672,
74,4.738,
75,4.805,
76,4.872,
77,4.939,
78,5.013,
79,5.071,
80,5.138,
81,5.204,
82,5.271,
83,5.338,
84,5.404,
85,5.471,
86,5.537,
87,5.604,
88,5.671,
89,5.738,
90,5.804,
91,5.870,
92,5.937,
93,6.004,
94,6.070,
95,6.137,
96,6.203,
97,6.270,
98,6.337,
99,6.404,
100,6.469,
101,6.536,
102,6.603,
103,6.669,
104,6.736,
105,6.802,
106,6.869,
107,6.936,
108,7.002,
109,7.068,
110,7.135,
111,7.202,
112,7.268,
113,7.335,
114,7.402,
115,7.468,
116,7.535,
117,7.601,
118,7.668,
119,7.734,
120,7.801,
121,7.868,
122,7.934,
123,8.001,
124,8.067,
125,8.134,
126,8.200,
127,8.267,
128,8.333,
129,8.400,
130,8.467,
131,8.533,
132,8.600,
133,8.666,
134,8.733,
135,8.800,
136,8.866,
137,8.932,
138,9.000,
139,9.066,
140,9.133,
141,9.199,
142,9.266,
143,9.332,
144,9.399,
145,9.466,
146,9.532,
147,9.599,
148,9.665,
149,9.732,
150,9.798,
151,9.865,
152,9.931,
153,9.998,
154,10.065,
155,10.131,
156,10.198,
157,10.264,
158,10.331,
159,10.398,
160,10.464,
161,10.531,
162,10.597,
163,10.664,
164,10.731,
165,10.797,
166,10.864,
167,10.930,
168,10.996,
169,11.063,
170,11.130,
171,11.197,
172,11.263,
173,11.329,
174,11.395,
175,11.463,
176,11.529,
177,11.596,
178,11.662,
179,11.730,
180,11.796,
181,11.862,
182,11.929,
183,11.995,
184,12.062,
185,12.128,
186,12.195,
187,12.261,
188,12.328,
189,12.395,
190,12.461,
191,12.528,
192,12.595,
193,12.661,
194,12.728,
195,12.794,
196,12.860,
197,12.927,
198,12.994,
199,13.061,
200,13.127,
201,13.194,
202,13.260,
203,13.327,
204,13.393,
205,13.460,
206,13.527,
207,13.593,
208,13.660,
209,13.726,
210,13.793,
211,13.859,
212,13.926,
213,13.993,
214,14.059,
215,14.126,
216,14.192,
217,14.259,
218,14.325,
219,14.392,
220,14.459,
221,14.525,
222,14.592,
223,14.658,
224,14.725,
225,14.792,
226,14.858,
227,14.925,
228,14.991,
229,15.061,
230,15.124,
