time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16950.0,13529.0,18912.0,18105.0,18368.0,17096.0,21111.0,20549.0,20773.0,19287.0,20784.0,20297.0,18258.0,20052.0,
0.058,16950.0,13493.0,18896.0,18075.0,18360.0,17103.0,21111.0,20520.0,20765.0,19333.0,20807.0,20289.0,18266.0,20074.0,
0.109,16987.0,13514.0,18912.0,18113.0,18345.0,17126.0,21096.0,20468.0,20781.0,19287.0,20837.0,20282.0,18236.0,20052.0,
0.159,17061.0,13478.0,18904.0,18098.0,18330.0,17111.0,21111.0,20476.0,20788.0,19303.0,20799.0,20289.0,18244.0,20060.0,
0.209,16965.0,13522.0,18919.0,18060.0,18353.0,17111.0,21134.0,20468.0,20788.0,19310.0,20776.0,20297.0,18258.0,20045.0,
0.259,16950.0,13471.0,18904.0,18128.0,18322.0,17103.0,21103.0,20476.0,20796.0,19302.0,20769.0,20282.0,18229.0,20052.0,
0.310,16972.0,13515.0,18927.0,18105.0,18338.0,17118.0,21104.0,20469.0,20765.0,19287.0,20776.0,20282.0,18236.0,20067.0,
0.360,551.0,13507.0,18927.0,18067.0,18368.0,17118.0,21111.0,20498.0,20758.0,19272.0,20777.0,20253.0,18251.0,20060.0,
0.410,16935.0,13507.0,18935.0,18067.0,18368.0,17103.0,21111.0,20527.0,20781.0,19265.0,20769.0,20282.0,18251.0,20060.0,
0.460,16935.0,13507.0,18912.0,18067.0,18368.0,17103.0,21096.0,20476.0,20758.0,19272.0,20792.0,20282.0,18229.0,20060.0,
0.510,16987.0,13514.0,18919.0,18098.0,18338.0,17156.0,21096.0,20534.0,20765.0,19310.0,20769.0,20260.0,18244.0,20052.0,
0.560,16957.0,13485.0,18896.0,18067.0,18360.0,17141.0,21096.0,20491.0,20796.0,19318.0,20761.0,20267.0,18280.0,20067.0,
0.611,16957.0,13493.0,18904.0,18105.0,18368.0,17111.0,21119.0,20476.0,20773.0,19257.0,20799.0,20267.0,18258.0,20052.0,
0.661,16935.0,13493.0,18912.0,18128.0,18338.0,17111.0,21096.0,20469.0,20765.0,19295.0,20769.0,20282.0,18251.0,20060.0,
0.711,16994.0,13493.0,18919.0,18105.0,18376.0,17126.0,21111.0,20498.0,20765.0,19280.0,20799.0,20297.0,18244.0,20052.0,
0.762,16972.0,13493.0,18904.0,18067.0,18338.0,17133.0,21111.0,20468.0,20750.0,19280.0,20784.0,20311.0,18236.0,20052.0,
0.812,16994.0,13500.0,18889.0,18128.0,18337.0,17103.0,21103.0,20498.0,20788.0,19280.0,20814.0,20304.0,18251.0,20052.0,
0.862,16942.0,13507.0,18904.0,18090.0,18345.0,17148.0,21119.0,20483.0,20765.0,19333.0,20830.0,20275.0,18273.0,20059.0,
0.913,16979.0,13507.0,18927.0,18098.0,18345.0,17103.0,21126.0,20468.0,20758.0,19272.0,20792.0,20267.0,18251.0,20060.0,
0.963,16957.0,13514.0,18927.0,18090.0,18368.0,17141.0,21096.0,20461.0,20819.0,19265.0,20792.0,20289.0,18244.0,20052.0,
1.013,17002.0,13478.0,18904.0,18082.0,18353.0,17111.0,21096.0,20461.0,20788.0,19272.0,20829.0,20282.0,18251.0,20067.0,
1.063,16950.0,13492.0,18889.0,18060.0,18338.0,17111.0,21096.0,20549.0,20773.0,19303.0,20799.0,20311.0,18236.0,20067.0,
1.113,16972.0,13463.0,18912.0,18120.0,18360.0,17126.0,21126.0,20527.0,20766.0,19249.0,20799.0,20275.0,18244.0,20045.0,
1.163,16950.0,13566.0,18912.0,18105.0,18383.0,17111.0,21119.0,20468.0,20788.0,19272.0,20776.0,20289.0,18236.0,20060.0,
1.213,16994.0,13514.0,18896.0,18120.0,18360.0,17126.0,21111.0,20579.0,20758.0,19257.0,20769.0,20282.0,18244.0,20052.0,
1.263,16965.0,13500.0,18896.0,18082.0,18360.0,17148.0,21111.0,20469.0,20788.0,19310.0,20822.0,20289.0,18244.0,20045.0,
1.314,16965.0,13522.0,18950.0,18075.0,18368.0,17110.0,21103.0,20468.0,20803.0,19272.0,20837.0,20275.0,18236.0,20052.0,
1.364,16935.0,13478.0,18912.0,18098.0,18345.0,17118.0,21111.0,20469.0,20780.0,19272.0,20799.0,20282.0,18244.0,20052.0,
1.414,16927.0,13544.0,18912.0,18120.0,18360.0,17156.0,21096.0,20513.0,20765.0,19272.0,20784.0,20289.0,18251.0,20052.0,
1.464,17017.0,13485.0,18904.0,18105.0,18353.0,17126.0,21096.0,20490.0,20743.0,19265.0,20830.0,20282.0,18288.0,20067.0,
1.515,17039.0,13515.0,18904.0,18060.0,18345.0,17111.0,21126.0,20512.0,20765.0,19310.0,20807.0,20282.0,18273.0,20052.0,
1.565,16942.0,13537.0,18896.0,18128.0,18368.0,17111.0,21111.0,20454.0,20773.0,19333.0,20776.0,20289.0,18251.0,20045.0,
1.615,16957.0,13514.0,18958.0,18098.0,18338.0,17171.0,21096.0,20468.0,20773.0,19295.0,20792.0,20260.0,18251.0,20052.0,
1.666,16935.0,13559.0,18904.0,18113.0,18338.0,17103.0,21111.0,20468.0,20773.0,19265.0,20822.0,20297.0,18251.0,20074.0,
1.716,16950.0,13537.0,18958.0,18090.0,18360.0,17111.0,21104.0,20513.0,20803.0,19265.0,20799.0,20311.0,18244.0,20045.0,
1.766,16972.0,13522.0,18904.0,18067.0,18330.0,17126.0,21088.0,20498.0,20788.0,19265.0,20792.0,20304.0,18236.0,20067.0,
1.816,16957.0,13522.0,18935.0,18075.0,18337.0,17118.0,21111.0,20513.0,20758.0,19257.0,20777.0,20267.0,18280.0,20067.0,
1.866,16979.0,13507.0,18904.0,18135.0,18345.0,17096.0,21096.0,20527.0,20841.0,19295.0,20784.0,20282.0,18244.0,20052.0,
1.917,16950.0,13471.0,18912.0,18098.0,18414.0,17088.0,21111.0,20468.0,20788.0,19265.0,20807.0,20267.0,18280.0,20060.0,
1.967,16957.0,13522.0,18896.0,18090.0,18368.0,17103.0,21096.0,20461.0,20803.0,19302.0,20799.0,20289.0,18236.0,20067.0,
2.018,16987.0,13537.0,18896.0,18082.0,18353.0,17096.0,21104.0,20461.0,20841.0,19272.0,20830.0,20289.0,18288.0,20060.0,
2.068,16972.0,13463.0,18904.0,18120.0,18353.0,17133.0,21119.0,20468.0,20765.0,19249.0,20792.0,20282.0,18266.0,20067.0,
2.118,16972.0,13485.0,18889.0,18075.0,18360.0,17118.0,21111.0,20461.0,20766.0,19287.0,20799.0,20341.0,18251.0,20082.0,
2.168,16965.0,13507.0,18904.0,18098.0,18368.0,17103.0,21111.0,20512.0,20788.0,19280.0,20784.0,20304.0,18258.0,20067.0,
2.218,16950.0,13456.0,18912.0,18120.0,18338.0,17118.0,21103.0,20490.0,20781.0,19280.0,20792.0,20356.0,18266.0,20045.0,
2.268,17024.0,13507.0,18904.0,18113.0,18353.0,17118.0,21111.0,20549.0,20818.0,19287.0,20769.0,20267.0,18273.0,20045.0,
2.319,16994.0,13493.0,18904.0,18075.0,18337.0,17133.0,21096.0,20505.0,20781.0,19265.0,20852.0,20297.0,18273.0,20060.0,
2.369,16994.0,13507.0,18919.0,18143.0,18360.0,17118.0,21111.0,20490.0,20788.0,19325.0,20792.0,20297.0,18251.0,20067.0,
2.419,16994.0,13500.0,18904.0,18083.0,18353.0,17133.0,21119.0,20542.0,20781.0,19287.0,20837.0,20282.0,18258.0,20067.0,
2.469,16942.0,13522.0,18896.0,18113.0,18338.0,17110.0,21126.0,20454.0,20773.0,19287.0,20792.0,20275.0,18288.0,20052.0,
2.520,16942.0,17581.0,18912.0,18158.0,18376.0,17096.0,21096.0,20468.0,20758.0,19280.0,20799.0,20267.0,18229.0,20067.0,
2.570,16987.0,13493.0,18904.0,18052.0,18338.0,17111.0,21103.0,20468.0,20796.0,19265.0,20792.0,20289.0,18236.0,20052.0,
2.620,16935.0,13514.0,18904.0,18067.0,18338.0,17111.0,21104.0,20468.0,20826.0,19272.0,20761.0,20267.0,18229.0,20060.0,
2.670,16957.0,13522.0,18904.0,18090.0,18345.0,17156.0,21111.0,20454.0,20758.0,19249.0,20799.0,20275.0,18251.0,20060.0,
2.720,16972.0,13500.0,18881.0,18090.0,18368.0,17118.0,21103.0,20461.0,20781.0,19318.0,20799.0,20275.0,18244.0,20060.0,
2.771,17002.0,13566.0,18912.0,18075.0,18337.0,17148.0,21119.0,20534.0,20788.0,19272.0,20814.0,20304.0,18244.0,20060.0,
2.821,16987.0,13507.0,18904.0,18098.0,18338.0,17141.0,21111.0,20468.0,20788.0,19310.0,20814.0,20348.0,18310.0,20067.0,
2.871,17017.0,13500.0,18919.0,18075.0,18368.0,17111.0,21088.0,20483.0,20796.0,19287.0,20837.0,20275.0,18258.0,20060.0,
2.921,17002.0,13515.0,18912.0,18075.0,18360.0,17111.0,21111.0,20476.0,20743.0,19280.0,20792.0,20275.0,18273.0,20067.0,
2.971,16942.0,13515.0,18889.0,18120.0,18337.0,17111.0,21111.0,20498.0,20788.0,19325.0,20784.0,20282.0,18288.0,20052.0,
3.021,16965.0,13485.0,18896.0,18105.0,18345.0,17103.0,21104.0,20454.0,20834.0,19272.0,20784.0,20289.0,18229.0,20067.0,
3.072,16972.0,13522.0,18889.0,18113.0,18338.0,17103.0,21088.0,20483.0,20750.0,19280.0,20807.0,20267.0,18258.0,20060.0,
3.122,16927.0,13500.0,18912.0,18067.0,18338.0,17133.0,21111.0,20468.0,20796.0,19287.0,20776.0,20348.0,18244.0,20067.0,
3.172,16987.0,13485.0,18904.0,18143.0,18360.0,17141.0,21111.0,20461.0,20758.0,19280.0,20754.0,20326.0,18258.0,20052.0,
3.222,16972.0,13529.0,18889.0,18120.0,18322.0,17156.0,21103.0,20461.0,20788.0,19295.0,20784.0,20289.0,18244.0,20060.0,
3.272,16927.0,13537.0,18912.0,18060.0,18345.0,17118.0,21088.0,20461.0,20773.0,19265.0,20784.0,20304.0,18244.0,20045.0,
3.322,16957.0,13478.0,18904.0,18075.0,18338.0,17118.0,21111.0,20461.0,20796.0,19249.0,20799.0,20289.0,18273.0,20060.0,
3.372,16994.0,13522.0,18889.0,18105.0,18353.0,17103.0,21111.0,20461.0,20773.0,19265.0,20792.0,20275.0,18258.0,20060.0,
3.422,16965.0,13529.0,18935.0,18083.0,18360.0,17110.0,21103.0,20468.0,20773.0,19302.0,20799.0,20275.0,18258.0,20052.0,
3.472,16942.0,13522.0,18927.0,18128.0,18330.0,17118.0,21103.0,20483.0,20796.0,19257.0,20814.0,20267.0,18280.0,20067.0,
3.524,16987.0,13478.0,18935.0,18128.0,18353.0,17141.0,21119.0,20527.0,20743.0,19348.0,20807.0,20289.0,18266.0,20060.0,
3.574,16912.0,13522.0,18896.0,18113.0,18330.0,17111.0,21096.0,20520.0,20750.0,19325.0,20792.0,20282.0,18236.0,20053.0,
3.624,16972.0,13500.0,18912.0,18052.0,18360.0,17141.0,21088.0,20476.0,20781.0,19318.0,20792.0,20275.0,18273.0,20052.0,
3.675,16950.0,13492.0,18889.0,18113.0,18345.0,17133.0,21103.0,20512.0,20781.0,19257.0,20792.0,20282.0,18244.0,20052.0,
3.725,16965.0,13514.0,18889.0,18090.0,18353.0,17111.0,21111.0,20461.0,20765.0,19287.0,20830.0,20275.0,18266.0,20052.0,
3.775,16950.0,13492.0,18927.0,18075.0,18345.0,17111.0,21096.0,20461.0,20780.0,19272.0,20799.0,20297.0,18273.0,20060.0,
3.825,16942.0,13529.0,18881.0,18098.0,18360.0,17133.0,21103.0,20483.0,20803.0,19287.0,20837.0,20289.0,18244.0,20067.0,
3.875,16972.0,13522.0,18896.0,18128.0,18330.0,17103.0,21111.0,20461.0,20773.0,19272.0,20814.0,20267.0,18280.0,20067.0,
3.926,16957.0,13485.0,18904.0,18128.0,18322.0,17103.0,21126.0,20476.0,20773.0,19265.0,20784.0,20275.0,18251.0,20060.0,
3.976,16927.0,13485.0,18881.0,18090.0,18338.0,17111.0,21111.0,20468.0,20796.0,19280.0,20799.0,20267.0,18280.0,20059.0,
4.027,16994.0,13478.0,18904.0,18098.0,18338.0,17111.0,21096.0,20461.0,20788.0,19242.0,20776.0,20297.0,18251.0,20045.0,
4.077,17024.0,13529.0,18942.0,18060.0,18353.0,17103.0,21103.0,20454.0,20773.0,19265.0,20792.0,20297.0,18273.0,20052.0,
4.127,16942.0,13507.0,18889.0,18143.0,18337.0,17111.0,21096.0,20490.0,20849.0,19272.0,20807.0,20348.0,18251.0,20060.0,
4.177,16979.0,13500.0,18927.0,18143.0,18345.0,17111.0,21126.0,20461.0,20796.0,19302.0,20799.0,20289.0,18295.0,20067.0,
4.227,16965.0,13537.0,18980.0,18090.0,18353.0,17126.0,21111.0,20454.0,20773.0,19287.0,20807.0,20289.0,18302.0,20060.0,
4.278,17009.0,13507.0,18889.0,18090.0,18345.0,17133.0,21103.0,20454.0,20780.0,19257.0,20769.0,20304.0,18258.0,20060.0,
4.328,17009.0,13507.0,18927.0,18082.0,18345.0,17103.0,21096.0,20527.0,20766.0,19340.0,20837.0,20282.0,18302.0,20052.0,
4.378,16979.0,13507.0,18942.0,18083.0,18360.0,17141.0,21103.0,20461.0,20781.0,19272.0,20754.0,20334.0,18288.0,20045.0,
4.428,16935.0,13493.0,18904.0,18067.0,18360.0,17110.0,21111.0,20483.0,20788.0,19295.0,20807.0,20260.0,18222.0,20074.0,
4.479,16957.0,13515.0,18912.0,18090.0,18345.0,17111.0,21111.0,20461.0,20796.0,19310.0,20776.0,20275.0,18236.0,20067.0,
4.529,16950.0,13463.0,18904.0,18067.0,18337.0,17118.0,21096.0,20461.0,20758.0,19249.0,20830.0,20297.0,18273.0,20052.0,
4.579,16957.0,13514.0,18904.0,18105.0,18353.0,17096.0,21111.0,20454.0,20751.0,19295.0,20792.0,20260.0,18251.0,20052.0,
4.629,17032.0,13514.0,18927.0,18143.0,18345.0,17088.0,21111.0,20446.0,20841.0,19333.0,20814.0,20326.0,18251.0,20060.0,
4.679,16942.0,13507.0,18927.0,18135.0,18337.0,17126.0,21111.0,20475.0,20826.0,19280.0,20799.0,20275.0,18236.0,20060.0,
4.729,17002.0,13485.0,18881.0,18105.0,18330.0,17118.0,21103.0,20461.0,20781.0,19265.0,20776.0,20326.0,18244.0,20052.0,
4.779,16987.0,13537.0,18873.0,18105.0,18345.0,17118.0,21111.0,20461.0,20758.0,19310.0,20807.0,20260.0,18280.0,20060.0,
4.830,16950.0,13507.0,18904.0,18113.0,18338.0,17148.0,21103.0,20483.0,20811.0,19295.0,20784.0,20282.0,18266.0,20052.0,
