frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.227,
5,0.278,
6,0.328,
7,0.378,
8,0.429,
9,0.480,
10,0.530,
11,0.581,
12,0.631,
13,0.682,
14,0.733,
15,0.783,
16,0.833,
17,0.884,
18,0.934,
19,0.984,
20,1.034,
21,1.084,
22,1.134,
23,1.184,
24,1.234,
25,1.284,
26,1.335,
27,1.385,
28,1.435,
29,1.485,
30,1.535,
31,1.586,
32,1.637,
33,1.687,
34,1.738,
35,1.788,
36,1.838,
37,1.888,
38,1.938,
39,1.989,
40,2.040,
41,2.090,
42,2.140,
43,2.191,
44,2.241,
45,2.291,
46,2.341,
47,2.392,
48,2.442,
49,2.492,
50,2.543,
51,2.593,
52,2.643,
53,2.694,
54,2.744,
55,2.794,
56,2.844,
57,2.894,
58,2.944,
59,2.995,
60,3.045,
61,3.095,
62,3.145,
63,3.196,
64,3.246,
65,3.296,
66,3.346,
67,3.396,
68,3.447,
69,3.497,
70,3.547,
71,3.597,
72,3.647,
73,3.697,
74,3.748,
75,3.798,
76,3.848,
77,3.898,
78,3.948,
79,3.998,
80,4.049,
81,4.099,
82,4.149,
83,4.200,
84,4.250,
85,4.300,
86,4.351,
87,4.401,
88,4.451,
89,4.502,
90,4.552,
91,4.602,
92,4.652,
93,4.702,
94,4.752,
95,4.803,
96,4.853,
97,4.903,
98,4.954,
99,5.004,
100,5.054,
101,5.104,
102,5.155,
103,5.205,
104,5.255,
105,5.305,
106,5.355,
107,5.405,
108,5.455,
109,5.506,
110,5.556,
111,5.606,
112,5.656,
113,5.707,
114,5.757,
115,5.808,
116,5.858,
117,5.908,
118,5.959,
119,6.010,
120,6.060,
121,6.110,
122,6.160,
123,6.210,
124,6.261,
125,6.311,
126,6.361,
127,6.411,
128,6.462,
129,6.512,
130,6.562,
131,6.612,
132,6.663,
133,6.713,
134,6.763,
135,6.813,
136,6.863,
137,6.913,
138,6.964,
139,7.014,
140,7.064,
141,7.114,
142,7.165,
143,7.215,
144,7.265,
145,7.315,
146,7.365,
147,7.415,
148,7.465,
149,7.516,
150,7.566,
151,7.616,
152,7.666,
153,7.717,
154,7.767,
155,7.818,
156,7.868,
157,7.919,
158,7.969,
159,8.019,
160,8.070,
161,8.120,
162,8.171,
163,8.221,
164,8.271,
165,8.321,
166,8.371,
167,8.421,
168,8.471,
169,8.521,
170,8.572,
171,8.622,
172,8.672,
173,8.722,
174,8.773,
175,8.823,
176,8.873,
177,8.923,
178,8.974,
179,9.024,
180,9.074,
181,9.124,
182,9.174,
183,9.224,
184,9.274,
185,9.324,
186,9.375,
187,9.425,
188,9.475,
189,9.525,
190,9.575,
191,9.625,
192,9.676,
193,9.726,
194,9.777,
195,9.827,
196,9.877,
197,9.927,
198,9.978,
199,10.028,
200,10.079,
201,10.130,
