frame_num,time_s,
0,0.018,
1,0.068,
2,0.118,
3,0.169,
4,0.219,
5,0.269,
6,0.319,
7,0.369,
8,0.419,
9,0.469,
10,0.519,
11,0.570,
12,0.620,
13,0.670,
14,0.724,
15,0.790,
16,0.857,
17,0.923,
18,0.991,
19,1.056,
20,1.123,
21,1.190,
22,1.257,
23,1.323,
24,1.390,
25,1.456,
26,1.523,
27,1.589,
28,1.656,
29,1.722,
30,1.789,
31,1.856,
32,1.922,
33,1.989,
34,2.055,
35,2.122,
36,2.189,
37,2.256,
38,2.322,
39,2.389,
40,2.455,
41,2.521,
42,2.589,
43,2.655,
44,2.721,
45,2.788,
46,2.854,
47,2.921,
48,2.988,
49,3.055,
50,3.121,
51,3.188,
52,3.254,
53,3.321,
54,3.388,
55,3.454,
56,3.520,
57,3.587,
58,3.655,
59,3.720,
60,3.787,
61,3.854,
62,3.920,
63,3.987,
64,4.053,
65,4.120,
66,4.187,
67,4.253,
68,4.320,
69,4.386,
70,4.453,
71,4.520,
72,4.586,
73,4.653,
74,4.719,
75,4.786,
76,4.853,
77,4.919,
78,4.985,
79,5.053,
80,5.119,
81,5.185,
82,5.253,
83,5.319,
84,5.385,
85,5.452,
86,5.519,
87,5.585,
88,5.652,
89,5.718,
90,5.785,
91,5.852,
92,5.918,
93,5.985,
94,6.052,
95,6.118,
96,6.185,
97,6.251,
98,6.317,
99,6.385,
100,6.451,
101,6.518,
102,6.584,
103,6.651,
104,6.717,
105,6.784,
106,6.850,
107,6.917,
108,6.984,
109,7.050,
110,7.117,
111,7.184,
112,7.250,
113,7.318,
114,7.384,
115,7.450,
116,7.516,
117,7.583,
118,7.650,
119,7.716,
120,7.783,
121,7.850,
122,7.916,
123,7.983,
124,8.050,
125,8.115,
126,8.183,
127,8.249,
128,8.316,
129,8.382,
130,8.449,
131,8.516,
132,8.583,
133,8.648,
134,8.715,
135,8.782,
136,8.849,
137,8.915,
138,8.982,
139,9.048,
140,9.115,
141,9.181,
142,9.248,
143,9.314,
144,9.381,
145,9.448,
146,9.514,
147,9.581,
148,9.647,
149,9.714,
150,9.781,
151,9.847,
152,9.914,
153,9.981,
154,10.048,
155,10.114,
156,10.180,
157,10.247,
158,10.314,
159,10.380,
160,10.447,
161,10.513,
162,10.580,
163,10.646,
164,10.713,
165,10.779,
166,10.847,
167,10.913,
168,10.979,
169,11.046,
170,11.113,
171,11.180,
172,11.246,
173,11.312,
174,11.379,
175,11.446,
176,11.513,
177,11.579,
178,11.646,
179,11.712,
180,11.779,
181,11.845,
182,11.912,
183,11.979,
184,12.045,
185,12.112,
186,12.178,
187,12.245,
188,12.311,
189,12.379,
190,12.445,
191,12.511,
192,12.578,
193,12.644,
194,12.712,
195,12.778,
196,12.844,
197,12.911,
198,12.978,
199,13.044,
200,13.111,
201,13.177,
202,13.244,
203,13.310,
204,13.377,
205,13.443,
206,13.510,
207,13.577,
208,13.644,
209,13.710,
210,13.776,
211,13.844,
212,13.910,
213,13.976,
214,14.043,
215,14.110,
216,14.176,
217,14.243,
218,14.309,
219,14.376,
220,14.443,
221,14.509,
222,14.576,
223,14.642,
224,14.709,
225,14.776,
226,14.842,
227,14.908,
228,14.975,
229,15.042,
230,15.108,
