time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,21248.0,17400.0,14869.0,18751.0,18425.0,21384.0,16924.0,20362.0,20726.0,19323.0,20758.0,16142.0,22525.0,19961.0,
0.059,21240.0,17422.0,14877.0,18744.0,18387.0,21377.0,16932.0,20369.0,20703.0,19278.0,20736.0,16172.0,22488.0,19961.0,
0.109,21256.0,17430.0,14854.0,18736.0,18387.0,21361.0,16932.0,20384.0,20726.0,19286.0,20773.0,16105.0,22518.0,19953.0,
0.159,21278.0,17415.0,14862.0,18751.0,18425.0,21384.0,16939.0,20384.0,20757.0,19286.0,20751.0,16105.0,22436.0,19968.0,
0.209,21271.0,17444.0,14900.0,18751.0,18387.0,21392.0,16924.0,20362.0,20742.0,19285.0,20751.0,16120.0,22540.0,19968.0,
0.260,21233.0,17467.0,14846.0,18751.0,18387.0,21392.0,16924.0,20369.0,20726.0,19270.0,20766.0,16113.0,22518.0,15865.0,
0.310,21210.0,17437.0,14877.0,18767.0,18410.0,21392.0,16939.0,20362.0,20711.0,19286.0,20728.0,16113.0,22466.0,19953.0,
0.360,21255.0,17467.0,14846.0,18744.0,18364.0,21399.0,16932.0,20421.0,20726.0,19293.0,20751.0,16098.0,22533.0,19968.0,
0.410,21248.0,17444.0,14854.0,18790.0,18387.0,21422.0,16932.0,20354.0,20749.0,19293.0,20781.0,16113.0,22466.0,19968.0,
0.460,21263.0,17437.0,14854.0,18751.0,18379.0,21384.0,16916.0,24663.0,20749.0,19293.0,20751.0,16120.0,22481.0,19961.0,
0.510,21263.0,17422.0,14861.0,18767.0,18387.0,21407.0,16924.0,20362.0,20734.0,19308.0,20766.0,16105.0,22466.0,19946.0,
0.561,21255.0,17422.0,14831.0,18813.0,18356.0,21384.0,16924.0,20369.0,20734.0,19301.0,20728.0,16098.0,22518.0,19968.0,
0.612,21233.0,13410.0,14892.0,18782.0,18387.0,21438.0,16924.0,20347.0,20803.0,19346.0,20796.0,16172.0,22488.0,19954.0,
0.662,21233.0,17430.0,14831.0,18790.0,18410.0,21384.0,16909.0,20362.0,20727.0,19346.0,20796.0,16135.0,22466.0,19961.0,
0.712,21225.0,17444.0,14869.0,18813.0,18387.0,21369.0,16932.0,20376.0,20734.0,19346.0,20743.0,16135.0,22458.0,19946.0,
0.762,21271.0,17422.0,14846.0,18782.0,18402.0,21376.0,16924.0,20428.0,20711.0,19285.0,20804.0,16105.0,22458.0,20112.0,
0.812,21248.0,17459.0,14861.0,18797.0,18372.0,21422.0,16916.0,24678.0,20757.0,19285.0,20758.0,16098.0,22481.0,19975.0,
0.862,21218.0,17452.0,14846.0,18805.0,18379.0,21407.0,16916.0,20354.0,20734.0,19301.0,20735.0,16098.0,22451.0,19961.0,
0.912,21248.0,17452.0,14839.0,18805.0,18402.0,21415.0,16916.0,20376.0,20726.0,19331.0,20736.0,16113.0,22473.0,19968.0,
0.962,21263.0,17415.0,14854.0,18797.0,18387.0,21392.0,16924.0,20391.0,20749.0,19323.0,20728.0,16098.0,22488.0,19961.0,
