time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,17032.0,17743.0,19126.0,18391.0,18521.0,17210.0,16892.0,20756.0,20935.0,19395.0,20877.0,20341.0,18236.0,20108.0,
0.059,17055.0,17750.0,19103.0,18384.0,18521.0,17210.0,16899.0,20815.0,20942.0,19432.0,20869.0,20341.0,18266.0,20123.0,
0.109,17032.0,17802.0,19126.0,18422.0,18491.0,17225.0,16877.0,20727.0,20912.0,19372.0,20892.0,20311.0,18258.0,20123.0,
0.160,17032.0,17750.0,19118.0,18361.0,18506.0,17240.0,16892.0,20778.0,20927.0,19364.0,20915.0,20304.0,18258.0,20108.0,
0.210,17025.0,17780.0,19133.0,18422.0,18537.0,17210.0,16914.0,20734.0,20950.0,19425.0,20877.0,20326.0,18258.0,20094.0,
0.260,17032.0,17728.0,19103.0,18414.0,18514.0,17247.0,16892.0,20786.0,20919.0,19357.0,20854.0,20326.0,18266.0,20130.0,
0.311,17114.0,17839.0,19080.0,18392.0,18521.0,17195.0,16884.0,20697.0,20942.0,19410.0,20923.0,20318.0,18302.0,20101.0,
0.361,17062.0,17772.0,19103.0,18369.0,18521.0,17210.0,16892.0,20764.0,20934.0,19372.0,20892.0,20333.0,18280.0,20116.0,
0.412,17062.0,17787.0,19110.0,18392.0,18529.0,17247.0,16884.0,20800.0,20965.0,19364.0,20892.0,20318.0,18258.0,20116.0,
0.462,17032.0,17743.0,19072.0,18354.0,18521.0,17195.0,16899.0,20712.0,20965.0,19379.0,20877.0,20355.0,18302.0,20109.0,
0.512,17040.0,17787.0,19118.0,18376.0,18544.0,17195.0,16899.0,20756.0,20919.0,19402.0,20900.0,20318.0,18251.0,20116.0,
0.562,17077.0,17772.0,19103.0,18361.0,18536.0,17255.0,16884.0,20749.0,20927.0,19379.0,20907.0,20333.0,18258.0,20108.0,
0.612,17099.0,17765.0,19088.0,18376.0,18521.0,17217.0,16892.0,20697.0,20927.0,19372.0,20907.0,20326.0,18266.0,20123.0,
0.662,17032.0,17736.0,19088.0,18384.0,18514.0,17202.0,16899.0,20778.0,20912.0,19395.0,20915.0,20333.0,18266.0,20123.0,
0.713,17017.0,17824.0,19126.0,18376.0,18529.0,17255.0,16899.0,20793.0,20904.0,19364.0,20930.0,20318.0,18273.0,20123.0,
0.764,17047.0,17736.0,19088.0,18391.0,18521.0,17225.0,16899.0,20741.0,20904.0,19364.0,20892.0,20333.0,18251.0,20123.0,
0.814,17025.0,17721.0,19164.0,18354.0,18529.0,17232.0,16899.0,20779.0,20919.0,19394.0,20854.0,20326.0,18280.0,20123.0,
0.865,17032.0,17780.0,19103.0,18361.0,18536.0,17202.0,16899.0,20734.0,20927.0,19379.0,20892.0,20318.0,18288.0,20123.0,
0.916,17100.0,17736.0,19095.0,18376.0,18529.0,17270.0,16899.0,20726.0,20957.0,19372.0,20862.0,20333.0,18273.0,20138.0,
0.966,17085.0,17780.0,19080.0,18399.0,18559.0,17187.0,16907.0,20712.0,20935.0,19379.0,20907.0,20370.0,18244.0,20116.0,
1.016,17025.0,17794.0,19088.0,18369.0,18514.0,17202.0,16892.0,20771.0,20934.0,19432.0,20892.0,20348.0,18280.0,20138.0,
1.066,17055.0,17787.0,19118.0,18384.0,18506.0,17225.0,16892.0,20712.0,20935.0,19349.0,20915.0,20311.0,18258.0,20123.0,
1.116,17017.0,17743.0,19110.0,18407.0,18537.0,17195.0,16892.0,20771.0,20927.0,19417.0,20869.0,20326.0,18280.0,20138.0,
1.166,17025.0,17758.0,19156.0,18406.0,18521.0,17202.0,16914.0,20756.0,20912.0,19349.0,20892.0,20311.0,18317.0,20123.0,
1.216,17025.0,17794.0,19118.0,18422.0,18513.0,17187.0,16899.0,20778.0,20912.0,19425.0,20877.0,20326.0,18273.0,20123.0,
1.266,17055.0,17758.0,19088.0,18391.0,18506.0,17247.0,16892.0,20705.0,20950.0,19417.0,20900.0,20326.0,18258.0,20123.0,
1.316,17040.0,17795.0,19103.0,18429.0,18537.0,17202.0,16899.0,20727.0,20980.0,19417.0,20922.0,20304.0,18310.0,20116.0,
