frame_num,time_s,
0,0.019,
1,0.069,
2,0.120,
3,0.170,
4,0.221,
5,0.271,
6,0.321,
7,0.372,
8,0.422,
9,0.472,
10,0.522,
11,0.572,
12,0.622,
13,0.673,
14,0.729,
15,0.795,
16,0.862,
17,0.929,
18,0.995,
19,1.062,
20,1.129,
21,1.195,
22,1.262,
23,1.328,
24,1.394,
25,1.461,
26,1.528,
27,1.594,
28,1.661,
29,1.727,
30,1.794,
31,1.861,
32,1.928,
33,1.994,
34,2.061,
35,2.127,
36,2.194,
37,2.260,
38,2.327,
39,2.394,
40,2.460,
41,2.527,
42,2.594,
43,2.660,
44,2.727,
45,2.794,
46,2.859,
47,2.927,
48,2.993,
49,3.060,
50,3.126,
51,3.193,
52,3.259,
53,3.326,
54,3.393,
55,3.459,
56,3.526,
57,3.592,
58,3.659,
59,3.726,
60,3.792,
61,3.859,
62,3.926,
63,3.992,
64,4.059,
65,4.125,
66,4.192,
67,4.258,
68,4.325,
69,4.391,
70,4.458,
71,4.524,
72,4.591,
73,4.658,
74,4.724,
75,4.791,
76,4.858,
77,4.924,
78,4.991,
79,5.058,
80,5.124,
81,5.191,
82,5.262,
83,5.324,
84,5.390,
85,5.457,
86,5.524,
87,5.591,
88,5.657,
89,5.724,
90,5.790,
91,5.856,
92,5.923,
93,5.990,
94,6.056,
95,6.123,
96,6.189,
97,6.257,
98,6.323,
99,6.389,
100,6.456,
101,6.522,
102,6.589,
103,6.656,
104,6.722,
105,6.789,
106,6.856,
107,6.923,
108,6.989,
109,7.056,
110,7.122,
111,7.189,
112,7.255,
113,7.322,
114,7.388,
115,7.455,
116,7.522,
117,7.588,
118,7.655,
119,7.721,
120,7.788,
121,7.855,
122,7.921,
123,7.988,
124,8.055,
125,8.121,
126,8.188,
127,8.254,
128,8.321,
129,8.387,
130,8.454,
131,8.521,
132,8.587,
133,8.654,
134,8.721,
135,8.787,
136,8.853,
137,8.920,
138,8.987,
139,9.053,
140,9.120,
141,9.187,
142,9.254,
143,9.320,
144,9.386,
145,9.453,
146,9.520,
147,9.586,
148,9.653,
149,9.720,
150,9.786,
151,9.853,
152,9.919,
153,9.986,
154,10.052,
155,10.118,
156,10.186,
157,10.252,
158,10.318,
159,10.385,
160,10.452,
161,10.518,
162,10.585,
163,10.652,
164,10.718,
165,10.785,
166,10.853,
167,10.918,
168,10.985,
169,11.051,
170,11.118,
171,11.185,
172,11.251,
173,11.318,
174,11.384,
175,11.451,
176,11.517,
177,11.584,
178,11.651,
179,11.718,
180,11.784,
181,11.851,
182,11.917,
183,11.984,
184,12.050,
185,12.117,
186,12.183,
187,12.250,
188,12.317,
189,12.383,
190,12.450,
191,12.516,
192,12.583,
193,12.650,
194,12.716,
195,12.783,
196,12.849,
197,12.916,
198,12.983,
199,13.049,
200,13.116,
201,13.182,
202,13.249,
203,13.316,
204,13.382,
205,13.449,
206,13.516,
207,13.583,
208,13.649,
209,13.715,
210,13.782,
211,13.848,
212,13.915,
213,13.981,
214,14.048,
215,14.114,
216,14.181,
217,14.248,
218,14.315,
219,14.381,
220,14.448,
221,14.514,
222,14.581,
223,14.648,
224,14.714,
225,14.781,
226,14.847,
227,14.914,
228,14.981,
229,15.047,
230,15.113,
231,15.180,
232,15.246,
233,15.313,
234,15.380,
235,15.447,
236,15.513,
237,15.580,
238,15.646,
239,15.713,
240,15.780,
241,15.846,
242,15.912,
243,15.979,
244,16.046,
245,16.112,
246,16.179,
247,16.245,
248,16.312,
249,16.379,
250,16.445,
251,16.512,
252,16.579,
253,16.645,
254,16.712,
255,16.779,
256,16.845,
257,16.912,
258,16.978,
259,17.044,
260,17.112,
261,17.178,
262,17.245,
263,17.311,
264,17.378,
265,17.445,
266,17.511,
267,17.578,
268,17.644,
269,17.711,
270,17.778,
271,17.844,
272,17.911,
273,17.977,
274,18.044,
275,18.110,
276,18.177,
277,18.244,
278,18.310,
279,18.376,
280,18.444,
281,18.510,
282,18.577,
283,18.643,
284,18.710,
285,18.776,
286,18.843,
287,18.910,
288,18.976,
289,19.043,
290,19.109,
291,19.176,
292,19.242,
293,19.309,
294,19.376,
295,19.442,
296,19.509,
297,19.575,
298,19.642,
299,19.709,
300,19.775,
301,19.842,
302,19.909,
303,19.975,
304,20.042,
305,20.108,
306,20.175,
307,20.241,
308,20.320,
309,20.375,
310,20.441,
311,20.508,
312,20.574,
313,20.641,
314,20.708,
315,20.774,
316,20.841,
317,20.907,
318,20.974,
319,21.041,
320,21.107,
321,21.173,
322,21.240,
323,21.307,
324,21.373,
325,21.440,
326,21.507,
327,21.574,
328,21.640,
329,21.707,
330,21.773,
331,21.840,
332,21.906,
333,21.973,
334,22.039,
335,22.106,
336,22.173,
337,22.240,
338,22.306,
339,22.373,
340,22.439,
341,22.505,
342,22.572,
343,22.639,
344,22.705,
345,22.772,
346,22.839,
347,22.905,
348,22.972,
349,23.038,
350,23.105,
351,23.172,
352,23.238,
353,23.305,
354,23.372,
355,23.438,
356,23.505,
357,23.571,
358,23.638,
359,23.704,
360,23.771,
361,23.837,
362,23.904,
363,23.971,
364,24.037,
365,24.104,
366,24.170,
367,24.237,
368,24.304,
369,24.370,
370,24.437,
371,24.503,
372,24.570,
373,24.637,
374,24.703,
375,24.770,
376,24.837,
377,24.903,
378,24.970,
379,25.036,
380,25.103,
381,25.169,
382,25.236,
383,25.303,
384,25.369,
385,25.436,
386,25.503,
387,25.569,
388,25.636,
389,25.702,
390,25.769,
391,25.835,
392,25.902,
393,25.969,
394,26.035,
395,26.102,
396,26.169,
397,26.235,
398,26.301,
399,26.368,
400,26.435,
401,26.501,
402,26.568,
403,26.634,
404,26.701,
405,26.768,
406,26.834,
407,26.901,
408,26.967,
409,27.035,
410,27.101,
411,27.167,
412,27.234,
413,27.301,
414,27.367,
415,27.434,
416,27.500,
417,27.567,
418,27.633,
419,27.700,
420,27.767,
421,27.833,
422,27.899,
423,27.966,
424,28.033,
425,28.099,
426,28.167,
427,28.233,
428,28.299,
429,28.366,
430,28.432,
431,28.499,
432,28.566,
433,28.633,
434,28.699,
435,28.766,
436,28.832,
437,28.899,
438,28.965,
439,29.032,
440,29.098,
441,29.165,
442,29.232,
443,29.298,
444,29.365,
445,29.432,
446,29.498,
447,29.565,
448,29.631,
449,29.698,
450,29.764,
451,29.831,
452,29.898,
453,29.964,
454,30.031,
455,30.097,
456,30.164,
457,30.231,
458,30.298,
459,30.364,
460,30.430,
461,30.497,
462,30.564,
463,30.630,
464,30.697,
465,30.763,
466,30.830,
467,30.897,
468,30.964,
