frame_num,time_s,
0,0.020,
1,0.070,
2,0.120,
3,0.170,
4,0.220,
5,0.270,
6,0.321,
7,0.371,
8,0.421,
9,0.471,
10,0.521,
11,0.571,
12,0.621,
13,0.672,
14,0.722,
15,0.788,
16,0.855,
17,0.921,
18,0.988,
19,1.055,
20,1.121,
21,1.188,
22,1.254,
23,1.321,
24,1.387,
25,1.454,
26,1.521,
27,1.587,
28,1.654,
29,1.720,
30,1.787,
31,1.854,
32,1.920,
33,1.986,
34,2.053,
35,2.120,
36,2.186,
37,2.253,
38,2.320,
39,2.386,
40,2.453,
41,2.519,
42,2.586,
43,2.653,
44,2.719,
45,2.786,
46,2.852,
47,2.919,
48,2.986,
49,3.053,
50,3.119,
51,3.185,
52,3.252,
53,3.320,
54,3.385,
55,3.452,
56,3.518,
57,3.585,
58,3.652,
59,3.718,
60,3.785,
61,3.852,
62,3.918,
63,3.984,
64,4.051,
65,4.118,
66,4.185,
67,4.251,
68,4.318,
69,4.384,
70,4.451,
71,4.518,
72,4.584,
73,4.651,
74,4.717,
75,4.785,
76,4.850,
77,4.917,
78,4.984,
79,5.059,
80,5.117,
81,5.183,
82,5.250,
83,5.317,
84,5.383,
85,5.449,
86,5.516,
87,5.583,
88,5.649,
89,5.716,
90,5.783,
91,5.849,
92,5.916,
93,5.982,
94,6.049,
95,6.116,
96,6.183,
97,6.249,
98,6.316,
99,6.382,
100,6.449,
101,6.516,
102,6.582,
103,6.649,
104,6.715,
105,6.782,
106,6.848,
107,6.915,
108,6.982,
109,7.048,
110,7.115,
111,7.181,
112,7.248,
113,7.315,
114,7.381,
115,7.448,
116,7.514,
117,7.581,
118,7.647,
119,7.714,
120,7.781,
121,7.847,
122,7.913,
123,7.981,
124,8.048,
125,8.113,
126,8.180,
127,8.247,
128,8.313,
129,8.381,
130,8.447,
131,8.513,
132,8.580,
133,8.646,
134,8.713,
135,8.779,
136,8.846,
137,8.913,
138,8.979,
139,9.046,
140,9.113,
141,9.179,
142,9.246,
143,9.312,
144,9.379,
145,9.445,
146,9.513,
147,9.579,
148,9.646,
149,9.712,
150,9.778,
151,9.845,
152,9.912,
153,9.978,
154,10.045,
155,10.112,
156,10.178,
157,10.245,
158,10.311,
159,10.377,
160,10.444,
161,10.511,
162,10.577,
163,10.644,
164,10.711,
165,10.777,
166,10.844,
167,10.911,
168,10.978,
169,11.044,
170,11.110,
171,11.177,
172,11.243,
173,11.311,
174,11.377,
175,11.443,
176,11.510,
177,11.577,
178,11.644,
179,11.710,
180,11.777,
181,11.843,
182,11.910,
183,11.977,
184,12.043,
185,12.110,
186,12.176,
187,12.242,
188,12.309,
189,12.376,
190,12.443,
191,12.509,
192,12.576,
193,12.642,
194,12.709,
195,12.776,
196,12.842,
197,12.909,
198,12.975,
199,13.042,
200,13.108,
201,13.175,
202,13.241,
203,13.308,
204,13.376,
205,13.442,
206,13.508,
207,13.575,
208,13.641,
209,13.707,
210,13.774,
211,13.841,
212,13.907,
213,13.974,
214,14.041,
215,14.107,
216,14.174,
217,14.241,
218,14.307,
219,14.373,
220,14.440,
221,14.506,
222,14.573,
223,14.640,
224,14.706,
225,14.773,
226,14.840,
227,14.906,
228,14.973,
229,15.040,
230,15.112,
231,15.173,
232,15.239,
233,15.306,
234,15.372,
235,15.439,
236,15.506,
237,15.572,
238,15.639,
239,15.705,
240,15.772,
241,15.839,
242,15.905,
243,15.971,
244,16.038,
245,16.105,
246,16.171,
247,16.238,
248,16.305,
249,16.371,
250,16.438,
251,16.505,
252,16.571,
253,16.638,
254,16.705,
255,16.771,
256,16.838,
257,16.904,
258,16.971,
259,17.037,
260,17.104,
261,17.171,
262,17.238,
263,17.304,
264,17.370,
265,17.437,
266,17.504,
267,17.571,
268,17.636,
269,17.703,
270,17.770,
271,17.837,
272,17.903,
273,17.970,
274,18.036,
275,18.103,
276,18.170,
277,18.236,
278,18.303,
279,18.369,
280,18.436,
281,18.503,
282,18.570,
283,18.636,
284,18.702,
285,18.769,
286,18.836,
287,18.902,
288,18.969,
289,19.035,
290,19.102,
291,19.169,
292,19.235,
293,19.301,
294,19.368,
295,19.435,
296,19.501,
297,19.568,
298,19.635,
299,19.701,
300,19.768,
301,19.834,
