time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,17010.0,17751.0,19072.0,18437.0,18514.0,17255.0,16899.0,20661.0,20920.0,19417.0,20923.0,20318.0,18273.0,20116.0,
0.059,17047.0,17729.0,19110.0,18459.0,18544.0,17217.0,16899.0,20668.0,20935.0,19402.0,20892.0,20348.0,18251.0,20116.0,
0.109,17062.0,17758.0,19072.0,18467.0,18506.0,17225.0,16899.0,20683.0,20920.0,19387.0,20945.0,20333.0,18266.0,20108.0,
0.160,17070.0,17751.0,19088.0,18399.0,18514.0,17292.0,16892.0,20669.0,20957.0,19395.0,20900.0,20355.0,18288.0,20123.0,
0.210,17092.0,17751.0,19088.0,18429.0,18498.0,17217.0,16884.0,20654.0,20935.0,19402.0,20908.0,20318.0,18258.0,20130.0,
0.260,17047.0,17758.0,19133.0,18422.0,18536.0,17195.0,16884.0,20639.0,20950.0,19372.0,20930.0,20326.0,18273.0,20123.0,
0.310,17017.0,17772.0,19080.0,18407.0,18521.0,17210.0,16884.0,20668.0,20958.0,19394.0,20923.0,20340.0,18273.0,20116.0,
0.360,17025.0,17780.0,19088.0,18437.0,18521.0,17202.0,16915.0,20668.0,20920.0,19379.0,20907.0,20333.0,18310.0,20116.0,
0.410,17062.0,17758.0,19065.0,18384.0,18491.0,17202.0,16900.0,20669.0,20958.0,19432.0,20884.0,20318.0,18258.0,20108.0,
0.461,17055.0,17773.0,19110.0,18422.0,18521.0,17217.0,16907.0,20669.0,20920.0,19387.0,20892.0,20326.0,18310.0,20101.0,
0.511,17122.0,17751.0,19095.0,18429.0,18521.0,17225.0,16899.0,20646.0,20920.0,19410.0,20900.0,20370.0,18273.0,20116.0,
0.562,17047.0,17751.0,19080.0,18414.0,18529.0,17180.0,16892.0,20646.0,20889.0,19387.0,20915.0,20326.0,18280.0,20123.0,
0.612,17062.0,17765.0,19118.0,18437.0,18521.0,17232.0,16899.0,20742.0,20905.0,19372.0,20907.0,20341.0,18310.0,20101.0,
0.662,17062.0,17765.0,19103.0,18437.0,18559.0,17202.0,16892.0,20676.0,20927.0,19379.0,20885.0,20341.0,18258.0,20108.0,
0.712,17010.0,17802.0,19179.0,18399.0,18529.0,17202.0,16922.0,20661.0,20927.0,19394.0,20907.0,20318.0,18317.0,20123.0,
0.763,17032.0,17758.0,19088.0,18452.0,18521.0,17179.0,16899.0,20661.0,20942.0,19402.0,20953.0,20348.0,18302.0,20116.0,
0.813,17025.0,17751.0,19095.0,18444.0,18544.0,17195.0,16892.0,20669.0,20957.0,19395.0,20907.0,20333.0,18280.0,20130.0,
0.864,17032.0,17721.0,19088.0,18422.0,18529.0,17277.0,16914.0,20646.0,20927.0,19402.0,20900.0,20304.0,18280.0,20138.0,
0.914,17062.0,17765.0,19103.0,18392.0,18506.0,17210.0,16892.0,20639.0,20920.0,19379.0,20915.0,20318.0,18266.0,20116.0,
0.964,17047.0,17773.0,19088.0,18422.0,18506.0,17210.0,16884.0,20669.0,20950.0,19448.0,20907.0,20363.0,18273.0,20116.0,
1.014,17092.0,17729.0,19126.0,18399.0,18536.0,17194.0,16915.0,20639.0,20927.0,19440.0,20923.0,20355.0,18258.0,20094.0,
1.064,17062.0,17758.0,19088.0,18407.0,18514.0,17172.0,16892.0,20661.0,20927.0,19379.0,20907.0,20318.0,18310.0,20108.0,
1.115,17025.0,17765.0,19072.0,18422.0,18529.0,17255.0,16899.0,20661.0,20920.0,19364.0,20915.0,20341.0,18317.0,20101.0,
1.165,17032.0,17773.0,19080.0,18399.0,18529.0,17202.0,16907.0,20632.0,20935.0,19410.0,20960.0,20326.0,18317.0,20130.0,
1.215,17047.0,17787.0,19088.0,18407.0,18506.0,17202.0,16892.0,20669.0,20927.0,19364.0,20945.0,20333.0,18273.0,20116.0,
1.265,17032.0,17765.0,19088.0,18414.0,18514.0,17195.0,16884.0,20668.0,20965.0,19395.0,20968.0,20341.0,18302.0,20123.0,
1.315,17047.0,17751.0,19141.0,18422.0,18514.0,17195.0,16907.0,20654.0,20905.0,19425.0,20892.0,20355.0,18258.0,20123.0,
1.366,16980.0,17758.0,19110.0,18399.0,18521.0,17195.0,16884.0,20654.0,20920.0,19410.0,20877.0,20326.0,18302.0,20108.0,
1.416,17070.0,17758.0,19103.0,18452.0,18514.0,17262.0,16899.0,20654.0,20980.0,19402.0,20892.0,20348.0,18295.0,20116.0,
1.467,17018.0,17736.0,19095.0,18399.0,18529.0,17210.0,16899.0,20728.0,20920.0,19425.0,20907.0,20355.0,18266.0,20101.0,
1.517,17010.0,17809.0,19110.0,18467.0,18521.0,17179.0,16877.0,20647.0,20920.0,19372.0,20907.0,20348.0,18288.0,20116.0,
